Index      S0(mW)      S1      S2      S3      S0(mW)      S1      S2      S3      DOP
1   3.80353   0.35792   -0.73943   -0.57027   3.80353   0.35792   -0.73943   -0.57027   100.49744
2   3.80297   0.35823   -0.73919   -0.57051   3.80297   0.35823   -0.73919   -0.57051   100.46997
3   3.80297   0.35722   -0.73962   -0.57039   3.80297   0.35722   -0.73962   -0.57039   100.50049
4   3.80409   0.35868   -0.73931   -0.56984   3.80409   0.35868   -0.73931   -0.56984   100.49744
5   3.80465   0.35884   -0.73919   -0.56993   3.80465   0.35884   -0.73919   -0.56993   100.49744
6   3.80353   0.35810   -0.73977   -0.56984   3.80353   0.35810   -0.73977   -0.56984   100.49744
7   3.80465   0.35893   -0.73940   -0.56972   3.80465   0.35893   -0.73940   -0.56972   100.46997
8   3.80465   0.35823   -0.73956   -0.56993   3.80465   0.35823   -0.73956   -0.56993   100.42419
9   3.80465   0.35890   -0.73910   -0.57021   3.80465   0.35890   -0.73910   -0.57021   100.48523
10   3.80409   0.35823   -0.73940   -0.57024   3.80409   0.35823   -0.73940   -0.57024   100.46997
11   3.80633   0.35823   -0.74004   -0.56954   3.80633   0.35823   -0.74004   -0.56954   100.42419
12   3.80465   0.35853   -0.73925   -0.56993   3.80465   0.35853   -0.73925   -0.56993   100.46997
13   3.80353   0.35875   -0.73986   -0.56914   3.80353   0.35875   -0.73986   -0.56914   100.45471
14   3.80465   0.35853   -0.73980   -0.56917   3.80465   0.35853   -0.73980   -0.56917   100.46997
15   3.80353   0.35804   -0.73919   -0.57073   3.80353   0.35804   -0.73919   -0.57073   100.45471
16   3.80465   0.35844   -0.73943   -0.56996   3.80465   0.35844   -0.73943   -0.56996   100.48523
17   3.80353   0.35871   -0.73956   -0.56981   3.80353   0.35871   -0.73956   -0.56981   100.46997
18   3.80521   0.35936   -0.73907   -0.56981   3.80521   0.35936   -0.73907   -0.56981   100.45471
19   3.80577   0.35759   -0.73901   -0.57088   3.80577   0.35759   -0.73901   -0.57088   100.49744
20   3.80633   0.35878   -0.73952   -0.56957   3.80633   0.35878   -0.73952   -0.56957   100.48523
21   3.80465   0.35832   -0.73952   -0.56966   3.80465   0.35832   -0.73952   -0.56966   100.48523
