Time (ns)	Amplitude (dB)	
-1.00072081E+001	-1.20221554E+002	
-9.98649484E+000	-1.19900835E+002	
-9.96578154E+000	-1.19576338E+002	
-9.94506823E+000	-1.19316494E+002	
-9.92435493E+000	-1.19085729E+002	
-9.90364162E+000	-1.18848886E+002	
-9.88292832E+000	-1.18633494E+002	
-9.86221501E+000	-1.18412772E+002	
-9.84150171E+000	-1.18220832E+002	
-9.82078840E+000	-1.18043834E+002	
-9.80007509E+000	-1.17840971E+002	
-9.77936179E+000	-1.17654359E+002	
-9.75864848E+000	-1.17604206E+002	
-9.73793518E+000	-1.17637248E+002	
-9.71722187E+000	-1.17635763E+002	
-9.69650857E+000	-1.17643924E+002	
-9.67579526E+000	-1.17703205E+002	
-9.65508196E+000	-1.17692394E+002	
-9.63436865E+000	-1.17637011E+002	
-9.61365535E+000	-1.17632076E+002	
-9.59294204E+000	-1.17644274E+002	
-9.57222874E+000	-1.17679465E+002	
-9.55151543E+000	-1.17703891E+002	
-9.53080213E+000	-1.17685445E+002	
-9.51008882E+000	-1.17715591E+002	
-9.48937552E+000	-1.17725793E+002	
-9.46866221E+000	-1.17702016E+002	
-9.44794890E+000	-1.17673532E+002	
-9.42723560E+000	-1.17630934E+002	
-9.40652229E+000	-1.17623121E+002	
-9.38580899E+000	-1.17594237E+002	
-9.36509568E+000	-1.17586794E+002	
-9.34438238E+000	-1.17546244E+002	
-9.32366907E+000	-1.17525246E+002	
-9.30295577E+000	-1.17535581E+002	
-9.28224246E+000	-1.17539677E+002	
-9.26152916E+000	-1.17484866E+002	
-9.24081585E+000	-1.17419800E+002	
-9.22010255E+000	-1.17404226E+002	
-9.19938924E+000	-1.17438370E+002	
-9.17867594E+000	-1.17417236E+002	
-9.15796263E+000	-1.17406996E+002	
-9.13724932E+000	-1.17465476E+002	
-9.11653602E+000	-1.17471971E+002	
-9.09582271E+000	-1.17451545E+002	
-9.07510941E+000	-1.17448960E+002	
-9.05439610E+000	-1.17436130E+002	
