Acquired on 4/26/2021 at 16:12:10
Calibrated on 4/26/2021 at 14:40:00
Device Descriptor:  [none]
Scan Range (nm):  1539.624  --  1560.517
Measurement Type:  Reflection
Group Index:  1.500
Gain:  24 dB
Domain:  Time
Spatial Resolution (mm):  50.000000
Frequency domain window was applied to measurement data.
Number of Data Points (in this file):  16384
NOTE: Data stored in this file is decimated by a factor of 64.

Time (ns)	Amplitude (dB)	
-1.00072081E+001	-1.20294735E+002	
-9.98649484E+000	-1.19967344E+002	
-9.96578154E+000	-1.19634427E+002	
-9.94506823E+000	-1.19377573E+002	
-9.92435493E+000	-1.19147270E+002	
-9.90364162E+000	-1.18914506E+002	
-9.88292832E+000	-1.18697357E+002	
-9.86221501E+000	-1.18483511E+002	
-9.84150171E+000	-1.18290414E+002	
-9.82078840E+000	-1.18108641E+002	
-9.80007509E+000	-1.17900699E+002	
-9.77936179E+000	-1.17708396E+002	
-9.75864848E+000	-1.17654923E+002	
-9.73793518E+000	-1.17685783E+002	
-9.71722187E+000	-1.17680427E+002	
-9.69650857E+000	-1.17685310E+002	
-9.67579526E+000	-1.17753121E+002	
-9.65508196E+000	-1.17741306E+002	
-9.63436865E+000	-1.17688042E+002	
-9.61365535E+000	-1.17688125E+002	
-9.59294204E+000	-1.17701679E+002	
-9.57222874E+000	-1.17741895E+002	
-9.55151543E+000	-1.17763913E+002	
-9.53080213E+000	-1.17744820E+002	
-9.51008882E+000	-1.17774052E+002	
-9.48937552E+000	-1.17789125E+002	
-9.46866221E+000	-1.17776105E+002	
-9.44794890E+000	-1.17750889E+002	
-9.42723560E+000	-1.17702994E+002	
-9.40652229E+000	-1.17687335E+002	
-9.38580899E+000	-1.17651313E+002	
-9.36509568E+000	-1.17640331E+002	
-9.34438238E+000	-1.17596017E+002	
-9.32366907E+000	-1.17571428E+002	
-9.30295577E+000	-1.17578587E+002	
-9.28224246E+000	-1.17587117E+002	
-9.26152916E+000	-1.17535036E+002	
-9.24081585E+000	-1.17470427E+002	
-9.22010255E+000	-1.17448802E+002	
-9.19938924E+000	-1.17481072E+002	
-9.17867594E+000	-1.17458571E+002	
-9.15796263E+000	-1.17440637E+002	
-9.13724932E+000	-1.17501893E+002	
-9.11653602E+000	-1.17509724E+002	
-9.09582271E+000	-1.17491414E+002	
-9.07510941E+000	-1.17486349E+002	
-9.05439610E+000	-1.17478298E+002	
-9.03368280E+000	-1.17369643E+002	
-9.01296949E+000	-1.17354662E+002	
-8.99225619E+000	-1.17354684E+002	
-8.97154288E+000	-1.17401094E+002	
-8.95082958E+000	-1.17411728E+002	
-8.93011627E+000	-1.17435847E+002	
-8.90940297E+000	-1.17468162E+002	
-8.88868966E+000	-1.17496006E+002	
-8.86797636E+000	-1.17484398E+002	
-8.84726305E+000	-1.17495788E+002	
-8.82654974E+000	-1.17473421E+002	
-8.80583644E+000	-1.17493477E+002	
-8.78512313E+000	-1.17487912E+002	
-8.76440983E+000	-1.17493689E+002	
-8.74369652E+000	-1.17556188E+002	
-8.72298322E+000	-1.17574825E+002	
-8.70226991E+000	-1.17512499E+002	
-8.68155661E+000	-1.17490881E+002	
-8.66084330E+000	-1.17525591E+002	
-8.64013000E+000	-1.17484116E+002	
-8.61941669E+000	-1.17433917E+002	
-8.59870339E+000	-1.17450668E+002	
-8.57799008E+000	-1.17446065E+002	
-8.55727678E+000	-1.17411391E+002	
-8.53656347E+000	-1.17517686E+002	
-8.51585017E+000	-1.17525833E+002	
-8.49513686E+000	-1.17525435E+002	
-8.47442355E+000	-1.17515392E+002	
-8.45371025E+000	-1.17538749E+002	
-8.43299694E+000	-1.17569074E+002	
-8.41228364E+000	-1.17529913E+002	
-8.39157033E+000	-1.17512638E+002	
-8.37085703E+000	-1.17557293E+002	
-8.35014372E+000	-1.17574464E+002	
-8.32943042E+000	-1.17603879E+002	
-8.30871711E+000	-1.17547606E+002	
-8.28800381E+000	-1.17579836E+002	
-8.26729050E+000	-1.17586416E+002	
-8.24657720E+000	-1.17573309E+002	
-8.22586389E+000	-1.17550933E+002	
-8.20515059E+000	-1.17603554E+002	
-8.18443728E+000	-1.17604459E+002	
-8.16372397E+000	-1.17589955E+002	
-8.14301067E+000	-1.17549810E+002	
-8.12229736E+000	-1.17562111E+002	
-8.10158406E+000	-1.17569145E+002	
-8.08087075E+000	-1.17566299E+002	
-8.06015745E+000	-1.17545805E+002	
-8.03944414E+000	-1.17494354E+002	
-8.01873084E+000	-1.17516180E+002	
-7.99801753E+000	-1.17522382E+002	
-7.97730423E+000	-1.17519563E+002	
-7.95659092E+000	-1.17491308E+002	
-7.93587762E+000	-1.17510120E+002	
-7.91516431E+000	-1.17543730E+002	
-7.89445101E+000	-1.17541291E+002	
-7.87373770E+000	-1.17519819E+002	
-7.85302439E+000	-1.17509399E+002	
-7.83231109E+000	-1.17487132E+002	
-7.81159778E+000	-1.17534510E+002	
-7.79088448E+000	-1.17557253E+002	
-7.77017117E+000	-1.17573701E+002	
-7.74945787E+000	-1.17591746E+002	
-7.72874456E+000	-1.17615519E+002	
-7.70803126E+000	-1.17578904E+002	
-7.68731795E+000	-1.17603793E+002	
-7.66660465E+000	-1.17592920E+002	
-7.64589134E+000	-1.17603065E+002	
-7.62517804E+000	-1.17611890E+002	
-7.60446473E+000	-1.17534938E+002	
-7.58375143E+000	-1.17555439E+002	
-7.56303812E+000	-1.17593291E+002	
-7.54232482E+000	-1.17662812E+002	
-7.52161151E+000	-1.17646458E+002	
-7.50089820E+000	-1.17653069E+002	
-7.48018490E+000	-1.17638549E+002	
-7.45947159E+000	-1.17681074E+002	
-7.43875829E+000	-1.17607984E+002	
-7.41804498E+000	-1.17536161E+002	
-7.39733168E+000	-1.17574980E+002	
-7.37661837E+000	-1.17574831E+002	
-7.35590507E+000	-1.17587931E+002	
-7.33519176E+000	-1.17606908E+002	
-7.31447846E+000	-1.17630398E+002	
-7.29376515E+000	-1.17613828E+002	
-7.27305185E+000	-1.17588976E+002	
-7.25233854E+000	-1.17614848E+002	
-7.23162524E+000	-1.17614493E+002	
-7.21091193E+000	-1.17600850E+002	
-7.19019862E+000	-1.17592189E+002	
-7.16948532E+000	-1.17637370E+002	
-7.14877201E+000	-1.17699529E+002	
-7.12805871E+000	-1.17744395E+002	
-7.10734540E+000	-1.17824286E+002	
