Acquired on 4/26/2021 at 16:47:11
Calibrated on 4/26/2021 at 14:40:00
Device Descriptor:  [none]
Scan Range (nm):  1539.624  --  1560.517
Measurement Type:  Reflection
Group Index:  1.500
Gain:  24 dB
Domain:  Time
Spatial Resolution (mm):  50.000000
Frequency domain window was applied to measurement data.
Number of Data Points (in this file):  16384
NOTE: Data stored in this file is decimated by a factor of 64.

Time (ns)	Amplitude (dB)	
-1.00072081E+001	-1.20246724E+002	
-9.98649484E+000	-1.19918561E+002	
-9.96578154E+000	-1.19592708E+002	
-9.94506823E+000	-1.19340813E+002	
-9.92435493E+000	-1.19114195E+002	
-9.90364162E+000	-1.18876880E+002	
-9.88292832E+000	-1.18658552E+002	
-9.86221501E+000	-1.18441836E+002	
-9.84150171E+000	-1.18255518E+002	
-9.82078840E+000	-1.18077171E+002	
-9.80007509E+000	-1.17869641E+002	
-9.77936179E+000	-1.17682210E+002	
-9.75864848E+000	-1.17633565E+002	
-9.73793518E+000	-1.17663386E+002	
-9.71722187E+000	-1.17658630E+002	
-9.69650857E+000	-1.17663471E+002	
-9.67579526E+000	-1.17736208E+002	
-9.65508196E+000	-1.17720594E+002	
-9.63436865E+000	-1.17670444E+002	
-9.61365535E+000	-1.17670712E+002	
-9.59294204E+000	-1.17692526E+002	
-9.57222874E+000	-1.17734712E+002	
-9.55151543E+000	-1.17763634E+002	
-9.53080213E+000	-1.17748389E+002	
-9.51008882E+000	-1.17784518E+002	
-9.48937552E+000	-1.17807246E+002	
-9.46866221E+000	-1.17793859E+002	
-9.44794890E+000	-1.17764756E+002	
-9.42723560E+000	-1.17707742E+002	
-9.40652229E+000	-1.17697975E+002	
-9.38580899E+000	-1.17673502E+002	
-9.36509568E+000	-1.17663657E+002	
-9.34438238E+000	-1.17614584E+002	
-9.32366907E+000	-1.17584935E+002	
-9.30295577E+000	-1.17593122E+002	
-9.28224246E+000	-1.17596974E+002	
-9.26152916E+000	-1.17542615E+002	
-9.24081585E+000	-1.17478509E+002	
-9.22010255E+000	-1.17458979E+002	
-9.19938924E+000	-1.17491813E+002	
-9.17867594E+000	-1.17461109E+002	
-9.15796263E+000	-1.17446064E+002	
-9.13724932E+000	-1.17504250E+002	
-9.11653602E+000	-1.17512972E+002	
-9.09582271E+000	-1.17486557E+002	
-9.07510941E+000	-1.17481674E+002	
-9.05439610E+000	-1.17474140E+002	
-9.03368280E+000	-1.17357989E+002	
-9.01296949E+000	-1.17344824E+002	
-8.99225619E+000	-1.17346873E+002	
-8.97154288E+000	-1.17392160E+002	
-8.95082958E+000	-1.17403855E+002	
-8.93011627E+000	-1.17429395E+002	
-8.90940297E+000	-1.17457130E+002	
-8.88868966E+000	-1.17474430E+002	
-8.86797636E+000	-1.17462292E+002	
-8.84726305E+000	-1.17467883E+002	
-8.82654974E+000	-1.17445504E+002	
-8.80583644E+000	-1.17464933E+002	
-8.78512313E+000	-1.17460372E+002	
-8.76440983E+000	-1.17465460E+002	
-8.74369652E+000	-1.17525376E+002	
-8.72298322E+000	-1.17543033E+002	
-8.70226991E+000	-1.17478824E+002	
-8.68155661E+000	-1.17457101E+002	
-8.66084330E+000	-1.17489175E+002	
-8.64013000E+000	-1.17438080E+002	
-8.61941669E+000	-1.17391781E+002	
-8.59870339E+000	-1.17414610E+002	
-8.57799008E+000	-1.17407791E+002	
-8.55727678E+000	-1.17379032E+002	
-8.53656347E+000	-1.17495081E+002	
-8.51585017E+000	-1.17500482E+002	
-8.49513686E+000	-1.17492588E+002	
-8.47442355E+000	-1.17479796E+002	
-8.45371025E+000	-1.17498517E+002	
-8.43299694E+000	-1.17536727E+002	
-8.41228364E+000	-1.17500449E+002	
-8.39157033E+000	-1.17484852E+002	
-8.37085703E+000	-1.17528964E+002	
-8.35014372E+000	-1.17551522E+002	
-8.32943042E+000	-1.17585189E+002	
-8.30871711E+000	-1.17532528E+002	
-8.28800381E+000	-1.17563936E+002	
-8.26729050E+000	-1.17563044E+002	
-8.24657720E+000	-1.17559061E+002	
-8.22586389E+000	-1.17540833E+002	
-8.20515059E+000	-1.17589108E+002	
-8.18443728E+000	-1.17589242E+002	
-8.16372397E+000	-1.17573606E+002	
-8.14301067E+000	-1.17546973E+002	
-8.12229736E+000	-1.17564075E+002	
-8.10158406E+000	-1.17567001E+002	
-8.08087075E+000	-1.17568098E+002	
-8.06015745E+000	-1.17544322E+002	
-8.03944414E+000	-1.17492499E+002	
-8.01873084E+000	-1.17514036E+002	
-7.99801753E+000	-1.17516466E+002	
-7.97730423E+000	-1.17513269E+002	
-7.95659092E+000	-1.17488932E+002	
-7.93587762E+000	-1.17506928E+002	
-7.91516431E+000	-1.17547370E+002	
-7.89445101E+000	-1.17546415E+002	
-7.87373770E+000	-1.17529035E+002	
-7.85302439E+000	-1.17526097E+002	
-7.83231109E+000	-1.17497981E+002	
-7.81159778E+000	-1.17543457E+002	
-7.79088448E+000	-1.17570610E+002	
-7.77017117E+000	-1.17585146E+002	
-7.74945787E+000	-1.17594337E+002	
-7.72874456E+000	-1.17612176E+002	
-7.70803126E+000	-1.17578678E+002	
-7.68731795E+000	-1.17611419E+002	
-7.66660465E+000	-1.17605765E+002	
-7.64589134E+000	-1.17612187E+002	
-7.62517804E+000	-1.17613534E+002	
-7.60446473E+000	-1.17535282E+002	
-7.58375143E+000	-1.17556361E+002	
