Acquired on 4/26/2021 at 16:05:25
Calibrated on 4/26/2021 at 14:40:00
Device Descriptor:  [none]
Scan Range (nm):  1539.624  --  1560.517
Measurement Type:  Reflection
Group Index:  1.500
Gain:  24 dB
Domain:  Time
Spatial Resolution (mm):  50.000000
Frequency domain window was applied to measurement data.
Number of Data Points (in this file):  16384
NOTE: Data stored in this file is decimated by a factor of 64.

Time (ns)	Amplitude (dB)	
-1.00072081E+001	-1.20291612E+002	
-9.98649484E+000	-1.19964858E+002	
-9.96578154E+000	-1.19640243E+002	
-9.94506823E+000	-1.19381403E+002	
-9.92435493E+000	-1.19148228E+002	
-9.90364162E+000	-1.18910743E+002	
-9.88292832E+000	-1.18695488E+002	
-9.86221501E+000	-1.18477635E+002	
-9.84150171E+000	-1.18286173E+002	
-9.82078840E+000	-1.18106334E+002	
-9.80007509E+000	-1.17897806E+002	
-9.77936179E+000	-1.17707625E+002	
-9.75864848E+000	-1.17652937E+002	
-9.73793518E+000	-1.17685452E+002	
-9.71722187E+000	-1.17680386E+002	
-9.69650857E+000	-1.17685311E+002	
-9.67579526E+000	-1.17751985E+002	
-9.65508196E+000	-1.17733689E+002	
-9.63436865E+000	-1.17681699E+002	
-9.61365535E+000	-1.17676500E+002	
-9.59294204E+000	-1.17689341E+002	
-9.57222874E+000	-1.17726840E+002	
-9.55151543E+000	-1.17758067E+002	
-9.53080213E+000	-1.17737767E+002	
-9.51008882E+000	-1.17766074E+002	
-9.48937552E+000	-1.17786539E+002	
-9.46866221E+000	-1.17771852E+002	
-9.44794890E+000	-1.17747025E+002	
-9.42723560E+000	-1.17699571E+002	
-9.40652229E+000	-1.17689799E+002	
-9.38580899E+000	-1.17661558E+002	
-9.36509568E+000	-1.17658005E+002	
-9.34438238E+000	-1.17613231E+002	
-9.32366907E+000	-1.17583656E+002	
-9.30295577E+000	-1.17590475E+002	
-9.28224246E+000	-1.17599275E+002	
-9.26152916E+000	-1.17552566E+002	
-9.24081585E+000	-1.17489670E+002	
-9.22010255E+000	-1.17468728E+002	
-9.19938924E+000	-1.17504007E+002	
-9.17867594E+000	-1.17476774E+002	
-9.15796263E+000	-1.17463672E+002	
-9.13724932E+000	-1.17523877E+002	
-9.11653602E+000	-1.17532136E+002	
-9.09582271E+000	-1.17510731E+002	
-9.07510941E+000	-1.17505564E+002	
-9.05439610E+000	-1.17493285E+002	
-9.03368280E+000	-1.17380129E+002	
-9.01296949E+000	-1.17366138E+002	
-8.99225619E+000	-1.17364901E+002	
-8.97154288E+000	-1.17406711E+002	
-8.95082958E+000	-1.17420176E+002	
-8.93011627E+000	-1.17440031E+002	
-8.90940297E+000	-1.17462238E+002	
-8.88868966E+000	-1.17479174E+002	
-8.86797636E+000	-1.17461179E+002	
-8.84726305E+000	-1.17465279E+002	
-8.82654974E+000	-1.17448334E+002	
-8.80583644E+000	-1.17469809E+002	
-8.78512313E+000	-1.17465333E+002	
-8.76440983E+000	-1.17470199E+002	
-8.74369652E+000	-1.17532207E+002	
-8.72298322E+000	-1.17556547E+002	
-8.70226991E+000	-1.17493697E+002	
-8.68155661E+000	-1.17469579E+002	
-8.66084330E+000	-1.17503075E+002	
-8.64013000E+000	-1.17456665E+002	
-8.61941669E+000	-1.17406972E+002	
-8.59870339E+000	-1.17427126E+002	
-8.57799008E+000	-1.17424185E+002	
-8.55727678E+000	-1.17392169E+002	
-8.53656347E+000	-1.17501994E+002	
-8.51585017E+000	-1.17514483E+002	
-8.49513686E+000	-1.17512874E+002	
-8.47442355E+000	-1.17504046E+002	
-8.45371025E+000	-1.17522520E+002	
-8.43299694E+000	-1.17560443E+002	
-8.41228364E+000	-1.17535287E+002	
-8.39157033E+000	-1.17526702E+002	
-8.37085703E+000	-1.17572293E+002	
-8.35014372E+000	-1.17590747E+002	
-8.32943042E+000	-1.17619451E+002	
-8.30871711E+000	-1.17568919E+002	
-8.28800381E+000	-1.17602395E+002	
-8.26729050E+000	-1.17602191E+002	
-8.24657720E+000	-1.17595778E+002	
-8.22586389E+000	-1.17575647E+002	
-8.20515059E+000	-1.17625520E+002	
-8.18443728E+000	-1.17626357E+002	
-8.16372397E+000	-1.17612767E+002	
-8.14301067E+000	-1.17578468E+002	
-8.12229736E+000	-1.17594349E+002	
-8.10158406E+000	-1.17602612E+002	
-8.08087075E+000	-1.17607426E+002	
-8.06015745E+000	-1.17583690E+002	
-8.03944414E+000	-1.17525813E+002	
-8.01873084E+000	-1.17544659E+002	
-7.99801753E+000	-1.17544307E+002	
-7.97730423E+000	-1.17537072E+002	
-7.95659092E+000	-1.17508027E+002	
-7.93587762E+000	-1.17524185E+002	
-7.91516431E+000	-1.17557465E+002	
-7.89445101E+000	-1.17548234E+002	
-7.87373770E+000	-1.17528009E+002	
-7.85302439E+000	-1.17524838E+002	
-7.83231109E+000	-1.17502108E+002	
-7.81159778E+000	-1.17544658E+002	
-7.79088448E+000	-1.17565362E+002	
-7.77017117E+000	-1.17581427E+002	
-7.74945787E+000	-1.17593073E+002	
-7.72874456E+000	-1.17611139E+002	
-7.70803126E+000	-1.17575275E+002	
-7.68731795E+000	-1.17605950E+002	
-7.66660465E+000	-1.17597733E+002	
-7.64589134E+000	-1.17608374E+002	
-7.62517804E+000	-1.17615153E+002	
-7.60446473E+000	-1.17532928E+002	
-7.58375143E+000	-1.17544779E+002	
-7.56303812E+000	-1.17584170E+002	
-7.54232482E+000	-1.17657805E+002	
-7.52161151E+000	-1.17647551E+002	
-7.50089820E+000	-1.17654971E+002	
-7.48018490E+000	-1.17634979E+002	
-7.45947159E+000	-1.17681044E+002	
-7.43875829E+000	-1.17609263E+002	
-7.41804498E+000	-1.17535922E+002	
-7.39733168E+000	-1.17571280E+002	
-7.37661837E+000	-1.17573840E+002	
-7.35590507E+000	-1.17581563E+002	
-7.33519176E+000	-1.17605796E+002	
-7.31447846E+000	-1.17631549E+002	
-7.29376515E+000	-1.17616569E+002	
-7.27305185E+000	-1.17592294E+002	
-7.25233854E+000	-1.17618456E+002	
-7.23162524E+000	-1.17617195E+002	
-7.21091193E+000	-1.17601356E+002	
-7.19019862E+000	-1.17592111E+002	
-7.16948532E+000	-1.17636084E+002	
-7.14877201E+000	-1.17693958E+002	
-7.12805871E+000	-1.17737482E+002	
-7.10734540E+000	-1.17817907E+002	
-7.08663210E+000	-1.17860031E+002	
-7.06591879E+000	-1.17836537E+002	
-7.04520549E+000	-1.17825376E+002	
-7.02449218E+000	-1.17803537E+002	
-7.00377888E+000	-1.17777520E+002	
-6.98306557E+000	-1.17809932E+002	
-6.96235227E+000	-1.17774006E+002	
-6.94163896E+000	-1.17809274E+002	
-6.92092566E+000	-1.17866708E+002	
-6.90021235E+000	-1.17875005E+002	
-6.87949904E+000	-1.17852720E+002	
-6.85878574E+000	-1.17836900E+002	
-6.83807243E+000	-1.17860585E+002	
-6.81735913E+000	-1.17875050E+002	
-6.79664582E+000	-1.17829094E+002	
-6.77593252E+000	-1.17854757E+002	
-6.75521921E+000	-1.17802523E+002	
-6.73450591E+000	-1.17798212E+002	
-6.71379260E+000	-1.17783240E+002	
-6.69307930E+000	-1.17782009E+002	
-6.67236599E+000	-1.17742482E+002	
-6.65165269E+000	-1.17728922E+002	
-6.63093938E+000	-1.17737573E+002	
-6.61022608E+000	-1.17755051E+002	
-6.58951277E+000	-1.17746346E+002	
-6.56879947E+000	-1.17731184E+002	
-6.54808616E+000	-1.17697081E+002	
-6.52737285E+000	-1.17679237E+002	
-6.50665955E+000	-1.17710437E+002	
-6.48594624E+000	-1.17750504E+002	
-6.46523294E+000	-1.17783343E+002	
-6.44451963E+000	-1.17713980E+002	
-6.42380633E+000	-1.17665279E+002	
-6.40309302E+000	-1.17651325E+002	
-6.38237972E+000	-1.17629788E+002	
-6.36166641E+000	-1.17627983E+002	
-6.34095311E+000	-1.17628046E+002	
-6.32023980E+000	-1.17619955E+002	
-6.29952650E+000	-1.17630813E+002	
-6.27881319E+000	-1.17598887E+002	
-6.25809989E+000	-1.17621140E+002	
-6.23738658E+000	-1.17613739E+002	
-6.21667327E+000	-1.17598245E+002	
-6.19595997E+000	-1.17610528E+002	
-6.17524666E+000	-1.17597778E+002	
-6.15453336E+000	-1.17593520E+002	
-6.13382005E+000	-1.17574885E+002	
-6.11310675E+000	-1.17578041E+002	
-6.09239344E+000	-1.17573822E+002	
-6.07168014E+000	-1.17528130E+002	
-6.05096683E+000	-1.17603006E+002	
-6.03025353E+000	-1.17607971E+002	
-6.00954022E+000	-1.17569296E+002	
-5.98882692E+000	-1.17514427E+002	
-5.96811361E+000	-1.17516981E+002	
-5.94740031E+000	-1.17566048E+002	
-5.92668700E+000	-1.17617331E+002	
-5.90597369E+000	-1.17633128E+002	
-5.88526039E+000	-1.17676329E+002	
-5.86454708E+000	-1.17701836E+002	
-5.84383378E+000	-1.17670619E+002	
-5.82312047E+000	-1.17677121E+002	
-5.80240717E+000	-1.17647677E+002	
-5.78169386E+000	-1.17666304E+002	
-5.76098056E+000	-1.17667650E+002	
-5.74026725E+000	-1.17667229E+002	
-5.71955395E+000	-1.17700909E+002	
-5.69884064E+000	-1.17697307E+002	
-5.67812734E+000	-1.17722080E+002	
-5.65741403E+000	-1.17722298E+002	
-5.63670073E+000	-1.17734158E+002	
-5.61598742E+000	-1.17707301E+002	
-5.59527412E+000	-1.17663500E+002	
-5.57456081E+000	-1.17726100E+002	
-5.55384750E+000	-1.17651029E+002	
-5.53313420E+000	-1.17585438E+002	
-5.51242089E+000	-1.17611719E+002	
-5.49170759E+000	-1.17625041E+002	
-5.47099428E+000	-1.17613464E+002	
-5.45028098E+000	-1.17660368E+002	
-5.42956767E+000	-1.17696797E+002	
-5.40885437E+000	-1.17676264E+002	
-5.38814106E+000	-1.17664018E+002	
-5.36742776E+000	-1.17635680E+002	
-5.34671445E+000	-1.17663255E+002	
-5.32600115E+000	-1.17670625E+002	
-5.30528784E+000	-1.17685149E+002	
-5.28457454E+000	-1.17670574E+002	
-5.26386123E+000	-1.17649812E+002	
-5.24314792E+000	-1.17591907E+002	
-5.22243462E+000	-1.17571076E+002	
-5.20172131E+000	-1.17572811E+002	
-5.18100801E+000	-1.17537728E+002	
-5.16029470E+000	-1.17535851E+002	
-5.13958140E+000	-1.17489221E+002	
-5.11886809E+000	-1.17465542E+002	
-5.09815479E+000	-1.17480293E+002	
-5.07744148E+000	-1.17446853E+002	
-5.05672818E+000	-1.17521964E+002	
-5.03601487E+000	-1.17552728E+002	
-5.01530157E+000	-1.17590410E+002	
-4.99458826E+000	-1.17593707E+002	
-4.97387496E+000	-1.17534640E+002	
-4.95316165E+000	-1.17533625E+002	
-4.93244834E+000	-1.17492650E+002	
-4.91173504E+000	-1.17485146E+002	
-4.89102173E+000	-1.17477734E+002	
-4.87030843E+000	-1.17504200E+002	
-4.84959512E+000	-1.17491300E+002	
-4.82888182E+000	-1.17449917E+002	
-4.80816851E+000	-1.17442942E+002	
-4.78745521E+000	-1.17450714E+002	
-4.76674190E+000	-1.17475229E+002	
-4.74602860E+000	-1.17489910E+002	
-4.72531529E+000	-1.17542368E+002	
-4.70460199E+000	-1.17535758E+002	
-4.68388868E+000	-1.17571677E+002	
-4.66317538E+000	-1.17551253E+002	
-4.64246207E+000	-1.17597936E+002	
-4.62174877E+000	-1.17643547E+002	
-4.60103546E+000	-1.17670527E+002	
-4.58032215E+000	-1.17691340E+002	
-4.55960885E+000	-1.17649698E+002	
-4.53889554E+000	-1.17681298E+002	
-4.51818224E+000	-1.17615196E+002	
-4.49746893E+000	-1.17573609E+002	
-4.47675563E+000	-1.17620979E+002	
-4.45604232E+000	-1.17601450E+002	
-4.43532902E+000	-1.17602027E+002	
-4.41461571E+000	-1.17592355E+002	
-4.39390241E+000	-1.17602836E+002	
-4.37318910E+000	-1.17608630E+002	
-4.35247580E+000	-1.17594563E+002	
-4.33176249E+000	-1.17588802E+002	
-4.31104919E+000	-1.17583833E+002	
-4.29033588E+000	-1.17574309E+002	
-4.26962257E+000	-1.17567780E+002	
-4.24890927E+000	-1.17612985E+002	
-4.22819596E+000	-1.17619411E+002	
-4.20748266E+000	-1.17650974E+002	
-4.18676935E+000	-1.17619757E+002	
-4.16605605E+000	-1.17627438E+002	
-4.14534274E+000	-1.17638739E+002	
-4.12462944E+000	-1.17593756E+002	
-4.10391613E+000	-1.17592469E+002	
-4.08320283E+000	-1.17585078E+002	
-4.06248952E+000	-1.17578991E+002	
-4.04177622E+000	-1.17530298E+002	
-4.02106291E+000	-1.17558850E+002	
-4.00034961E+000	-1.17558743E+002	
-3.97963630E+000	-1.17515446E+002	
-3.95892299E+000	-1.17519911E+002	
-3.93820969E+000	-1.17486813E+002	
-3.91749638E+000	-1.17499251E+002	
-3.89678308E+000	-1.17473620E+002	
-3.87606977E+000	-1.17413191E+002	
-3.85535647E+000	-1.17418271E+002	
