Acquired on 4/26/2021 at 16:11:28
Calibrated on 4/26/2021 at 14:40:00
Device Descriptor:  [none]
Scan Range (nm):  1539.624  --  1560.517
Measurement Type:  Reflection
Group Index:  1.500
Gain:  24 dB
Domain:  Time
Spatial Resolution (mm):  50.000000
Frequency domain window was applied to measurement data.
Number of Data Points (in this file):  16384
NOTE: Data stored in this file is decimated by a factor of 64.

Time (ns)	Amplitude (dB)	
-1.00072081E+001	-1.20261198E+002	
-9.98649484E+000	-1.19924662E+002	
-9.96578154E+000	-1.19596870E+002	
-9.94506823E+000	-1.19338725E+002	
-9.92435493E+000	-1.19107008E+002	
-9.90364162E+000	-1.18868929E+002	
-9.88292832E+000	-1.18649356E+002	
-9.86221501E+000	-1.18433779E+002	
-9.84150171E+000	-1.18247093E+002	
-9.82078840E+000	-1.18070871E+002	
-9.80007509E+000	-1.17868992E+002	
-9.77936179E+000	-1.17680327E+002	
-9.75864848E+000	-1.17628661E+002	
-9.73793518E+000	-1.17657337E+002	
-9.71722187E+000	-1.17657244E+002	
-9.69650857E+000	-1.17661974E+002	
-9.67579526E+000	-1.17723336E+002	
-9.65508196E+000	-1.17701535E+002	
-9.63436865E+000	-1.17641507E+002	
-9.61365535E+000	-1.17637636E+002	
-9.59294204E+000	-1.17647066E+002	
-9.57222874E+000	-1.17686731E+002	
-9.55151543E+000	-1.17711910E+002	
-9.53080213E+000	-1.17699961E+002	
-9.51008882E+000	-1.17733051E+002	
-9.48937552E+000	-1.17754314E+002	
-9.46866221E+000	-1.17740826E+002	
-9.44794890E+000	-1.17711873E+002	
-9.42723560E+000	-1.17666812E+002	
-9.40652229E+000	-1.17657250E+002	
-9.38580899E+000	-1.17634710E+002	
-9.36509568E+000	-1.17631407E+002	
-9.34438238E+000	-1.17581398E+002	
-9.32366907E+000	-1.17552521E+002	
-9.30295577E+000	-1.17553807E+002	
-9.28224246E+000	-1.17560486E+002	
-9.26152916E+000	-1.17512571E+002	
-9.24081585E+000	-1.17454267E+002	
-9.22010255E+000	-1.17437312E+002	
-9.19938924E+000	-1.17469083E+002	
-9.17867594E+000	-1.17445978E+002	
-9.15796263E+000	-1.17440443E+002	
-9.13724932E+000	-1.17503747E+002	
-9.11653602E+000	-1.17511015E+002	
-9.09582271E+000	-1.17491944E+002	
-9.07510941E+000	-1.17485598E+002	
-9.05439610E+000	-1.17476345E+002	
-9.03368280E+000	-1.17359114E+002	
-9.01296949E+000	-1.17344404E+002	
-8.99225619E+000	-1.17351219E+002	
-8.97154288E+000	-1.17398522E+002	
-8.95082958E+000	-1.17417168E+002	
-8.93011627E+000	-1.17443032E+002	
-8.90940297E+000	-1.17474366E+002	
-8.88868966E+000	-1.17495215E+002	
-8.86797636E+000	-1.17480633E+002	
-8.84726305E+000	-1.17493203E+002	
-8.82654974E+000	-1.17467849E+002	
-8.80583644E+000	-1.17487723E+002	
-8.78512313E+000	-1.17482280E+002	
