Acquired on 4/26/2021 at 15:56:06
Calibrated on 4/26/2021 at 14:40:00
Device Descriptor:  [none]
Scan Range (nm):  1539.624  --  1560.517
Measurement Type:  Reflection
Group Index:  1.500
Gain:  24 dB
Domain:  Time
Spatial Resolution (mm):  50.000000
Frequency domain window was applied to measurement data.
Number of Data Points (in this file):  16384
NOTE: Data stored in this file is decimated by a factor of 64.

Time (ns)	Amplitude (dB)	
-1.00072081E+001	-1.20270999E+002	
-9.98649484E+000	-1.19933951E+002	
-9.96578154E+000	-1.19613223E+002	
-9.94506823E+000	-1.19355210E+002	
-9.92435493E+000	-1.19130510E+002	
-9.90364162E+000	-1.18896012E+002	
-9.88292832E+000	-1.18682145E+002	
-9.86221501E+000	-1.18471321E+002	
-9.84150171E+000	-1.18283036E+002	
-9.82078840E+000	-1.18107020E+002	
-9.80007509E+000	-1.17906011E+002	
-9.77936179E+000	-1.17714955E+002	
-9.75864848E+000	-1.17666238E+002	
-9.73793518E+000	-1.17699615E+002	
-9.71722187E+000	-1.17690261E+002	
-9.69650857E+000	-1.17694974E+002	
-9.67579526E+000	-1.17763443E+002	
-9.65508196E+000	-1.17740418E+002	
-9.63436865E+000	-1.17679643E+002	
-9.61365535E+000	-1.17678144E+002	
-9.59294204E+000	-1.17690244E+002	
-9.57222874E+000	-1.17731032E+002	
-9.55151543E+000	-1.17763678E+002	
-9.53080213E+000	-1.17745734E+002	
-9.51008882E+000	-1.17774218E+002	
-9.48937552E+000	-1.17798438E+002	
-9.46866221E+000	-1.17780742E+002	
-9.44794890E+000	-1.17756421E+002	
-9.42723560E+000	-1.17704464E+002	
-9.40652229E+000	-1.17691706E+002	
-9.38580899E+000	-1.17657955E+002	
-9.36509568E+000	-1.17643386E+002	
-9.34438238E+000	-1.17593621E+002	
-9.32366907E+000	-1.17563244E+002	
-9.30295577E+000	-1.17564475E+002	
-9.28224246E+000	-1.17575031E+002	
-9.26152916E+000	-1.17526096E+002	
-9.24081585E+000	-1.17462759E+002	
-9.22010255E+000	-1.17445354E+002	
-9.19938924E+000	-1.17478831E+002	
-9.17867594E+000	-1.17452575E+002	
-9.15796263E+000	-1.17448672E+002	
-9.13724932E+000	-1.17511919E+002	
-9.11653602E+000	-1.17520580E+002	
-9.09582271E+000	-1.17495280E+002	
-9.07510941E+000	-1.17485541E+002	
-9.05439610E+000	-1.17471111E+002	
-9.03368280E+000	-1.17354950E+002	
-9.01296949E+000	-1.17342747E+002	
-8.99225619E+000	-1.17346389E+002	
-8.97154288E+000	-1.17395499E+002	
-8.95082958E+000	-1.17410902E+002	
-8.93011627E+000	-1.17431851E+002	
-8.90940297E+000	-1.17459474E+002	
-8.88868966E+000	-1.17479719E+002	
-8.86797636E+000	-1.17471741E+002	
-8.84726305E+000	-1.17483715E+002	
-8.82654974E+000	-1.17471106E+002	
-8.80583644E+000	-1.17488630E+002	
-8.78512313E+000	-1.17481746E+002	
-8.76440983E+000	-1.17482261E+002	
-8.74369652E+000	-1.17541613E+002	
-8.72298322E+000	-1.17563524E+002	
-8.70226991E+000	-1.17495658E+002	
-8.68155661E+000	-1.17473714E+002	
-8.66084330E+000	-1.17499230E+002	
-8.64013000E+000	-1.17455048E+002	
-8.61941669E+000	-1.17409087E+002	
-8.59870339E+000	-1.17431694E+002	
-8.57799008E+000	-1.17433167E+002	
-8.55727678E+000	-1.17412461E+002	
-8.53656347E+000	-1.17533699E+002	
-8.51585017E+000	-1.17551634E+002	
-8.49513686E+000	-1.17551422E+002	
-8.47442355E+000	-1.17536729E+002	
-8.45371025E+000	-1.17549661E+002	
-8.43299694E+000	-1.17580512E+002	
-8.41228364E+000	-1.17548360E+002	
-8.39157033E+000	-1.17536736E+002	
-8.37085703E+000	-1.17582815E+002	
-8.35014372E+000	-1.17598502E+002	
-8.32943042E+000	-1.17626281E+002	
-8.30871711E+000	-1.17574949E+002	
-8.28800381E+000	-1.17607680E+002	
-8.26729050E+000	-1.17608439E+002	
-8.24657720E+000	-1.17598551E+002	
-8.22586389E+000	-1.17574519E+002	
-8.20515059E+000	-1.17628302E+002	
-8.18443728E+000	-1.17627157E+002	
-8.16372397E+000	-1.17612933E+002	
-8.14301067E+000	-1.17586682E+002	
-8.12229736E+000	-1.17599853E+002	
-8.10158406E+000	-1.17609753E+002	
-8.08087075E+000	-1.17611646E+002	
-8.06015745E+000	-1.17583562E+002	
-8.03944414E+000	-1.17521177E+002	
-8.01873084E+000	-1.17533941E+002	
-7.99801753E+000	-1.17524345E+002	
-7.97730423E+000	-1.17518327E+002	
-7.95659092E+000	-1.17495522E+002	
-7.93587762E+000	-1.17516085E+002	
-7.91516431E+000	-1.17547144E+002	
-7.89445101E+000	-1.17540682E+002	
-7.87373770E+000	-1.17514892E+002	
-7.85302439E+000	-1.17511807E+002	
-7.83231109E+000	-1.17487360E+002	
-7.81159778E+000	-1.17532395E+002	
-7.79088448E+000	-1.17552973E+002	
-7.77017117E+000	-1.17566206E+002	
-7.74945787E+000	-1.17579370E+002	
-7.72874456E+000	-1.17599283E+002	
