Acquired on 4/26/2021 at 17:11:21
Calibrated on 4/26/2021 at 14:40:00
Device Descriptor:  [none]
Scan Range (nm):  1539.624  --  1560.517
Measurement Type:  Reflection
Group Index:  1.500
Gain:  24 dB
Domain:  Time
Spatial Resolution (mm):  50.000000
Frequency domain window was applied to measurement data.
Number of Data Points (in this file):  16384
NOTE: Data stored in this file is decimated by a factor of 64.

Time (ns)	Amplitude (dB)	
-1.00072081E+001	-1.20266607E+002	
-9.98649484E+000	-1.19936529E+002	
-9.96578154E+000	-1.19603459E+002	
-9.94506823E+000	-1.19347229E+002	
-9.92435493E+000	-1.19121511E+002	
-9.90364162E+000	-1.18888526E+002	
-9.88292832E+000	-1.18672798E+002	
-9.86221501E+000	-1.18462919E+002	
-9.84150171E+000	-1.18273067E+002	
-9.82078840E+000	-1.18091536E+002	
-9.80007509E+000	-1.17891004E+002	
-9.77936179E+000	-1.17705692E+002	
-9.75864848E+000	-1.17652393E+002	
-9.73793518E+000	-1.17678801E+002	
-9.71722187E+000	-1.17675704E+002	
-9.69650857E+000	-1.17679925E+002	
-9.67579526E+000	-1.17749677E+002	
-9.65508196E+000	-1.17731445E+002	
-9.63436865E+000	-1.17676240E+002	
-9.61365535E+000	-1.17677138E+002	
-9.59294204E+000	-1.17689687E+002	
-9.57222874E+000	-1.17726908E+002	
-9.55151543E+000	-1.17751195E+002	
-9.53080213E+000	-1.17733196E+002	
-9.51008882E+000	-1.17770486E+002	
-9.48937552E+000	-1.17790034E+002	
-9.46866221E+000	-1.17776638E+002	
-9.44794890E+000	-1.17750678E+002	
-9.42723560E+000	-1.17697173E+002	
-9.40652229E+000	-1.17681593E+002	
-9.38580899E+000	-1.17650004E+002	
-9.36509568E+000	-1.17637961E+002	
-9.34438238E+000	-1.17586623E+002	
-9.32366907E+000	-1.17558668E+002	
-9.30295577E+000	-1.17559121E+002	
-9.28224246E+000	-1.17562493E+002	
-9.26152916E+000	-1.17514451E+002	
-9.24081585E+000	-1.17455347E+002	
-9.22010255E+000	-1.17435210E+002	
-9.19938924E+000	-1.17468681E+002	
-9.17867594E+000	-1.17441291E+002	
-9.15796263E+000	-1.17434289E+002	
-9.13724932E+000	-1.17496361E+002	
-9.11653602E+000	-1.17494923E+002	
-9.09582271E+000	-1.17473028E+002	
-9.07510941E+000	-1.17467466E+002	
-9.05439610E+000	-1.17454067E+002	
-9.03368280E+000	-1.17335284E+002	
-9.01296949E+000	-1.17322943E+002	
-8.99225619E+000	-1.17328070E+002	
-8.97154288E+000	-1.17373247E+002	
-8.95082958E+000	-1.17386664E+002	
-8.93011627E+000	-1.17409921E+002	
-8.90940297E+000	-1.17439776E+002	
-8.88868966E+000	-1.17462666E+002	
-8.86797636E+000	-1.17449498E+002	
-8.84726305E+000	-1.17456846E+002	
-8.82654974E+000	-1.17438629E+002	
-8.80583644E+000	-1.17458331E+002	
-8.78512313E+000	-1.17450680E+002	
-8.76440983E+000	-1.17449595E+002	
-8.74369652E+000	-1.17509206E+002	
-8.72298322E+000	-1.17530151E+002	
-8.70226991E+000	-1.17467669E+002	
-8.68155661E+000	-1.17450983E+002	
-8.66084330E+000	-1.17478305E+002	
-8.64013000E+000	-1.17433821E+002	
-8.61941669E+000	-1.17398189E+002	
-8.59870339E+000	-1.17424356E+002	
-8.57799008E+000	-1.17422415E+002	
-8.55727678E+000	-1.17393670E+002	
-8.53656347E+000	-1.17506116E+002	
-8.51585017E+000	-1.17514815E+002	
-8.49513686E+000	-1.17512550E+002	
-8.47442355E+000	-1.17503857E+002	
-8.45371025E+000	-1.17525568E+002	
-8.43299694E+000	-1.17560088E+002	
-8.41228364E+000	-1.17530793E+002	
-8.39157033E+000	-1.17515151E+002	
-8.37085703E+000	-1.17560095E+002	
-8.35014372E+000	-1.17582073E+002	
-8.32943042E+000	-1.17608410E+002	
-8.30871711E+000	-1.17555150E+002	
-8.28800381E+000	-1.17591610E+002	
