Acquired on 4/26/2021 at 17:02:44
Calibrated on 4/26/2021 at 14:40:00
Device Descriptor:  [none]
Scan Range (nm):  1539.624  --  1560.517
Measurement Type:  Reflection
Group Index:  1.500
Gain:  24 dB
Domain:  Time
Spatial Resolution (mm):  50.000000
Frequency domain window was applied to measurement data.
Number of Data Points (in this file):  16384
NOTE: Data stored in this file is decimated by a factor of 64.

Time (ns)	Amplitude (dB)	
-1.00072081E+001	-1.20303107E+002	
-9.98649484E+000	-1.19973533E+002	
-9.96578154E+000	-1.19646122E+002	
-9.94506823E+000	-1.19385370E+002	
-9.92435493E+000	-1.19156283E+002	
-9.90364162E+000	-1.18918098E+002	
-9.88292832E+000	-1.18703827E+002	
-9.86221501E+000	-1.18490060E+002	
-9.84150171E+000	-1.18296091E+002	
-9.82078840E+000	-1.18113619E+002	
-9.80007509E+000	-1.17901827E+002	
-9.77936179E+000	-1.17707887E+002	
-9.75864848E+000	-1.17649396E+002	
-9.73793518E+000	-1.17677704E+002	
-9.71722187E+000	-1.17671281E+002	
-9.69650857E+000	-1.17676339E+002	
-9.67579526E+000	-1.17738481E+002	
-9.65508196E+000	-1.17718809E+002	
-9.63436865E+000	-1.17662816E+002	
-9.61365535E+000	-1.17660053E+002	
-9.59294204E+000	-1.17668801E+002	
-9.57222874E+000	-1.17706034E+002	
-9.55151543E+000	-1.17727138E+002	
-9.53080213E+000	-1.17714598E+002	
-9.51008882E+000	-1.17751243E+002	
-9.48937552E+000	-1.17770875E+002	
-9.46866221E+000	-1.17758349E+002	
-9.44794890E+000	-1.17732498E+002	
-9.42723560E+000	-1.17679555E+002	
-9.40652229E+000	-1.17668799E+002	
-9.38580899E+000	-1.17637194E+002	
-9.36509568E+000	-1.17629393E+002	
-9.34438238E+000	-1.17585472E+002	
-9.32366907E+000	-1.17561574E+002	
-9.30295577E+000	-1.17573433E+002	
-9.28224246E+000	-1.17585674E+002	
-9.26152916E+000	-1.17541863E+002	
-9.24081585E+000	-1.17478353E+002	
-9.22010255E+000	-1.17460227E+002	
-9.19938924E+000	-1.17499328E+002	
-9.17867594E+000	-1.17472179E+002	
-9.15796263E+000	-1.17460013E+002	
-9.13724932E+000	-1.17520688E+002	
-9.11653602E+000	-1.17520760E+002	
-9.09582271E+000	-1.17498444E+002	
-9.07510941E+000	-1.17496697E+002	
-9.05439610E+000	-1.17488710E+002	
-9.03368280E+000	-1.17372446E+002	
-9.01296949E+000	-1.17355074E+002	
-8.99225619E+000	-1.17356094E+002	
-8.97154288E+000	-1.17400375E+002	
-8.95082958E+000	-1.17416317E+002	
-8.93011627E+000	-1.17445222E+002	
-8.90940297E+000	-1.17468689E+002	
-8.88868966E+000	-1.17489520E+002	
-8.86797636E+000	-1.17471810E+002	
-8.84726305E+000	-1.17476346E+002	
-8.82654974E+000	-1.17451811E+002	
-8.80583644E+000	-1.17469539E+002	
-8.78512313E+000	-1.17460235E+002	
-8.76440983E+000	-1.17456830E+002	
-8.74369652E+000	-1.17515306E+002	
-8.72298322E+000	-1.17537733E+002	
-8.70226991E+000	-1.17470026E+002	
-8.68155661E+000	-1.17447802E+002	
-8.66084330E+000	-1.17479299E+002	
-8.64013000E+000	-1.17439138E+002	
-8.61941669E+000	-1.17396043E+002	
-8.59870339E+000	-1.17422633E+002	
-8.57799008E+000	-1.17421585E+002	
-8.55727678E+000	-1.17392743E+002	
-8.53656347E+000	-1.17505704E+002	
-8.51585017E+000	-1.17511014E+002	
-8.49513686E+000	-1.17506167E+002	
-8.47442355E+000	-1.17492363E+002	
-8.45371025E+000	-1.17509369E+002	
-8.43299694E+000	-1.17540038E+002	
-8.41228364E+000	-1.17509211E+002	
-8.39157033E+000	-1.17495705E+002	
-8.37085703E+000	-1.17544518E+002	
-8.35014372E+000	-1.17564109E+002	
-8.32943042E+000	-1.17601393E+002	
-8.30871711E+000	-1.17549283E+002	
-8.28800381E+000	-1.17583900E+002	
-8.26729050E+000	-1.17589331E+002	
-8.24657720E+000	-1.17587697E+002	
-8.22586389E+000	-1.17566279E+002	
-8.20515059E+000	-1.17615404E+002	
-8.18443728E+000	-1.17614022E+002	
-8.16372397E+000	-1.17603833E+002	
-8.14301067E+000	-1.17571820E+002	
-8.12229736E+000	-1.17586811E+002	
-8.10158406E+000	-1.17591940E+002	
-8.08087075E+000	-1.17594447E+002	
-8.06015745E+000	-1.17565649E+002	
-8.03944414E+000	-1.17514194E+002	
-8.01873084E+000	-1.17536689E+002	
-7.99801753E+000	-1.17540734E+002	
-7.97730423E+000	-1.17538116E+002	
-7.95659092E+000	-1.17504679E+002	
-7.93587762E+000	-1.17522176E+002	
-7.91516431E+000	-1.17560924E+002	
-7.89445101E+000	-1.17557297E+002	
-7.87373770E+000	-1.17532498E+002	
-7.85302439E+000	-1.17525748E+002	
-7.83231109E+000	-1.17494982E+002	
-7.81159778E+000	-1.17535976E+002	
-7.79088448E+000	-1.17558986E+002	
-7.77017117E+000	-1.17577396E+002	
-7.74945787E+000	-1.17589372E+002	
-7.72874456E+000	-1.17604657E+002	
-7.70803126E+000	-1.17566513E+002	
-7.68731795E+000	-1.17599931E+002	
-7.66660465E+000	-1.17591721E+002	
-7.64589134E+000	-1.17597208E+002	
-7.62517804E+000	-1.17601627E+002	
-7.60446473E+000	-1.17522818E+002	
-7.58375143E+000	-1.17532899E+002	
-7.56303812E+000	-1.17574301E+002	
-7.54232482E+000	-1.17638661E+002	
-7.52161151E+000	-1.17624742E+002	
-7.50089820E+000	-1.17630299E+002	
-7.48018490E+000	-1.17608192E+002	
-7.45947159E+000	-1.17659266E+002	
-7.43875829E+000	-1.17592228E+002	
-7.41804498E+000	-1.17514489E+002	
-7.39733168E+000	-1.17548751E+002	
-7.37661837E+000	-1.17548840E+002	
-7.35590507E+000	-1.17555806E+002	
-7.33519176E+000	-1.17582670E+002	
-7.31447846E+000	-1.17610757E+002	
-7.29376515E+000	-1.17592961E+002	
-7.27305185E+000	-1.17564140E+002	
-7.25233854E+000	-1.17592035E+002	
-7.23162524E+000	-1.17592782E+002	
-7.21091193E+000	-1.17577653E+002	
-7.19019862E+000	-1.17568996E+002	
-7.16948532E+000	-1.17608775E+002	
-7.14877201E+000	-1.17668003E+002	
-7.12805871E+000	-1.17706675E+002	
-7.10734540E+000	-1.17782760E+002	
-7.08663210E+000	-1.17821475E+002	
-7.06591879E+000	-1.17792355E+002	
-7.04520549E+000	-1.17779106E+002	
-7.02449218E+000	-1.17759444E+002	
-7.00377888E+000	-1.17731988E+002	
-6.98306557E+000	-1.17762479E+002	
-6.96235227E+000	-1.17731690E+002	
-6.94163896E+000	-1.17763817E+002	
-6.92092566E+000	-1.17819391E+002	
-6.90021235E+000	-1.17826349E+002	
-6.87949904E+000	-1.17807539E+002	
-6.85878574E+000	-1.17792768E+002	
-6.83807243E+000	-1.17815698E+002	
-6.81735913E+000	-1.17831595E+002	
-6.79664582E+000	-1.17789757E+002	
-6.77593252E+000	-1.17818195E+002	
-6.75521921E+000	-1.17765880E+002	
-6.73450591E+000	-1.17767346E+002	
-6.71379260E+000	-1.17750600E+002	
-6.69307930E+000	-1.17743847E+002	
-6.67236599E+000	-1.17703788E+002	
-6.65165269E+000	-1.17689894E+002	
-6.63093938E+000	-1.17695003E+002	
-6.61022608E+000	-1.17711794E+002	
-6.58951277E+000	-1.17706895E+002	
-6.56879947E+000	-1.17694837E+002	
-6.54808616E+000	-1.17663936E+002	
-6.52737285E+000	-1.17655739E+002	
-6.50665955E+000	-1.17695705E+002	
-6.48594624E+000	-1.17739270E+002	
-6.46523294E+000	-1.17765073E+002	
-6.44451963E+000	-1.17688664E+002	
-6.42380633E+000	-1.17647886E+002	
-6.40309302E+000	-1.17631922E+002	
-6.38237972E+000	-1.17606285E+002	
-6.36166641E+000	-1.17610824E+002	
-6.34095311E+000	-1.17609247E+002	
-6.32023980E+000	-1.17599312E+002	
-6.29952650E+000	-1.17615223E+002	
-6.27881319E+000	-1.17592911E+002	
-6.25809989E+000	-1.17615463E+002	
-6.23738658E+000	-1.17603934E+002	
-6.21667327E+000	-1.17594235E+002	
-6.19595997E+000	-1.17607586E+002	
-6.17524666E+000	-1.17595092E+002	
-6.15453336E+000	-1.17595095E+002	
-6.13382005E+000	-1.17585508E+002	
-6.11310675E+000	-1.17592359E+002	
-6.09239344E+000	-1.17585273E+002	
-6.07168014E+000	-1.17543969E+002	
-6.05096683E+000	-1.17622678E+002	
-6.03025353E+000	-1.17624841E+002	
-6.00954022E+000	-1.17586425E+002	
-5.98882692E+000	-1.17532162E+002	
-5.96811361E+000	-1.17543667E+002	
-5.94740031E+000	-1.17591784E+002	
-5.92668700E+000	-1.17639578E+002	
-5.90597369E+000	-1.17655028E+002	
-5.88526039E+000	-1.17704434E+002	
-5.86454708E+000	-1.17722446E+002	
-5.84383378E+000	-1.17694250E+002	
-5.82312047E+000	-1.17707153E+002	
-5.80240717E+000	-1.17671292E+002	
-5.78169386E+000	-1.17684561E+002	
-5.76098056E+000	-1.17680282E+002	
-5.74026725E+000	-1.17683740E+002	
-5.71955395E+000	-1.17720668E+002	
-5.69884064E+000	-1.17722136E+002	
-5.67812734E+000	-1.17749823E+002	
-5.65741403E+000	-1.17750867E+002	
-5.63670073E+000	-1.17752737E+002	
-5.61598742E+000	-1.17727134E+002	
-5.59527412E+000	-1.17686642E+002	
-5.57456081E+000	-1.17744474E+002	
-5.55384750E+000	-1.17668727E+002	
-5.53313420E+000	-1.17599555E+002	
-5.51242089E+000	-1.17618465E+002	
-5.49170759E+000	-1.17626647E+002	
-5.47099428E+000	-1.17606276E+002	
-5.45028098E+000	-1.17657514E+002	
-5.42956767E+000	-1.17698891E+002	
-5.40885437E+000	-1.17678108E+002	
-5.38814106E+000	-1.17666467E+002	
-5.36742776E+000	-1.17642654E+002	
-5.34671445E+000	-1.17668555E+002	
-5.32600115E+000	-1.17672787E+002	
-5.30528784E+000	-1.17692014E+002	
-5.28457454E+000	-1.17671576E+002	
-5.26386123E+000	-1.17654076E+002	
-5.24314792E+000	-1.17598558E+002	
-5.22243462E+000	-1.17572833E+002	
-5.20172131E+000	-1.17572811E+002	
-5.18100801E+000	-1.17546028E+002	
-5.16029470E+000	-1.17546078E+002	
-5.13958140E+000	-1.17504208E+002	
-5.11886809E+000	-1.17483074E+002	
-5.09815479E+000	-1.17497851E+002	
-5.07744148E+000	-1.17468257E+002	
-5.05672818E+000	-1.17536505E+002	
-5.03601487E+000	-1.17561863E+002	
-5.01530157E+000	-1.17602016E+002	
-4.99458826E+000	-1.17604803E+002	
-4.97387496E+000	-1.17547422E+002	
-4.95316165E+000	-1.17546667E+002	
-4.93244834E+000	-1.17499710E+002	
-4.91173504E+000	-1.17487984E+002	
-4.89102173E+000	-1.17482713E+002	
-4.87030843E+000	-1.17511874E+002	
-4.84959512E+000	-1.17501004E+002	
-4.82888182E+000	-1.17460908E+002	
-4.80816851E+000	-1.17453043E+002	
-4.78745521E+000	-1.17462544E+002	
-4.76674190E+000	-1.17487055E+002	
-4.74602860E+000	-1.17500677E+002	
-4.72531529E+000	-1.17550129E+002	
-4.70460199E+000	-1.17540171E+002	
-4.68388868E+000	-1.17569442E+002	
-4.66317538E+000	-1.17544808E+002	
-4.64246207E+000	-1.17591404E+002	
-4.62174877E+000	-1.17634690E+002	
-4.60103546E+000	-1.17663067E+002	
-4.58032215E+000	-1.17683659E+002	
-4.55960885E+000	-1.17648650E+002	
-4.53889554E+000	-1.17686873E+002	
-4.51818224E+000	-1.17609264E+002	
-4.49746893E+000	-1.17571033E+002	
-4.47675563E+000	-1.17621427E+002	
-4.45604232E+000	-1.17605909E+002	
-4.43532902E+000	-1.17612545E+002	
-4.41461571E+000	-1.17609994E+002	
-4.39390241E+000	-1.17621585E+002	
-4.37318910E+000	-1.17627059E+002	
-4.35247580E+000	-1.17606346E+002	
-4.33176249E+000	-1.17599651E+002	
-4.31104919E+000	-1.17592902E+002	
-4.29033588E+000	-1.17580084E+002	
-4.26962257E+000	-1.17572068E+002	
-4.24890927E+000	-1.17614854E+002	
-4.22819596E+000	-1.17619135E+002	
-4.20748266E+000	-1.17651862E+002	
-4.18676935E+000	-1.17621119E+002	
-4.16605605E+000	-1.17632866E+002	
-4.14534274E+000	-1.17638727E+002	
-4.12462944E+000	-1.17592051E+002	
-4.10391613E+000	-1.17588839E+002	
-4.08320283E+000	-1.17574019E+002	
-4.06248952E+000	-1.17563873E+002	
-4.04177622E+000	-1.17518806E+002	
-4.02106291E+000	-1.17555677E+002	
-4.00034961E+000	-1.17550032E+002	
-3.97963630E+000	-1.17508710E+002	
-3.95892299E+000	-1.17515277E+002	
-3.93820969E+000	-1.17482996E+002	
-3.91749638E+000	-1.17494989E+002	
-3.89678308E+000	-1.17463063E+002	
-3.87606977E+000	-1.17403825E+002	
-3.85535647E+000	-1.17412160E+002	
-3.83464316E+000	-1.17400082E+002	
-3.81392986E+000	-1.17393142E+002	
-3.79321655E+000	-1.17425147E+002	
-3.77250325E+000	-1.17381511E+002	
-3.75178994E+000	-1.17401089E+002	
-3.73107664E+000	-1.17408680E+002	
-3.71036333E+000	-1.17353845E+002	
-3.68965003E+000	-1.17366093E+002	
-3.66893672E+000	-1.17414760E+002	
-3.64822342E+000	-1.17378539E+002	
-3.62751011E+000	-1.17401392E+002	
-3.60679680E+000	-1.17401695E+002	
-3.58608350E+000	-1.17406599E+002	
-3.56537019E+000	-1.17435381E+002	
-3.54465689E+000	-1.17437556E+002	
-3.52394358E+000	-1.17460919E+002	
-3.50323028E+000	-1.17510218E+002	
-3.48251697E+000	-1.17542956E+002	
-3.46180367E+000	-1.17578936E+002	
-3.44109036E+000	-1.17603314E+002	
-3.42037706E+000	-1.17630026E+002	
-3.39966375E+000	-1.17675700E+002	
-3.37895045E+000	-1.17723844E+002	
-3.35823714E+000	-1.17721540E+002	
-3.33752384E+000	-1.17734996E+002	
-3.31681053E+000	-1.17740015E+002	
-3.29609722E+000	-1.17714130E+002	
-3.27538392E+000	-1.17731984E+002	
-3.25467061E+000	-1.17744728E+002	
-3.23395731E+000	-1.17737357E+002	
-3.21324400E+000	-1.17766530E+002	
-3.19253070E+000	-1.17776657E+002	
-3.17181739E+000	-1.17741255E+002	
-3.15110409E+000	-1.17726117E+002	
-3.13039078E+000	-1.17720286E+002	
-3.10967748E+000	-1.17758662E+002	
-3.08896417E+000	-1.17736764E+002	
-3.06825087E+000	-1.17718499E+002	
-3.04753756E+000	-1.17751759E+002	
-3.02682426E+000	-1.17730658E+002	
-3.00611095E+000	-1.17660507E+002	
-2.98539764E+000	-1.17708622E+002	
-2.96468434E+000	-1.17673976E+002	
-2.94397103E+000	-1.17648256E+002	
-2.92325773E+000	-1.17610927E+002	
