Acquired on 4/26/2021 at 17:15:27
Calibrated on 4/26/2021 at 14:40:00
Device Descriptor:  [none]
Scan Range (nm):  1539.624  --  1560.517
Measurement Type:  Reflection
Group Index:  1.500
Gain:  24 dB
Domain:  Time
Spatial Resolution (mm):  50.000000
Frequency domain window was applied to measurement data.
Number of Data Points (in this file):  16384
NOTE: Data stored in this file is decimated by a factor of 64.

Time (ns)	Amplitude (dB)	
-1.00072081E+001	-1.20260475E+002	
-9.98649484E+000	-1.19926653E+002	
-9.96578154E+000	-1.19595591E+002	
-9.94506823E+000	-1.19338545E+002	
-9.92435493E+000	-1.19106236E+002	
-9.90364162E+000	-1.18877151E+002	
-9.88292832E+000	-1.18665285E+002	
-9.86221501E+000	-1.18441891E+002	
-9.84150171E+000	-1.18248800E+002	
-9.82078840E+000	-1.18067651E+002	
-9.80007509E+000	-1.17860441E+002	
-9.77936179E+000	-1.17672378E+002	
-9.75864848E+000	-1.17621895E+002	
-9.73793518E+000	-1.17655749E+002	
-9.71722187E+000	-1.17652752E+002	
-9.69650857E+000	-1.17655652E+002	
-9.67579526E+000	-1.17718707E+002	
-9.65508196E+000	-1.17697262E+002	
-9.63436865E+000	-1.17639424E+002	
-9.61365535E+000	-1.17639226E+002	
-9.59294204E+000	-1.17658858E+002	
-9.57222874E+000	-1.17694016E+002	
-9.55151543E+000	-1.17718332E+002	
-9.53080213E+000	-1.17699638E+002	
-9.51008882E+000	-1.17731148E+002	
-9.48937552E+000	-1.17753818E+002	
-9.46866221E+000	-1.17740263E+002	
-9.44794890E+000	-1.17712058E+002	
-9.42723560E+000	-1.17661609E+002	
-9.40652229E+000	-1.17644700E+002	
-9.38580899E+000	-1.17610354E+002	
-9.36509568E+000	-1.17606931E+002	
-9.34438238E+000	-1.17560730E+002	
-9.32366907E+000	-1.17531733E+002	
-9.30295577E+000	-1.17536600E+002	
-9.28224246E+000	-1.17544134E+002	
-9.26152916E+000	-1.17489631E+002	
-9.24081585E+000	-1.17421993E+002	
-9.22010255E+000	-1.17405087E+002	
-9.19938924E+000	-1.17440941E+002	
-9.17867594E+000	-1.17417996E+002	
-9.15796263E+000	-1.17412301E+002	
-9.13724932E+000	-1.17476368E+002	
-9.11653602E+000	-1.17483153E+002	
-9.09582271E+000	-1.17462168E+002	
-9.07510941E+000	-1.17460182E+002	
-9.05439610E+000	-1.17450575E+002	
-9.03368280E+000	-1.17333384E+002	
-9.01296949E+000	-1.17320159E+002	
-8.99225619E+000	-1.17321814E+002	
-8.97154288E+000	-1.17367233E+002	
-8.95082958E+000	-1.17382656E+002	
-8.93011627E+000	-1.17410208E+002	
-8.90940297E+000	-1.17436664E+002	
-8.88868966E+000	-1.17458005E+002	
-8.86797636E+000	-1.17444378E+002	
-8.84726305E+000	-1.17455979E+002	
-8.82654974E+000	-1.17441408E+002	
-8.80583644E+000	-1.17461870E+002	
-8.78512313E+000	-1.17452056E+002	
-8.76440983E+000	-1.17456985E+002	
-8.74369652E+000	-1.17520762E+002	
-8.72298322E+000	-1.17543102E+002	
-8.70226991E+000	-1.17478607E+002	
-8.68155661E+000	-1.17456342E+002	
-8.66084330E+000	-1.17485584E+002	
-8.64013000E+000	-1.17436258E+002	
-8.61941669E+000	-1.17387909E+002	
-8.59870339E+000	-1.17407178E+002	
-8.57799008E+000	-1.17399328E+002	
-8.55727678E+000	-1.17367745E+002	
-8.53656347E+000	-1.17482873E+002	
-8.51585017E+000	-1.17491218E+002	
-8.49513686E+000	-1.17489210E+002	
-8.47442355E+000	-1.17478488E+002	
-8.45371025E+000	-1.17496237E+002	
-8.43299694E+000	-1.17524391E+002	
-8.41228364E+000	-1.17492038E+002	
-8.39157033E+000	-1.17477433E+002	
-8.37085703E+000	-1.17522297E+002	
-8.35014372E+000	-1.17538545E+002	
-8.32943042E+000	-1.17564047E+002	
-8.30871711E+000	-1.17514020E+002	
-8.28800381E+000	-1.17551890E+002	
-8.26729050E+000	-1.17554729E+002	
-8.24657720E+000	-1.17542556E+002	
-8.22586389E+000	-1.17516578E+002	
-8.20515059E+000	-1.17565008E+002	
-8.18443728E+000	-1.17561347E+002	
-8.16372397E+000	-1.17545536E+002	
-8.14301067E+000	-1.17509874E+002	
-8.12229736E+000	-1.17527040E+002	
-8.10158406E+000	-1.17536877E+002	
-8.08087075E+000	-1.17535443E+002	
-8.06015745E+000	-1.17521444E+002	
-8.03944414E+000	-1.17471245E+002	
-8.01873084E+000	-1.17490977E+002	
-7.99801753E+000	-1.17484227E+002	
-7.97730423E+000	-1.17478140E+002	
-7.95659092E+000	-1.17453522E+002	
-7.93587762E+000	-1.17474497E+002	
-7.91516431E+000	-1.17516913E+002	
-7.89445101E+000	-1.17514877E+002	
-7.87373770E+000	-1.17497722E+002	
-7.85302439E+000	-1.17493972E+002	
-7.83231109E+000	-1.17470267E+002	
-7.81159778E+000	-1.17515762E+002	
-7.79088448E+000	-1.17537987E+002	
-7.77017117E+000	-1.17554875E+002	
-7.74945787E+000	-1.17566666E+002	
-7.72874456E+000	-1.17587405E+002	
-7.70803126E+000	-1.17550428E+002	
-7.68731795E+000	-1.17587616E+002	
-7.66660465E+000	-1.17588276E+002	
-7.64589134E+000	-1.17599847E+002	
-7.62517804E+000	-1.17597698E+002	
-7.60446473E+000	-1.17513207E+002	
-7.58375143E+000	-1.17533126E+002	
-7.56303812E+000	-1.17567404E+002	
-7.54232482E+000	-1.17629818E+002	
-7.52161151E+000	-1.17613738E+002	
-7.50089820E+000	-1.17631067E+002	
-7.48018490E+000	-1.17616763E+002	
-7.45947159E+000	-1.17658033E+002	
-7.43875829E+000	-1.17582926E+002	
-7.41804498E+000	-1.17501738E+002	
-7.39733168E+000	-1.17533834E+002	
-7.37661837E+000	-1.17528296E+002	
-7.35590507E+000	-1.17535050E+002	
-7.33519176E+000	-1.17562347E+002	
-7.31447846E+000	-1.17591032E+002	
-7.29376515E+000	-1.17574443E+002	
-7.27305185E+000	-1.17553084E+002	
-7.25233854E+000	-1.17585783E+002	
-7.23162524E+000	-1.17587934E+002	
-7.21091193E+000	-1.17577204E+002	
-7.19019862E+000	-1.17562446E+002	
-7.16948532E+000	-1.17605498E+002	
-7.14877201E+000	-1.17664517E+002	
-7.12805871E+000	-1.17711155E+002	
-7.10734540E+000	-1.17794315E+002	
-7.08663210E+000	-1.17832885E+002	
-7.06591879E+000	-1.17804605E+002	
-7.04520549E+000	-1.17794132E+002	
-7.02449218E+000	-1.17775962E+002	
-7.00377888E+000	-1.17746867E+002	
-6.98306557E+000	-1.17775459E+002	
-6.96235227E+000	-1.17739122E+002	
-6.94163896E+000	-1.17778699E+002	
-6.92092566E+000	-1.17836093E+002	
-6.90021235E+000	-1.17843436E+002	
-6.87949904E+000	-1.17826884E+002	
-6.85878574E+000	-1.17805280E+002	
-6.83807243E+000	-1.17827072E+002	
-6.81735913E+000	-1.17834182E+002	
-6.79664582E+000	-1.17787695E+002	
-6.77593252E+000	-1.17806724E+002	
-6.75521921E+000	-1.17750415E+002	
-6.73450591E+000	-1.17745535E+002	
-6.71379260E+000	-1.17729919E+002	
-6.69307930E+000	-1.17730468E+002	
-6.67236599E+000	-1.17689232E+002	
-6.65165269E+000	-1.17677587E+002	
-6.63093938E+000	-1.17688826E+002	
-6.61022608E+000	-1.17703484E+002	
-6.58951277E+000	-1.17699835E+002	
-6.56879947E+000	-1.17686099E+002	
-6.54808616E+000	-1.17654975E+002	
-6.52737285E+000	-1.17637189E+002	
-6.50665955E+000	-1.17674032E+002	
-6.48594624E+000	-1.17717035E+002	
-6.46523294E+000	-1.17752315E+002	
-6.44451963E+000	-1.17680164E+002	
-6.42380633E+000	-1.17638688E+002	
-6.40309302E+000	-1.17627188E+002	
-6.38237972E+000	-1.17602130E+002	
-6.36166641E+000	-1.17612035E+002	
-6.34095311E+000	-1.17614536E+002	
-6.32023980E+000	-1.17604728E+002	
-6.29952650E+000	-1.17616935E+002	
-6.27881319E+000	-1.17594251E+002	
-6.25809989E+000	-1.17616465E+002	
-6.23738658E+000	-1.17611212E+002	
-6.21667327E+000	-1.17591923E+002	
-6.19595997E+000	-1.17599207E+002	
-6.17524666E+000	-1.17580850E+002	
-6.15453336E+000	-1.17584991E+002	
-6.13382005E+000	-1.17565861E+002	
-6.11310675E+000	-1.17571743E+002	
-6.09239344E+000	-1.17563164E+002	
-6.07168014E+000	-1.17520446E+002	
-6.05096683E+000	-1.17593943E+002	
-6.03025353E+000	-1.17604783E+002	
-6.00954022E+000	-1.17572257E+002	
-5.98882692E+000	-1.17516823E+002	
-5.96811361E+000	-1.17523317E+002	
-5.94740031E+000	-1.17565968E+002	
-5.92668700E+000	-1.17614434E+002	
-5.90597369E+000	-1.17624657E+002	
-5.88526039E+000	-1.17677269E+002	
-5.86454708E+000	-1.17701798E+002	
-5.84383378E+000	-1.17662839E+002	
-5.82312047E+000	-1.17669337E+002	
-5.80240717E+000	-1.17641135E+002	
-5.78169386E+000	-1.17650070E+002	
-5.76098056E+000	-1.17645407E+002	
-5.74026725E+000	-1.17641861E+002	
-5.71955395E+000	-1.17682363E+002	
-5.69884064E+000	-1.17679849E+002	
-5.67812734E+000	-1.17703925E+002	
-5.65741403E+000	-1.17698449E+002	
-5.63670073E+000	-1.17707289E+002	
-5.61598742E+000	-1.17688805E+002	
-5.59527412E+000	-1.17650389E+002	
-5.57456081E+000	-1.17712286E+002	
-5.55384750E+000	-1.17638064E+002	
-5.53313420E+000	-1.17565319E+002	
-5.51242089E+000	-1.17579184E+002	
-5.49170759E+000	-1.17591541E+002	
-5.47099428E+000	-1.17574773E+002	
-5.45028098E+000	-1.17626465E+002	
-5.42956767E+000	-1.17667020E+002	
-5.40885437E+000	-1.17655288E+002	
-5.38814106E+000	-1.17638231E+002	
-5.36742776E+000	-1.17609579E+002	
-5.34671445E+000	-1.17645080E+002	
-5.32600115E+000	-1.17659111E+002	
-5.30528784E+000	-1.17680536E+002	
-5.28457454E+000	-1.17668676E+002	
-5.26386123E+000	-1.17660383E+002	
-5.24314792E+000	-1.17602984E+002	
-5.22243462E+000	-1.17576078E+002	
-5.20172131E+000	-1.17582030E+002	
-5.18100801E+000	-1.17563805E+002	
-5.16029470E+000	-1.17562867E+002	
-5.13958140E+000	-1.17518227E+002	
-5.11886809E+000	-1.17490254E+002	
-5.09815479E+000	-1.17498431E+002	
-5.07744148E+000	-1.17464739E+002	
-5.05672818E+000	-1.17534693E+002	
-5.03601487E+000	-1.17565762E+002	
-5.01530157E+000	-1.17610114E+002	
-4.99458826E+000	-1.17614414E+002	
-4.97387496E+000	-1.17552457E+002	
-4.95316165E+000	-1.17553682E+002	
-4.93244834E+000	-1.17506761E+002	
-4.91173504E+000	-1.17486435E+002	
-4.89102173E+000	-1.17478294E+002	
-4.87030843E+000	-1.17504097E+002	
