Acquired on 4/26/2021 at 15:21:10
Calibrated on 4/26/2021 at 14:40:00
Device Descriptor:  [none]
Scan Range (nm):  1539.624  --  1560.517
Measurement Type:  Reflection
Group Index:  1.500
Gain:  24 dB
Domain:  Time
Spatial Resolution (mm):  50.000000
Frequency domain window was applied to measurement data.
Number of Data Points (in this file):  16384
NOTE: Data stored in this file is decimated by a factor of 64.

Time (ns)	Amplitude (dB)	
-1.00072081E+001	-1.20319461E+002	
-9.98649484E+000	-1.19989153E+002	
-9.96578154E+000	-1.19658702E+002	
-9.94506823E+000	-1.19405186E+002	
-9.92435493E+000	-1.19177282E+002	
-9.90364162E+000	-1.18942180E+002	
-9.88292832E+000	-1.18725826E+002	
-9.86221501E+000	-1.18509645E+002	
-9.84150171E+000	-1.18316692E+002	
-9.82078840E+000	-1.18133515E+002	
-9.80007509E+000	-1.17928636E+002	
-9.77936179E+000	-1.17742165E+002	
-9.75864848E+000	-1.17689418E+002	
-9.73793518E+000	-1.17718123E+002	
-9.71722187E+000	-1.17714458E+002	
-9.69650857E+000	-1.17718759E+002	
-9.67579526E+000	-1.17783085E+002	
-9.65508196E+000	-1.17761835E+002	
-9.63436865E+000	-1.17709240E+002	
-9.61365535E+000	-1.17708495E+002	
-9.59294204E+000	-1.17721095E+002	
-9.57222874E+000	-1.17761812E+002	
-9.55151543E+000	-1.17790577E+002	
-9.53080213E+000	-1.17772959E+002	
-9.51008882E+000	-1.17803901E+002	
-9.48937552E+000	-1.17824390E+002	
-9.46866221E+000	-1.17813068E+002	
-9.44794890E+000	-1.17787246E+002	
-9.42723560E+000	-1.17732495E+002	
-9.40652229E+000	-1.17717144E+002	
-9.38580899E+000	-1.17689586E+002	
-9.36509568E+000	-1.17680294E+002	
-9.34438238E+000	-1.17633640E+002	
-9.32366907E+000	-1.17610195E+002	
-9.30295577E+000	-1.17615334E+002	
-9.28224246E+000	-1.17617409E+002	
-9.26152916E+000	-1.17567923E+002	
-9.24081585E+000	-1.17505662E+002	
-9.22010255E+000	-1.17486320E+002	
-9.19938924E+000	-1.17518085E+002	
-9.17867594E+000	-1.17490525E+002	
-9.15796263E+000	-1.17479746E+002	
-9.13724932E+000	-1.17541550E+002	
-9.11653602E+000	-1.17547928E+002	
-9.09582271E+000	-1.17524761E+002	
-9.07510941E+000	-1.17517771E+002	
-9.05439610E+000	-1.17506199E+002	
-9.03368280E+000	-1.17391145E+002	
-9.01296949E+000	-1.17378649E+002	
-8.99225619E+000	-1.17381131E+002	
-8.97154288E+000	-1.17422630E+002	
-8.95082958E+000	-1.17433323E+002	
-8.93011627E+000	-1.17456497E+002	
-8.90940297E+000	-1.17485709E+002	
-8.88868966E+000	-1.17502892E+002	
-8.86797636E+000	-1.17492830E+002	
-8.84726305E+000	-1.17505955E+002	
-8.82654974E+000	-1.17488521E+002	
-8.80583644E+000	-1.17507720E+002	
-8.78512313E+000	-1.17504633E+002	
-8.76440983E+000	-1.17508702E+002	
-8.74369652E+000	-1.17570026E+002	
-8.72298322E+000	-1.17589958E+002	
-8.70226991E+000	-1.17526721E+002	
-8.68155661E+000	-1.17506410E+002	
-8.66084330E+000	-1.17533978E+002	
-8.64013000E+000	-1.17487895E+002	
-8.61941669E+000	-1.17440607E+002	
-8.59870339E+000	-1.17463948E+002	
-8.57799008E+000	-1.17462254E+002	
-8.55727678E+000	-1.17433522E+002	
-8.53656347E+000	-1.17544900E+002	
-8.51585017E+000	-1.17552040E+002	
-8.49513686E+000	-1.17546672E+002	
-8.47442355E+000	-1.17534370E+002	
-8.45371025E+000	-1.17553594E+002	
-8.43299694E+000	-1.17590696E+002	
-8.41228364E+000	-1.17561071E+002	
-8.39157033E+000	-1.17550255E+002	
-8.37085703E+000	-1.17594500E+002	
-8.35014372E+000	-1.17607134E+002	
-8.32943042E+000	-1.17630556E+002	
-8.30871711E+000	-1.17576482E+002	
-8.28800381E+000	-1.17606832E+002	
-8.26729050E+000	-1.17606209E+002	
-8.24657720E+000	-1.17596881E+002	
-8.22586389E+000	-1.17575875E+002	
-8.20515059E+000	-1.17626873E+002	
-8.18443728E+000	-1.17627526E+002	
-8.16372397E+000	-1.17612231E+002	
-8.14301067E+000	-1.17583919E+002	
-8.12229736E+000	-1.17598510E+002	
-8.10158406E+000	-1.17600923E+002	
-8.08087075E+000	-1.17605130E+002	
-8.06015745E+000	-1.17586243E+002	
-8.03944414E+000	-1.17535073E+002	
-8.01873084E+000	-1.17557994E+002	
-7.99801753E+000	-1.17556316E+002	
-7.97730423E+000	-1.17555581E+002	
-7.95659092E+000	-1.17524998E+002	
-7.93587762E+000	-1.17540083E+002	
-7.91516431E+000	-1.17571518E+002	
-7.89445101E+000	-1.17561885E+002	
-7.87373770E+000	-1.17537592E+002	
-7.85302439E+000	-1.17531685E+002	
-7.83231109E+000	-1.17508746E+002	
-7.81159778E+000	-1.17551697E+002	
-7.79088448E+000	-1.17577374E+002	
-7.77017117E+000	-1.17596007E+002	
-7.74945787E+000	-1.17607644E+002	
-7.72874456E+000	-1.17628947E+002	
-7.70803126E+000	-1.17590046E+002	
-7.68731795E+000	-1.17616965E+002	
-7.66660465E+000	-1.17612799E+002	
-7.64589134E+000	-1.17616987E+002	
-7.62517804E+000	-1.17617457E+002	
-7.60446473E+000	-1.17541201E+002	
-7.58375143E+000	-1.17550678E+002	
-7.56303812E+000	-1.17583087E+002	
-7.54232482E+000	-1.17646595E+002	
-7.52161151E+000	-1.17625704E+002	
-7.50089820E+000	-1.17636365E+002	
-7.48018490E+000	-1.17612726E+002	
-7.45947159E+000	-1.17660812E+002	
-7.43875829E+000	-1.17591264E+002	
-7.41804498E+000	-1.17515991E+002	
-7.39733168E+000	-1.17552849E+002	
-7.37661837E+000	-1.17553259E+002	
-7.35590507E+000	-1.17563127E+002	
-7.33519176E+000	-1.17592310E+002	
-7.31447846E+000	-1.17620285E+002	
-7.29376515E+000	-1.17601792E+002	
-7.27305185E+000	-1.17574332E+002	
-7.25233854E+000	-1.17602547E+002	
-7.23162524E+000	-1.17601641E+002	
-7.21091193E+000	-1.17592326E+002	
-7.19019862E+000	-1.17583115E+002	
-7.16948532E+000	-1.17626322E+002	
-7.14877201E+000	-1.17690604E+002	
-7.12805871E+000	-1.17737069E+002	
-7.10734540E+000	-1.17818038E+002	
-7.08663210E+000	-1.17860346E+002	
-7.06591879E+000	-1.17836978E+002	
-7.04520549E+000	-1.17830104E+002	
-7.02449218E+000	-1.17816411E+002	
-7.00377888E+000	-1.17791747E+002	
-6.98306557E+000	-1.17826832E+002	
-6.96235227E+000	-1.17793191E+002	
-6.94163896E+000	-1.17828288E+002	
-6.92092566E+000	-1.17886144E+002	
-6.90021235E+000	-1.17896091E+002	
-6.87949904E+000	-1.17878733E+002	
-6.85878574E+000	-1.17864123E+002	
-6.83807243E+000	-1.17882799E+002	
-6.81735913E+000	-1.17894656E+002	
-6.79664582E+000	-1.17853192E+002	
-6.77593252E+000	-1.17884610E+002	
-6.75521921E+000	-1.17836162E+002	
-6.73450591E+000	-1.17833172E+002	
-6.71379260E+000	-1.17811781E+002	
-6.69307930E+000	-1.17809261E+002	
-6.67236599E+000	-1.17768199E+002	
-6.65165269E+000	-1.17749472E+002	
-6.63093938E+000	-1.17758118E+002	
-6.61022608E+000	-1.17769903E+002	
-6.58951277E+000	-1.17762188E+002	
-6.56879947E+000	-1.17748954E+002	
-6.54808616E+000	-1.17713894E+002	
-6.52737285E+000	-1.17696351E+002	
-6.50665955E+000	-1.17729978E+002	
-6.48594624E+000	-1.17766363E+002	
-6.46523294E+000	-1.17794069E+002	
-6.44451963E+000	-1.17727067E+002	
-6.42380633E+000	-1.17683162E+002	
-6.40309302E+000	-1.17670528E+002	
-6.38237972E+000	-1.17644243E+002	
-6.36166641E+000	-1.17642116E+002	
-6.34095311E+000	-1.17643326E+002	
-6.32023980E+000	-1.17637063E+002	
-6.29952650E+000	-1.17650699E+002	
-6.27881319E+000	-1.17623091E+002	
-6.25809989E+000	-1.17642092E+002	
-6.23738658E+000	-1.17635168E+002	
-6.21667327E+000	-1.17618721E+002	
-6.19595997E+000	-1.17627929E+002	
-6.17524666E+000	-1.17619154E+002	
-6.15453336E+000	-1.17622050E+002	
-6.13382005E+000	-1.17602933E+002	
-6.11310675E+000	-1.17610880E+002	
-6.09239344E+000	-1.17604956E+002	
-6.07168014E+000	-1.17560707E+002	
-6.05096683E+000	-1.17633275E+002	
-6.03025353E+000	-1.17641835E+002	
-6.00954022E+000	-1.17611263E+002	
-5.98882692E+000	-1.17559884E+002	
-5.96811361E+000	-1.17571698E+002	
-5.94740031E+000	-1.17615047E+002	
-5.92668700E+000	-1.17662674E+002	
-5.90597369E+000	-1.17673288E+002	
-5.88526039E+000	-1.17721105E+002	
-5.86454708E+000	-1.17742366E+002	
