Acquired on 4/26/2021 at 17:08:03
Calibrated on 4/26/2021 at 14:40:00
Device Descriptor:  [none]
Scan Range (nm):  1539.624  --  1560.517
Measurement Type:  Reflection
Group Index:  1.500
Gain:  24 dB
Domain:  Time
Spatial Resolution (mm):  50.000000
Frequency domain window was applied to measurement data.
Number of Data Points (in this file):  16384
NOTE: Data stored in this file is decimated by a factor of 64.

Time (ns)	Amplitude (dB)	
-1.00072081E+001	-1.20261145E+002	
-9.98649484E+000	-1.19933507E+002	
-9.96578154E+000	-1.19607423E+002	
-9.94506823E+000	-1.19345772E+002	
-9.92435493E+000	-1.19107295E+002	
-9.90364162E+000	-1.18870419E+002	
-9.88292832E+000	-1.18652063E+002	
-9.86221501E+000	-1.18435233E+002	
-9.84150171E+000	-1.18246936E+002	
-9.82078840E+000	-1.18069042E+002	
-9.80007509E+000	-1.17860020E+002	
-9.77936179E+000	-1.17672322E+002	
-9.75864848E+000	-1.17617633E+002	
-9.73793518E+000	-1.17647586E+002	
-9.71722187E+000	-1.17638147E+002	
-9.69650857E+000	-1.17637916E+002	
-9.67579526E+000	-1.17703554E+002	
-9.65508196E+000	-1.17693905E+002	
-9.63436865E+000	-1.17644986E+002	
-9.61365535E+000	-1.17646492E+002	
-9.59294204E+000	-1.17660862E+002	
-9.57222874E+000	-1.17695460E+002	
-9.55151543E+000	-1.17720242E+002	
-9.53080213E+000	-1.17701945E+002	
-9.51008882E+000	-1.17736911E+002	
-9.48937552E+000	-1.17759236E+002	
-9.46866221E+000	-1.17741557E+002	
-9.44794890E+000	-1.17715804E+002	
-9.42723560E+000	-1.17671067E+002	
-9.40652229E+000	-1.17663129E+002	
-9.38580899E+000	-1.17634117E+002	
-9.36509568E+000	-1.17625907E+002	
-9.34438238E+000	-1.17578666E+002	
-9.32366907E+000	-1.17549557E+002	
-9.30295577E+000	-1.17561738E+002	
-9.28224246E+000	-1.17567835E+002	
-9.26152916E+000	-1.17517227E+002	
-9.24081585E+000	-1.17460194E+002	
-9.22010255E+000	-1.17449119E+002	
-9.19938924E+000	-1.17484558E+002	
-9.17867594E+000	-1.17458138E+002	
-9.15796263E+000	-1.17441007E+002	
-9.13724932E+000	-1.17497506E+002	
-9.11653602E+000	-1.17498947E+002	
-9.09582271E+000	-1.17473102E+002	
-9.07510941E+000	-1.17470440E+002	
-9.05439610E+000	-1.17462112E+002	
-9.03368280E+000	-1.17347820E+002	
-9.01296949E+000	-1.17333932E+002	
-8.99225619E+000	-1.17335379E+002	
-8.97154288E+000	-1.17384225E+002	
-8.95082958E+000	-1.17398178E+002	
-8.93011627E+000	-1.17422761E+002	
-8.90940297E+000	-1.17447130E+002	
-8.88868966E+000	-1.17469624E+002	
-8.86797636E+000	-1.17459260E+002	
-8.84726305E+000	-1.17467740E+002	
-8.82654974E+000	-1.17450106E+002	
-8.80583644E+000	-1.17467036E+002	
-8.78512313E+000	-1.17461162E+002	
-8.76440983E+000	-1.17469042E+002	
-8.74369652E+000	-1.17528882E+002	
-8.72298322E+000	-1.17547120E+002	
-8.70226991E+000	-1.17484483E+002	
-8.68155661E+000	-1.17467455E+002	
-8.66084330E+000	-1.17499351E+002	
-8.64013000E+000	-1.17459386E+002	
-8.61941669E+000	-1.17415616E+002	
-8.59870339E+000	-1.17437862E+002	
-8.57799008E+000	-1.17435854E+002	
-8.55727678E+000	-1.17405716E+002	
-8.53656347E+000	-1.17519082E+002	
-8.51585017E+000	-1.17529569E+002	
-8.49513686E+000	-1.17526731E+002	
-8.47442355E+000	-1.17514139E+002	
-8.45371025E+000	-1.17534154E+002	
-8.43299694E+000	-1.17571419E+002	
-8.41228364E+000	-1.17540294E+002	
-8.39157033E+000	-1.17524333E+002	
-8.37085703E+000	-1.17570575E+002	
-8.35014372E+000	-1.17585185E+002	
-8.32943042E+000	-1.17612229E+002	
-8.30871711E+000	-1.17558799E+002	
-8.28800381E+000	-1.17591389E+002	
-8.26729050E+000	-1.17595668E+002	
-8.24657720E+000	-1.17588222E+002	
-8.22586389E+000	-1.17561662E+002	
-8.20515059E+000	-1.17610623E+002	
-8.18443728E+000	-1.17601707E+002	
-8.16372397E+000	-1.17585275E+002	
-8.14301067E+000	-1.17548143E+002	
-8.12229736E+000	-1.17564698E+002	
-8.10158406E+000	-1.17574263E+002	
-8.08087075E+000	-1.17574127E+002	
-8.06015745E+000	-1.17550725E+002	
-8.03944414E+000	-1.17497150E+002	
-8.01873084E+000	-1.17514026E+002	
-7.99801753E+000	-1.17508254E+002	
-7.97730423E+000	-1.17503205E+002	
-7.95659092E+000	-1.17475772E+002	
-7.93587762E+000	-1.17496774E+002	
-7.91516431E+000	-1.17533680E+002	
-7.89445101E+000	-1.17528288E+002	
-7.87373770E+000	-1.17503528E+002	
-7.85302439E+000	-1.17501930E+002	
-7.83231109E+000	-1.17485020E+002	
-7.81159778E+000	-1.17530731E+002	
-7.79088448E+000	-1.17554095E+002	
-7.77017117E+000	-1.17571356E+002	
-7.74945787E+000	-1.17586317E+002	
-7.72874456E+000	-1.17613197E+002	
-7.70803126E+000	-1.17575488E+002	
-7.68731795E+000	-1.17612314E+002	
-7.66660465E+000	-1.17608753E+002	
-7.64589134E+000	-1.17619475E+002	
-7.62517804E+000	-1.17621824E+002	
-7.60446473E+000	-1.17540081E+002	
-7.58375143E+000	-1.17556220E+002	
-7.56303812E+000	-1.17597096E+002	
-7.54232482E+000	-1.17666717E+002	
-7.52161151E+000	-1.17652206E+002	
-7.50089820E+000	-1.17666552E+002	
-7.48018490E+000	-1.17649151E+002	
-7.45947159E+000	-1.17695818E+002	
-7.43875829E+000	-1.17616901E+002	
-7.41804498E+000	-1.17531827E+002	
-7.39733168E+000	-1.17568827E+002	
-7.37661837E+000	-1.17571604E+002	
-7.35590507E+000	-1.17578681E+002	
-7.33519176E+000	-1.17597924E+002	
-7.31447846E+000	-1.17626496E+002	
-7.29376515E+000	-1.17608513E+002	
-7.27305185E+000	-1.17576768E+002	
-7.25233854E+000	-1.17602169E+002	
-7.23162524E+000	-1.17599363E+002	
-7.21091193E+000	-1.17585017E+002	
-7.19019862E+000	-1.17573948E+002	
