Time (ns)	Amplitude (dB)	
-1.00072081E+001	-1.20014106E+002	
-9.98649484E+000	-1.18505040E+002	
-9.96578154E+000	-1.17655765E+002	
-9.94506823E+000	-1.17789086E+002	
-9.92435493E+000	-1.17867058E+002	
-9.90364162E+000	-1.17615765E+002	
-9.88292832E+000	-1.17830813E+002	
-9.86221501E+000	-1.17853275E+002	
-9.84150171E+000	-1.17943361E+002	
-9.82078840E+000	-1.17964772E+002	
-9.80007509E+000	-1.17833244E+002	
-9.77936179E+000	-1.17853138E+002	
-9.75864848E+000	-1.17762680E+002	
-9.73793518E+000	-1.17657356E+002	
-9.71722187E+000	-1.17729978E+002	
-9.69650857E+000	-1.17925066E+002	
-9.67579526E+000	-1.18126774E+002	
-9.65508196E+000	-1.18196499E+002	
-9.63436865E+000	-1.18227158E+002	
-9.61365535E+000	-1.18207249E+002	
-9.59294204E+000	-1.18049491E+002	
-9.57222874E+000	-1.18018258E+002	
-9.55151543E+000	-1.17973212E+002	
-9.53080213E+000	-1.17972122E+002	
-9.51008882E+000	-1.17914623E+002	
-9.48937552E+000	-1.18134113E+002	
-9.46866221E+000	-1.17920299E+002	
-9.44794890E+000	-1.17894445E+002	
-9.42723560E+000	-1.17664814E+002	
-9.40652229E+000	-1.17693681E+002	
-9.38580899E+000	-1.17656497E+002	
-9.36509568E+000	-1.17865007E+002	
-9.34438238E+000	-1.18054023E+002	
-9.32366907E+000	-1.18379713E+002	
-9.30295577E+000	-1.18334148E+002	
-9.28224246E+000	-1.18417830E+002	
-9.26152916E+000	-1.17988438E+002	
-9.24081585E+000	-1.17859844E+002	
-9.22010255E+000	-1.17565920E+002	
-9.19938924E+000	-1.17554167E+002	
-9.17867594E+000	-1.17488584E+002	
-9.15796263E+000	-1.17703088E+002	
-9.13724932E+000	-1.17610680E+002	
-9.11653602E+000	-1.17648867E+002	
-9.09582271E+000	-1.17753900E+002	
-9.07510941E+000	-1.17638205E+002	
-9.05439610E+000	-1.17523881E+002	
-9.03368280E+000	-1.17356145E+002	
-9.01296949E+000	-1.17527948E+002	
-8.99225619E+000	-1.17679679E+002	
-8.97154288E+000	-1.17654496E+002	
-8.95082958E+000	-1.17907922E+002	
-8.93011627E+000	-1.18253361E+002	
-8.90940297E+000	-1.17986471E+002	
-8.88868966E+000	-1.17583930E+002	
-8.86797636E+000	-1.17951401E+002	
-8.84726305E+000	-1.17806228E+002	
-8.82654974E+000	-1.17299752E+002	
-8.80583644E+000	-1.17478145E+002	
-8.78512313E+000	-1.17695851E+002	
-8.76440983E+000	-1.17666464E+002	
-8.74369652E+000	-1.17772366E+002	
-8.72298322E+000	-1.18178639E+002	
-8.70226991E+000	-1.18153607E+002	
-8.68155661E+000	-1.18108319E+002	
-8.66084330E+000	-1.18033270E+002	
-8.64013000E+000	-1.18039356E+002	
-8.61941669E+000	-1.17845263E+002	
-8.59870339E+000	-1.17835806E+002	
-8.57799008E+000	-1.17885499E+002	
-8.55727678E+000	-1.17734860E+002	
-8.53656347E+000	-1.17885133E+002	
-8.51585017E+000	-1.17962221E+002	
-8.49513686E+000	-1.17684604E+002	
-8.47442355E+000	-1.17630308E+002	
-8.45371025E+000	-1.17723304E+002	
-8.43299694E+000	-1.17572436E+002	
-8.41228364E+000	-1.17553581E+002	
-8.39157033E+000	-1.17808477E+002	
-8.37085703E+000	-1.17752589E+002	
-8.35014372E+000	-1.17765587E+002	
-8.32943042E+000	-1.18095345E+002	
-8.30871711E+000	-1.18126301E+002	
-8.28800381E+000	-1.18231983E+002	
-8.26729050E+000	-1.18348621E+002	
-8.24657720E+000	-1.18443119E+002	
-8.22586389E+000	-1.18433828E+002	
-8.20515059E+000	-1.18206396E+002	
-8.18443728E+000	-1.18133325E+002	
-8.16372397E+000	-1.18264495E+002	
-8.14301067E+000	-1.18124966E+002	
-8.12229736E+000	-1.17921829E+002	
-8.10158406E+000	-1.18003323E+002	
-8.08087075E+000	-1.18015714E+002	
-8.06015745E+000	-1.17810774E+002	
-8.03944414E+000	-1.17657878E+002	
-8.01873084E+000	-1.17875776E+002	
-7.99801753E+000	-1.17880380E+002	
-7.97730423E+000	-1.17696124E+002	
-7.95659092E+000	-1.17708433E+002	
-7.93587762E+000	-1.17591665E+002	
-7.91516431E+000	-1.17374655E+002	
-7.89445101E+000	-1.17458922E+002	
-7.87373770E+000	-1.17552886E+002	
-7.85302439E+000	-1.17412622E+002	
-7.83231109E+000	-1.17540873E+002	
-7.81159778E+000	-1.17763841E+002	
-7.79088448E+000	-1.17705167E+002	
-7.77017117E+000	-1.17775866E+002	
-7.74945787E+000	-1.18057409E+002	
-7.72874456E+000	-1.18348649E+002	
-7.70803126E+000	-1.18233804E+002	
-7.68731795E+000	-1.18208332E+002	
-7.66660465E+000	-1.18279361E+002	
-7.64589134E+000	-1.18300072E+002	
-7.62517804E+000	-1.17847977E+002	
-7.60446473E+000	-1.18149821E+002	
-7.58375143E+000	-1.18392637E+002	
-7.56303812E+000	-1.18365092E+002	
-7.54232482E+000	-1.18281890E+002	
-7.52161151E+000	-1.18300355E+002	
-7.50089820E+000	-1.18054363E+002	
-7.48018490E+000	-1.17795509E+002	
-7.45947159E+000	-1.17637954E+002	
-7.43875829E+000	-1.17539468E+002	
-7.41804498E+000	-1.17380030E+002	
-7.39733168E+000	-1.17174229E+002	
-7.37661837E+000	-1.17263878E+002	
-7.35590507E+000	-1.17533103E+002	
-7.33519176E+000	-1.17760098E+002	
-7.31447846E+000	-1.18212267E+002	
-7.29376515E+000	-1.18346684E+002	
-7.27305185E+000	-1.18298022E+002	
-7.25233854E+000	-1.18238406E+002	
-7.23162524E+000	-1.17914835E+002	
-7.21091193E+000	-1.17688807E+002	
-7.19019862E+000	-1.17858407E+002	
-7.16948532E+000	-1.17900902E+002	
-7.14877201E+000	-1.18001741E+002	
-7.12805871E+000	-1.18249785E+002	
-7.10734540E+000	-1.18461703E+002	
-7.08663210E+000	-1.18367816E+002	
-7.06591879E+000	-1.18221879E+002	
-7.04520549E+000	-1.18257115E+002	
-7.02449218E+000	-1.18233911E+002	
-7.00377888E+000	-1.17910453E+002	
-6.98306557E+000	-1.18004856E+002	
-6.96235227E+000	-1.18121677E+002	
-6.94163896E+000	-1.18166797E+002	
-6.92092566E+000	-1.18244128E+002	
-6.90021235E+000	-1.18449016E+002	
-6.87949904E+000	-1.18414978E+002	
-6.85878574E+000	-1.18244860E+002	
-6.83807243E+000	-1.18156995E+002	
-6.81735913E+000	-1.17999035E+002	
-6.79664582E+000	-1.17928684E+002	
-6.77593252E+000	-1.18007233E+002	
-6.75521921E+000	-1.17805607E+002	
-6.73450591E+000	-1.17902214E+002	
-6.71379260E+000	-1.18162939E+002	
-6.69307930E+000	-1.18080119E+002	
-6.67236599E+000	-1.18007802E+002	
-6.65165269E+000	-1.18244666E+002	
-6.63093938E+000	-1.18234174E+002	
-6.61022608E+000	-1.18305493E+002	
-6.58951277E+000	-1.18325105E+002	
-6.56879947E+000	-1.18350101E+002	
-6.54808616E+000	-1.18137589E+002	
-6.52737285E+000	-1.17973142E+002	
-6.50665955E+000	-1.17634424E+002	
-6.48594624E+000	-1.17624995E+002	
-6.46523294E+000	-1.17562484E+002	
-6.44451963E+000	-1.17735120E+002	
-6.42380633E+000	-1.18015245E+002	
-6.40309302E+000	-1.18315199E+002	
-6.38237972E+000	-1.18423362E+002	
-6.36166641E+000	-1.18195262E+002	
-6.34095311E+000	-1.18052891E+002	
-6.32023980E+000	-1.17848283E+002	
-6.29952650E+000	-1.17831545E+002	
-6.27881319E+000	-1.18052436E+002	
-6.25809989E+000	-1.18376928E+002	
-6.23738658E+000	-1.17887565E+002	
-6.21667327E+000	-1.18015050E+002	
-6.19595997E+000	-1.17859518E+002	
-6.17524666E+000	-1.17409652E+002	
-6.15453336E+000	-1.17536930E+002	
-6.13382005E+000	-1.17960259E+002	
-6.11310675E+000	-1.18024704E+002	
-6.09239344E+000	-1.18067648E+002	
-6.07168014E+000	-1.18220096E+002	
-6.05096683E+000	-1.18113451E+002	
-6.03025353E+000	-1.17910442E+002	
-6.00954022E+000	-1.17551512E+002	
-5.98882692E+000	-1.17574981E+002	
-5.96811361E+000	-1.17458940E+002	
-5.94740031E+000	-1.17451257E+002	
-5.92668700E+000	-1.17786029E+002	
-5.90597369E+000	-1.18036426E+002	
-5.88526039E+000	-1.18115816E+002	
-5.86454708E+000	-1.17993071E+002	
-5.84383378E+000	-1.18339442E+002	
-5.82312047E+000	-1.18104022E+002	
-5.80240717E+000	-1.18027216E+002	
-5.78169386E+000	-1.18147688E+002	
-5.76098056E+000	-1.18355122E+002	
-5.74026725E+000	-1.18032930E+002	
-5.71955395E+000	-1.18141052E+002	
-5.69884064E+000	-1.18299955E+002	
-5.67812734E+000	-1.18260747E+002	
-5.65741403E+000	-1.18207355E+002	
-5.63670073E+000	-1.18328692E+002	
-5.61598742E+000	-1.18393702E+002	
-5.59527412E+000	-1.18238423E+002	
-5.57456081E+000	-1.18109956E+002	
-5.55384750E+000	-1.18116559E+002	
-5.53313420E+000	-1.17947975E+002	
-5.51242089E+000	-1.17881342E+002	
-5.49170759E+000	-1.17866494E+002	
-5.47099428E+000	-1.17903715E+002	
-5.45028098E+000	-1.17928702E+002	
-5.42956767E+000	-1.18026028E+002	
-5.40885437E+000	-1.17958176E+002	
-5.38814106E+000	-1.17944281E+002	
-5.36742776E+000	-1.17967345E+002	
-5.34671445E+000	-1.17687352E+002	
-5.32600115E+000	-1.17471809E+002	
-5.30528784E+000	-1.17571379E+002	
-5.28457454E+000	-1.17483064E+002	
-5.26386123E+000	-1.17777365E+002	
-5.24314792E+000	-1.18231428E+002	
-5.22243462E+000	-1.18581204E+002	
-5.20172131E+000	-1.18654138E+002	
-5.18100801E+000	-1.18721948E+002	
-5.16029470E+000	-1.18440041E+002	
-5.13958140E+000	-1.18397307E+002	
-5.11886809E+000	-1.18371464E+002	
-5.09815479E+000	-1.18336942E+002	
-5.07744148E+000	-1.18209900E+002	
-5.05672818E+000	-1.18082297E+002	
-5.03601487E+000	-1.17526669E+002	
-5.01530157E+000	-1.17373012E+002	
-4.99458826E+000	-1.17266476E+002	
-4.97387496E+000	-1.17223913E+002	
-4.95316165E+000	-1.17264854E+002	
-4.93244834E+000	-1.17574474E+002	
-4.91173504E+000	-1.17437944E+002	
-4.89102173E+000	-1.17614579E+002	
-4.87030843E+000	-1.17616195E+002	
-4.84959512E+000	-1.17732816E+002	
-4.82888182E+000	-1.17685739E+002	
-4.80816851E+000	-1.17937655E+002	
-4.78745521E+000	-1.17851247E+002	
-4.76674190E+000	-1.17825751E+002	
-4.74602860E+000	-1.18074822E+002	
-4.72531529E+000	-1.18088852E+002	
-4.70460199E+000	-1.18010255E+002	
-4.68388868E+000	-1.18161816E+002	
-4.66317538E+000	-1.18403461E+002	
-4.64246207E+000	-1.18055833E+002	
-4.62174877E+000	-1.18189670E+002	
-4.60103546E+000	-1.18084039E+002	
-4.58032215E+000	-1.18158338E+002	
-4.55960885E+000	-1.17971382E+002	
-4.53889554E+000	-1.17969514E+002	
-4.51818224E+000	-1.17857491E+002	
-4.49746893E+000	-1.17926119E+002	
-4.47675563E+000	-1.17675406E+002	
-4.45604232E+000	-1.17734560E+002	
-4.43532902E+000	-1.17987469E+002	
-4.41461571E+000	-1.18071483E+002	
-4.39390241E+000	-1.18179144E+002	
-4.37318910E+000	-1.18314144E+002	
-4.35247580E+000	-1.18293975E+002	
-4.33176249E+000	-1.18070961E+002	
-4.31104919E+000	-1.17655338E+002	
-4.29033588E+000	-1.17498776E+002	
-4.26962257E+000	-1.17623214E+002	
-4.24890927E+000	-1.17696051E+002	
-4.22819596E+000	-1.17825241E+002	
-4.20748266E+000	-1.18100268E+002	
-4.18676935E+000	-1.18253538E+002	
-4.16605605E+000	-1.18325944E+002	
-4.14534274E+000	-1.18039733E+002	
-4.12462944E+000	-1.18091246E+002	
-4.10391613E+000	-1.17964677E+002	
-4.08320283E+000	-1.17912117E+002	
-4.06248952E+000	-1.17801911E+002	
-4.04177622E+000	-1.18077905E+002	
-4.02106291E+000	-1.18132515E+002	
-4.00034961E+000	-1.18467066E+002	
-3.97963630E+000	-1.17943723E+002	
-3.95892299E+000	-1.18044582E+002	
-3.93820969E+000	-1.18048949E+002	
-3.91749638E+000	-1.17926738E+002	
-3.89678308E+000	-1.17897126E+002	
-3.87606977E+000	-1.18164711E+002	
-3.85535647E+000	-1.17832290E+002	
-3.83464316E+000	-1.17815578E+002	
-3.81392986E+000	-1.17634376E+002	
-3.79321655E+000	-1.17448792E+002	
-3.77250325E+000	-1.17546100E+002	
-3.75178994E+000	-1.17737357E+002	
