Time (ns)	Amplitude (dB)	
-1.00072081E+001	-1.20053553E+002	
-9.98649484E+000	-1.18498011E+002	
-9.96578154E+000	-1.17644025E+002	
-9.94506823E+000	-1.17765832E+002	
-9.92435493E+000	-1.17823337E+002	
-9.90364162E+000	-1.17584909E+002	
-9.88292832E+000	-1.17806960E+002	
-9.86221501E+000	-1.17822735E+002	
-9.84150171E+000	-1.17935850E+002	
-9.82078840E+000	-1.17990585E+002	
-9.80007509E+000	-1.17880904E+002	
-9.77936179E+000	-1.17919799E+002	
-9.75864848E+000	-1.17811787E+002	
-9.73793518E+000	-1.17685609E+002	
-9.71722187E+000	-1.17738813E+002	
-9.69650857E+000	-1.17910074E+002	
-9.67579526E+000	-1.18093578E+002	
-9.65508196E+000	-1.18184673E+002	
-9.63436865E+000	-1.18194734E+002	
-9.61365535E+000	-1.18216864E+002	
-9.59294204E+000	-1.18081226E+002	
-9.57222874E+000	-1.18043389E+002	
-9.55151543E+000	-1.17995814E+002	
-9.53080213E+000	-1.18000537E+002	
-9.51008882E+000	-1.17931599E+002	
-9.48937552E+000	-1.18171704E+002	
-9.46866221E+000	-1.17970793E+002	
-9.44794890E+000	-1.17918914E+002	
-9.42723560E+000	-1.17656861E+002	
-9.40652229E+000	-1.17676134E+002	
-9.38580899E+000	-1.17629255E+002	
-9.36509568E+000	-1.17824718E+002	
-9.34438238E+000	-1.18012641E+002	
-9.32366907E+000	-1.18357193E+002	
-9.30295577E+000	-1.18270267E+002	
-9.28224246E+000	-1.18364634E+002	
-9.26152916E+000	-1.17953911E+002	
-9.24081585E+000	-1.17828412E+002	
-9.22010255E+000	-1.17552781E+002	
-9.19938924E+000	-1.17546971E+002	
-9.17867594E+000	-1.17469529E+002	
-9.15796263E+000	-1.17710221E+002	
-9.13724932E+000	-1.17628384E+002	
-9.11653602E+000	-1.17654972E+002	
-9.09582271E+000	-1.17761014E+002	
-9.07510941E+000	-1.17632023E+002	
-9.05439610E+000	-1.17494697E+002	
-9.03368280E+000	-1.17337383E+002	
-9.01296949E+000	-1.17499586E+002	
-8.99225619E+000	-1.17630377E+002	
