Time (ns)	Amplitude (dB)	
-1.00072081E+001	-1.20773090E+002	
-9.98649484E+000	-1.20446027E+002	
-9.96578154E+000	-1.20097548E+002	
-9.94506823E+000	-1.19833514E+002	
-9.92435493E+000	-1.19597999E+002	
-9.90364162E+000	-1.19352372E+002	
-9.88292832E+000	-1.19136128E+002	
-9.86221501E+000	-1.18923637E+002	
-9.84150171E+000	-1.18725496E+002	
-9.82078840E+000	-1.18545551E+002	
-9.80007509E+000	-1.18346363E+002	
-9.77936179E+000	-1.18145888E+002	
-9.75864848E+000	-1.18092427E+002	
-9.73793518E+000	-1.18105769E+002	
-9.71722187E+000	-1.18106019E+002	
-9.69650857E+000	-1.18113603E+002	
-9.67579526E+000	-1.18170220E+002	
-9.65508196E+000	-1.18149670E+002	
-9.63436865E+000	-1.18098496E+002	
-9.61365535E+000	-1.18094861E+002	
-9.59294204E+000	-1.18124719E+002	
-9.57222874E+000	-1.18148207E+002	
-9.55151543E+000	-1.18168243E+002	
-9.53080213E+000	-1.18160929E+002	
-9.51008882E+000	-1.18191662E+002	
-9.48937552E+000	-1.18216312E+002	
-9.46866221E+000	-1.18211793E+002	
-9.44794890E+000	-1.18181611E+002	
-9.42723560E+000	-1.18139939E+002	
-9.40652229E+000	-1.18138744E+002	
-9.38580899E+000	-1.18117787E+002	
-9.36509568E+000	-1.18106263E+002	
-9.34438238E+000	-1.18067278E+002	
-9.32366907E+000	-1.18037374E+002	
-9.30295577E+000	-1.18033828E+002	
-9.28224246E+000	-1.18049615E+002	
-9.26152916E+000	-1.18003900E+002	
-9.24081585E+000	-1.17944984E+002	
-9.22010255E+000	-1.17929257E+002	
-9.19938924E+000	-1.17963125E+002	
-9.17867594E+000	-1.17950586E+002	
-9.15796263E+000	-1.17961832E+002	
-9.13724932E+000	-1.18025025E+002	
-9.11653602E+000	-1.18035119E+002	
-9.09582271E+000	-1.17990081E+002	
-9.07510941E+000	-1.17996965E+002	
-9.05439610E+000	-1.18000090E+002	
-9.03368280E+000	-1.17873862E+002	
-9.01296949E+000	-1.17860022E+002	
-8.99225619E+000	-1.17861388E+002	
-8.97154288E+000	-1.17911003E+002	
-8.95082958E+000	-1.17931631E+002	
-8.93011627E+000	-1.17958873E+002	
-8.90940297E+000	-1.17980972E+002	
-8.88868966E+000	-1.18000091E+002	
-8.86797636E+000	-1.17996217E+002	
-8.84726305E+000	-1.18012686E+002	
-8.82654974E+000	-1.17999871E+002	
-8.80583644E+000	-1.18012337E+002	
-8.78512313E+000	-1.18013400E+002	
-8.76440983E+000	-1.18035796E+002	
-8.74369652E+000	-1.18100071E+002	
-8.72298322E+000	-1.18118872E+002	
-8.70226991E+000	-1.18049720E+002	
-8.68155661E+000	-1.18013009E+002	
-8.66084330E+000	-1.18039795E+002	
-8.64013000E+000	-1.18006342E+002	
-8.61941669E+000	-1.17960439E+002	
-8.59870339E+000	-1.18001675E+002	
-8.57799008E+000	-1.18003036E+002	
-8.55727678E+000	-1.17962966E+002	
-8.53656347E+000	-1.18083523E+002	
-8.51585017E+000	-1.18112549E+002	
-8.49513686E+000	-1.18116404E+002	
-8.47442355E+000	-1.18107393E+002	
-8.45371025E+000	-1.18134376E+002	
-8.43299694E+000	-1.18172697E+002	
-8.41228364E+000	-1.18136675E+002	
-8.39157033E+000	-1.18115650E+002	
-8.37085703E+000	-1.18157543E+002	
-8.35014372E+000	-1.18169353E+002	
-8.32943042E+000	-1.18191590E+002	
-8.30871711E+000	-1.18152489E+002	
-8.28800381E+000	-1.18192527E+002	
-8.26729050E+000	-1.18169428E+002	
-8.24657720E+000	-1.18154183E+002	
-8.22586389E+000	-1.18134159E+002	
-8.20515059E+000	-1.18180144E+002	
-8.18443728E+000	-1.18176610E+002	
-8.16372397E+000	-1.18159066E+002	
-8.14301067E+000	-1.18112598E+002	
-8.12229736E+000	-1.18131346E+002	
-8.10158406E+000	-1.18125064E+002	
-8.08087075E+000	-1.18117720E+002	
-8.06015745E+000	-1.18094223E+002	
-8.03944414E+000	-1.18038794E+002	
-8.01873084E+000	-1.18048339E+002	
-7.99801753E+000	-1.18028269E+002	
-7.97730423E+000	-1.18016186E+002	
-7.95659092E+000	-1.17989782E+002	
-7.93587762E+000	-1.17998952E+002	
-7.91516431E+000	-1.18042845E+002	
-7.89445101E+000	-1.18043052E+002	
-7.87373770E+000	-1.18023626E+002	
-7.85302439E+000	-1.18022351E+002	
-7.83231109E+000	-1.18004428E+002	
-7.81159778E+000	-1.18057492E+002	
-7.79088448E+000	-1.18084654E+002	
-7.77017117E+000	-1.18105246E+002	
-7.74945787E+000	-1.18119341E+002	
-7.72874456E+000	-1.18128144E+002	
-7.70803126E+000	-1.18091605E+002	
-7.68731795E+000	-1.18123327E+002	
-7.66660465E+000	-1.18117781E+002	
-7.64589134E+000	-1.18118616E+002	
-7.62517804E+000	-1.18102916E+002	
-7.60446473E+000	-1.18037613E+002	
-7.58375143E+000	-1.18053571E+002	
-7.56303812E+000	-1.18085145E+002	
-7.54232482E+000	-1.18150097E+002	
-7.52161151E+000	-1.18139832E+002	
-7.50089820E+000	-1.18158820E+002	
-7.48018490E+000	-1.18134495E+002	
-7.45947159E+000	-1.18170987E+002	
-7.43875829E+000	-1.18110638E+002	
-7.41804498E+000	-1.18019098E+002	
-7.39733168E+000	-1.18067086E+002	
-7.37661837E+000	-1.18079621E+002	
-7.35590507E+000	-1.18085013E+002	
-7.33519176E+000	-1.18105783E+002	
-7.31447846E+000	-1.18121084E+002	
-7.29376515E+000	-1.18096221E+002	
-7.27305185E+000	-1.18065955E+002	
-7.25233854E+000	-1.18101937E+002	
-7.23162524E+000	-1.18118141E+002	
-7.21091193E+000	-1.18109379E+002	
-7.19019862E+000	-1.18113206E+002	
-7.16948532E+000	-1.18169382E+002	
-7.14877201E+000	-1.18240844E+002	
-7.12805871E+000	-1.18295539E+002	
-7.10734540E+000	-1.18372259E+002	
-7.08663210E+000	-1.18408771E+002	
-7.06591879E+000	-1.18389954E+002	
-7.04520549E+000	-1.18372701E+002	
-7.02449218E+000	-1.18352059E+002	
-7.00377888E+000	-1.18314231E+002	
-6.98306557E+000	-1.18351692E+002	
-6.96235227E+000	-1.18312566E+002	
-6.94163896E+000	-1.18328799E+002	
-6.92092566E+000	-1.18399205E+002	
-6.90021235E+000	-1.18383472E+002	
-6.87949904E+000	-1.18348070E+002	
-6.85878574E+000	-1.18333743E+002	
-6.83807243E+000	-1.18359818E+002	
-6.81735913E+000	-1.18374607E+002	
-6.79664582E+000	-1.18332465E+002	
-6.77593252E+000	-1.18372134E+002	
-6.75521921E+000	-1.18322803E+002	
-6.73450591E+000	-1.18310605E+002	
-6.71379260E+000	-1.18284980E+002	
-6.69307930E+000	-1.18280234E+002	
-6.67236599E+000	-1.18222536E+002	
-6.65165269E+000	-1.18197424E+002	
-6.63093938E+000	-1.18224211E+002	
-6.61022608E+000	-1.18244214E+002	
-6.58951277E+000	-1.18234298E+002	
-6.56879947E+000	-1.18226238E+002	
-6.54808616E+000	-1.18216828E+002	
-6.52737285E+000	-1.18194776E+002	
-6.50665955E+000	-1.18222205E+002	
-6.48594624E+000	-1.18268035E+002	
-6.46523294E+000	-1.18314169E+002	
-6.44451963E+000	-1.18256995E+002	
-6.42380633E+000	-1.18217528E+002	
-6.40309302E+000	-1.18217962E+002	
-6.38237972E+000	-1.18193142E+002	
-6.36166641E+000	-1.18193214E+002	
-6.34095311E+000	-1.18190155E+002	
-6.32023980E+000	-1.18178426E+002	
-6.29952650E+000	-1.18183423E+002	
-6.27881319E+000	-1.18156395E+002	
-6.25809989E+000	-1.18166614E+002	
-6.23738658E+000	-1.18163300E+002	
-6.21667327E+000	-1.18150377E+002	
-6.19595997E+000	-1.18167378E+002	
-6.17524666E+000	-1.18174038E+002	
-6.15453336E+000	-1.18176882E+002	
-6.13382005E+000	-1.18146424E+002	
-6.11310675E+000	-1.18143600E+002	
-6.09239344E+000	-1.18146294E+002	
-6.07168014E+000	-1.18102581E+002	
-6.05096683E+000	-1.18168456E+002	
-6.03025353E+000	-1.18182646E+002	
-6.00954022E+000	-1.18171903E+002	
-5.98882692E+000	-1.18117757E+002	
-5.96811361E+000	-1.18126863E+002	
-5.94740031E+000	-1.18174724E+002	
-5.92668700E+000	-1.18213243E+002	
-5.90597369E+000	-1.18230045E+002	
-5.88526039E+000	-1.18274661E+002	
-5.86454708E+000	-1.18302136E+002	
-5.84383378E+000	-1.18266514E+002	
-5.82312047E+000	-1.18292856E+002	
-5.80240717E+000	-1.18268378E+002	
-5.78169386E+000	-1.18283003E+002	
-5.76098056E+000	-1.18285425E+002	
-5.74026725E+000	-1.18285602E+002	
-5.71955395E+000	-1.18328307E+002	
-5.69884064E+000	-1.18326548E+002	
-5.67812734E+000	-1.18353746E+002	
-5.65741403E+000	-1.18356251E+002	
-5.63670073E+000	-1.18366747E+002	
-5.61598742E+000	-1.18349912E+002	
-5.59527412E+000	-1.18304879E+002	
-5.57456081E+000	-1.18365622E+002	
-5.55384750E+000	-1.18282565E+002	
-5.53313420E+000	-1.18215690E+002	
-5.51242089E+000	-1.18223041E+002	
-5.49170759E+000	-1.18222638E+002	
-5.47099428E+000	-1.18192011E+002	
-5.45028098E+000	-1.18235925E+002	
-5.42956767E+000	-1.18275794E+002	
-5.40885437E+000	-1.18253749E+002	
-5.38814106E+000	-1.18242745E+002	
-5.36742776E+000	-1.18221219E+002	
-5.34671445E+000	-1.18255154E+002	
-5.32600115E+000	-1.18243601E+002	
-5.30528784E+000	-1.18257956E+002	
-5.28457454E+000	-1.18231933E+002	
-5.26386123E+000	-1.18226328E+002	
-5.24314792E+000	-1.18175547E+002	
-5.22243462E+000	-1.18142654E+002	
-5.20172131E+000	-1.18148600E+002	
-5.18100801E+000	-1.18094723E+002	
-5.16029470E+000	-1.18078947E+002	
-5.13958140E+000	-1.18035490E+002	
-5.11886809E+000	-1.18011068E+002	
-5.09815479E+000	-1.18020813E+002	
-5.07744148E+000	-1.17985302E+002	
-5.05672818E+000	-1.18047971E+002	
-5.03601487E+000	-1.18064159E+002	
-5.01530157E+000	-1.18094722E+002	
