Time (ns)	Amplitude (dB)	
-1.00072081E+001	-1.20771902E+002	
-9.98649484E+000	-1.20439129E+002	
-9.96578154E+000	-1.20088926E+002	
-9.94506823E+000	-1.19830431E+002	
-9.92435493E+000	-1.19600545E+002	
-9.90364162E+000	-1.19355521E+002	
-9.88292832E+000	-1.19141876E+002	
-9.86221501E+000	-1.18933579E+002	
-9.84150171E+000	-1.18734187E+002	
-9.82078840E+000	-1.18548857E+002	
-9.80007509E+000	-1.18349020E+002	
-9.77936179E+000	-1.18154477E+002	
-9.75864848E+000	-1.18097558E+002	
-9.73793518E+000	-1.18107850E+002	
-9.71722187E+000	-1.18106731E+002	
-9.69650857E+000	-1.18112647E+002	
-9.67579526E+000	-1.18170984E+002	
-9.65508196E+000	-1.18158284E+002	
-9.63436865E+000	-1.18104185E+002	
-9.61365535E+000	-1.18103481E+002	
-9.59294204E+000	-1.18136036E+002	
-9.57222874E+000	-1.18162917E+002	
-9.55151543E+000	-1.18176487E+002	
-9.53080213E+000	-1.18165196E+002	
-9.51008882E+000	-1.18193749E+002	
-9.48937552E+000	-1.18221323E+002	
-9.46866221E+000	-1.18214457E+002	
-9.44794890E+000	-1.18182453E+002	
-9.42723560E+000	-1.18133611E+002	
-9.40652229E+000	-1.18135559E+002	
-9.38580899E+000	-1.18113438E+002	
-9.36509568E+000	-1.18099155E+002	
-9.34438238E+000	-1.18065575E+002	
-9.32366907E+000	-1.18044515E+002	
-9.30295577E+000	-1.18044593E+002	
-9.28224246E+000	-1.18056140E+002	
-9.26152916E+000	-1.18008340E+002	
-9.24081585E+000	-1.17954491E+002	
-9.22010255E+000	-1.17942279E+002	
-9.19938924E+000	-1.17980431E+002	
-9.17867594E+000	-1.17967826E+002	
-9.15796263E+000	-1.17969173E+002	
-9.13724932E+000	-1.18031100E+002	
-9.11653602E+000	-1.18043196E+002	
-9.09582271E+000	-1.17997219E+002	
-9.07510941E+000	-1.18001139E+002	
-9.05439610E+000	-1.18002326E+002	
-9.03368280E+000	-1.17883872E+002	
-9.01296949E+000	-1.17866739E+002	
-8.99225619E+000	-1.17869499E+002	
-8.97154288E+000	-1.17925849E+002	
-8.95082958E+000	-1.17944422E+002	
-8.93011627E+000	-1.17976412E+002	
-8.90940297E+000	-1.18002264E+002	
-8.88868966E+000	-1.18024814E+002	
-8.86797636E+000	-1.18017395E+002	
-8.84726305E+000	-1.18033190E+002	
-8.82654974E+000	-1.18015186E+002	
-8.80583644E+000	-1.18025516E+002	
-8.78512313E+000	-1.18026298E+002	
-8.76440983E+000	-1.18043373E+002	
-8.74369652E+000	-1.18099623E+002	
-8.72298322E+000	-1.18116271E+002	
-8.70226991E+000	-1.18052241E+002	
-8.68155661E+000	-1.18019948E+002	
-8.66084330E+000	-1.18059146E+002	
-8.64013000E+000	-1.18029529E+002	
-8.61941669E+000	-1.17983889E+002	
-8.59870339E+000	-1.18025519E+002	
-8.57799008E+000	-1.18030122E+002	
-8.55727678E+000	-1.17996191E+002	
-8.53656347E+000	-1.18112676E+002	
-8.51585017E+000	-1.18144037E+002	
-8.49513686E+000	-1.18151929E+002	
-8.47442355E+000	-1.18134344E+002	
-8.45371025E+000	-1.18160840E+002	
-8.43299694E+000	-1.18192576E+002	
-8.41228364E+000	-1.18147541E+002	
-8.39157033E+000	-1.18118584E+002	
-8.37085703E+000	-1.18164222E+002	
-8.35014372E+000	-1.18180480E+002	
-8.32943042E+000	-1.18205539E+002	
-8.30871711E+000	-1.18166216E+002	
-8.28800381E+000	-1.18202962E+002	
-8.26729050E+000	-1.18187300E+002	
-8.24657720E+000	-1.18180050E+002	
-8.22586389E+000	-1.18160024E+002	
-8.20515059E+000	-1.18200902E+002	
-8.18443728E+000	-1.18195546E+002	
-8.16372397E+000	-1.18176064E+002	
-8.14301067E+000	-1.18126955E+002	
-8.12229736E+000	-1.18142216E+002	
-8.10158406E+000	-1.18130683E+002	
-8.08087075E+000	-1.18124327E+002	
-8.06015745E+000	-1.18098293E+002	
-8.03944414E+000	-1.18039507E+002	
-8.01873084E+000	-1.18048002E+002	
-7.99801753E+000	-1.18028316E+002	
-7.97730423E+000	-1.18024695E+002	
-7.95659092E+000	-1.18000699E+002	
-7.93587762E+000	-1.18014773E+002	
-7.91516431E+000	-1.18058975E+002	
-7.89445101E+000	-1.18055311E+002	
-7.87373770E+000	-1.18041630E+002	
-7.85302439E+000	-1.18040547E+002	
-7.83231109E+000	-1.18015798E+002	
-7.81159778E+000	-1.18065344E+002	
-7.79088448E+000	-1.18091277E+002	
-7.77017117E+000	-1.18111283E+002	
-7.74945787E+000	-1.18123919E+002	
-7.72874456E+000	-1.18135725E+002	
-7.70803126E+000	-1.18096947E+002	
-7.68731795E+000	-1.18128659E+002	
-7.66660465E+000	-1.18120858E+002	
-7.64589134E+000	-1.18121262E+002	
-7.62517804E+000	-1.18108537E+002	
-7.60446473E+000	-1.18054831E+002	
-7.58375143E+000	-1.18068987E+002	
