Time (ns)	Amplitude (dB)	
-1.00072081E+001	-1.20463220E+002	
-9.98649484E+000	-1.20136267E+002	
-9.96578154E+000	-1.19785333E+002	
-9.94506823E+000	-1.19528641E+002	
-9.92435493E+000	-1.19299381E+002	
-9.90364162E+000	-1.19056762E+002	
-9.88292832E+000	-1.18845977E+002	
-9.86221501E+000	-1.18631184E+002	
-9.84150171E+000	-1.18432068E+002	
-9.82078840E+000	-1.18251931E+002	
-9.80007509E+000	-1.18049296E+002	
-9.77936179E+000	-1.17853122E+002	
-9.75864848E+000	-1.17796868E+002	
-9.73793518E+000	-1.17816273E+002	
-9.71722187E+000	-1.17814273E+002	
-9.69650857E+000	-1.17821029E+002	
-9.67579526E+000	-1.17883466E+002	
-9.65508196E+000	-1.17861238E+002	
-9.63436865E+000	-1.17810228E+002	
-9.61365535E+000	-1.17810319E+002	
-9.59294204E+000	-1.17841489E+002	
-9.57222874E+000	-1.17870275E+002	
-9.55151543E+000	-1.17881382E+002	
-9.53080213E+000	-1.17873065E+002	
-9.51008882E+000	-1.17903586E+002	
-9.48937552E+000	-1.17928223E+002	
-9.46866221E+000	-1.17926472E+002	
-9.44794890E+000	-1.17895828E+002	
-9.42723560E+000	-1.17846898E+002	
-9.40652229E+000	-1.17840156E+002	
-9.38580899E+000	-1.17813448E+002	
-9.36509568E+000	-1.17805961E+002	
-9.34438238E+000	-1.17769613E+002	
-9.32366907E+000	-1.17741524E+002	
-9.30295577E+000	-1.17741084E+002	
-9.28224246E+000	-1.17757738E+002	
-9.26152916E+000	-1.17709692E+002	
-9.24081585E+000	-1.17644595E+002	
-9.22010255E+000	-1.17631179E+002	
-9.19938924E+000	-1.17672722E+002	
-9.17867594E+000	-1.17654866E+002	
-9.15796263E+000	-1.17658965E+002	
-9.13724932E+000	-1.17717223E+002	
-9.11653602E+000	-1.17723910E+002	
-9.09582271E+000	-1.17682609E+002	
-9.07510941E+000	-1.17690490E+002	
-9.05439610E+000	-1.17693522E+002	
-9.03368280E+000	-1.17570262E+002	
-9.01296949E+000	-1.17562022E+002	
-8.99225619E+000	-1.17569681E+002	
-8.97154288E+000	-1.17625139E+002	
-8.95082958E+000	-1.17638754E+002	
-8.93011627E+000	-1.17667119E+002	
-8.90940297E+000	-1.17693201E+002	
-8.88868966E+000	-1.17719581E+002	
-8.86797636E+000	-1.17713530E+002	
-8.84726305E+000	-1.17724578E+002	
-8.82654974E+000	-1.17707332E+002	
-8.80583644E+000	-1.17719207E+002	
-8.78512313E+000	-1.17720443E+002	
-8.76440983E+000	-1.17738562E+002	
-8.74369652E+000	-1.17801540E+002	
-8.72298322E+000	-1.17819457E+002	
-8.70226991E+000	-1.17744057E+002	
-8.68155661E+000	-1.17713724E+002	
-8.66084330E+000	-1.17747947E+002	
-8.64013000E+000	-1.17719394E+002	
-8.61941669E+000	-1.17679568E+002	
-8.59870339E+000	-1.17719715E+002	
-8.57799008E+000	-1.17714819E+002	
-8.55727678E+000	-1.17675890E+002	
-8.53656347E+000	-1.17800450E+002	
-8.51585017E+000	-1.17823661E+002	
-8.49513686E+000	-1.17827869E+002	
-8.47442355E+000	-1.17810167E+002	
-8.45371025E+000	-1.17841751E+002	
-8.43299694E+000	-1.17879499E+002	
-8.41228364E+000	-1.17843116E+002	
-8.39157033E+000	-1.17818549E+002	
-8.37085703E+000	-1.17865142E+002	
-8.35014372E+000	-1.17885438E+002	
-8.32943042E+000	-1.17913554E+002	
-8.30871711E+000	-1.17875045E+002	
-8.28800381E+000	-1.17910571E+002	
-8.26729050E+000	-1.17895349E+002	
-8.24657720E+000	-1.17888700E+002	
-8.22586389E+000	-1.17871977E+002	
-8.20515059E+000	-1.17913966E+002	
-8.18443728E+000	-1.17911903E+002	
-8.16372397E+000	-1.17899581E+002	
-8.14301067E+000	-1.17848000E+002	
-8.12229736E+000	-1.17863814E+002	
-8.10158406E+000	-1.17858825E+002	
-8.08087075E+000	-1.17846928E+002	
