Time (ns)	Amplitude (dB)	
-1.00072081E+001	-1.20502866E+002	
-9.98649484E+000	-1.20169399E+002	
-9.96578154E+000	-1.19818098E+002	
-9.94506823E+000	-1.19559359E+002	
-9.92435493E+000	-1.19329663E+002	
-9.90364162E+000	-1.19089188E+002	
-9.88292832E+000	-1.18873487E+002	
-9.86221501E+000	-1.18660906E+002	
-9.84150171E+000	-1.18460613E+002	
-9.82078840E+000	-1.18280963E+002	
-9.80007509E+000	-1.18080341E+002	
-9.77936179E+000	-1.17885558E+002	
-9.75864848E+000	-1.17827152E+002	
-9.73793518E+000	-1.17841899E+002	
-9.71722187E+000	-1.17837827E+002	
-9.69650857E+000	-1.17842280E+002	
-9.67579526E+000	-1.17903336E+002	
-9.65508196E+000	-1.17890674E+002	
-9.63436865E+000	-1.17835059E+002	
-9.61365535E+000	-1.17837645E+002	
-9.59294204E+000	-1.17865938E+002	
-9.57222874E+000	-1.17891693E+002	
-9.55151543E+000	-1.17909463E+002	
-9.53080213E+000	-1.17902214E+002	
-9.51008882E+000	-1.17929694E+002	
-9.48937552E+000	-1.17954926E+002	
-9.46866221E+000	-1.17951549E+002	
-9.44794890E+000	-1.17919002E+002	
-9.42723560E+000	-1.17871560E+002	
-9.40652229E+000	-1.17865133E+002	
-9.38580899E+000	-1.17844858E+002	
-9.36509568E+000	-1.17836880E+002	
-9.34438238E+000	-1.17806668E+002	
-9.32366907E+000	-1.17778681E+002	
-9.30295577E+000	-1.17777354E+002	
-9.28224246E+000	-1.17789281E+002	
-9.26152916E+000	-1.17739122E+002	
-9.24081585E+000	-1.17679859E+002	
-9.22010255E+000	-1.17668608E+002	
-9.19938924E+000	-1.17704208E+002	
-9.17867594E+000	-1.17685146E+002	
-9.15796263E+000	-1.17686375E+002	
-9.13724932E+000	-1.17744278E+002	
-9.11653602E+000	-1.17748877E+002	
-9.09582271E+000	-1.17702862E+002	
-9.07510941E+000	-1.17709630E+002	
-9.05439610E+000	-1.17710590E+002	
-9.03368280E+000	-1.17583576E+002	
-9.01296949E+000	-1.17574300E+002	
-8.99225619E+000	-1.17577342E+002	
-8.97154288E+000	-1.17628092E+002	
-8.95082958E+000	-1.17642107E+002	
-8.93011627E+000	-1.17669122E+002	
-8.90940297E+000	-1.17694229E+002	
-8.88868966E+000	-1.17713099E+002	
-8.86797636E+000	-1.17705370E+002	
-8.84726305E+000	-1.17716490E+002	
-8.82654974E+000	-1.17700074E+002	
-8.80583644E+000	-1.17714633E+002	
-8.78512313E+000	-1.17719198E+002	
-8.76440983E+000	-1.17737873E+002	
-8.74369652E+000	-1.17803084E+002	
-8.72298322E+000	-1.17818573E+002	
-8.70226991E+000	-1.17751402E+002	
-8.68155661E+000	-1.17723536E+002	
-8.66084330E+000	-1.17755526E+002	
-8.64013000E+000	-1.17728504E+002	
-8.61941669E+000	-1.17687598E+002	
-8.59870339E+000	-1.17733820E+002	
-8.57799008E+000	-1.17735497E+002	
-8.55727678E+000	-1.17698904E+002	
-8.53656347E+000	-1.17822813E+002	
-8.51585017E+000	-1.17845309E+002	
-8.49513686E+000	-1.17855400E+002	
-8.47442355E+000	-1.17844969E+002	
-8.45371025E+000	-1.17880104E+002	
-8.43299694E+000	-1.17918540E+002	
-8.41228364E+000	-1.17883443E+002	
-8.39157033E+000	-1.17864792E+002	
-8.37085703E+000	-1.17916233E+002	
-8.35014372E+000	-1.17931674E+002	
-8.32943042E+000	-1.17952882E+002	
-8.30871711E+000	-1.17904571E+002	
-8.28800381E+000	-1.17938281E+002	
-8.26729050E+000	-1.17918919E+002	
-8.24657720E+000	-1.17911330E+002	
-8.22586389E+000	-1.17890996E+002	
-8.20515059E+000	-1.17937934E+002	
-8.18443728E+000	-1.17935374E+002	
-8.16372397E+000	-1.17924764E+002	
-8.14301067E+000	-1.17874162E+002	
-8.12229736E+000	-1.17889393E+002	
-8.10158406E+000	-1.17881567E+002	
-8.08087075E+000	-1.17869043E+002	
-8.06015745E+000	-1.17851202E+002	
-8.03944414E+000	-1.17793313E+002	
-8.01873084E+000	-1.17806710E+002	
-7.99801753E+000	-1.17787906E+002	
-7.97730423E+000	-1.17778505E+002	
-7.95659092E+000	-1.17742405E+002	
-7.93587762E+000	-1.17753490E+002	
-7.91516431E+000	-1.17790209E+002	
-7.89445101E+000	-1.17784158E+002	
-7.87373770E+000	-1.17756791E+002	
-7.85302439E+000	-1.17755128E+002	
-7.83231109E+000	-1.17742019E+002	
-7.81159778E+000	-1.17806121E+002	
-7.79088448E+000	-1.17830998E+002	
-7.77017117E+000	-1.17860465E+002	
-7.74945787E+000	-1.17875716E+002	
-7.72874456E+000	-1.17890590E+002	
-7.70803126E+000	-1.17850414E+002	
-7.68731795E+000	-1.17882712E+002	
-7.66660465E+000	-1.17872174E+002	
-7.64589134E+000	-1.17872262E+002	
-7.62517804E+000	-1.17851408E+002	
-7.60446473E+000	-1.17788537E+002	
-7.58375143E+000	-1.17807818E+002	
-7.56303812E+000	-1.17837492E+002	
-7.54232482E+000	-1.17899227E+002	
-7.52161151E+000	-1.17884952E+002	
-7.50089820E+000	-1.17900352E+002	
-7.48018490E+000	-1.17872566E+002	
-7.45947159E+000	-1.17918209E+002	
-7.43875829E+000	-1.17849916E+002	
-7.41804498E+000	-1.17760050E+002	
-7.39733168E+000	-1.17810100E+002	
-7.37661837E+000	-1.17821359E+002	
-7.35590507E+000	-1.17824706E+002	
-7.33519176E+000	-1.17839876E+002	
-7.31447846E+000	-1.17849259E+002	
-7.29376515E+000	-1.17821309E+002	
-7.27305185E+000	-1.17788564E+002	
-7.25233854E+000	-1.17817472E+002	
-7.23162524E+000	-1.17827135E+002	
-7.21091193E+000	-1.17821060E+002	
-7.19019862E+000	-1.17822274E+002	
-7.16948532E+000	-1.17871015E+002	
-7.14877201E+000	-1.17944765E+002	
-7.12805871E+000	-1.18002112E+002	
-7.10734540E+000	-1.18079020E+002	
-7.08663210E+000	-1.18112130E+002	
-7.06591879E+000	-1.18092797E+002	
-7.04520549E+000	-1.18085203E+002	
-7.02449218E+000	-1.18063744E+002	
-7.00377888E+000	-1.18027553E+002	
-6.98306557E+000	-1.18067596E+002	
-6.96235227E+000	-1.18028503E+002	
-6.94163896E+000	-1.18055170E+002	
-6.92092566E+000	-1.18125682E+002	
-6.90021235E+000	-1.18113323E+002	
-6.87949904E+000	-1.18083523E+002	
-6.85878574E+000	-1.18067917E+002	
-6.83807243E+000	-1.18093436E+002	
-6.81735913E+000	-1.18108597E+002	
-6.79664582E+000	-1.18066848E+002	
-6.77593252E+000	-1.18107363E+002	
-6.75521921E+000	-1.18063690E+002	
-6.73450591E+000	-1.18057221E+002	
-6.71379260E+000	-1.18030494E+002	
-6.69307930E+000	-1.18027133E+002	
-6.67236599E+000	-1.17977784E+002	
-6.65165269E+000	-1.17954915E+002	
-6.63093938E+000	-1.17976781E+002	
-6.61022608E+000	-1.18002772E+002	
-6.58951277E+000	-1.18001384E+002	
-6.56879947E+000	-1.17990372E+002	
-6.54808616E+000	-1.17976472E+002	
-6.52737285E+000	-1.17956425E+002	
-6.50665955E+000	-1.17984274E+002	
-6.48594624E+000	-1.18030231E+002	
-6.46523294E+000	-1.18068900E+002	
-6.44451963E+000	-1.17999816E+002	
-6.42380633E+000	-1.17963993E+002	
-6.40309302E+000	-1.17964067E+002	
-6.38237972E+000	-1.17932374E+002	
-6.36166641E+000	-1.17933037E+002	
-6.34095311E+000	-1.17936546E+002	
-6.32023980E+000	-1.17925269E+002	
-6.29952650E+000	-1.17932972E+002	
-6.27881319E+000	-1.17907134E+002	
-6.25809989E+000	-1.17914942E+002	
-6.23738658E+000	-1.17900056E+002	
-6.21667327E+000	-1.17883501E+002	
-6.19595997E+000	-1.17897765E+002	
-6.17524666E+000	-1.17893625E+002	
-6.15453336E+000	-1.17892485E+002	
-6.13382005E+000	-1.17871580E+002	
-6.11310675E+000	-1.17872374E+002	
-6.09239344E+000	-1.17861394E+002	
-6.07168014E+000	-1.17812582E+002	
-6.05096683E+000	-1.17881635E+002	
-6.03025353E+000	-1.17895036E+002	
-6.00954022E+000	-1.17880380E+002	
-5.98882692E+000	-1.17829681E+002	
-5.96811361E+000	-1.17838500E+002	
-5.94740031E+000	-1.17889148E+002	
-5.92668700E+000	-1.17927020E+002	
-5.90597369E+000	-1.17946928E+002	
