Acquired on 5/10/2021 at 11:34:28
Calibrated on 5/10/2021 at 10:35:08
Device Descriptor:  [none]
Scan Range (nm):  1539.624  --  1560.517
Measurement Type:  Reflection
Group Index:  1.500
Gain:  24 dB
Domain:  Time
Spatial Resolution (mm):  50.000000
Frequency domain window was applied to measurement data.
Number of Data Points (in this file):  16384
NOTE: Data stored in this file is decimated by a factor of 64.

Time (ns)	Amplitude (dB)	
-1.00072081E+001	-1.20330950E+002	
-9.98649484E+000	-1.19997488E+002	
-9.96578154E+000	-1.19671495E+002	
-9.94506823E+000	-1.19416729E+002	
-9.92435493E+000	-1.19185331E+002	
-9.90364162E+000	-1.18951619E+002	
-9.88292832E+000	-1.18741470E+002	
-9.86221501E+000	-1.18524153E+002	
-9.84150171E+000	-1.18332178E+002	
-9.82078840E+000	-1.18152404E+002	
-9.80007509E+000	-1.17948790E+002	
-9.77936179E+000	-1.17760604E+002	
-9.75864848E+000	-1.17702836E+002	
-9.73793518E+000	-1.17734462E+002	
-9.71722187E+000	-1.17734309E+002	
-9.69650857E+000	-1.17740462E+002	
-9.67579526E+000	-1.17813525E+002	
-9.65508196E+000	-1.17795503E+002	
-9.63436865E+000	-1.17738798E+002	
-9.61365535E+000	-1.17739749E+002	
-9.59294204E+000	-1.17752567E+002	
-9.57222874E+000	-1.17791795E+002	
-9.55151543E+000	-1.17819461E+002	
-9.53080213E+000	-1.17795725E+002	
-9.51008882E+000	-1.17823333E+002	
-9.48937552E+000	-1.17844179E+002	
-9.46866221E+000	-1.17832835E+002	
-9.44794890E+000	-1.17807022E+002	
-9.42723560E+000	-1.17757488E+002	
-9.40652229E+000	-1.17742072E+002	
-9.38580899E+000	-1.17707001E+002	
-9.36509568E+000	-1.17696929E+002	
-9.34438238E+000	-1.17649853E+002	
-9.32366907E+000	-1.17622308E+002	
-9.30295577E+000	-1.17626386E+002	
-9.28224246E+000	-1.17633318E+002	
-9.26152916E+000	-1.17585388E+002	
-9.24081585E+000	-1.17515943E+002	
-9.22010255E+000	-1.17492205E+002	
-9.19938924E+000	-1.17528439E+002	
-9.17867594E+000	-1.17498321E+002	
-9.15796263E+000	-1.17488337E+002	
-9.13724932E+000	-1.17546989E+002	
-9.11653602E+000	-1.17554453E+002	
-9.09582271E+000	-1.17533099E+002	
-9.07510941E+000	-1.17522073E+002	
-9.05439610E+000	-1.17512966E+002	
-9.03368280E+000	-1.17400375E+002	
-9.01296949E+000	-1.17392031E+002	
-8.99225619E+000	-1.17398189E+002	
