Acquired on 5/10/2021 at 11:32:54
Calibrated on 5/10/2021 at 10:35:08
Device Descriptor:  [none]
Scan Range (nm):  1539.624  --  1560.517
Measurement Type:  Reflection
Group Index:  1.500
Gain:  24 dB
Domain:  Time
Spatial Resolution (mm):  50.000000
Frequency domain window was applied to measurement data.
Number of Data Points (in this file):  16384
NOTE: Data stored in this file is decimated by a factor of 64.

Time (ns)	Amplitude (dB)	
-1.00072081E+001	-1.20306429E+002	
-9.98649484E+000	-1.19980179E+002	
-9.96578154E+000	-1.19657484E+002	
-9.94506823E+000	-1.19402377E+002	
-9.92435493E+000	-1.19175026E+002	
-9.90364162E+000	-1.18939873E+002	
-9.88292832E+000	-1.18725544E+002	
-9.86221501E+000	-1.18506584E+002	
-9.84150171E+000	-1.18318264E+002	
-9.82078840E+000	-1.18140166E+002	
-9.80007509E+000	-1.17935833E+002	
-9.77936179E+000	-1.17750373E+002	
-9.75864848E+000	-1.17702284E+002	
-9.73793518E+000	-1.17737115E+002	
-9.71722187E+000	-1.17737732E+002	
-9.69650857E+000	-1.17746631E+002	
-9.67579526E+000	-1.17814971E+002	
-9.65508196E+000	-1.17794917E+002	
-9.63436865E+000	-1.17737200E+002	
-9.61365535E+000	-1.17737485E+002	
-9.59294204E+000	-1.17757130E+002	
-9.57222874E+000	-1.17791907E+002	
-9.55151543E+000	-1.17820930E+002	
-9.53080213E+000	-1.17801679E+002	
-9.51008882E+000	-1.17826289E+002	
-9.48937552E+000	-1.17846336E+002	
-9.46866221E+000	-1.17835295E+002	
-9.44794890E+000	-1.17804401E+002	
-9.42723560E+000	-1.17751333E+002	
-9.40652229E+000	-1.17736060E+002	
-9.38580899E+000	-1.17700859E+002	
-9.36509568E+000	-1.17695453E+002	
-9.34438238E+000	-1.17647057E+002	
-9.32366907E+000	-1.17620323E+002	
-9.30295577E+000	-1.17626211E+002	
-9.28224246E+000	-1.17632363E+002	
-9.26152916E+000	-1.17583505E+002	
-9.24081585E+000	-1.17517169E+002	
-9.22010255E+000	-1.17496525E+002	
-9.19938924E+000	-1.17530076E+002	
-9.17867594E+000	-1.17500876E+002	
-9.15796263E+000	-1.17487560E+002	
-9.13724932E+000	-1.17546055E+002	
-9.11653602E+000	-1.17556735E+002	
-9.09582271E+000	-1.17534411E+002	
-9.07510941E+000	-1.17526588E+002	
-9.05439610E+000	-1.17516425E+002	
-9.03368280E+000	-1.17392605E+002	
-9.01296949E+000	-1.17381769E+002	
-8.99225619E+000	-1.17386415E+002	
-8.97154288E+000	-1.17427138E+002	
