Acquired on 5/10/2021 at 10:55:28
Calibrated on 5/10/2021 at 10:35:08
Device Descriptor:  [none]
Scan Range (nm):  1539.624  --  1560.517
Measurement Type:  Reflection
Group Index:  1.500
Gain:  24 dB
Domain:  Time
Spatial Resolution (mm):  50.000000
Frequency domain window was applied to measurement data.
Number of Data Points (in this file):  16384
NOTE: Data stored in this file is decimated by a factor of 64.

Time (ns)	Amplitude (dB)	
-1.00072081E+001	-1.20318220E+002	
-9.98649484E+000	-1.19990232E+002	
-9.96578154E+000	-1.19669223E+002	
-9.94506823E+000	-1.19413634E+002	
-9.92435493E+000	-1.19183289E+002	
-9.90364162E+000	-1.18952254E+002	
-9.88292832E+000	-1.18737046E+002	
-9.86221501E+000	-1.18514426E+002	
-9.84150171E+000	-1.18324803E+002	
-9.82078840E+000	-1.18147747E+002	
-9.80007509E+000	-1.17941158E+002	
-9.77936179E+000	-1.17754973E+002	
-9.75864848E+000	-1.17694904E+002	
-9.73793518E+000	-1.17723846E+002	
-9.71722187E+000	-1.17725012E+002	
-9.69650857E+000	-1.17739935E+002	
-9.67579526E+000	-1.17813869E+002	
-9.65508196E+000	-1.17794581E+002	
-9.63436865E+000	-1.17733093E+002	
-9.61365535E+000	-1.17723936E+002	
-9.59294204E+000	-1.17739423E+002	
-9.57222874E+000	-1.17782268E+002	
-9.55151543E+000	-1.17808039E+002	
-9.53080213E+000	-1.17785648E+002	
-9.51008882E+000	-1.17814069E+002	
-9.48937552E+000	-1.17834392E+002	
-9.46866221E+000	-1.17819059E+002	
-9.44794890E+000	-1.17791661E+002	
-9.42723560E+000	-1.17744003E+002	
-9.40652229E+000	-1.17725631E+002	
-9.38580899E+000	-1.17693954E+002	
-9.36509568E+000	-1.17691247E+002	
-9.34438238E+000	-1.17645095E+002	
-9.32366907E+000	-1.17617087E+002	
-9.30295577E+000	-1.17623478E+002	
-9.28224246E+000	-1.17629057E+002	
-9.26152916E+000	-1.17582307E+002	
-9.24081585E+000	-1.17514708E+002	
-9.22010255E+000	-1.17490092E+002	
