Acquired on 5/10/2021 at 11:43:43
Calibrated on 5/10/2021 at 10:35:08
Device Descriptor:  [none]
Scan Range (nm):  1539.624  --  1560.517
Measurement Type:  Reflection
Group Index:  1.500
Gain:  24 dB
Domain:  Time
Spatial Resolution (mm):  50.000000
Frequency domain window was applied to measurement data.
Number of Data Points (in this file):  16384
NOTE: Data stored in this file is decimated by a factor of 64.

Time (ns)	Amplitude (dB)	
-1.00072081E+001	-1.20315630E+002	
-9.98649484E+000	-1.19987373E+002	
-9.96578154E+000	-1.19662010E+002	
-9.94506823E+000	-1.19411221E+002	
-9.92435493E+000	-1.19186273E+002	
-9.90364162E+000	-1.18955295E+002	
-9.88292832E+000	-1.18745039E+002	
-9.86221501E+000	-1.18526587E+002	
-9.84150171E+000	-1.18332613E+002	
-9.82078840E+000	-1.18155657E+002	
-9.80007509E+000	-1.17947435E+002	
-9.77936179E+000	-1.17759617E+002	
-9.75864848E+000	-1.17708154E+002	
-9.73793518E+000	-1.17738574E+002	
-9.71722187E+000	-1.17735082E+002	
-9.69650857E+000	-1.17741162E+002	
-9.67579526E+000	-1.17808503E+002	
-9.65508196E+000	-1.17791887E+002	
-9.63436865E+000	-1.17736826E+002	
-9.61365535E+000	-1.17732264E+002	
-9.59294204E+000	-1.17747761E+002	
-9.57222874E+000	-1.17789881E+002	
-9.55151543E+000	-1.17822933E+002	
-9.53080213E+000	-1.17802630E+002	
-9.51008882E+000	-1.17834172E+002	
-9.48937552E+000	-1.17853778E+002	
-9.46866221E+000	-1.17835829E+002	
-9.44794890E+000	-1.17802983E+002	
-9.42723560E+000	-1.17752795E+002	
-9.40652229E+000	-1.17735290E+002	
-9.38580899E+000	-1.17697656E+002	
-9.36509568E+000	-1.17693104E+002	
-9.34438238E+000	-1.17649092E+002	
-9.32366907E+000	-1.17616637E+002	
-9.30295577E+000	-1.17621743E+002	
-9.28224246E+000	-1.17624628E+002	
-9.26152916E+000	-1.17572426E+002	
-9.24081585E+000	-1.17507029E+002	
-9.22010255E+000	-1.17483830E+002	
-9.19938924E+000	-1.17521571E+002	
-9.17867594E+000	-1.17493503E+002	
-9.15796263E+000	-1.17482971E+002	
-9.13724932E+000	-1.17544067E+002	
-9.11653602E+000	-1.17555163E+002	
-9.09582271E+000	-1.17534990E+002	
-9.07510941E+000	-1.17525490E+002	
-9.05439610E+000	-1.17515896E+002	
-9.03368280E+000	-1.17399534E+002	
-9.01296949E+000	-1.17389373E+002	
-8.99225619E+000	-1.17393657E+002	
-8.97154288E+000	-1.17441217E+002	
-8.95082958E+000	-1.17457477E+002	
-8.93011627E+000	-1.17478497E+002	
-8.90940297E+000	-1.17502745E+002	
-8.88868966E+000	-1.17525728E+002	
-8.86797636E+000	-1.17513324E+002	
-8.84726305E+000	-1.17518197E+002	
-8.82654974E+000	-1.17498057E+002	
-8.80583644E+000	-1.17517897E+002	
-8.78512313E+000	-1.17509658E+002	
-8.76440983E+000	-1.17516768E+002	
-8.74369652E+000	-1.17577189E+002	
-8.72298322E+000	-1.17600163E+002	
-8.70226991E+000	-1.17529624E+002	
-8.68155661E+000	-1.17505230E+002	
-8.66084330E+000	-1.17531382E+002	
-8.64013000E+000	-1.17484560E+002	
-8.61941669E+000	-1.17434057E+002	
-8.59870339E+000	-1.17455588E+002	
-8.57799008E+000	-1.17453790E+002	
-8.55727678E+000	-1.17422376E+002	
-8.53656347E+000	-1.17541123E+002	
-8.51585017E+000	-1.17548269E+002	
-8.49513686E+000	-1.17537431E+002	
-8.47442355E+000	-1.17523397E+002	
-8.45371025E+000	-1.17538801E+002	
-8.43299694E+000	-1.17570804E+002	
-8.41228364E+000	-1.17544284E+002	
-8.39157033E+000	-1.17534680E+002	
-8.37085703E+000	-1.17575704E+002	
-8.35014372E+000	-1.17595584E+002	
-8.32943042E+000	-1.17628582E+002	
-8.30871711E+000	-1.17577898E+002	
-8.28800381E+000	-1.17617341E+002	
-8.26729050E+000	-1.17615364E+002	
-8.24657720E+000	-1.17610653E+002	
-8.22586389E+000	-1.17589213E+002	
-8.20515059E+000	-1.17647801E+002	
-8.18443728E+000	-1.17648263E+002	
-8.16372397E+000	-1.17630655E+002	
-8.14301067E+000	-1.17601106E+002	
-8.12229736E+000	-1.17617898E+002	
-8.10158406E+000	-1.17623555E+002	
-8.08087075E+000	-1.17623746E+002	
-8.06015745E+000	-1.17606274E+002	
-8.03944414E+000	-1.17548996E+002	
-8.01873084E+000	-1.17565255E+002	
-7.99801753E+000	-1.17570280E+002	
-7.97730423E+000	-1.17566325E+002	
-7.95659092E+000	-1.17537810E+002	
-7.93587762E+000	-1.17554033E+002	
-7.91516431E+000	-1.17586233E+002	
