Acquired on 5/10/2021 at 12:08:01
Calibrated on 5/10/2021 at 10:35:08
Device Descriptor:  [none]
Scan Range (nm):  1539.624  --  1560.517
Measurement Type:  Reflection
Group Index:  1.500
Gain:  24 dB
Domain:  Time
Spatial Resolution (mm):  50.000000
Frequency domain window was applied to measurement data.
Number of Data Points (in this file):  16384
NOTE: Data stored in this file is decimated by a factor of 64.

Time (ns)	Amplitude (dB)	
-1.00072081E+001	-1.20325784E+002	
-9.98649484E+000	-1.19997831E+002	
-9.96578154E+000	-1.19671672E+002	
-9.94506823E+000	-1.19415910E+002	
-9.92435493E+000	-1.19186275E+002	
-9.90364162E+000	-1.18952954E+002	
-9.88292832E+000	-1.18735917E+002	
-9.86221501E+000	-1.18520181E+002	
-9.84150171E+000	-1.18328765E+002	
-9.82078840E+000	-1.18151469E+002	
-9.80007509E+000	-1.17947785E+002	
-9.77936179E+000	-1.17760109E+002	
-9.75864848E+000	-1.17705379E+002	
-9.73793518E+000	-1.17731228E+002	
-9.71722187E+000	-1.17727570E+002	
-9.69650857E+000	-1.17734432E+002	
-9.67579526E+000	-1.17807809E+002	
-9.65508196E+000	-1.17794369E+002	
-9.63436865E+000	-1.17736559E+002	
-9.61365535E+000	-1.17734744E+002	
-9.59294204E+000	-1.17748376E+002	
-9.57222874E+000	-1.17786646E+002	
-9.55151543E+000	-1.17816036E+002	
-9.53080213E+000	-1.17796936E+002	
-9.51008882E+000	-1.17827008E+002	
-9.48937552E+000	-1.17843513E+002	
-9.46866221E+000	-1.17828150E+002	
-9.44794890E+000	-1.17800034E+002	
-9.42723560E+000	-1.17750909E+002	
-9.40652229E+000	-1.17736337E+002	
-9.38580899E+000	-1.17705546E+002	
-9.36509568E+000	-1.17696414E+002	
-9.34438238E+000	-1.17647727E+002	
-9.32366907E+000	-1.17616155E+002	
-9.30295577E+000	-1.17620368E+002	
-9.28224246E+000	-1.17626217E+002	
-9.26152916E+000	-1.17573430E+002	
-9.24081585E+000	-1.17506996E+002	
-9.22010255E+000	-1.17485516E+002	
-9.19938924E+000	-1.17518531E+002	
-9.17867594E+000	-1.17493270E+002	
-9.15796263E+000	-1.17485175E+002	
-9.13724932E+000	-1.17547255E+002	
-9.11653602E+000	-1.17554985E+002	
-9.09582271E+000	-1.17531734E+002	
-9.07510941E+000	-1.17521240E+002	
-9.05439610E+000	-1.17507707E+002	
-9.03368280E+000	-1.17391150E+002	
-9.01296949E+000	-1.17380743E+002	
-8.99225619E+000	-1.17386833E+002	
-8.97154288E+000	-1.17433424E+002	
-8.95082958E+000	-1.17444482E+002	
-8.93011627E+000	-1.17470118E+002	
-8.90940297E+000	-1.17495296E+002	
-8.88868966E+000	-1.17520866E+002	
-8.86797636E+000	-1.17509488E+002	
-8.84726305E+000	-1.17519448E+002	
-8.82654974E+000	-1.17503195E+002	
-8.80583644E+000	-1.17522764E+002	
-8.78512313E+000	-1.17515351E+002	
-8.76440983E+000	-1.17519627E+002	
-8.74369652E+000	-1.17582233E+002	
-8.72298322E+000	-1.17602680E+002	
-8.70226991E+000	-1.17538517E+002	
-8.68155661E+000	-1.17513065E+002	
-8.66084330E+000	-1.17540676E+002	
-8.64013000E+000	-1.17494200E+002	
-8.61941669E+000	-1.17451157E+002	
-8.59870339E+000	-1.17477112E+002	
-8.57799008E+000	-1.17477950E+002	
-8.55727678E+000	-1.17452240E+002	
-8.53656347E+000	-1.17571253E+002	
-8.51585017E+000	-1.17579569E+002	
-8.49513686E+000	-1.17575286E+002	
-8.47442355E+000	-1.17563467E+002	
-8.45371025E+000	-1.17583707E+002	
-8.43299694E+000	-1.17613312E+002	
-8.41228364E+000	-1.17582467E+002	
-8.39157033E+000	-1.17569486E+002	
-8.37085703E+000	-1.17613055E+002	
-8.35014372E+000	-1.17632590E+002	
-8.32943042E+000	-1.17661770E+002	
-8.30871711E+000	-1.17610535E+002	
-8.28800381E+000	-1.17644010E+002	
-8.26729050E+000	-1.17646918E+002	
-8.24657720E+000	-1.17641812E+002	
-8.22586389E+000	-1.17620481E+002	
-8.20515059E+000	-1.17676582E+002	
-8.18443728E+000	-1.17677420E+002	
-8.16372397E+000	-1.17661157E+002	
-8.14301067E+000	-1.17631317E+002	
-8.12229736E+000	-1.17642167E+002	
-8.10158406E+000	-1.17645950E+002	
-8.08087075E+000	-1.17641830E+002	
-8.06015745E+000	-1.17619492E+002	
-8.03944414E+000	-1.17564820E+002	
-8.01873084E+000	-1.17583833E+002	
-7.99801753E+000	-1.17584283E+002	
-7.97730423E+000	-1.17577517E+002	
-7.95659092E+000	-1.17553915E+002	
-7.93587762E+000	-1.17575467E+002	
-7.91516431E+000	-1.17613596E+002	
-7.89445101E+000	-1.17605084E+002	
-7.87373770E+000	-1.17581501E+002	
-7.85302439E+000	-1.17575721E+002	
-7.83231109E+000	-1.17553881E+002	
-7.81159778E+000	-1.17598519E+002	
-7.79088448E+000	-1.17620097E+002	
-7.77017117E+000	-1.17637102E+002	
-7.74945787E+000	-1.17652147E+002	
-7.72874456E+000	-1.17669266E+002	
-7.70803126E+000	-1.17627240E+002	
-7.68731795E+000	-1.17659253E+002	
-7.66660465E+000	-1.17656789E+002	
-7.64589134E+000	-1.17662272E+002	
-7.62517804E+000	-1.17668555E+002	
-7.60446473E+000	-1.17586380E+002	
-7.58375143E+000	-1.17598581E+002	
-7.56303812E+000	-1.17630710E+002	
-7.54232482E+000	-1.17696664E+002	
-7.52161151E+000	-1.17685220E+002	
-7.50089820E+000	-1.17691111E+002	
-7.48018490E+000	-1.17671981E+002	
-7.45947159E+000	-1.17712794E+002	
-7.43875829E+000	-1.17640826E+002	
-7.41804498E+000	-1.17561111E+002	
-7.39733168E+000	-1.17596255E+002	
-7.37661837E+000	-1.17597800E+002	
-7.35590507E+000	-1.17607370E+002	
-7.33519176E+000	-1.17631353E+002	
-7.31447846E+000	-1.17655525E+002	
-7.29376515E+000	-1.17642851E+002	
-7.27305185E+000	-1.17619147E+002	
-7.25233854E+000	-1.17644108E+002	
-7.23162524E+000	-1.17647988E+002	
-7.21091193E+000	-1.17637116E+002	
-7.19019862E+000	-1.17627052E+002	
-7.16948532E+000	-1.17667360E+002	
-7.14877201E+000	-1.17732263E+002	
-7.12805871E+000	-1.17776036E+002	
-7.10734540E+000	-1.17855197E+002	
-7.08663210E+000	-1.17899989E+002	
-7.06591879E+000	-1.17877130E+002	
-7.04520549E+000	-1.17866211E+002	
-7.02449218E+000	-1.17845302E+002	
