Acquired on 5/10/2021 at 11:39:34
Calibrated on 5/10/2021 at 10:35:08
Device Descriptor:  [none]
Scan Range (nm):  1539.624  --  1560.517
Measurement Type:  Reflection
Group Index:  1.500
Gain:  24 dB
Domain:  Time
Spatial Resolution (mm):  50.000000
Frequency domain window was applied to measurement data.
Number of Data Points (in this file):  16384
NOTE: Data stored in this file is decimated by a factor of 64.

Time (ns)	Amplitude (dB)	
-1.00072081E+001	-1.20325041E+002	
-9.98649484E+000	-1.19994761E+002	
-9.96578154E+000	-1.19667425E+002	
-9.94506823E+000	-1.19407677E+002	
-9.92435493E+000	-1.19179298E+002	
-9.90364162E+000	-1.18944457E+002	
-9.88292832E+000	-1.18729386E+002	
-9.86221501E+000	-1.18506282E+002	
-9.84150171E+000	-1.18318041E+002	
-9.82078840E+000	-1.18142411E+002	
-9.80007509E+000	-1.17937478E+002	
-9.77936179E+000	-1.17748606E+002	
-9.75864848E+000	-1.17695897E+002	
-9.73793518E+000	-1.17728843E+002	
-9.71722187E+000	-1.17727194E+002	
-9.69650857E+000	-1.17732993E+002	
-9.67579526E+000	-1.17804308E+002	
-9.65508196E+000	-1.17786717E+002	
-9.63436865E+000	-1.17731212E+002	
-9.61365535E+000	-1.17723291E+002	
-9.59294204E+000	-1.17734517E+002	
-9.57222874E+000	-1.17772460E+002	
-9.55151543E+000	-1.17800892E+002	
-9.53080213E+000	-1.17775601E+002	
-9.51008882E+000	-1.17796857E+002	
-9.48937552E+000	-1.17816642E+002	
-9.46866221E+000	-1.17804379E+002	
-9.44794890E+000	-1.17782864E+002	
-9.42723560E+000	-1.17735491E+002	
-9.40652229E+000	-1.17721081E+002	
-9.38580899E+000	-1.17687814E+002	
-9.36509568E+000	-1.17684016E+002	
-9.34438238E+000	-1.17635810E+002	
-9.32366907E+000	-1.17605964E+002	
-9.30295577E+000	-1.17613490E+002	
-9.28224246E+000	-1.17620557E+002	
-9.26152916E+000	-1.17573996E+002	
-9.24081585E+000	-1.17507742E+002	
-9.22010255E+000	-1.17483808E+002	
-9.19938924E+000	-1.17520144E+002	
-9.17867594E+000	-1.17490795E+002	
-9.15796263E+000	-1.17480427E+002	
-9.13724932E+000	-1.17540824E+002	
-9.11653602E+000	-1.17550465E+002	
-9.09582271E+000	-1.17529994E+002	
-9.07510941E+000	-1.17521846E+002	
-9.05439610E+000	-1.17510983E+002	
-9.03368280E+000	-1.17397563E+002	
-9.01296949E+000	-1.17392250E+002	
-8.99225619E+000	-1.17398187E+002	
-8.97154288E+000	-1.17441104E+002	
-8.95082958E+000	-1.17449591E+002	
-8.93011627E+000	-1.17467255E+002	
-8.90940297E+000	-1.17492906E+002	
-8.88868966E+000	-1.17517623E+002	
-8.86797636E+000	-1.17503139E+002	
-8.84726305E+000	-1.17513961E+002	
-8.82654974E+000	-1.17497430E+002	
-8.80583644E+000	-1.17512596E+002	
-8.78512313E+000	-1.17506483E+002	
-8.76440983E+000	-1.17506695E+002	
-8.74369652E+000	-1.17571380E+002	
-8.72298322E+000	-1.17594674E+002	
-8.70226991E+000	-1.17529643E+002	
-8.68155661E+000	-1.17505658E+002	
-8.66084330E+000	-1.17533600E+002	
-8.64013000E+000	-1.17487485E+002	
