Acquired on 5/10/2021 at 12:16:55
Calibrated on 5/10/2021 at 10:35:08
Device Descriptor:  [none]
Scan Range (nm):  1539.624  --  1560.517
Measurement Type:  Reflection
Group Index:  1.500
Gain:  24 dB
Domain:  Time
Spatial Resolution (mm):  50.000000
Frequency domain window was applied to measurement data.
Number of Data Points (in this file):  16384
NOTE: Data stored in this file is decimated by a factor of 64.

Time (ns)	Amplitude (dB)	
-1.00072081E+001	-1.20294833E+002	
-9.98649484E+000	-1.19970337E+002	
-9.96578154E+000	-1.19649905E+002	
-9.94506823E+000	-1.19392418E+002	
-9.92435493E+000	-1.19164697E+002	
-9.90364162E+000	-1.18932187E+002	
-9.88292832E+000	-1.18720397E+002	
-9.86221501E+000	-1.18500996E+002	
-9.84150171E+000	-1.18313552E+002	
-9.82078840E+000	-1.18137509E+002	
-9.80007509E+000	-1.17932569E+002	
-9.77936179E+000	-1.17747014E+002	
-9.75864848E+000	-1.17686470E+002	
-9.73793518E+000	-1.17712780E+002	
-9.71722187E+000	-1.17718954E+002	
-9.69650857E+000	-1.17730676E+002	
-9.67579526E+000	-1.17805249E+002	
-9.65508196E+000	-1.17787537E+002	
-9.63436865E+000	-1.17733099E+002	
-9.61365535E+000	-1.17733605E+002	
-9.59294204E+000	-1.17751394E+002	
-9.57222874E+000	-1.17792299E+002	
-9.55151543E+000	-1.17821316E+002	
-9.53080213E+000	-1.17800447E+002	
-9.51008882E+000	-1.17827991E+002	
-9.48937552E+000	-1.17848890E+002	
-9.46866221E+000	-1.17829667E+002	
-9.44794890E+000	-1.17801482E+002	
-9.42723560E+000	-1.17749133E+002	
-9.40652229E+000	-1.17735072E+002	
-9.38580899E+000	-1.17700212E+002	
-9.36509568E+000	-1.17692036E+002	
-9.34438238E+000	-1.17640693E+002	
-9.32366907E+000	-1.17607482E+002	
-9.30295577E+000	-1.17611689E+002	
-9.28224246E+000	-1.17620389E+002	
-9.26152916E+000	-1.17576700E+002	
-9.24081585E+000	-1.17511252E+002	
-9.22010255E+000	-1.17485308E+002	
-9.19938924E+000	-1.17515862E+002	
-9.17867594E+000	-1.17484725E+002	
-9.15796263E+000	-1.17475219E+002	
-9.13724932E+000	-1.17540880E+002	
-9.11653602E+000	-1.17553013E+002	
-9.09582271E+000	-1.17528680E+002	
-9.07510941E+000	-1.17517787E+002	
-9.05439610E+000	-1.17505271E+002	
-9.03368280E+000	-1.17387454E+002	
-9.01296949E+000	-1.17378968E+002	
-8.99225619E+000	-1.17381843E+002	
-8.97154288E+000	-1.17427130E+002	
-8.95082958E+000	-1.17444076E+002	
-8.93011627E+000	-1.17472014E+002	
-8.90940297E+000	-1.17497525E+002	
-8.88868966E+000	-1.17522649E+002	
-8.86797636E+000	-1.17510953E+002	
-8.84726305E+000	-1.17518606E+002	
-8.82654974E+000	-1.17498471E+002	
-8.80583644E+000	-1.17515321E+002	
-8.78512313E+000	-1.17501553E+002	
-8.76440983E+000	-1.17499704E+002	
-8.74369652E+000	-1.17562188E+002	
-8.72298322E+000	-1.17583929E+002	
-8.70226991E+000	-1.17519029E+002	
-8.68155661E+000	-1.17493672E+002	
-8.66084330E+000	-1.17521284E+002	
-8.64013000E+000	-1.17474102E+002	
-8.61941669E+000	-1.17421353E+002	
-8.59870339E+000	-1.17443860E+002	
-8.57799008E+000	-1.17443558E+002	
-8.55727678E+000	-1.17420476E+002	
-8.53656347E+000	-1.17538393E+002	
-8.51585017E+000	-1.17545605E+002	
-8.49513686E+000	-1.17540578E+002	
-8.47442355E+000	-1.17530109E+002	
-8.45371025E+000	-1.17543438E+002	
-8.43299694E+000	-1.17571552E+002	
-8.41228364E+000	-1.17540564E+002	
-8.39157033E+000	-1.17527682E+002	
-8.37085703E+000	-1.17574735E+002	
-8.35014372E+000	-1.17591535E+002	
-8.32943042E+000	-1.17619881E+002	
-8.30871711E+000	-1.17567666E+002	
-8.28800381E+000	-1.17604242E+002	
-8.26729050E+000	-1.17607364E+002	
-8.24657720E+000	-1.17604404E+002	
-8.22586389E+000	-1.17583938E+002	
-8.20515059E+000	-1.17634422E+002	
-8.18443728E+000	-1.17636568E+002	
-8.16372397E+000	-1.17622218E+002	
-8.14301067E+000	-1.17590223E+002	
-8.12229736E+000	-1.17609642E+002	
-8.10158406E+000	-1.17619816E+002	
-8.08087075E+000	-1.17618610E+002	
-8.06015745E+000	-1.17597386E+002	
-8.03944414E+000	-1.17545857E+002	
-8.01873084E+000	-1.17567171E+002	
-7.99801753E+000	-1.17565090E+002	
-7.97730423E+000	-1.17560055E+002	
-7.95659092E+000	-1.17532164E+002	
-7.93587762E+000	-1.17550704E+002	
-7.91516431E+000	-1.17587512E+002	
-7.89445101E+000	-1.17579258E+002	
-7.87373770E+000	-1.17555409E+002	
-7.85302439E+000	-1.17552862E+002	
-7.83231109E+000	-1.17536036E+002	
-7.81159778E+000	-1.17582196E+002	
-7.79088448E+000	-1.17604016E+002	
-7.77017117E+000	-1.17625801E+002	
-7.74945787E+000	-1.17636372E+002	
-7.72874456E+000	-1.17659987E+002	
-7.70803126E+000	-1.17625735E+002	
-7.68731795E+000	-1.17656499E+002	
-7.66660465E+000	-1.17651923E+002	
-7.64589134E+000	-1.17662306E+002	
-7.62517804E+000	-1.17662520E+002	
-7.60446473E+000	-1.17574145E+002	
-7.58375143E+000	-1.17591907E+002	
-7.56303812E+000	-1.17622281E+002	
-7.54232482E+000	-1.17684144E+002	
-7.52161151E+000	-1.17673470E+002	
-7.50089820E+000	-1.17687386E+002	
-7.48018490E+000	-1.17671093E+002	
-7.45947159E+000	-1.17721164E+002	
-7.43875829E+000	-1.17652168E+002	
-7.41804498E+000	-1.17576806E+002	
-7.39733168E+000	-1.17612425E+002	
-7.37661837E+000	-1.17617464E+002	
-7.35590507E+000	-1.17629523E+002	
-7.33519176E+000	-1.17656578E+002	
-7.31447846E+000	-1.17685664E+002	
-7.29376515E+000	-1.17669491E+002	
-7.27305185E+000	-1.17634508E+002	
-7.25233854E+000	-1.17661546E+002	
-7.23162524E+000	-1.17656507E+002	
-7.21091193E+000	-1.17643026E+002	
-7.19019862E+000	-1.17632466E+002	
-7.16948532E+000	-1.17676277E+002	
-7.14877201E+000	-1.17737443E+002	
-7.12805871E+000	-1.17780204E+002	
-7.10734540E+000	-1.17868850E+002	
-7.08663210E+000	-1.17908925E+002	
-7.06591879E+000	-1.17885697E+002	
-7.04520549E+000	-1.17875874E+002	
-7.02449218E+000	-1.17854524E+002	
-7.00377888E+000	-1.17823799E+002	
-6.98306557E+000	-1.17850769E+002	
-6.96235227E+000	-1.17810136E+002	
-6.94163896E+000	-1.17848609E+002	
-6.92092566E+000	-1.17904410E+002	
-6.90021235E+000	-1.17912552E+002	
-6.87949904E+000	-1.17884089E+002	
-6.85878574E+000	-1.17859915E+002	
-6.83807243E+000	-1.17878540E+002	
-6.81735913E+000	-1.17889199E+002	
-6.79664582E+000	-1.17838545E+002	
-6.77593252E+000	-1.17871794E+002	
-6.75521921E+000	-1.17817458E+002	
-6.73450591E+000	-1.17815780E+002	
-6.71379260E+000	-1.17795014E+002	
-6.69307930E+000	-1.17794285E+002	
-6.67236599E+000	-1.17758773E+002	
-6.65165269E+000	-1.17739485E+002	
-6.63093938E+000	-1.17746941E+002	
-6.61022608E+000	-1.17758625E+002	
-6.58951277E+000	-1.17753133E+002	
-6.56879947E+000	-1.17740967E+002	
-6.54808616E+000	-1.17710603E+002	
-6.52737285E+000	-1.17694308E+002	
-6.50665955E+000	-1.17720226E+002	
-6.48594624E+000	-1.17758083E+002	
-6.46523294E+000	-1.17789504E+002	
-6.44451963E+000	-1.17717635E+002	
-6.42380633E+000	-1.17667512E+002	
-6.40309302E+000	-1.17656401E+002	
-6.38237972E+000	-1.17632060E+002	
-6.36166641E+000	-1.17634971E+002	
-6.34095311E+000	-1.17633718E+002	
-6.32023980E+000	-1.17624354E+002	
-6.29952650E+000	-1.17642152E+002	
-6.27881319E+000	-1.17609610E+002	
-6.25809989E+000	-1.17626349E+002	
-6.23738658E+000	-1.17620694E+002	
-6.21667327E+000	-1.17607477E+002	
-6.19595997E+000	-1.17617241E+002	
-6.17524666E+000	-1.17600392E+002	
-6.15453336E+000	-1.17605177E+002	
-6.13382005E+000	-1.17589804E+002	
-6.11310675E+000	-1.17590995E+002	
-6.09239344E+000	-1.17586019E+002	
-6.07168014E+000	-1.17539843E+002	
-6.05096683E+000	-1.17610844E+002	
-6.03025353E+000	-1.17615676E+002	
-6.00954022E+000	-1.17589155E+002	
-5.98882692E+000	-1.17544678E+002	
-5.96811361E+000	-1.17557087E+002	
-5.94740031E+000	-1.17602713E+002	
-5.92668700E+000	-1.17652204E+002	
-5.90597369E+000	-1.17661112E+002	
-5.88526039E+000	-1.17707356E+002	
-5.86454708E+000	-1.17728095E+002	
-5.84383378E+000	-1.17695723E+002	
-5.82312047E+000	-1.17705775E+002	
-5.80240717E+000	-1.17672660E+002	
-5.78169386E+000	-1.17689026E+002	
-5.76098056E+000	-1.17702062E+002	
-5.74026725E+000	-1.17696547E+002	
-5.71955395E+000	-1.17730654E+002	
-5.69884064E+000	-1.17729041E+002	
-5.67812734E+000	-1.17746231E+002	
-5.65741403E+000	-1.17738687E+002	
-5.63670073E+000	-1.17744964E+002	
-5.61598742E+000	-1.17725277E+002	
-5.59527412E+000	-1.17689275E+002	
-5.57456081E+000	-1.17752966E+002	
-5.55384750E+000	-1.17682208E+002	
-5.53313420E+000	-1.17619822E+002	
-5.51242089E+000	-1.17640747E+002	
-5.49170759E+000	-1.17644456E+002	
-5.47099428E+000	-1.17624900E+002	
-5.45028098E+000	-1.17676012E+002	
-5.42956767E+000	-1.17719690E+002	
-5.40885437E+000	-1.17707613E+002	
-5.38814106E+000	-1.17703955E+002	
-5.36742776E+000	-1.17683375E+002	
-5.34671445E+000	-1.17720205E+002	
-5.32600115E+000	-1.17729316E+002	
-5.30528784E+000	-1.17753067E+002	
-5.28457454E+000	-1.17743291E+002	
-5.26386123E+000	-1.17717634E+002	
-5.24314792E+000	-1.17660999E+002	
-5.22243462E+000	-1.17636780E+002	
-5.20172131E+000	-1.17638339E+002	
-5.18100801E+000	-1.17608693E+002	
-5.16029470E+000	-1.17609256E+002	
-5.13958140E+000	-1.17566921E+002	
-5.11886809E+000	-1.17543889E+002	
-5.09815479E+000	-1.17549369E+002	
-5.07744148E+000	-1.17512328E+002	
-5.05672818E+000	-1.17579356E+002	
-5.03601487E+000	-1.17603318E+002	
-5.01530157E+000	-1.17643848E+002	
-4.99458826E+000	-1.17648778E+002	
-4.97387496E+000	-1.17594588E+002	
-4.95316165E+000	-1.17589670E+002	
-4.93244834E+000	-1.17545582E+002	
-4.91173504E+000	-1.17532456E+002	
-4.89102173E+000	-1.17521966E+002	
-4.87030843E+000	-1.17547239E+002	
-4.84959512E+000	-1.17527739E+002	
-4.82888182E+000	-1.17482733E+002	
-4.80816851E+000	-1.17471034E+002	
-4.78745521E+000	-1.17476802E+002	
-4.76674190E+000	-1.17496653E+002	
-4.74602860E+000	-1.17512406E+002	
-4.72531529E+000	-1.17563926E+002	
-4.70460199E+000	-1.17556288E+002	
-4.68388868E+000	-1.17597050E+002	
-4.66317538E+000	-1.17582563E+002	
-4.64246207E+000	-1.17628002E+002	
-4.62174877E+000	-1.17674481E+002	
-4.60103546E+000	-1.17703628E+002	
-4.58032215E+000	-1.17726274E+002	
-4.55960885E+000	-1.17691443E+002	
-4.53889554E+000	-1.17725185E+002	
-4.51818224E+000	-1.17647295E+002	
-4.49746893E+000	-1.17601017E+002	
-4.47675563E+000	-1.17641695E+002	
-4.45604232E+000	-1.17624358E+002	
-4.43532902E+000	-1.17626723E+002	
-4.41461571E+000	-1.17620237E+002	
-4.39390241E+000	-1.17627464E+002	
-4.37318910E+000	-1.17633920E+002	
-4.35247580E+000	-1.17621450E+002	
-4.33176249E+000	-1.17622683E+002	
-4.31104919E+000	-1.17619019E+002	
-4.29033588E+000	-1.17612766E+002	
-4.26962257E+000	-1.17609878E+002	
-4.24890927E+000	-1.17657975E+002	
-4.22819596E+000	-1.17666198E+002	
-4.20748266E+000	-1.17700543E+002	
-4.18676935E+000	-1.17668151E+002	
-4.16605605E+000	-1.17673510E+002	
-4.14534274E+000	-1.17681158E+002	
-4.12462944E+000	-1.17641044E+002	
-4.10391613E+000	-1.17638047E+002	
-4.08320283E+000	-1.17629274E+002	
-4.06248952E+000	-1.17621449E+002	
-4.04177622E+000	-1.17579124E+002	
-4.02106291E+000	-1.17617900E+002	
-4.00034961E+000	-1.17621525E+002	
-3.97963630E+000	-1.17586386E+002	
-3.95892299E+000	-1.17591457E+002	
-3.93820969E+000	-1.17559887E+002	
-3.91749638E+000	-1.17570561E+002	
-3.89678308E+000	-1.17542289E+002	
-3.87606977E+000	-1.17484789E+002	
-3.85535647E+000	-1.17489972E+002	
-3.83464316E+000	-1.17475495E+002	
-3.81392986E+000	-1.17469249E+002	
-3.79321655E+000	-1.17497813E+002	
-3.77250325E+000	-1.17449436E+002	
-3.75178994E+000	-1.17460760E+002	
-3.73107664E+000	-1.17459254E+002	
-3.71036333E+000	-1.17398196E+002	
-3.68965003E+000	-1.17410839E+002	
-3.66893672E+000	-1.17461944E+002	
-3.64822342E+000	-1.17428073E+002	
-3.62751011E+000	-1.17444026E+002	
-3.60679680E+000	-1.17443717E+002	
-3.58608350E+000	-1.17448184E+002	
-3.56537019E+000	-1.17473590E+002	
-3.54465689E+000	-1.17473318E+002	
-3.52394358E+000	-1.17492262E+002	
-3.50323028E+000	-1.17531811E+002	
-3.48251697E+000	-1.17566628E+002	
-3.46180367E+000	-1.17605466E+002	
-3.44109036E+000	-1.17622554E+002	
-3.42037706E+000	-1.17657815E+002	
-3.39966375E+000	-1.17704237E+002	
-3.37895045E+000	-1.17748901E+002	
-3.35823714E+000	-1.17743236E+002	
-3.33752384E+000	-1.17752170E+002	
-3.31681053E+000	-1.17754348E+002	
-3.29609722E+000	-1.17726883E+002	
-3.27538392E+000	-1.17748869E+002	
-3.25467061E+000	-1.17765115E+002	
-3.23395731E+000	-1.17764540E+002	
-3.21324400E+000	-1.17797198E+002	
-3.19253070E+000	-1.17804799E+002	
-3.17181739E+000	-1.17770265E+002	
-3.15110409E+000	-1.17754202E+002	
-3.13039078E+000	-1.17747780E+002	
-3.10967748E+000	-1.17784754E+002	
-3.08896417E+000	-1.17758111E+002	
-3.06825087E+000	-1.17744407E+002	
-3.04753756E+000	-1.17779929E+002	
-3.02682426E+000	-1.17756641E+002	
-3.00611095E+000	-1.17686109E+002	
-2.98539764E+000	-1.17736081E+002	
-2.96468434E+000	-1.17698306E+002	
-2.94397103E+000	-1.17676689E+002	
-2.92325773E+000	-1.17632267E+002	
-2.90254442E+000	-1.17615828E+002	
-2.88183112E+000	-1.17635778E+002	
-2.86111781E+000	-1.17677775E+002	
-2.84040451E+000	-1.17717482E+002	
-2.81969120E+000	-1.17754416E+002	
-2.79897790E+000	-1.17825029E+002	
-2.77826459E+000	-1.17798531E+002	
-2.75755129E+000	-1.17773515E+002	
-2.73683798E+000	-1.17785274E+002	
-2.71612468E+000	-1.17731031E+002	
-2.69541137E+000	-1.17720421E+002	
-2.67469807E+000	-1.17789171E+002	
-2.65398476E+000	-1.17819263E+002	
-2.63327145E+000	-1.17814512E+002	
-2.61255815E+000	-1.17760013E+002	
-2.59184484E+000	-1.17767041E+002	
-2.57113154E+000	-1.17765774E+002	
-2.55041823E+000	-1.17754096E+002	
-2.52970493E+000	-1.17812088E+002	
-2.50899162E+000	-1.17884423E+002	
-2.48827832E+000	-1.17868361E+002	
-2.46756501E+000	-1.17876080E+002	
-2.44685171E+000	-1.17875206E+002	
-2.42613840E+000	-1.17902533E+002	
-2.40542510E+000	-1.17924179E+002	
-2.38471179E+000	-1.17909981E+002	
-2.36399849E+000	-1.17895797E+002	
-2.34328518E+000	-1.17843202E+002	
-2.32257187E+000	-1.17801247E+002	
-2.30185857E+000	-1.17737099E+002	
-2.28114526E+000	-1.17742424E+002	
-2.26043196E+000	-1.17804545E+002	
-2.23971865E+000	-1.17779491E+002	
-2.21900535E+000	-1.17833032E+002	
-2.19829204E+000	-1.17862886E+002	
-2.17757874E+000	-1.17822067E+002	
-2.15686543E+000	-1.17798403E+002	
-2.13615213E+000	-1.17841554E+002	
-2.11543882E+000	-1.17853051E+002	
-2.09472552E+000	-1.17873639E+002	
-2.07401221E+000	-1.17845629E+002	
-2.05329891E+000	-1.17803416E+002	
-2.03258560E+000	-1.17817168E+002	
-2.01187229E+000	-1.17814970E+002	
-1.99115899E+000	-1.17811425E+002	
-1.97044568E+000	-1.17751086E+002	
-1.94973238E+000	-1.17768952E+002	
-1.92901907E+000	-1.17745629E+002	
-1.90830577E+000	-1.17699262E+002	
-1.88759246E+000	-1.17690755E+002	
