Acquired on 5/10/2021 at 10:51:40
Calibrated on 5/10/2021 at 10:35:08
Device Descriptor:  [none]
Scan Range (nm):  1539.624  --  1560.517
Measurement Type:  Reflection
Group Index:  1.500
Gain:  24 dB
Domain:  Time
Spatial Resolution (mm):  50.000000
Frequency domain window was applied to measurement data.
Number of Data Points (in this file):  16384
NOTE: Data stored in this file is decimated by a factor of 64.

Time (ns)	Amplitude (dB)	
-1.00072081E+001	-1.20303623E+002	
-9.98649484E+000	-1.19982840E+002	
-9.96578154E+000	-1.19654621E+002	
-9.94506823E+000	-1.19399589E+002	
-9.92435493E+000	-1.19173532E+002	
-9.90364162E+000	-1.18944927E+002	
-9.88292832E+000	-1.18731430E+002	
-9.86221501E+000	-1.18504717E+002	
-9.84150171E+000	-1.18314407E+002	
-9.82078840E+000	-1.18137083E+002	
-9.80007509E+000	-1.17931966E+002	
-9.77936179E+000	-1.17746520E+002	
-9.75864848E+000	-1.17689278E+002	
-9.73793518E+000	-1.17723385E+002	
-9.71722187E+000	-1.17724802E+002	
-9.69650857E+000	-1.17735431E+002	
-9.67579526E+000	-1.17805632E+002	
-9.65508196E+000	-1.17784848E+002	
-9.63436865E+000	-1.17734552E+002	
-9.61365535E+000	-1.17727492E+002	
-9.59294204E+000	-1.17743255E+002	
-9.57222874E+000	-1.17781789E+002	
-9.55151543E+000	-1.17807685E+002	
-9.53080213E+000	-1.17783803E+002	
-9.51008882E+000	-1.17810826E+002	
-9.48937552E+000	-1.17825758E+002	
-9.46866221E+000	-1.17817184E+002	
-9.44794890E+000	-1.17793969E+002	
-9.42723560E+000	-1.17743526E+002	
-9.40652229E+000	-1.17722161E+002	
-9.38580899E+000	-1.17687068E+002	
-9.36509568E+000	-1.17685672E+002	
-9.34438238E+000	-1.17636052E+002	
-9.32366907E+000	-1.17607352E+002	
-9.30295577E+000	-1.17615763E+002	
-9.28224246E+000	-1.17620009E+002	
-9.26152916E+000	-1.17574003E+002	
-9.24081585E+000	-1.17502962E+002	
-9.22010255E+000	-1.17479849E+002	
-9.19938924E+000	-1.17512346E+002	
-9.17867594E+000	-1.17483554E+002	
-9.15796263E+000	-1.17477193E+002	
-9.13724932E+000	-1.17535733E+002	
-9.11653602E+000	-1.17551303E+002	
-9.09582271E+000	-1.17530320E+002	
-9.07510941E+000	-1.17519020E+002	
-9.05439610E+000	-1.17508013E+002	
-9.03368280E+000	-1.17389910E+002	
-9.01296949E+000	-1.17380855E+002	
-8.99225619E+000	-1.17380973E+002	
-8.97154288E+000	-1.17420969E+002	
-8.95082958E+000	-1.17429599E+002	
-8.93011627E+000	-1.17455700E+002	
-8.90940297E+000	-1.17481867E+002	
-8.88868966E+000	-1.17509221E+002	
-8.86797636E+000	-1.17503888E+002	
-8.84726305E+000	-1.17515475E+002	
-8.82654974E+000	-1.17497026E+002	
-8.80583644E+000	-1.17511700E+002	
-8.78512313E+000	-1.17501633E+002	
-8.76440983E+000	-1.17504337E+002	
-8.74369652E+000	-1.17571517E+002	
-8.72298322E+000	-1.17592068E+002	
-8.70226991E+000	-1.17524235E+002	
-8.68155661E+000	-1.17503877E+002	
-8.66084330E+000	-1.17531028E+002	
-8.64013000E+000	-1.17488293E+002	
-8.61941669E+000	-1.17439509E+002	
-8.59870339E+000	-1.17459764E+002	
-8.57799008E+000	-1.17457819E+002	
-8.55727678E+000	-1.17433272E+002	
