Acquired on 5/10/2021 at 11:19:13
Calibrated on 5/10/2021 at 10:35:08
Device Descriptor:  [none]
Scan Range (nm):  1539.624  --  1560.517
Measurement Type:  Reflection
Group Index:  1.500
Gain:  24 dB
Domain:  Time
Spatial Resolution (mm):  50.000000
Frequency domain window was applied to measurement data.
Number of Data Points (in this file):  16384
NOTE: Data stored in this file is decimated by a factor of 64.

Time (ns)	Amplitude (dB)	
-1.00072081E+001	-1.20331583E+002	
-9.98649484E+000	-1.20006477E+002	
-9.96578154E+000	-1.19676395E+002	
-9.94506823E+000	-1.19420844E+002	
-9.92435493E+000	-1.19196572E+002	
-9.90364162E+000	-1.18960589E+002	
-9.88292832E+000	-1.18746553E+002	
-9.86221501E+000	-1.18526510E+002	
-9.84150171E+000	-1.18338548E+002	
-9.82078840E+000	-1.18158659E+002	
-9.80007509E+000	-1.17948739E+002	
-9.77936179E+000	-1.17758963E+002	
-9.75864848E+000	-1.17705961E+002	
-9.73793518E+000	-1.17738750E+002	
-9.71722187E+000	-1.17737840E+002	
-9.69650857E+000	-1.17747915E+002	
-9.67579526E+000	-1.17819740E+002	
-9.65508196E+000	-1.17800963E+002	
-9.63436865E+000	-1.17743744E+002	
-9.61365535E+000	-1.17740657E+002	
-9.59294204E+000	-1.17751342E+002	
-9.57222874E+000	-1.17792815E+002	
-9.55151543E+000	-1.17825981E+002	
-9.53080213E+000	-1.17805380E+002	
-9.51008882E+000	-1.17833178E+002	
-9.48937552E+000	-1.17850429E+002	
-9.46866221E+000	-1.17837135E+002	
-9.44794890E+000	-1.17809214E+002	
-9.42723560E+000	-1.17755222E+002	
-9.40652229E+000	-1.17737199E+002	
-9.38580899E+000	-1.17701785E+002	
-9.36509568E+000	-1.17695758E+002	
-9.34438238E+000	-1.17645433E+002	
-9.32366907E+000	-1.17614190E+002	
-9.30295577E+000	-1.17624349E+002	
-9.28224246E+000	-1.17633005E+002	
-9.26152916E+000	-1.17583010E+002	
-9.24081585E+000	-1.17516780E+002	
-9.22010255E+000	-1.17490296E+002	
-9.19938924E+000	-1.17521352E+002	
-9.17867594E+000	-1.17491940E+002	
-9.15796263E+000	-1.17482948E+002	
-9.13724932E+000	-1.17544898E+002	
-9.11653602E+000	-1.17557829E+002	
-9.09582271E+000	-1.17535438E+002	
-9.07510941E+000	-1.17524869E+002	
-9.05439610E+000	-1.17511782E+002	
-9.03368280E+000	-1.17394393E+002	
-9.01296949E+000	-1.17381960E+002	
-8.99225619E+000	-1.17384166E+002	
-8.97154288E+000	-1.17429936E+002	
-8.95082958E+000	-1.17441557E+002	
-8.93011627E+000	-1.17464721E+002	
-8.90940297E+000	-1.17492541E+002	
-8.88868966E+000	-1.17519292E+002	
-8.86797636E+000	-1.17506225E+002	
-8.84726305E+000	-1.17512271E+002	
-8.82654974E+000	-1.17495007E+002	
-8.80583644E+000	-1.17510998E+002	
-8.78512313E+000	-1.17503508E+002	
-8.76440983E+000	-1.17507289E+002	
-8.74369652E+000	-1.17569798E+002	
-8.72298322E+000	-1.17593306E+002	
-8.70226991E+000	-1.17530848E+002	
