Acquired on 5/10/2021 at 15:32:20
Calibrated on 5/10/2021 at 10:35:08
Device Descriptor:  [none]
Scan Range (nm):  1539.624  --  1560.517
Measurement Type:  Reflection
Group Index:  1.500
Gain:  24 dB
Domain:  Time
Spatial Resolution (mm):  50.000000
Frequency domain window was applied to measurement data.
Number of Data Points (in this file):  16384
NOTE: Data stored in this file is decimated by a factor of 64.

Time (ns)	Amplitude (dB)	
-1.00072081E+001	-1.20266720E+002	
-9.98649484E+000	-1.19934608E+002	
-9.96578154E+000	-1.19607559E+002	
-9.94506823E+000	-1.19354876E+002	
-9.92435493E+000	-1.19122731E+002	
-9.90364162E+000	-1.18893027E+002	
-9.88292832E+000	-1.18682852E+002	
-9.86221501E+000	-1.18462788E+002	
-9.84150171E+000	-1.18268846E+002	
-9.82078840E+000	-1.18091126E+002	
-9.80007509E+000	-1.17883866E+002	
-9.77936179E+000	-1.17697615E+002	
-9.75864848E+000	-1.17640653E+002	
-9.73793518E+000	-1.17663671E+002	
-9.71722187E+000	-1.17659248E+002	
-9.69650857E+000	-1.17669313E+002	
-9.67579526E+000	-1.17744317E+002	
-9.65508196E+000	-1.17727946E+002	
-9.63436865E+000	-1.17669574E+002	
-9.61365535E+000	-1.17659834E+002	
-9.59294204E+000	-1.17679647E+002	
-9.57222874E+000	-1.17713837E+002	
-9.55151543E+000	-1.17742410E+002	
-9.53080213E+000	-1.17727469E+002	
-9.51008882E+000	-1.17765227E+002	
-9.48937552E+000	-1.17792585E+002	
-9.46866221E+000	-1.17784264E+002	
-9.44794890E+000	-1.17755021E+002	
-9.42723560E+000	-1.17705287E+002	
-9.40652229E+000	-1.17690661E+002	
-9.38580899E+000	-1.17656691E+002	
-9.36509568E+000	-1.17651276E+002	
-9.34438238E+000	-1.17606040E+002	
-9.32366907E+000	-1.17579122E+002	
-9.30295577E+000	-1.17589503E+002	
-9.28224246E+000	-1.17597713E+002	
-9.26152916E+000	-1.17546549E+002	
-9.24081585E+000	-1.17481907E+002	
-9.22010255E+000	-1.17466498E+002	
-9.19938924E+000	-1.17499198E+002	
-9.17867594E+000	-1.17471003E+002	
-9.15796263E+000	-1.17459953E+002	
-9.13724932E+000	-1.17523599E+002	
-9.11653602E+000	-1.17533995E+002	
-9.09582271E+000	-1.17512066E+002	
-9.07510941E+000	-1.17507213E+002	
-9.05439610E+000	-1.17492533E+002	
-9.03368280E+000	-1.17371802E+002	
-9.01296949E+000	-1.17361279E+002	
-8.99225619E+000	-1.17360211E+002	
-8.97154288E+000	-1.17401952E+002	
-8.95082958E+000	-1.17412521E+002	
-8.93011627E+000	-1.17440828E+002	
-8.90940297E+000	-1.17462945E+002	
-8.88868966E+000	-1.17486044E+002	
-8.86797636E+000	-1.17474370E+002	
-8.84726305E+000	-1.17478530E+002	
-8.82654974E+000	-1.17453588E+002	
-8.80583644E+000	-1.17468131E+002	
-8.78512313E+000	-1.17460882E+002	
-8.76440983E+000	-1.17463180E+002	
-8.74369652E+000	-1.17530918E+002	
-8.72298322E+000	-1.17547195E+002	
-8.70226991E+000	-1.17485711E+002	
-8.68155661E+000	-1.17468313E+002	
-8.66084330E+000	-1.17492539E+002	
-8.64013000E+000	-1.17448065E+002	
-8.61941669E+000	-1.17410309E+002	
-8.59870339E+000	-1.17431126E+002	
-8.57799008E+000	-1.17428963E+002	
-8.55727678E+000	-1.17409351E+002	
-8.53656347E+000	-1.17519590E+002	
-8.51585017E+000	-1.17517392E+002	
-8.49513686E+000	-1.17517469E+002	
-8.47442355E+000	-1.17507230E+002	
-8.45371025E+000	-1.17522100E+002	
-8.43299694E+000	-1.17553121E+002	
-8.41228364E+000	-1.17524820E+002	
-8.39157033E+000	-1.17516909E+002	
-8.37085703E+000	-1.17560818E+002	
-8.35014372E+000	-1.17583986E+002	
-8.32943042E+000	-1.17618674E+002	
-8.30871711E+000	-1.17572464E+002	
-8.28800381E+000	-1.17607047E+002	
-8.26729050E+000	-1.17612559E+002	
-8.24657720E+000	-1.17606668E+002	
-8.22586389E+000	-1.17585844E+002	
-8.20515059E+000	-1.17634089E+002	
-8.18443728E+000	-1.17631073E+002	
-8.16372397E+000	-1.17620782E+002	
-8.14301067E+000	-1.17580438E+002	
-8.12229736E+000	-1.17589212E+002	
-8.10158406E+000	-1.17601413E+002	
-8.08087075E+000	-1.17601636E+002	
-8.06015745E+000	-1.17575390E+002	
-8.03944414E+000	-1.17532939E+002	
-8.01873084E+000	-1.17564548E+002	
-7.99801753E+000	-1.17559798E+002	
-7.97730423E+000	-1.17543740E+002	
-7.95659092E+000	-1.17515961E+002	
-7.93587762E+000	-1.17529665E+002	
-7.91516431E+000	-1.17557977E+002	
-7.89445101E+000	-1.17549381E+002	
-7.87373770E+000	-1.17526795E+002	
-7.85302439E+000	-1.17523170E+002	
-7.83231109E+000	-1.17500276E+002	
-7.81159778E+000	-1.17548465E+002	
-7.79088448E+000	-1.17569010E+002	
-7.77017117E+000	-1.17590060E+002	
-7.74945787E+000	-1.17594931E+002	
-7.72874456E+000	-1.17610422E+002	
-7.70803126E+000	-1.17570974E+002	
-7.68731795E+000	-1.17599325E+002	
-7.66660465E+000	-1.17592936E+002	
-7.64589134E+000	-1.17608495E+002	
-7.62517804E+000	-1.17609562E+002	
-7.60446473E+000	-1.17524139E+002	
