Acquired on 5/10/2021 at 15:48:13
Calibrated on 5/10/2021 at 10:35:08
Device Descriptor:  [none]
Scan Range (nm):  1539.624  --  1560.517
Measurement Type:  Reflection
Group Index:  1.500
Gain:  24 dB
Domain:  Time
Spatial Resolution (mm):  50.000000
Frequency domain window was applied to measurement data.
Number of Data Points (in this file):  16384
NOTE: Data stored in this file is decimated by a factor of 64.

Time (ns)	Amplitude (dB)	
-1.00072081E+001	-1.20298278E+002	
-9.98649484E+000	-1.19979801E+002	
-9.96578154E+000	-1.19659827E+002	
-9.94506823E+000	-1.19401183E+002	
-9.92435493E+000	-1.19171490E+002	
-9.90364162E+000	-1.18939392E+002	
-9.88292832E+000	-1.18725380E+002	
-9.86221501E+000	-1.18503413E+002	
-9.84150171E+000	-1.18312530E+002	
-9.82078840E+000	-1.18133831E+002	
-9.80007509E+000	-1.17925705E+002	
-9.77936179E+000	-1.17741878E+002	
-9.75864848E+000	-1.17684055E+002	
-9.73793518E+000	-1.17718981E+002	
-9.71722187E+000	-1.17721397E+002	
-9.69650857E+000	-1.17734306E+002	
-9.67579526E+000	-1.17803267E+002	
-9.65508196E+000	-1.17784236E+002	
-9.63436865E+000	-1.17728385E+002	
-9.61365535E+000	-1.17726026E+002	
-9.59294204E+000	-1.17744660E+002	
-9.57222874E+000	-1.17785508E+002	
-9.55151543E+000	-1.17813713E+002	
-9.53080213E+000	-1.17794221E+002	
-9.51008882E+000	-1.17824446E+002	
-9.48937552E+000	-1.17837776E+002	
-9.46866221E+000	-1.17818512E+002	
-9.44794890E+000	-1.17791821E+002	
-9.42723560E+000	-1.17739972E+002	
-9.40652229E+000	-1.17721593E+002	
-9.38580899E+000	-1.17688152E+002	
-9.36509568E+000	-1.17685483E+002	
-9.34438238E+000	-1.17636510E+002	
-9.32366907E+000	-1.17607112E+002	
-9.30295577E+000	-1.17615052E+002	
-9.28224246E+000	-1.17615111E+002	
-9.26152916E+000	-1.17566025E+002	
-9.24081585E+000	-1.17495343E+002	
-9.22010255E+000	-1.17471003E+002	
-9.19938924E+000	-1.17498789E+002	
-9.17867594E+000	-1.17465104E+002	
-9.15796263E+000	-1.17456185E+002	
-9.13724932E+000	-1.17516583E+002	
-9.11653602E+000	-1.17522192E+002	
-9.09582271E+000	-1.17497544E+002	
-9.07510941E+000	-1.17490080E+002	
-9.05439610E+000	-1.17477398E+002	
-9.03368280E+000	-1.17363133E+002	
-9.01296949E+000	-1.17357214E+002	
-8.99225619E+000	-1.17361205E+002	
-8.97154288E+000	-1.17408533E+002	
-8.95082958E+000	-1.17419210E+002	
-8.93011627E+000	-1.17447002E+002	
-8.90940297E+000	-1.17474102E+002	
-8.88868966E+000	-1.17499417E+002	
-8.86797636E+000	-1.17490248E+002	
-8.84726305E+000	-1.17498654E+002	
-8.82654974E+000	-1.17485869E+002	
-8.80583644E+000	-1.17509199E+002	
-8.78512313E+000	-1.17504946E+002	
-8.76440983E+000	-1.17505805E+002	
-8.74369652E+000	-1.17571426E+002	
-8.72298322E+000	-1.17594140E+002	
-8.70226991E+000	-1.17527895E+002	
-8.68155661E+000	-1.17512618E+002	
-8.66084330E+000	-1.17537089E+002	
-8.64013000E+000	-1.17490967E+002	
-8.61941669E+000	-1.17443623E+002	
-8.59870339E+000	-1.17465562E+002	
-8.57799008E+000	-1.17461246E+002	
-8.55727678E+000	-1.17434868E+002	
-8.53656347E+000	-1.17553441E+002	
-8.51585017E+000	-1.17548094E+002	
-8.49513686E+000	-1.17545012E+002	
-8.47442355E+000	-1.17536195E+002	
-8.45371025E+000	-1.17554545E+002	
-8.43299694E+000	-1.17579804E+002	
-8.41228364E+000	-1.17550788E+002	
-8.39157033E+000	-1.17538777E+002	
-8.37085703E+000	-1.17581797E+002	
-8.35014372E+000	-1.17599676E+002	
-8.32943042E+000	-1.17622128E+002	
-8.30871711E+000	-1.17567388E+002	
-8.28800381E+000	-1.17603652E+002	
-8.26729050E+000	-1.17606225E+002	
-8.24657720E+000	-1.17597754E+002	
-8.22586389E+000	-1.17576667E+002	
-8.20515059E+000	-1.17625285E+002	
-8.18443728E+000	-1.17624982E+002	
-8.16372397E+000	-1.17617151E+002	
-8.14301067E+000	-1.17582471E+002	
-8.12229736E+000	-1.17596178E+002	
-8.10158406E+000	-1.17609401E+002	
-8.08087075E+000	-1.17608681E+002	
-8.06015745E+000	-1.17585229E+002	
-8.03944414E+000	-1.17535485E+002	
-8.01873084E+000	-1.17563996E+002	
-7.99801753E+000	-1.17562535E+002	
-7.97730423E+000	-1.17558718E+002	
-7.95659092E+000	-1.17539031E+002	
-7.93587762E+000	-1.17561859E+002	
-7.91516431E+000	-1.17593020E+002	
-7.89445101E+000	-1.17587612E+002	
