Acquired on 5/10/2021 at 16:02:10
Calibrated on 5/10/2021 at 10:35:08
Device Descriptor:  [none]
Scan Range (nm):  1539.624  --  1560.517
Measurement Type:  Reflection
Group Index:  1.500
Gain:  24 dB
Domain:  Time
Spatial Resolution (mm):  50.000000
Frequency domain window was applied to measurement data.
Number of Data Points (in this file):  16384
NOTE: Data stored in this file is decimated by a factor of 64.

Time (ns)	Amplitude (dB)	
-1.00072081E+001	-1.20295716E+002	
-9.98649484E+000	-1.19973852E+002	
-9.96578154E+000	-1.19650917E+002	
-9.94506823E+000	-1.19396080E+002	
-9.92435493E+000	-1.19171554E+002	
-9.90364162E+000	-1.18936438E+002	
-9.88292832E+000	-1.18716716E+002	
-9.86221501E+000	-1.18498824E+002	
-9.84150171E+000	-1.18310057E+002	
-9.82078840E+000	-1.18130172E+002	
-9.80007509E+000	-1.17923487E+002	
-9.77936179E+000	-1.17735160E+002	
-9.75864848E+000	-1.17675691E+002	
-9.73793518E+000	-1.17704213E+002	
-9.71722187E+000	-1.17699319E+002	
-9.69650857E+000	-1.17708075E+002	
-9.67579526E+000	-1.17775946E+002	
-9.65508196E+000	-1.17747695E+002	
-9.63436865E+000	-1.17693680E+002	
-9.61365535E+000	-1.17693069E+002	
-9.59294204E+000	-1.17712197E+002	
-9.57222874E+000	-1.17757984E+002	
-9.55151543E+000	-1.17785815E+002	
-9.53080213E+000	-1.17767631E+002	
-9.51008882E+000	-1.17793504E+002	
-9.48937552E+000	-1.17810125E+002	
-9.46866221E+000	-1.17790124E+002	
-9.44794890E+000	-1.17763046E+002	
-9.42723560E+000	-1.17711688E+002	
-9.40652229E+000	-1.17696519E+002	
-9.38580899E+000	-1.17667522E+002	
-9.36509568E+000	-1.17661711E+002	
-9.34438238E+000	-1.17613742E+002	
-9.32366907E+000	-1.17586290E+002	
-9.30295577E+000	-1.17590442E+002	
-9.28224246E+000	-1.17597412E+002	
-9.26152916E+000	-1.17551481E+002	
-9.24081585E+000	-1.17487744E+002	
-9.22010255E+000	-1.17473126E+002	
-9.19938924E+000	-1.17504744E+002	
-9.17867594E+000	-1.17476692E+002	
-9.15796263E+000	-1.17473284E+002	
-9.13724932E+000	-1.17533567E+002	
-9.11653602E+000	-1.17534327E+002	
-9.09582271E+000	-1.17505695E+002	
-9.07510941E+000	-1.17500371E+002	
-9.05439610E+000	-1.17487281E+002	
-9.03368280E+000	-1.17367022E+002	
-9.01296949E+000	-1.17366737E+002	
-8.99225619E+000	-1.17374356E+002	
-8.97154288E+000	-1.17426688E+002	
-8.95082958E+000	-1.17434915E+002	
-8.93011627E+000	-1.17459615E+002	
-8.90940297E+000	-1.17485551E+002	
-8.88868966E+000	-1.17512494E+002	
-8.86797636E+000	-1.17504143E+002	
-8.84726305E+000	-1.17508023E+002	
-8.82654974E+000	-1.17487167E+002	
-8.80583644E+000	-1.17506959E+002	
-8.78512313E+000	-1.17499996E+002	
-8.76440983E+000	-1.17506401E+002	
-8.74369652E+000	-1.17575015E+002	
-8.72298322E+000	-1.17591461E+002	
-8.70226991E+000	-1.17522774E+002	
-8.68155661E+000	-1.17501075E+002	
-8.66084330E+000	-1.17524281E+002	
-8.64013000E+000	-1.17472301E+002	
-8.61941669E+000	-1.17428108E+002	
-8.59870339E+000	-1.17458809E+002	
-8.57799008E+000	-1.17451458E+002	
-8.55727678E+000	-1.17420618E+002	
-8.53656347E+000	-1.17538108E+002	
-8.51585017E+000	-1.17537382E+002	
-8.49513686E+000	-1.17523849E+002	
-8.47442355E+000	-1.17507581E+002	
-8.45371025E+000	-1.17523992E+002	
-8.43299694E+000	-1.17548257E+002	
-8.41228364E+000	-1.17515338E+002	
-8.39157033E+000	-1.17499881E+002	
-8.37085703E+000	-1.17543926E+002	
-8.35014372E+000	-1.17560475E+002	
-8.32943042E+000	-1.17591567E+002	
-8.30871711E+000	-1.17541624E+002	
-8.28800381E+000	-1.17573275E+002	
-8.26729050E+000	-1.17567272E+002	
-8.24657720E+000	-1.17554235E+002	
-8.22586389E+000	-1.17533493E+002	
-8.20515059E+000	-1.17585851E+002	
-8.18443728E+000	-1.17587067E+002	
