Acquired on 5/10/2021 at 16:21:14
Calibrated on 5/10/2021 at 10:35:08
Device Descriptor:  [none]
Scan Range (nm):  1539.624  --  1560.517
Measurement Type:  Reflection
Group Index:  1.500
Gain:  24 dB
Domain:  Time
Spatial Resolution (mm):  50.000000
Frequency domain window was applied to measurement data.
Number of Data Points (in this file):  16384
NOTE: Data stored in this file is decimated by a factor of 64.

Time (ns)	Amplitude (dB)	
-1.00072081E+001	-1.20308272E+002	
-9.98649484E+000	-1.19988944E+002	
-9.96578154E+000	-1.19660088E+002	
-9.94506823E+000	-1.19402786E+002	
-9.92435493E+000	-1.19173401E+002	
-9.90364162E+000	-1.18939684E+002	
-9.88292832E+000	-1.18725071E+002	
-9.86221501E+000	-1.18504540E+002	
-9.84150171E+000	-1.18312517E+002	
-9.82078840E+000	-1.18130945E+002	
-9.80007509E+000	-1.17924075E+002	
-9.77936179E+000	-1.17740998E+002	
-9.75864848E+000	-1.17686672E+002	
-9.73793518E+000	-1.17717244E+002	
-9.71722187E+000	-1.17715463E+002	
-9.69650857E+000	-1.17723617E+002	
-9.67579526E+000	-1.17798631E+002	
-9.65508196E+000	-1.17782915E+002	
-9.63436865E+000	-1.17730121E+002	
-9.61365535E+000	-1.17728220E+002	
-9.59294204E+000	-1.17743254E+002	
-9.57222874E+000	-1.17782582E+002	
-9.55151543E+000	-1.17807033E+002	
-9.53080213E+000	-1.17785585E+002	
-9.51008882E+000	-1.17818173E+002	
-9.48937552E+000	-1.17833654E+002	
-9.46866221E+000	-1.17818296E+002	
-9.44794890E+000	-1.17788806E+002	
-9.42723560E+000	-1.17736700E+002	
-9.40652229E+000	-1.17719446E+002	
-9.38580899E+000	-1.17687036E+002	
-9.36509568E+000	-1.17680269E+002	
-9.34438238E+000	-1.17630727E+002	
-9.32366907E+000	-1.17605684E+002	
-9.30295577E+000	-1.17612699E+002	
-9.28224246E+000	-1.17616111E+002	
-9.26152916E+000	-1.17566824E+002	
-9.24081585E+000	-1.17498210E+002	
-9.22010255E+000	-1.17477526E+002	
-9.19938924E+000	-1.17508174E+002	
-9.17867594E+000	-1.17475086E+002	
-9.15796263E+000	-1.17464057E+002	
-9.13724932E+000	-1.17521273E+002	
-9.11653602E+000	-1.17531800E+002	
-9.09582271E+000	-1.17511685E+002	
-9.07510941E+000	-1.17503859E+002	
-9.05439610E+000	-1.17498446E+002	
-9.03368280E+000	-1.17383208E+002	
-9.01296949E+000	-1.17368955E+002	
-8.99225619E+000	-1.17372422E+002	
-8.97154288E+000	-1.17418280E+002	
-8.95082958E+000	-1.17433505E+002	
-8.93011627E+000	-1.17460685E+002	
-8.90940297E+000	-1.17488709E+002	
-8.88868966E+000	-1.17514543E+002	
-8.86797636E+000	-1.17503603E+002	
-8.84726305E+000	-1.17514771E+002	
-8.82654974E+000	-1.17497879E+002	
-8.80583644E+000	-1.17519299E+002	
-8.78512313E+000	-1.17511068E+002	
-8.76440983E+000	-1.17513018E+002	
-8.74369652E+000	-1.17576000E+002	
-8.72298322E+000	-1.17596186E+002	
-8.70226991E+000	-1.17529217E+002	
-8.68155661E+000	-1.17513805E+002	
-8.66084330E+000	-1.17539856E+002	
-8.64013000E+000	-1.17488658E+002	
