Acquired on 5/10/2021 at 16:43:49
Calibrated on 5/10/2021 at 10:35:08
Device Descriptor:  [none]
Scan Range (nm):  1539.624  --  1560.517
Measurement Type:  Reflection
Group Index:  1.500
Gain:  24 dB
Domain:  Time
Spatial Resolution (mm):  50.000000
Frequency domain window was applied to measurement data.
Number of Data Points (in this file):  16384
NOTE: Data stored in this file is decimated by a factor of 64.

Time (ns)	Amplitude (dB)	
-1.00072081E+001	-1.20304752E+002	
-9.98649484E+000	-1.19979945E+002	
-9.96578154E+000	-1.19653925E+002	
-9.94506823E+000	-1.19393671E+002	
-9.92435493E+000	-1.19165556E+002	
-9.90364162E+000	-1.18927148E+002	
-9.88292832E+000	-1.18713873E+002	
-9.86221501E+000	-1.18492116E+002	
-9.84150171E+000	-1.18304413E+002	
-9.82078840E+000	-1.18127100E+002	
-9.80007509E+000	-1.17917846E+002	
-9.77936179E+000	-1.17729849E+002	
-9.75864848E+000	-1.17671512E+002	
-9.73793518E+000	-1.17695695E+002	
-9.71722187E+000	-1.17689531E+002	
-9.69650857E+000	-1.17698155E+002	
-9.67579526E+000	-1.17767250E+002	
-9.65508196E+000	-1.17752746E+002	
-9.63436865E+000	-1.17700597E+002	
-9.61365535E+000	-1.17694799E+002	
-9.59294204E+000	-1.17708268E+002	
-9.57222874E+000	-1.17746951E+002	
-9.55151543E+000	-1.17771225E+002	
-9.53080213E+000	-1.17751986E+002	
-9.51008882E+000	-1.17784674E+002	
-9.48937552E+000	-1.17804773E+002	
-9.46866221E+000	-1.17788721E+002	
-9.44794890E+000	-1.17763488E+002	
-9.42723560E+000	-1.17712908E+002	
-9.40652229E+000	-1.17700635E+002	
-9.38580899E+000	-1.17664562E+002	
-9.36509568E+000	-1.17662726E+002	
-9.34438238E+000	-1.17612233E+002	
-9.32366907E+000	-1.17579747E+002	
-9.30295577E+000	-1.17586380E+002	
-9.28224246E+000	-1.17594509E+002	
-9.26152916E+000	-1.17552891E+002	
-9.24081585E+000	-1.17495785E+002	
-9.22010255E+000	-1.17474412E+002	
-9.19938924E+000	-1.17508013E+002	
-9.17867594E+000	-1.17480880E+002	
-9.15796263E+000	-1.17467293E+002	
-9.13724932E+000	-1.17526722E+002	
-9.11653602E+000	-1.17534707E+002	
-9.09582271E+000	-1.17516390E+002	
-9.07510941E+000	-1.17513946E+002	
-9.05439610E+000	-1.17503582E+002	
-9.03368280E+000	-1.17383948E+002	
-9.01296949E+000	-1.17371198E+002	
-8.99225619E+000	-1.17369593E+002	
-8.97154288E+000	-1.17415698E+002	
-8.95082958E+000	-1.17427163E+002	
-8.93011627E+000	-1.17451859E+002	
-8.90940297E+000	-1.17475885E+002	
-8.88868966E+000	-1.17502416E+002	
-8.86797636E+000	-1.17490565E+002	
-8.84726305E+000	-1.17498031E+002	
-8.82654974E+000	-1.17482593E+002	
-8.80583644E+000	-1.17505485E+002	
-8.78512313E+000	-1.17499139E+002	
-8.76440983E+000	-1.17494232E+002	
-8.74369652E+000	-1.17551267E+002	
-8.72298322E+000	-1.17569210E+002	
-8.70226991E+000	-1.17500104E+002	
-8.68155661E+000	-1.17478823E+002	
-8.66084330E+000	-1.17503414E+002	
-8.64013000E+000	-1.17457003E+002	
-8.61941669E+000	-1.17414217E+002	
-8.59870339E+000	-1.17433692E+002	
-8.57799008E+000	-1.17431946E+002	
-8.55727678E+000	-1.17399790E+002	
-8.53656347E+000	-1.17509413E+002	
-8.51585017E+000	-1.17511677E+002	
-8.49513686E+000	-1.17512785E+002	
-8.47442355E+000	-1.17502367E+002	
-8.45371025E+000	-1.17516300E+002	
-8.43299694E+000	-1.17548530E+002	
-8.41228364E+000	-1.17520168E+002	
-8.39157033E+000	-1.17508357E+002	
-8.37085703E+000	-1.17549539E+002	
-8.35014372E+000	-1.17567005E+002	
-8.32943042E+000	-1.17591367E+002	
-8.30871711E+000	-1.17537649E+002	
-8.28800381E+000	-1.17573051E+002	
-8.26729050E+000	-1.17572515E+002	
-8.24657720E+000	-1.17567976E+002	
-8.22586389E+000	-1.17549035E+002	
-8.20515059E+000	-1.17602817E+002	
-8.18443728E+000	-1.17602822E+002	
-8.16372397E+000	-1.17595998E+002	
-8.14301067E+000	-1.17566638E+002	
-8.12229736E+000	-1.17581579E+002	
-8.10158406E+000	-1.17588110E+002	
-8.08087075E+000	-1.17588034E+002	
-8.06015745E+000	-1.17565064E+002	
-8.03944414E+000	-1.17518274E+002	
-8.01873084E+000	-1.17541617E+002	
-7.99801753E+000	-1.17543108E+002	
-7.97730423E+000	-1.17532319E+002	
-7.95659092E+000	-1.17510917E+002	
-7.93587762E+000	-1.17525873E+002	
-7.91516431E+000	-1.17560712E+002	
-7.89445101E+000	-1.17554167E+002	
-7.87373770E+000	-1.17532000E+002	
-7.85302439E+000	-1.17529676E+002	
-7.83231109E+000	-1.17510415E+002	
-7.81159778E+000	-1.17562065E+002	
-7.79088448E+000	-1.17579339E+002	
-7.77017117E+000	-1.17595489E+002	
-7.74945787E+000	-1.17608313E+002	
-7.72874456E+000	-1.17626162E+002	
-7.70803126E+000	-1.17591782E+002	
-7.68731795E+000	-1.17625282E+002	
-7.66660465E+000	-1.17612868E+002	
-7.64589134E+000	-1.17622463E+002	
-7.62517804E+000	-1.17622443E+002	
-7.60446473E+000	-1.17543632E+002	
