Acquired on 5/10/2021 at 15:28:11
Calibrated on 5/10/2021 at 10:35:08
Device Descriptor:  [none]
Scan Range (nm):  1539.624  --  1560.517
Measurement Type:  Reflection
Group Index:  1.500
Gain:  24 dB
Domain:  Time
Spatial Resolution (mm):  50.000000
Frequency domain window was applied to measurement data.
Number of Data Points (in this file):  16384
NOTE: Data stored in this file is decimated by a factor of 64.

Time (ns)	Amplitude (dB)	
-1.00072081E+001	-1.20316705E+002	
-9.98649484E+000	-1.19994239E+002	
-9.96578154E+000	-1.19672851E+002	
-9.94506823E+000	-1.19420890E+002	
-9.92435493E+000	-1.19189604E+002	
-9.90364162E+000	-1.18956493E+002	
-9.88292832E+000	-1.18738754E+002	
-9.86221501E+000	-1.18519725E+002	
-9.84150171E+000	-1.18322527E+002	
-9.82078840E+000	-1.18140656E+002	
-9.80007509E+000	-1.17928188E+002	
-9.77936179E+000	-1.17742509E+002	
-9.75864848E+000	-1.17685986E+002	
-9.73793518E+000	-1.17711281E+002	
-9.71722187E+000	-1.17712480E+002	
-9.69650857E+000	-1.17724169E+002	
-9.67579526E+000	-1.17795800E+002	
-9.65508196E+000	-1.17770634E+002	
-9.63436865E+000	-1.17705402E+002	
-9.61365535E+000	-1.17695621E+002	
-9.59294204E+000	-1.17705827E+002	
-9.57222874E+000	-1.17740990E+002	
-9.55151543E+000	-1.17761498E+002	
-9.53080213E+000	-1.17745621E+002	
-9.51008882E+000	-1.17773403E+002	
-9.48937552E+000	-1.17787980E+002	
-9.46866221E+000	-1.17766896E+002	
-9.44794890E+000	-1.17731687E+002	
-9.42723560E+000	-1.17680703E+002	
-9.40652229E+000	-1.17665955E+002	
-9.38580899E+000	-1.17636041E+002	
-9.36509568E+000	-1.17628843E+002	
-9.34438238E+000	-1.17583687E+002	
-9.32366907E+000	-1.17556572E+002	
-9.30295577E+000	-1.17569779E+002	
-9.28224246E+000	-1.17574866E+002	
-9.26152916E+000	-1.17525962E+002	
-9.24081585E+000	-1.17456795E+002	
-9.22010255E+000	-1.17442510E+002	
-9.19938924E+000	-1.17472851E+002	
-9.17867594E+000	-1.17440753E+002	
-9.15796263E+000	-1.17437473E+002	
-9.13724932E+000	-1.17500523E+002	
-9.11653602E+000	-1.17513354E+002	
-9.09582271E+000	-1.17488227E+002	
-9.07510941E+000	-1.17487151E+002	
-9.05439610E+000	-1.17476663E+002	
-9.03368280E+000	-1.17359849E+002	
-9.01296949E+000	-1.17352682E+002	
-8.99225619E+000	-1.17354606E+002	
-8.97154288E+000	-1.17406302E+002	
-8.95082958E+000	-1.17420002E+002	
-8.93011627E+000	-1.17442459E+002	
-8.90940297E+000	-1.17461297E+002	
-8.88868966E+000	-1.17482180E+002	
-8.86797636E+000	-1.17470794E+002	
-8.84726305E+000	-1.17478064E+002	
-8.82654974E+000	-1.17463577E+002	
-8.80583644E+000	-1.17481387E+002	
-8.78512313E+000	-1.17474596E+002	
-8.76440983E+000	-1.17475527E+002	
-8.74369652E+000	-1.17546664E+002	
-8.72298322E+000	-1.17562763E+002	
-8.70226991E+000	-1.17490175E+002	
-8.68155661E+000	-1.17469768E+002	
-8.66084330E+000	-1.17494463E+002	
-8.64013000E+000	-1.17447088E+002	
-8.61941669E+000	-1.17401563E+002	
-8.59870339E+000	-1.17426674E+002	
-8.57799008E+000	-1.17423708E+002	
-8.55727678E+000	-1.17403488E+002	
-8.53656347E+000	-1.17510190E+002	
-8.51585017E+000	-1.17518680E+002	
-8.49513686E+000	-1.17518011E+002	
-8.47442355E+000	-1.17506348E+002	
-8.45371025E+000	-1.17523502E+002	
-8.43299694E+000	-1.17558084E+002	
-8.41228364E+000	-1.17537976E+002	
-8.39157033E+000	-1.17525360E+002	
-8.37085703E+000	-1.17567140E+002	
-8.35014372E+000	-1.17580845E+002	
-8.32943042E+000	-1.17598710E+002	
-8.30871711E+000	-1.17549453E+002	
-8.28800381E+000	-1.17582769E+002	
-8.26729050E+000	-1.17589690E+002	
-8.24657720E+000	-1.17585369E+002	
-8.22586389E+000	-1.17566040E+002	
-8.20515059E+000	-1.17620440E+002	
-8.18443728E+000	-1.17625045E+002	
-8.16372397E+000	-1.17614378E+002	
-8.14301067E+000	-1.17579921E+002	
-8.12229736E+000	-1.17593606E+002	
-8.10158406E+000	-1.17598566E+002	
-8.08087075E+000	-1.17597961E+002	
-8.06015745E+000	-1.17568522E+002	
-8.03944414E+000	-1.17533719E+002	
-8.01873084E+000	-1.17554323E+002	
-7.99801753E+000	-1.17556120E+002	
-7.97730423E+000	-1.17550457E+002	
-7.95659092E+000	-1.17522648E+002	
-7.93587762E+000	-1.17539512E+002	
-7.91516431E+000	-1.17569855E+002	
-7.89445101E+000	-1.17565084E+002	
-7.87373770E+000	-1.17548877E+002	
-7.85302439E+000	-1.17550557E+002	
-7.83231109E+000	-1.17534966E+002	
-7.81159778E+000	-1.17581183E+002	
-7.79088448E+000	-1.17598878E+002	
-7.77017117E+000	-1.17614940E+002	
-7.74945787E+000	-1.17616939E+002	
-7.72874456E+000	-1.17630807E+002	
-7.70803126E+000	-1.17600705E+002	
-7.68731795E+000	-1.17633307E+002	
-7.66660465E+000	-1.17620868E+002	
-7.64589134E+000	-1.17627967E+002	
-7.62517804E+000	-1.17627972E+002	
-7.60446473E+000	-1.17545881E+002	
-7.58375143E+000	-1.17562596E+002	
-7.56303812E+000	-1.17600742E+002	
-7.54232482E+000	-1.17657440E+002	
-7.52161151E+000	-1.17642659E+002	
-7.50089820E+000	-1.17651111E+002	
-7.48018490E+000	-1.17631504E+002	
-7.45947159E+000	-1.17675731E+002	
-7.43875829E+000	-1.17600954E+002	
-7.41804498E+000	-1.17527294E+002	
-7.39733168E+000	-1.17564227E+002	
-7.37661837E+000	-1.17558935E+002	
-7.35590507E+000	-1.17569535E+002	
-7.33519176E+000	-1.17598917E+002	
-7.31447846E+000	-1.17624817E+002	
-7.29376515E+000	-1.17606859E+002	
-7.27305185E+000	-1.17572157E+002	
-7.25233854E+000	-1.17596173E+002	
-7.23162524E+000	-1.17594999E+002	
-7.21091193E+000	-1.17581442E+002	
-7.19019862E+000	-1.17572955E+002	
-7.16948532E+000	-1.17617187E+002	
-7.14877201E+000	-1.17682779E+002	
-7.12805871E+000	-1.17724522E+002	
-7.10734540E+000	-1.17809840E+002	
-7.08663210E+000	-1.17847282E+002	
-7.06591879E+000	-1.17821423E+002	
-7.04520549E+000	-1.17807777E+002	
-7.02449218E+000	-1.17787601E+002	
-7.00377888E+000	-1.17763788E+002	
-6.98306557E+000	-1.17795351E+002	
-6.96235227E+000	-1.17754982E+002	
-6.94163896E+000	-1.17801616E+002	
-6.92092566E+000	-1.17865707E+002	
-6.90021235E+000	-1.17875424E+002	
-6.87949904E+000	-1.17850653E+002	
-6.85878574E+000	-1.17834093E+002	
-6.83807243E+000	-1.17849983E+002	
-6.81735913E+000	-1.17859216E+002	
-6.79664582E+000	-1.17815832E+002	
-6.77593252E+000	-1.17856855E+002	
-6.75521921E+000	-1.17814124E+002	
-6.73450591E+000	-1.17820827E+002	
-6.71379260E+000	-1.17802887E+002	
-6.69307930E+000	-1.17802912E+002	
-6.67236599E+000	-1.17768169E+002	
-6.65165269E+000	-1.17752008E+002	
-6.63093938E+000	-1.17758102E+002	
-6.61022608E+000	-1.17768794E+002	
-6.58951277E+000	-1.17757624E+002	
-6.56879947E+000	-1.17743426E+002	
-6.54808616E+000	-1.17717026E+002	
-6.52737285E+000	-1.17700429E+002	
-6.50665955E+000	-1.17727194E+002	
-6.48594624E+000	-1.17765567E+002	
-6.46523294E+000	-1.17803249E+002	
-6.44451963E+000	-1.17730711E+002	
-6.42380633E+000	-1.17682998E+002	
-6.40309302E+000	-1.17663703E+002	
-6.38237972E+000	-1.17641274E+002	
-6.36166641E+000	-1.17650559E+002	
-6.34095311E+000	-1.17656674E+002	
-6.32023980E+000	-1.17654178E+002	
-6.29952650E+000	-1.17672941E+002	
-6.27881319E+000	-1.17644047E+002	
-6.25809989E+000	-1.17660538E+002	
-6.23738658E+000	-1.17650825E+002	
-6.21667327E+000	-1.17631457E+002	
-6.19595997E+000	-1.17634434E+002	
-6.17524666E+000	-1.17621490E+002	
-6.15453336E+000	-1.17626614E+002	
-6.13382005E+000	-1.17615400E+002	
-6.11310675E+000	-1.17622005E+002	
-6.09239344E+000	-1.17616108E+002	
-6.07168014E+000	-1.17574622E+002	
-6.05096683E+000	-1.17643897E+002	
-6.03025353E+000	-1.17651676E+002	
-6.00954022E+000	-1.17623193E+002	
-5.98882692E+000	-1.17574872E+002	
-5.96811361E+000	-1.17581385E+002	
-5.94740031E+000	-1.17622686E+002	
-5.92668700E+000	-1.17662037E+002	
-5.90597369E+000	-1.17673737E+002	
-5.88526039E+000	-1.17719762E+002	
-5.86454708E+000	-1.17731773E+002	
-5.84383378E+000	-1.17698523E+002	
-5.82312047E+000	-1.17700251E+002	
-5.80240717E+000	-1.17672203E+002	
-5.78169386E+000	-1.17682138E+002	
-5.76098056E+000	-1.17682129E+002	
-5.74026725E+000	-1.17682439E+002	
-5.71955395E+000	-1.17720330E+002	
-5.69884064E+000	-1.17723822E+002	
-5.67812734E+000	-1.17744077E+002	
-5.65741403E+000	-1.17734048E+002	
-5.63670073E+000	-1.17735662E+002	
-5.61598742E+000	-1.17712786E+002	
-5.59527412E+000	-1.17677527E+002	
-5.57456081E+000	-1.17739357E+002	
-5.55384750E+000	-1.17669463E+002	
-5.53313420E+000	-1.17601817E+002	
-5.51242089E+000	-1.17619927E+002	
-5.49170759E+000	-1.17623561E+002	
-5.47099428E+000	-1.17604624E+002	
-5.45028098E+000	-1.17659882E+002	
-5.42956767E+000	-1.17696247E+002	
