Sampling rate: 10000.000 samples/sec
Screen size: 2000 samples
DOP average: 1 SOPsamples
Start time: 15:57:30 5/20/2021
Interval: 0.000100000 sec
(Waveform type: 1,3,4,5)
Index      S0(mW)      S1      S2      S3      S0(mW)      S1      S2      S3      DOP
1   0.05900   0.01090   0.00879   1.00000   0.05900   0.01090   0.00879   1.00000   60.42786
2   0.05899   0.01019   0.01126   1.00000   0.05899   0.01019   0.01126   1.00000   60.54382
3   0.05908   0.00934   0.01016   1.00000   0.05908   0.00934   0.01016   1.00000   60.45227
4   0.05907   0.00793   0.00952   1.00000   0.05907   0.00793   0.00952   1.00000   60.44617
5   0.05900   0.00861   0.01028   1.00000   0.05900   0.00861   0.01028   1.00000   60.42786
6   0.05904   0.00974   0.01105   1.00000   0.05904   0.00974   0.01105   1.00000   60.48279
7   0.05910   0.00925   0.01065   1.00000   0.05910   0.00925   0.01065   1.00000   60.33936
8   0.05905   0.00949   0.01068   1.00000   0.05905   0.00949   0.01068   1.00000   60.45837
9   0.05888   0.00894   0.00925   1.00000   0.05888   0.00894   0.00925   1.00000   60.47058
10   0.05898   0.00916   0.01068   1.00000   0.05898   0.00916   0.01068   1.00000   60.50720
11   0.05902   0.00864   0.01285   1.00000   0.05902   0.00864   0.01285   1.00000   60.48584
12   0.05905   0.01019   0.01141   1.00000   0.05905   0.01019   0.01141   1.00000   60.36377
13   0.05897   0.00934   0.01184   1.00000   0.05897   0.00934   0.01184   1.00000   60.42480
14   0.05906   0.01080   0.01132   1.00000   0.05906   0.01080   0.01132   1.00000   60.53162
15   0.05910   0.01120   0.00958   1.00000   0.05910   0.01120   0.00958   1.00000   60.43091
16   0.05905   0.01007   0.01108   1.00000   0.05905   0.01007   0.01108   1.00000   60.48889
17   0.05902   0.00916   0.01099   1.00000   0.05902   0.00916   0.01099   1.00000   60.47058
18   0.05910   0.00925   0.01013   1.00000   0.05910   0.00925   0.01013   1.00000   60.49500
19   0.05908   0.00949   0.01035   1.00000   0.05908   0.00949   0.01035   1.00000   60.45227
20   0.05902   0.00943   0.00909   1.00000   0.05902   0.00943   0.00909   1.00000   60.36072
21   0.05896   0.00992   0.00772   1.00000   0.05896   0.00992   0.00772   1.00000   60.52551
22   0.05905   0.00986   0.01105   1.00000   0.05905   0.00986   0.01105   1.00000   60.39429
23   0.05904   0.00955   0.01038   1.00000   0.05904   0.00955   0.01038   1.00000   60.43701
24   0.05897   0.00781   0.01181   1.00000   0.05897   0.00781   0.01181   1.00000   60.44006
25   0.05904   0.00711   0.01025   1.00000   0.05904   0.00711   0.01025   1.00000   60.40344
26   0.05906   0.00888   0.01141   1.00000   0.05906   0.00888   0.01141   1.00000   60.47058
27   0.05905   0.00931   0.00729   1.00000   0.05905   0.00931   0.00729   1.00000   60.44312
28   0.05906   0.01025   0.00949   1.00000   0.05906   0.01025   0.00949   1.00000   60.44006
29   0.05908   0.00861   0.01105   1.00000   0.05908   0.00861   0.01105   1.00000   60.45227
30   0.05908   0.01059   0.00998   1.00000   0.05908   0.01059   0.00998   1.00000   60.51331
31   0.05902   0.00925   0.01035   1.00000   0.05902   0.00925   0.01035   1.00000   60.42480
32   0.05895   0.01001   0.01062   1.00000   0.05895   0.01001   0.01062   1.00000   60.51331
33   0.05883   0.00623   0.01267   1.00000   0.05883   0.00623   0.01267   1.00000   60.45532
34   0.05898   0.01111   0.01077   1.00000   0.05898   0.01111   0.01077   1.00000   60.40039
35   0.05905   0.01181   0.00790   1.00000   0.05905   0.01181   0.00790   1.00000   60.50415
36   0.05908   0.01083   0.00955   1.00000   0.05908   0.01083   0.00955   1.00000   60.48279
37   0.05908   0.00983   0.01117   1.00000   0.05908   0.00983   0.01117   1.00000   60.51331
38   0.05903   0.00870   0.00964   1.00000   0.05903   0.00870   0.00964   1.00000   60.39734
39   0.05903   0.00797   0.00876   1.00000   0.05903   0.00797   0.00876   1.00000   60.36682
40   0.05913   0.00980   0.00906   1.00000   0.05913   0.00980   0.00906   1.00000   60.52856
41   0.05917   0.01102   0.01080   1.00000   0.05917   0.01102   0.01080   1.00000   60.43396
42   0.05906   0.01077   0.00793   1.00000   0.05906   0.01077   0.00793   1.00000   60.39124
43   0.05900   0.00913   0.01019   1.00000   0.05900   0.00913   0.01019   1.00000   60.41260
44   0.05905   0.01099   0.01151   1.00000   0.05905   0.01099   0.01151   1.00000   60.50415
45   0.05905   0.01007   0.01010   1.00000   0.05905   0.01007   0.01010   1.00000   60.54077
46   0.05901   0.01138   0.00723   1.00000   0.05901   0.01138   0.00723   1.00000   60.40039
47   0.05898   0.01144   0.00885   1.00000   0.05898   0.01144   0.00885   1.00000   60.50720
48   0.05907   0.01117   0.01038   1.00000   0.05907   0.01117   0.01038   1.00000   60.55298
49   0.05912   0.00784   0.00900   1.00000   0.05912   0.00784   0.00900   1.00000   60.36682
50   0.05905   0.01077   0.00940   1.00000   0.05905   0.01077   0.00940   1.00000   60.44312
51   0.05903   0.00885   0.01141   1.00000   0.05903   0.00885   0.01141   1.00000   60.52246
52   0.05925   0.01090   0.00964   1.00000   0.05925   0.01090   0.00964   1.00000   60.40649
53   0.05919   0.01126   0.00906   1.00000   0.05919   0.01126   0.00906   1.00000   60.47668
54   0.05893   0.00684   0.00961   1.00000   0.05893   0.00684   0.00961   1.00000   60.50110
55   0.05896   0.00790   0.01022   1.00000   0.05896   0.00790   0.01022   1.00000   60.49500
56   0.05909   0.01071   0.01080   1.00000   0.05909   0.01071   0.01080   1.00000   60.47363
57   0.05914   0.00955   0.01001   1.00000   0.05914   0.00955   0.01001   1.00000   60.36377
58   0.05905   0.01007   0.00995   1.00000   0.05905   0.01007   0.00995   1.00000   60.42786
59   0.05902   0.01032   0.01144   1.00000   0.05902   0.01032   0.01144   1.00000   60.54688
60   0.05911   0.01065   0.01032   1.00000   0.05911   0.01065   0.01032   1.00000   60.42175
61   0.05910   0.01025   0.00916   1.00000   0.05910   0.01025   0.00916   1.00000   60.43091
62   0.05905   0.01105   0.00989   1.00000   0.05905   0.01105   0.00989   1.00000   60.55603
63   0.05910   0.01096   0.01050   1.00000   0.05910   0.01096   0.01050   1.00000   60.55603
64   0.05913   0.01157   0.01041   1.00000   0.05913   0.01157   0.01041   1.00000   60.44922
65   0.05911   0.01120   0.00958   1.00000   0.05911   0.01120   0.00958   1.00000   60.42175
66   0.05902   0.00903   0.01032   1.00000   0.05902   0.00903   0.01032   1.00000   60.59570
67   0.05906   0.00952   0.00970   1.00000   0.05906   0.00952   0.00970   1.00000   60.48584
68   0.05907   0.00861   0.01071   1.00000   0.05907   0.00861   0.01071   1.00000   60.47668
69   0.05910   0.01025   0.01202   1.00000   0.05910   0.01025   0.01202   1.00000   60.47974
70   0.05881   0.01038   0.00995   1.00000   0.05881   0.01038   0.00995   1.00000   60.51636
71   0.05894   0.01175   0.01166   1.00000   0.05894   0.01175   0.01166   1.00000   60.50720
72   0.05914   0.01120   0.01166   1.00000   0.05914   0.01120   0.01166   1.00000   60.39429
73   0.05908   0.01111   0.00879   1.00000   0.05908   0.01111   0.00879   1.00000   60.43396
74   0.05897   0.01212   0.01007   1.00000   0.05897   0.01212   0.01007   1.00000   60.56213
75   0.05906   0.01151   0.01028   1.00000   0.05906   0.01151   0.01028   1.00000   60.42175
76   0.05907   0.00992   0.00864   1.00000   0.05907   0.00992   0.00864   1.00000   60.36682
77   0.05905   0.00897   0.01254   1.00000   0.05905   0.00897   0.01254   1.00000   60.47363
78   0.05906   0.00858   0.01169   1.00000   0.05906   0.00858   0.01169   1.00000   60.44006
79   0.05905   0.00998   0.00882   1.00000   0.05905   0.00998   0.00882   1.00000   60.44312
80   0.05896   0.01181   0.00876   1.00000   0.05896   0.01181   0.00876   1.00000   60.38818
81   0.05899   0.00974   0.01172   1.00000   0.05899   0.00974   0.01172   1.00000   60.49805
82   0.05903   0.00851   0.01202   1.00000   0.05903   0.00851   0.01202   1.00000   60.50720
83   0.05905   0.01013   0.01141   1.00000   0.05905   0.01013   0.01141   1.00000   60.42786
84   0.05900   0.00983   0.00995   1.00000   0.05900   0.00983   0.00995   1.00000   60.39429
85   0.05903   0.00952   0.00909   1.00000   0.05903   0.00952   0.00909   1.00000   60.53772
86   0.05908   0.00845   0.01053   1.00000   0.05908   0.00845   0.01053   1.00000   60.48279
87   0.05905   0.01080   0.01053   1.00000   0.05905   0.01080   0.01053   1.00000   60.44922
88   0.05900   0.00946   0.00989   1.00000   0.05900   0.00946   0.00989   1.00000   60.44312
89   0.05910   0.01117   0.00958   1.00000   0.05910   0.01117   0.00958   1.00000   60.44922
90   0.05911   0.00925   0.01111   1.00000   0.05911   0.00925   0.01111   1.00000   60.42175
91   0.05899   0.00888   0.00919   1.00000   0.05899   0.00888   0.00919   1.00000   60.42175
92   0.05891   0.01135   0.01080   1.00000   0.05891   0.01135   0.01080   1.00000   60.51941
93   0.05905   0.01102   0.01151   1.00000   0.05905   0.01102   0.01151   1.00000   60.47974
94   0.05908   0.01080   0.01019   1.00000   0.05908   0.01080   0.01019   1.00000   60.45227
95   0.05901   0.01312   0.01080   1.00000   0.05901   0.01312   0.01080   1.00000   60.46448
96   0.05896   0.00751   0.01178   1.00000   0.05896   0.00751   0.01178   1.00000   60.44922
97   0.05910   0.00949   0.01035   1.00000   0.05910   0.00949   0.01035   1.00000   60.43091
98   0.05910   0.01028   0.01059   1.00000   0.05910   0.01028   0.01059   1.00000   60.43091
99   0.05905   0.01044   0.01001   1.00000   0.05905   0.01044   0.01001   1.00000   60.40955
100   0.05900   0.00870   0.00949   1.00000   0.05900   0.00870   0.00949   1.00000   60.54993
101   0.05911   0.01102   0.00940   1.00000   0.05911   0.01102   0.00940   1.00000   60.45532
102   0.05909   0.01126   0.01056   1.00000   0.05909   0.01126   0.01056   1.00000   60.33325
103   0.05898   0.00974   0.00946   1.00000   0.05898   0.00974   0.00946   1.00000   60.38208
104   0.05895   0.00986   0.01288   1.00000   0.05895   0.00986   0.01288   1.00000   60.48279
105   0.05905   0.01041   0.00934   1.00000   0.05905   0.01041   0.00934   1.00000   60.47363
106   0.05905   0.01035   0.00885   1.00000   0.05905   0.01035   0.00885   1.00000   60.42786
107   0.05898   0.00955   0.00977   1.00000   0.05898   0.00955   0.00977   1.00000   60.50720
108   0.05900   0.00855   0.01074   1.00000   0.05900   0.00855   0.01074   1.00000   60.56519
109   0.05905   0.01120   0.01248   1.00000   0.05905   0.01120   0.01248   1.00000   60.52551
110   0.05905   0.01016   0.01108   1.00000   0.05905   0.01016   0.01108   1.00000   60.41565
111   0.05902   0.01135   0.01093   1.00000   0.05902   0.01135   0.01093   1.00000   60.53162
112   0.05908   0.01144   0.01169   1.00000   0.05908   0.01144   0.01169   1.00000   60.49805
113   0.05907   0.00974   0.01199   1.00000   0.05907   0.00974   0.01199   1.00000   60.41260
114   0.05904   0.01209   0.00955   1.00000   0.05904   0.01209   0.00955   1.00000   60.45227
115   0.05897   0.01212   0.01248   1.00000   0.05897   0.01212   0.01248   1.00000   60.53162
116   0.05904   0.01187   0.01001   1.00000   0.05904   0.01187   0.01001   1.00000   60.43701
117   0.05900   0.00949   0.00958   1.00000   0.05900   0.00949   0.00958   1.00000   60.44312
118   0.05900   0.01169   0.00983   1.00000   0.05900   0.01169   0.00983   1.00000   60.50415
119   0.05901   0.00998   0.01138   1.00000   0.05901   0.00998   0.01138   1.00000   60.55603
120   0.05907   0.01010   0.01172   1.00000   0.05907   0.01010   0.01172   1.00000   60.39734
121   0.05904   0.01340   0.00906   1.00000   0.05904   0.01340   0.00906   1.00000   60.46753
122   0.05902   0.01138   0.01126   1.00000   0.05902   0.01138   0.01126   1.00000   60.48584
123   0.05908   0.01077   0.01163   1.00000   0.05908   0.01077   0.01163   1.00000   60.51331
124   0.05909   0.01108   0.01053   1.00000   0.05909   0.01108   0.01053   1.00000   60.45837
125   0.05904   0.01306   0.00903   1.00000   0.05904   0.01306   0.00903   1.00000   60.46753
126   0.05898   0.00839   0.01074   1.00000   0.05898   0.00839   0.01074   1.00000   60.44617
127   0.05902   0.01147   0.01093   1.00000   0.05902   0.01147   0.01093   1.00000   60.45532
128   0.05902   0.01083   0.00974   1.00000   0.05902   0.01083   0.00974   1.00000   60.37598
129   0.05895   0.01282   0.00903   1.00000   0.05895   0.01282   0.00903   1.00000   60.47363
130   0.05900   0.01007   0.00998   1.00000   0.05900   0.01007   0.00998   1.00000   60.45837
131   0.05908   0.01190   0.00983   1.00000   0.05908   0.01190   0.00983   1.00000   60.52856
132   0.05907   0.01138   0.01044   1.00000   0.05907   0.01138   0.01044   1.00000   60.38208
133   0.05902   0.00986   0.01187   1.00000   0.05902   0.00986   0.01187   1.00000   60.50110
134   0.05912   0.01041   0.01090   1.00000   0.05912   0.01041   0.01090   1.00000   60.55298
135   0.05911   0.01181   0.00821   1.00000   0.05911   0.01181   0.00821   1.00000   60.43701
136   0.05901   0.00998   0.00882   1.00000   0.05901   0.00998   0.00882   1.00000   60.47974
137   0.05898   0.00995   0.01126   1.00000   0.05898   0.00995   0.01126   1.00000   60.49194
138   0.05904   0.00949   0.01215   1.00000   0.05904   0.00949   0.01215   1.00000   60.48279
139   0.05897   0.01019   0.01193   1.00000   0.05897   0.01019   0.01193   1.00000   60.51636
140   0.05901   0.01077   0.00894   1.00000   0.05901   0.01077   0.00894   1.00000   60.35461
141   0.05895   0.01105   0.01108   1.00000   0.05895   0.01105   0.01108   1.00000   60.45227
142   0.05904   0.01044   0.01114   1.00000   0.05904   0.01044   0.01114   1.00000   60.46753
143   0.05905   0.01282   0.01013   1.00000   0.05905   0.01282   0.01013   1.00000   60.47363
144   0.05904   0.01294   0.01062   1.00000   0.05904   0.01294   0.01062   1.00000   60.46753
145   0.05905   0.01105   0.00766   1.00000   0.05905   0.01105   0.00766   1.00000   60.46448
146   0.05906   0.01077   0.01129   1.00000   0.05906   0.01077   0.01129   1.00000   60.54688
147   0.05908   0.01090   0.00989   1.00000   0.05908   0.01090   0.00989   1.00000   60.40344
148   0.05902   0.01126   0.01090   1.00000   0.05902   0.01126   0.01090   1.00000   60.61096
149   0.05905   0.01300   0.01044   1.00000   0.05905   0.01300   0.01044   1.00000   60.54077
150   0.05905   0.01001   0.01059   1.00000   0.05905   0.01001   0.01059   1.00000   60.42786
151   0.05895   0.01065   0.00943   1.00000   0.05895   0.01065   0.00943   1.00000   60.35767
152   0.05876   0.01001   0.01202   1.00000   0.05876   0.01001   0.01202   1.00000   60.54688
153   0.05893   0.01050   0.00992   1.00000   0.05893   0.01050   0.00992   1.00000   60.31494
154   0.05910   0.01245   0.01004   1.00000   0.05910   0.01245   0.01004   1.00000   60.44922
155   0.05905   0.00974   0.00848   1.00000   0.05905   0.00974   0.00848   1.00000   60.40955
156   0.05894   0.00964   0.01059   1.00000   0.05894   0.00964   0.01059   1.00000   60.55603
157   0.05903   0.01074   0.01038   1.00000   0.05903   0.01074   0.01038   1.00000   60.41565
158   0.05906   0.00925   0.01114   1.00000   0.05906   0.00925   0.01114   1.00000   60.47058
159   0.05904   0.00937   0.01019   1.00000   0.05904   0.00937   0.01019   1.00000   60.46753
160   0.05905   0.00980   0.01071   1.00000   0.05905   0.00980   0.01071   1.00000   60.46448
161   0.05905   0.01141   0.01157   1.00000   0.05905   0.01141   0.01157   1.00000   60.43396
162   0.05902   0.01108   0.00897   1.00000   0.05902   0.01108   0.00897   1.00000   60.37598
163   0.05893   0.01129   0.00967   1.00000   0.05893   0.01129   0.00967   1.00000   60.48584
164   0.05903   0.00952   0.01004   1.00000   0.05903   0.00952   0.01004   1.00000   60.47668
165   0.05904   0.00952   0.01279   1.00000   0.05904   0.00952   0.01279   1.00000   60.42175
166   0.05905   0.01022   0.00934   1.00000   0.05905   0.01022   0.00934   1.00000   60.34851
167   0.05902   0.01099   0.01151   1.00000   0.05902   0.01099   0.01151   1.00000   60.53162
168   0.05913   0.00903   0.01346   1.00000   0.05913   0.00903   0.01346   1.00000   60.54382
169   0.05918   0.01147   0.01181   1.00000   0.05918   0.01147   0.01181   1.00000   60.50415
170   0.05908   0.01102   0.01215   1.00000   0.05908   0.01102   0.01215   1.00000   60.41870
171   0.05904   0.01306   0.01160   1.00000   0.05904   0.01306   0.01160   1.00000   60.54382
172   0.05919   0.01074   0.00995   1.00000   0.05919   0.01074   0.00995   1.00000   60.57129
173   0.05918   0.01248   0.01080   1.00000   0.05918   0.01248   0.01080   1.00000   60.44006
174   0.05905   0.00970   0.00913   1.00000   0.05905   0.00970   0.00913   1.00000   60.37903
175   0.05899   0.01178   0.01068   1.00000   0.05899   0.01178   0.01068   1.00000   60.49805
176   0.05912   0.01059   0.01096   1.00000   0.05912   0.01059   0.01096   1.00000   60.41260
177   0.05908   0.01221   0.01083   1.00000   0.05908   0.01221   0.01083   1.00000   60.48279
178   0.05900   0.01038   0.00873   1.00000   0.05900   0.01038   0.00873   1.00000   60.56519
179   0.05905   0.01141   0.01028   1.00000   0.05905   0.01141   0.01028   1.00000   60.50415
180   0.05915   0.01028   0.00961   1.00000   0.05915   0.01028   0.00961   1.00000   60.46753
181   0.05911   0.01160   0.00913   1.00000   0.05911   0.01160   0.00913   1.00000   60.53162
182   0.05905   0.01099   0.01102   1.00000   0.05905   0.01099   0.01102   1.00000   60.40039
183   0.05907   0.00980   0.01215   1.00000   0.05907   0.00980   0.01215   1.00000   60.47668
184   0.05915   0.00977   0.01163   1.00000   0.05915   0.00977   0.01163   1.00000   60.35461
185   0.05906   0.01065   0.01099   1.00000   0.05906   0.01065   0.01099   1.00000   60.40649
186   0.05898   0.01013   0.00934   1.00000   0.05898   0.01013   0.00934   1.00000   60.47668
187   0.05901   0.00870   0.01254   1.00000   0.05901   0.00870   0.01254   1.00000   60.46448
188   0.05910   0.01123   0.00992   1.00000   0.05910   0.01123   0.00992   1.00000   60.38513
189   0.05904   0.01227   0.00797   1.00000   0.05904   0.01227   0.00797   1.00000   60.40344
190   0.05901   0.01172   0.00742   1.00000   0.05901   0.01172   0.00742   1.00000   60.51025
191   0.05908   0.01373   0.00781   1.00000   0.05908   0.01373   0.00781   1.00000   60.51331
192   0.05909   0.01059   0.00888   1.00000   0.05909   0.01059   0.00888   1.00000   60.44312
193   0.05907   0.00916   0.00952   1.00000   0.05907   0.00916   0.00952   1.00000   60.38208
194   0.05904   0.00955   0.01117   1.00000   0.05904   0.00955   0.01117   1.00000   60.49805
195   0.05913   0.01080   0.01050   1.00000   0.05913   0.01080   0.01050   1.00000   60.40344
196   0.05910   0.01169   0.01157   1.00000   0.05910   0.01169   0.01157   1.00000   60.43091
197   0.05902   0.01166   0.01126   1.00000   0.05902   0.01166   0.01126   1.00000   60.53162
198   0.05899   0.01111   0.01169   1.00000   0.05899   0.01111   0.01169   1.00000   60.57434
199   0.05905   0.01093   0.00925   1.00000   0.05905   0.01093   0.00925   1.00000   60.46448
200   0.05904   0.01169   0.01047   1.00000   0.05904   0.01169   0.01047   1.00000   60.42175
201   0.05903   0.01135   0.01077   1.00000   0.05903   0.01135   0.01077   1.00000   60.43091
202   0.05908   0.01083   0.01132   1.00000   0.05908   0.01083   0.01132   1.00000   60.48279
203   0.05905   0.00955   0.01181   1.00000   0.05905   0.00955   0.01181   1.00000   60.43396
204   0.05905   0.01215   0.01068   1.00000   0.05905   0.01215   0.01068   1.00000   60.41565
205   0.05904   0.01062   0.01321   1.00000   0.05904   0.01062   0.01321   1.00000   60.55908
206   0.05914   0.01282   0.01056   1.00000   0.05914   0.01282   0.01056   1.00000   60.48889
207   0.05912   0.01151   0.00784   1.00000   0.05912   0.01151   0.00784   1.00000   60.42786
208   0.05905   0.01080   0.01053   1.00000   0.05905   0.01080   0.01053   1.00000   60.44922
209   0.05905   0.00989   0.00977   1.00000   0.05905   0.00989   0.00977   1.00000   60.45837
210   0.05905   0.01138   0.01157   1.00000   0.05905   0.01138   0.01157   1.00000   60.44922
211   0.05899   0.01025   0.00790   1.00000   0.05899   0.01025   0.00790   1.00000   60.34241
212   0.05895   0.01285   0.00952   1.00000   0.05895   0.01285   0.00952   1.00000   60.54993
213   0.05907   0.01080   0.00970   1.00000   0.05907   0.01080   0.00970   1.00000   60.36682
214   0.05909   0.01151   0.01025   1.00000   0.05909   0.01151   0.01025   1.00000   60.42480
215   0.05904   0.01074   0.01117   1.00000   0.05904   0.01074   0.01117   1.00000   60.46753
216   0.05898   0.01077   0.01056   1.00000   0.05898   0.01077   0.01056   1.00000   60.52246
217   0.05911   0.01129   0.01230   1.00000   0.05911   0.01129   0.01230   1.00000   60.54688
218   0.05908   0.01032   0.01205   1.00000   0.05908   0.01032   0.01205   1.00000   60.46753
219   0.05902   0.01004   0.00964   1.00000   0.05902   0.01004   0.00964   1.00000   60.50110
220   0.05902   0.01172   0.01096   1.00000   0.05902   0.01172   0.01096   1.00000   60.51636
221   0.05908   0.01151   0.01172   1.00000   0.05908   0.01151   0.01172   1.00000   60.45227
222   0.05902   0.01108   0.00995   1.00000   0.05902   0.01108   0.00995   1.00000   60.31494
223   0.05895   0.01077   0.01120   1.00000   0.05895   0.01077   0.01120   1.00000   60.51941
224   0.05902   0.01099   0.00958   1.00000   0.05902   0.01099   0.00958   1.00000   60.40955
225   0.05907   0.00967   0.01263   1.00000   0.05907   0.00967   0.01263   1.00000   60.41260
226   0.05906   0.01102   0.01102   1.00000   0.05906   0.01102   0.01102   1.00000   60.37598
227   0.05901   0.01065   0.00925   1.00000   0.05901   0.01065   0.00925   1.00000   60.44922
228   0.05902   0.00842   0.01199   1.00000   0.05902   0.00842   0.01199   1.00000   60.57739
229   0.05915   0.01245   0.01114   1.00000   0.05915   0.01245   0.01114   1.00000   60.46143
230   0.05906   0.01205   0.01001   1.00000   0.05906   0.01205   0.01001   1.00000   60.53162
231   0.05901   0.00967   0.00943   1.00000   0.05901   0.00967   0.00943   1.00000   60.41870
232   0.05904   0.01114   0.01071   1.00000   0.05904   0.01114   0.01071   1.00000   60.58960
233   0.05889   0.01071   0.01285   1.00000   0.05889   0.01071   0.01285   1.00000   60.50720
