Sampling rate: 10000.000 samples/sec
Screen size: 2000 samples
DOP average: 1 SOPsamples
Start time: 15:57:54 5/20/2021
Interval: 0.000100000 sec
(Waveform type: 1,3,4,5)
Index      S0(mW)      S1      S2      S3      S0(mW)      S1      S2      S3      DOP
1   0.05907   0.01675   0.01147   1.00000   0.05907   0.01675   0.01147   1.00000   61.06567
2   0.05907   0.01575   0.00659   1.00000   0.05907   0.01575   0.00659   1.00000   60.92529
3   0.05899   0.01770   0.01004   1.00000   0.05899   0.01770   0.01004   1.00000   61.22742
4   0.05899   0.01596   0.00775   1.00000   0.05899   0.01596   0.00775   1.00000   61.11755
5   0.05910   0.01556   0.01068   1.00000   0.05910   0.01556   0.01068   1.00000   61.00464
6   0.05912   0.01700   0.00943   1.00000   0.05912   0.01700   0.00943   1.00000   61.09619
7   0.05905   0.01553   0.00897   1.00000   0.05905   0.01553   0.00897   1.00000   61.06262
8   0.05905   0.01718   0.01044   1.00000   0.05905   0.01718   0.01044   1.00000   61.17554
9   0.05910   0.01691   0.00958   1.00000   0.05910   0.01691   0.00958   1.00000   61.05042
10   0.05909   0.01456   0.01233   1.00000   0.05909   0.01456   0.01233   1.00000   61.04736
11   0.05906   0.01590   0.00900   1.00000   0.05906   0.01590   0.00900   1.00000   61.02905
12   0.05905   0.01697   0.01041   1.00000   0.05905   0.01697   0.01041   1.00000   61.11450
13   0.05902   0.01651   0.00909   1.00000   0.05902   0.01651   0.00909   1.00000   61.07483
14   0.05904   0.01761   0.00763   1.00000   0.05904   0.01761   0.00763   1.00000   61.07178
15   0.05903   0.01761   0.00793   1.00000   0.05903   0.01761   0.00793   1.00000   61.06567
16   0.05908   0.01962   0.01053   1.00000   0.05908   0.01962   0.01053   1.00000   61.16333
17   0.05905   0.01468   0.00998   1.00000   0.05905   0.01468   0.00998   1.00000   61.00769
18   0.05906   0.01767   0.00842   1.00000   0.05906   0.01767   0.00842   1.00000   61.07483
19   0.05906   0.01785   0.01019   1.00000   0.05906   0.01785   0.01019   1.00000   61.16638
20   0.05911   0.01434   0.01007   1.00000   0.05911   0.01434   0.01007   1.00000   61.09009
21   0.05909   0.01663   0.00925   1.00000   0.05909   0.01663   0.00925   1.00000   61.04736
22   0.05908   0.01511   0.00842   1.00000   0.05908   0.01511   0.00842   1.00000   61.02295
23   0.05908   0.01654   0.00778   1.00000   0.05908   0.01654   0.00778   1.00000   61.08704
24   0.05913   0.01730   0.00867   1.00000   0.05913   0.01730   0.00867   1.00000   61.02295
25   0.05901   0.01865   0.00888   1.00000   0.05901   0.01865   0.00888   1.00000   61.09924
26   0.05905   0.01868   0.00824   1.00000   0.05905   0.01868   0.00824   1.00000   61.07788
27   0.05907   0.01712   0.01135   1.00000   0.05907   0.01712   0.01135   1.00000   61.15723
28   0.05908   0.01767   0.00983   1.00000   0.05908   0.01767   0.00983   1.00000   61.08704
29   0.05905   0.01807   0.00735   1.00000   0.05905   0.01807   0.00735   1.00000   60.98328
30   0.05905   0.01822   0.01056   1.00000   0.05905   0.01822   0.01056   1.00000   61.12976
31   0.05913   0.01535   0.00986   1.00000   0.05913   0.01535   0.00986   1.00000   61.06873
32   0.05909   0.01712   0.01105   1.00000   0.05909   0.01712   0.01105   1.00000   61.15417
33   0.05904   0.01727   0.00870   1.00000   0.05904   0.01727   0.00870   1.00000   61.11755
34   0.05906   0.01807   0.00800   1.00000   0.05906   0.01807   0.00800   1.00000   61.16638
35   0.05913   0.01679   0.00986   1.00000   0.05913   0.01679   0.00986   1.00000   61.08398
36   0.05907   0.01743   0.00885   1.00000   0.05907   0.01743   0.00885   1.00000   61.09619
37   0.05894   0.01599   0.00842   1.00000   0.05894   0.01599   0.00842   1.00000   61.09924
38   0.05902   0.01605   0.00934   1.00000   0.05902   0.01605   0.00934   1.00000   61.15417
39   0.05909   0.01749   0.00998   1.00000   0.05909   0.01749   0.00998   1.00000   61.09314
40   0.05903   0.01654   0.00815   1.00000   0.05903   0.01654   0.00815   1.00000   61.09619
41   0.05897   0.01733   0.00873   1.00000   0.05897   0.01733   0.00873   1.00000   61.12366
42   0.05907   0.01614   0.00726   1.00000   0.05907   0.01614   0.00726   1.00000   61.06567
43   0.05911   0.01645   0.00903   1.00000   0.05911   0.01645   0.00903   1.00000   61.05652
44   0.05909   0.01532   0.00970   1.00000   0.05909   0.01532   0.00970   1.00000   61.01379
45   0.05903   0.01563   0.00708   1.00000   0.05903   0.01563   0.00708   1.00000   61.14197
46   0.05915   0.01999   0.00833   1.00000   0.05915   0.01999   0.00833   1.00000   60.97412
47   0.05913   0.01679   0.00589   1.00000   0.05913   0.01679   0.00589   1.00000   61.00769
48   0.05903   0.01746   0.00778   1.00000   0.05903   0.01746   0.00778   1.00000   61.05042
49   0.05883   0.01779   0.00916   1.00000   0.05883   0.01779   0.00916   1.00000   61.12366
50   0.05901   0.01746   0.00778   1.00000   0.05901   0.01746   0.00778   1.00000   61.06873
51   0.05912   0.01569   0.00735   1.00000   0.05912   0.01569   0.00735   1.00000   61.00159
52   0.05907   0.01669   0.00653   1.00000   0.05907   0.01669   0.00653   1.00000   61.06567
53   0.05901   0.01550   0.01007   1.00000   0.05901   0.01550   0.01007   1.00000   61.16333
54   0.05908   0.01550   0.00861   1.00000   0.05908   0.01550   0.00861   1.00000   61.08704
55   0.05914   0.01743   0.00946   1.00000   0.05914   0.01743   0.00946   1.00000   61.01379
56   0.05911   0.01810   0.00830   1.00000   0.05911   0.01810   0.00830   1.00000   61.09009
57   0.05910   0.01794   0.01035   1.00000   0.05910   0.01794   0.01035   1.00000   61.17554
58   0.05919   0.01898   0.00900   1.00000   0.05919   0.01898   0.00900   1.00000   61.03516
59   0.05909   0.01663   0.00891   1.00000   0.05909   0.01663   0.00891   1.00000   61.06262
60   0.05900   0.01514   0.00879   1.00000   0.05900   0.01514   0.00879   1.00000   61.04736
61   0.05902   0.01578   0.01108   1.00000   0.05902   0.01578   0.01108   1.00000   61.13586
62   0.05907   0.01569   0.01056   1.00000   0.05907   0.01569   0.01056   1.00000   61.06567
63   0.05902   0.01700   0.00867   1.00000   0.05902   0.01700   0.00867   1.00000   61.10535
64   0.05905   0.01566   0.00913   1.00000   0.05905   0.01566   0.00913   1.00000   61.09314
65   0.05907   0.01651   0.00778   1.00000   0.05907   0.01651   0.00778   1.00000   61.11145
66   0.05906   0.01459   0.00964   1.00000   0.05906   0.01459   0.00964   1.00000   61.10535
67   0.05908   0.01834   0.00946   1.00000   0.05908   0.01834   0.00946   1.00000   60.97717
68   0.05914   0.01779   0.01047   1.00000   0.05914   0.01779   0.01047   1.00000   61.13892
69   0.05915   0.01685   0.01035   1.00000   0.05915   0.01685   0.01035   1.00000   61.10229
70   0.05907   0.01660   0.00845   1.00000   0.05907   0.01660   0.00845   1.00000   61.01685
71   0.05896   0.01547   0.00897   1.00000   0.05896   0.01547   0.00897   1.00000   61.17859
72   0.05906   0.01627   0.01096   1.00000   0.05906   0.01627   0.01096   1.00000   61.10535
73   0.05909   0.01700   0.00735   1.00000   0.05909   0.01700   0.00735   1.00000   61.12366
74   0.05905   0.01685   0.00894   1.00000   0.05905   0.01685   0.00894   1.00000   61.16943
75   0.05896   0.01703   0.01251   1.00000   0.05896   0.01703   0.01251   1.00000   61.13281
76   0.05906   0.01581   0.01154   1.00000   0.05906   0.01581   0.01154   1.00000   61.15112
77   0.05913   0.01605   0.01138   1.00000   0.05913   0.01605   0.01138   1.00000   61.05347
78   0.05908   0.01727   0.00900   1.00000   0.05908   0.01727   0.00900   1.00000   61.07178
79   0.05901   0.01636   0.00891   1.00000   0.05901   0.01636   0.00891   1.00000   61.08398
80   0.05912   0.01651   0.00952   1.00000   0.05912   0.01651   0.00952   1.00000   61.09619
81   0.05912   0.01807   0.00925   1.00000   0.05912   0.01807   0.00925   1.00000   61.03210
82   0.05908   0.01666   0.00891   1.00000   0.05908   0.01666   0.00891   1.00000   61.05652
83   0.05904   0.01587   0.01013   1.00000   0.05904   0.01587   0.01013   1.00000   61.11755
84   0.05915   0.01605   0.00931   1.00000   0.05915   0.01605   0.00931   1.00000   61.04126
85   0.05912   0.01584   0.01151   1.00000   0.05912   0.01584   0.01151   1.00000   61.09619
86   0.05890   0.01764   0.00800   1.00000   0.05890   0.01764   0.00800   1.00000   61.13586
87   0.05886   0.01654   0.00949   1.00000   0.05886   0.01654   0.00949   1.00000   61.16028
88   0.05916   0.01547   0.00858   1.00000   0.05916   0.01547   0.00858   1.00000   61.03210
89   0.05910   0.01364   0.00949   1.00000   0.05910   0.01364   0.00949   1.00000   61.06873
90   0.05893   0.01621   0.01053   1.00000   0.05893   0.01621   0.01053   1.00000   61.16943
91   0.05899   0.01550   0.01105   1.00000   0.05899   0.01550   0.01105   1.00000   61.11755
92   0.05918   0.01849   0.00909   1.00000   0.05918   0.01849   0.00909   1.00000   61.04431
93   0.05909   0.01556   0.00943   1.00000   0.05909   0.01556   0.00943   1.00000   61.10840
94   0.05901   0.01605   0.00922   1.00000   0.05901   0.01605   0.00922   1.00000   61.05347
