Acquired on 5/14/2021 at 12:38:33
Calibrated on 5/14/2021 at 11:47:28
Device Descriptor:  [none]
Scan Range (nm):  1539.624  --  1560.517
Measurement Type:  Reflection
Group Index:  1.500
Gain:  24 dB
Domain:  Time
Spatial Resolution (mm):  50.000000
Frequency domain window was applied to measurement data.
Number of Data Points (in this file):  16384
NOTE: Data stored in this file is decimated by a factor of 64.

Time (ns)	Amplitude (dB)	
-1.00072081E+001	-1.15601048E+002	
-9.98649484E+000	-1.15216387E+002	
-9.96578154E+000	-1.14913785E+002	
-9.94506823E+000	-1.14674951E+002	
-9.92435493E+000	-1.14372362E+002	
-9.90364162E+000	-1.14091107E+002	
-9.88292832E+000	-1.13849017E+002	
-9.86221501E+000	-1.13634866E+002	
-9.84150171E+000	-1.13435378E+002	
-9.82078840E+000	-1.13222908E+002	
-9.80007509E+000	-1.13027019E+002	
-9.77936179E+000	-1.12839921E+002	
-9.75864848E+000	-1.12747117E+002	
-9.73793518E+000	-1.12766860E+002	
-9.71722187E+000	-1.12675200E+002	
-9.69650857E+000	-1.12699056E+002	
-9.67579526E+000	-1.12706001E+002	
-9.65508196E+000	-1.12727228E+002	
-9.63436865E+000	-1.12775644E+002	
-9.61365535E+000	-1.12802511E+002	
-9.59294204E+000	-1.12806342E+002	
-9.57222874E+000	-1.12773516E+002	
-9.55151543E+000	-1.12787977E+002	
-9.53080213E+000	-1.12815345E+002	
-9.51008882E+000	-1.12762924E+002	
-9.48937552E+000	-1.12791195E+002	
-9.46866221E+000	-1.12777989E+002	
-9.44794890E+000	-1.12702231E+002	
-9.42723560E+000	-1.12683284E+002	
-9.40652229E+000	-1.12700793E+002	
-9.38580899E+000	-1.12723183E+002	
-9.36509568E+000	-1.12701194E+002	
-9.34438238E+000	-1.12691058E+002	
-9.32366907E+000	-1.12738649E+002	
-9.30295577E+000	-1.12771446E+002	
-9.28224246E+000	-1.12760931E+002	
-9.26152916E+000	-1.12756570E+002	
-9.24081585E+000	-1.12700971E+002	
-9.22010255E+000	-1.12766951E+002	
-9.19938924E+000	-1.12802615E+002	
-9.17867594E+000	-1.12823245E+002	
-9.15796263E+000	-1.12837398E+002	
-9.13724932E+000	-1.12838175E+002	
-9.11653602E+000	-1.12862487E+002	
-9.09582271E+000	-1.12873610E+002	
-9.07510941E+000	-1.12932455E+002	
-9.05439610E+000	-1.12962426E+002	
-9.03368280E+000	-1.12903162E+002	
