Acquired on 5/6/2022 at 15:55:34
Calibrated on 5/6/2022 at 15:36:07
Device Descriptor:  [none]
Scan Range (nm):  1539.624  --  1560.517
Measurement Type:  Reflection
Group Index:  1.500
Gain:  24 dB
Domain:  Time
Spatial Resolution (mm):  0.001000
Frequency domain window was applied to measurement data.
Number of Data Points (in this file):  16384
NOTE: Data stored in this file is decimated by a factor of 64.

Time (ns)	Amplitude (dB)	
-1.00072081E+001	-1.16547600E+002	
-9.98649484E+000	-1.17432218E+002	
-9.96578154E+000	-1.18247314E+002	
-9.94506823E+000	-1.16954187E+002	
-9.92435493E+000	-1.17082879E+002	
-9.90364162E+000	-1.18557202E+002	
-9.88292832E+000	-1.17798036E+002	
-9.86221501E+000	-1.17493171E+002	
-9.84150171E+000	-1.17202858E+002	
-9.82078840E+000	-1.17067266E+002	
-9.80007509E+000	-1.18425961E+002	
-9.77936179E+000	-1.18459536E+002	
-9.75864848E+000	-1.16442250E+002	
-9.73793518E+000	-1.17964069E+002	
-9.71722187E+000	-1.17768304E+002	
-9.69650857E+000	-1.16811953E+002	
-9.67579526E+000	-1.17173034E+002	
-9.65508196E+000	-1.18971955E+002	
-9.63436865E+000	-1.17953038E+002	
-9.61365535E+000	-1.17544374E+002	
-9.59294204E+000	-1.17989960E+002	
-9.57222874E+000	-1.18516325E+002	
-9.55151543E+000	-1.16848016E+002	
-9.53080213E+000	-1.17820303E+002	
-9.51008882E+000	-1.17777292E+002	
-9.48937552E+000	-1.17930439E+002	
-9.46866221E+000	-1.15931551E+002	
-9.44794890E+000	-1.18202781E+002	
-9.42723560E+000	-1.18271946E+002	
-9.40652229E+000	-1.17026926E+002	
-9.38580899E+000	-1.17203274E+002	
-9.36509568E+000	-1.17487740E+002	
-9.34438238E+000	-1.18535929E+002	
-9.32366907E+000	-1.19060608E+002	
-9.30295577E+000	-1.17769834E+002	
-9.28224246E+000	-1.18807185E+002	
-9.26152916E+000	-1.17694570E+002	
-9.24081585E+000	-1.18115951E+002	
-9.22010255E+000	-1.16701611E+002	
-9.19938924E+000	-1.17734215E+002	
-9.17867594E+000	-1.17026533E+002	
-9.15796263E+000	-1.17366851E+002	
-9.13724932E+000	-1.18107466E+002	
-9.11653602E+000	-1.17856907E+002	
-9.09582271E+000	-1.16690772E+002	
-9.07510941E+000	-1.17953003E+002	
-9.05439610E+000	-1.18210666E+002	
-9.03368280E+000	-1.17103869E+002	
-9.01296949E+000	-1.17849175E+002	
-8.99225619E+000	-1.16243117E+002	
-8.97154288E+000	-1.18539723E+002	
-8.95082958E+000	-1.18720747E+002	
-8.93011627E+000	-1.17127466E+002	
-8.90940297E+000	-1.18037326E+002	
-8.88868966E+000	-1.19216460E+002	
-8.86797636E+000	-1.16785955E+002	
-8.84726305E+000	-1.17175288E+002	
-8.82654974E+000	-1.18149449E+002	
-8.80583644E+000	-1.16373777E+002	
-8.78512313E+000	-1.16537073E+002	
-8.76440983E+000	-1.17906633E+002	
-8.74369652E+000	-1.18360959E+002	
-8.72298322E+000	-1.18513593E+002	
-8.70226991E+000	-1.17078075E+002	
-8.68155661E+000	-1.18056819E+002	
-8.66084330E+000	-1.17843221E+002	
-8.64013000E+000	-1.18538395E+002	
-8.61941669E+000	-1.16818984E+002	
-8.59870339E+000	-1.17002238E+002	
-8.57799008E+000	-1.17507190E+002	
-8.55727678E+000	-1.17472047E+002	
-8.53656347E+000	-1.17798442E+002	
-8.51585017E+000	-1.17267166E+002	
-8.49513686E+000	-1.18177178E+002	
-8.47442355E+000	-1.17624110E+002	
-8.45371025E+000	-1.16822639E+002	
-8.43299694E+000	-1.17024737E+002	
-8.41228364E+000	-1.16622589E+002	
-8.39157033E+000	-1.16951364E+002	
-8.37085703E+000	-1.17855786E+002	
-8.35014372E+000	-1.16764598E+002	
-8.32943042E+000	-1.17976643E+002	
-8.30871711E+000	-1.17424245E+002	
-8.28800381E+000	-1.18963834E+002	
-8.26729050E+000	-1.17714073E+002	
-8.24657720E+000	-1.17758115E+002	
-8.22586389E+000	-1.17890456E+002	
-8.20515059E+000	-1.18147182E+002	
-8.18443728E+000	-1.18320425E+002	
-8.16372397E+000	-1.17494356E+002	
-8.14301067E+000	-1.18231632E+002	
-8.12229736E+000	-1.18191171E+002	
-8.10158406E+000	-1.19002069E+002	
-8.08087075E+000	-1.17375349E+002	
-8.06015745E+000	-1.16893743E+002	
-8.03944414E+000	-1.18438955E+002	
-8.01873084E+000	-1.17744901E+002	
-7.99801753E+000	-1.16900720E+002	
-7.97730423E+000	-1.18022638E+002	
-7.95659092E+000	-1.17832528E+002	
-7.93587762E+000	-1.17105225E+002	
-7.91516431E+000	-1.18486915E+002	
-7.89445101E+000	-1.16392788E+002	
-7.87373770E+000	-1.17563984E+002	
-7.85302439E+000	-1.18399068E+002	
-7.83231109E+000	-1.18507978E+002	
-7.81159778E+000	-1.16485184E+002	
-7.79088448E+000	-1.18161539E+002	
-7.77017117E+000	-1.18913369E+002	
-7.74945787E+000	-1.17975992E+002	
-7.72874456E+000	-1.17463868E+002	
-7.70803126E+000	-1.18011705E+002	
-7.68731795E+000	-1.19841550E+002	
-7.66660465E+000	-1.17593229E+002	
-7.64589134E+000	-1.17887124E+002	
-7.62517804E+000	-1.17830097E+002	
-7.60446473E+000	-1.17764026E+002	
-7.58375143E+000	-1.17127488E+002	
-7.56303812E+000	-1.19053661E+002	
-7.54232482E+000	-1.18105062E+002	
-7.52161151E+000	-1.17468506E+002	
