Acquired on 5/6/2022 at 16:02:36
Calibrated on 5/6/2022 at 15:36:07
Device Descriptor:  [none]
Scan Range (nm):  1539.624  --  1560.517
Measurement Type:  Reflection
Group Index:  1.500
Gain:  24 dB
Domain:  Time
Spatial Resolution (mm):  0.001000
Frequency domain window was applied to measurement data.
Number of Data Points (in this file):  16384
NOTE: Data stored in this file is decimated by a factor of 64.

Time (ns)	Amplitude (dB)	
-1.00072081E+001	-1.16397297E+002	
-9.98649484E+000	-1.17499869E+002	
-9.96578154E+000	-1.18442506E+002	
-9.94506823E+000	-1.17319565E+002	
-9.92435493E+000	-1.17112819E+002	
-9.90364162E+000	-1.18601158E+002	
-9.88292832E+000	-1.17919687E+002	
-9.86221501E+000	-1.17551627E+002	
-9.84150171E+000	-1.17236686E+002	
-9.82078840E+000	-1.16833544E+002	
-9.80007509E+000	-1.18554399E+002	
-9.77936179E+000	-1.18570393E+002	
-9.75864848E+000	-1.16471270E+002	
-9.73793518E+000	-1.18208075E+002	
-9.71722187E+000	-1.17737544E+002	
-9.69650857E+000	-1.17426080E+002	
-9.67579526E+000	-1.17189901E+002	
-9.65508196E+000	-1.18762656E+002	
-9.63436865E+000	-1.18443738E+002	
-9.61365535E+000	-1.17602099E+002	
-9.59294204E+000	-1.18054994E+002	
-9.57222874E+000	-1.18647443E+002	
-9.55151543E+000	-1.17051205E+002	
-9.53080213E+000	-1.18096395E+002	
-9.51008882E+000	-1.17590417E+002	
-9.48937552E+000	-1.18356730E+002	
-9.46866221E+000	-1.16174069E+002	
-9.44794890E+000	-1.18216006E+002	
-9.42723560E+000	-1.18050975E+002	
-9.40652229E+000	-1.17208205E+002	
-9.38580899E+000	-1.17653104E+002	
-9.36509568E+000	-1.17810388E+002	
-9.34438238E+000	-1.18712203E+002	
-9.32366907E+000	-1.18804311E+002	
-9.30295577E+000	-1.17656018E+002	
-9.28224246E+000	-1.18790483E+002	
-9.26152916E+000	-1.17722609E+002	
-9.24081585E+000	-1.18155340E+002	
-9.22010255E+000	-1.16576549E+002	
-9.19938924E+000	-1.17684803E+002	
-9.17867594E+000	-1.16741421E+002	
-9.15796263E+000	-1.17568641E+002	
-9.13724932E+000	-1.18406551E+002	
-9.11653602E+000	-1.17982886E+002	
-9.09582271E+000	-1.16974517E+002	
-9.07510941E+000	-1.17917434E+002	
-9.05439610E+000	-1.18206821E+002	
-9.03368280E+000	-1.16868221E+002	
-9.01296949E+000	-1.17829380E+002	
-8.99225619E+000	-1.15952750E+002	
-8.97154288E+000	-1.18230545E+002	
-8.95082958E+000	-1.18189820E+002	
-8.93011627E+000	-1.16974370E+002	
-8.90940297E+000	-1.17883360E+002	
-8.88868966E+000	-1.18966507E+002	
-8.86797636E+000	-1.17281370E+002	
-8.84726305E+000	-1.16753164E+002	
-8.82654974E+000	-1.18085984E+002	
-8.80583644E+000	-1.16595582E+002	
-8.78512313E+000	-1.16343208E+002	
-8.76440983E+000	-1.17291381E+002	
-8.74369652E+000	-1.17917320E+002	
-8.72298322E+000	-1.18447577E+002	
-8.70226991E+000	-1.16309255E+002	
-8.68155661E+000	-1.17305045E+002	
-8.66084330E+000	-1.18004728E+002	
-8.64013000E+000	-1.18232058E+002	
-8.61941669E+000	-1.16015346E+002	
-8.59870339E+000	-1.16848086E+002	
-8.57799008E+000	-1.17258070E+002	
-8.55727678E+000	-1.16487729E+002	
-8.53656347E+000	-1.17800017E+002	
-8.51585017E+000	-1.16719161E+002	
-8.49513686E+000	-1.17652552E+002	
-8.47442355E+000	-1.17170697E+002	
-8.45371025E+000	-1.16640815E+002	
-8.43299694E+000	-1.15812937E+002	
-8.41228364E+000	-1.16704666E+002	
-8.39157033E+000	-1.16839400E+002	
-8.37085703E+000	-1.17586264E+002	
-8.35014372E+000	-1.17254076E+002	
-8.32943042E+000	-1.17976521E+002	
-8.30871711E+000	-1.17376454E+002	
