Acquired on 5/10/2022 at 15:41:28
Calibrated on 5/10/2022 at 15:36:33
Device Descriptor:  [none]
Scan Range (nm):  1539.624  --  1560.517
Measurement Type:  Reflection
Group Index:  1.500
Gain:  24 dB
Domain:  Time
Spatial Resolution (mm):  0.100000
Frequency domain window was applied to measurement data.
Number of Data Points (in this file):  16384
NOTE: Data stored in this file is decimated by a factor of 64.

Time (ns)	Amplitude (dB/mm)	
-1.00072081E+001	-9.81186300E+001	
-9.98649484E+000	-9.94191967E+001	
-9.96578154E+000	-9.96806800E+001	
-9.94506823E+000	-9.78722109E+001	
-9.92435493E+000	-9.87467967E+001	
-9.90364162E+000	-9.90379560E+001	
-9.88292832E+000	-1.00169861E+002	
-9.86221501E+000	-9.83416386E+001	
-9.84150171E+000	-9.85486751E+001	
-9.82078840E+000	-9.89345287E+001	
-9.80007509E+000	-1.00268499E+002	
-9.77936179E+000	-1.00014645E+002	
-9.75864848E+000	-9.80723551E+001	
-9.73793518E+000	-9.89829713E+001	
-9.71722187E+000	-9.87164702E+001	
-9.69650857E+000	-9.94535234E+001	
-9.67579526E+000	-9.91591831E+001	
-9.65508196E+000	-9.98861673E+001	
-9.63436865E+000	-9.97745489E+001	
-9.61365535E+000	-9.87795695E+001	
-9.59294204E+000	-9.92907965E+001	
-9.57222874E+000	-1.00170621E+002	
-9.55151543E+000	-9.81713795E+001	
-9.53080213E+000	-9.99258969E+001	
-9.51008882E+000	-9.88259427E+001	
-9.48937552E+000	-9.93670001E+001	
-9.46866221E+000	-9.93960712E+001	
-9.44794890E+000	-9.95681121E+001	
-9.42723560E+000	-9.87142999E+001	
-9.40652229E+000	-9.84268433E+001	
-9.38580899E+000	-9.87718538E+001	
-9.36509568E+000	-9.88095885E+001	
-9.34438238E+000	-9.94414120E+001	
-9.32366907E+000	-9.98601378E+001	
-9.30295577E+000	-9.91444387E+001	
-9.28224246E+000	-1.00531366E+002	
-9.26152916E+000	-9.88248130E+001	
-9.24081585E+000	-9.96838082E+001	
-9.22010255E+000	-9.76668320E+001	
-9.19938924E+000	-9.92907275E+001	
-9.17867594E+000	-9.86064484E+001	
-9.15796263E+000	-9.87772634E+001	
-9.13724932E+000	-9.95669154E+001	
-9.11653602E+000	-9.90767439E+001	
-9.09582271E+000	-9.82608419E+001	
-9.07510941E+000	-9.87486365E+001	
-9.05439610E+000	-9.96606713E+001	
-9.03368280E+000	-9.85703870E+001	
-9.01296949E+000	-9.78775476E+001	
-8.99225619E+000	-9.82709719E+001	
-8.97154288E+000	-1.00247547E+002	
-8.95082958E+000	-1.00164687E+002	
-8.93011627E+000	-9.80743752E+001	
-8.90940297E+000	-9.92449157E+001	
-8.88868966E+000	-1.00186225E+002	
-8.86797636E+000	-9.85302142E+001	
-8.84726305E+000	-9.83059647E+001	
-8.82654974E+000	-1.00317799E+002	
-8.80583644E+000	-9.87383999E+001	
-8.78512313E+000	-9.74610974E+001	
-8.76440983E+000	-9.92456279E+001	
-8.74369652E+000	-9.96582032E+001	
-8.72298322E+000	-9.95512479E+001	
-8.70226991E+000	-9.86137038E+001	
-8.68155661E+000	-1.00140100E+002	
-8.66084330E+000	-9.90976157E+001	
-8.64013000E+000	-9.91992337E+001	
-8.61941669E+000	-9.98242695E+001	
-8.59870339E+000	-9.85095514E+001	
-8.57799008E+000	-9.86773227E+001	
-8.55727678E+000	-9.92776094E+001	
-8.53656347E+000	-9.97057983E+001	
-8.51585017E+000	-9.85881552E+001	
-8.49513686E+000	-9.90864498E+001	
-8.47442355E+000	-9.92960569E+001	
-8.45371025E+000	-9.79068414E+001	
-8.43299694E+000	-9.93772847E+001	
-8.41228364E+000	-9.92588625E+001	
-8.39157033E+000	-9.83833699E+001	
-8.37085703E+000	-9.89487854E+001	
-8.35014372E+000	-9.89436265E+001	
-8.32943042E+000	-9.90106645E+001	
-8.30871711E+000	-9.93512712E+001	
-8.28800381E+000	-1.00487076E+002	
-8.26729050E+000	-9.91806160E+001	
-8.24657720E+000	-9.96687457E+001	
-8.22586389E+000	-9.94961596E+001	
-8.20515059E+000	-9.98897360E+001	
-8.18443728E+000	-9.98721231E+001	
-8.16372397E+000	-9.86819052E+001	
-8.14301067E+000	-9.89289009E+001	
-8.12229736E+000	-1.00393048E+002	
-8.10158406E+000	-9.97420968E+001	
-8.08087075E+000	-9.85672781E+001	
-8.06015745E+000	-9.87157812E+001	
-8.03944414E+000	-9.93529172E+001	
-8.01873084E+000	-9.93083073E+001	
-7.99801753E+000	-9.81143342E+001	
-7.97730423E+000	-9.97402009E+001	
-7.95659092E+000	-9.88424546E+001	
-7.93587762E+000	-9.82523073E+001	
-7.91516431E+000	-9.96634014E+001	
-7.89445101E+000	-9.77999864E+001	
-7.87373770E+000	-9.82514330E+001	
-7.85302439E+000	-9.96535278E+001	
-7.83231109E+000	-9.96539125E+001	
-7.81159778E+000	-9.75861897E+001	
-7.79088448E+000	-9.93995918E+001	
-7.77017117E+000	-9.99065987E+001	
-7.74945787E+000	-9.91081641E+001	
-7.72874456E+000	-9.88900132E+001	
-7.70803126E+000	-9.91040381E+001	
-7.68731795E+000	-1.01208596E+002	
-7.66660465E+000	-9.85793782E+001	
-7.64589134E+000	-9.95437160E+001	
-7.62517804E+000	-9.88917014E+001	
-7.60446473E+000	-9.94151862E+001	
-7.58375143E+000	-9.87332246E+001	
-7.56303812E+000	-1.00716109E+002	
-7.54232482E+000	-1.00759868E+002	
-7.52161151E+000	-9.89718364E+001	
-7.50089820E+000	-9.87809074E+001	
-7.48018490E+000	-9.88926398E+001	
-7.45947159E+000	-9.97961103E+001	
-7.43875829E+000	-9.90218715E+001	
-7.41804498E+000	-9.81280318E+001	
-7.39733168E+000	-9.80511037E+001	
-7.37661837E+000	-9.77730133E+001	
-7.35590507E+000	-9.84243160E+001	
-7.33519176E+000	-9.94583243E+001	
-7.31447846E+000	-9.97159088E+001	
-7.29376515E+000	-9.96784664E+001	
-7.27305185E+000	-9.98137149E+001	
-7.25233854E+000	-9.89313806E+001	
-7.23162524E+000	-9.92410085E+001	
-7.21091193E+000	-9.93308384E+001	
-7.19019862E+000	-9.77960305E+001	
-7.16948532E+000	-9.92031191E+001	
-7.14877201E+000	-9.99824063E+001	
-7.12805871E+000	-9.96391436E+001	
-7.10734540E+000	-9.95801630E+001	
-7.08663210E+000	-9.90385234E+001	
-7.06591879E+000	-1.00033158E+002	
-7.04520549E+000	-9.89091302E+001	
-7.02449218E+000	-9.97554082E+001	
-7.00377888E+000	-9.98454078E+001	
-6.98306557E+000	-9.90672084E+001	
-6.96235227E+000	-9.84700849E+001	
-6.94163896E+000	-9.98223480E+001	
-6.92092566E+000	-1.00066317E+002	
-6.90021235E+000	-9.95101132E+001	
-6.87949904E+000	-9.95680823E+001	
-6.85878574E+000	-9.98804194E+001	
-6.83807243E+000	-9.92978192E+001	
-6.81735913E+000	-9.93666910E+001	
-6.79664582E+000	-9.91283221E+001	
-6.77593252E+000	-9.79111735E+001	
-6.75521921E+000	-9.98625083E+001	
-6.73450591E+000	-1.00149934E+002	
-6.71379260E+000	-9.82834390E+001	
-6.69307930E+000	-9.97665948E+001	
-6.67236599E+000	-9.94050283E+001	
-6.65165269E+000	-9.89740020E+001	
-6.63093938E+000	-9.96319186E+001	
-6.61022608E+000	-9.96556969E+001	
-6.58951277E+000	-9.90914810E+001	
-6.56879947E+000	-1.00628294E+002	
-6.54808616E+000	-9.89944337E+001	
-6.52737285E+000	-9.92082793E+001	
-6.50665955E+000	-9.88558148E+001	
-6.48594624E+000	-9.87272376E+001	
-6.46523294E+000	-9.82529878E+001	
-6.44451963E+000	-9.93570124E+001	
-6.42380633E+000	-9.90096691E+001	
-6.40309302E+000	-1.00102195E+002	
-6.38237972E+000	-9.95311480E+001	
-6.36166641E+000	-9.98796895E+001	
-6.34095311E+000	-1.00039731E+002	
-6.32023980E+000	-9.79077439E+001	
-6.29952650E+000	-9.96006337E+001	
-6.27881319E+000	-9.90608446E+001	
-6.25809989E+000	-9.96299318E+001	
-6.23738658E+000	-1.00550687E+002	
-6.21667327E+000	-9.91480737E+001	
-6.19595997E+000	-9.74631902E+001	
-6.17524666E+000	-9.94634845E+001	
-6.15453336E+000	-9.93858463E+001	
-6.13382005E+000	-9.83996439E+001	
-6.11310675E+000	-9.94996469E+001	
-6.09239344E+000	-9.93162048E+001	
-6.07168014E+000	-9.99440458E+001	
-6.05096683E+000	-9.92588536E+001	
-6.03025353E+000	-9.93746599E+001	
-6.00954022E+000	-9.86744247E+001	
-5.98882692E+000	-9.89169907E+001	
-5.96811361E+000	-9.82966238E+001	
-5.94740031E+000	-9.91705688E+001	
-5.92668700E+000	-9.86675910E+001	
-5.90597369E+000	-9.90008656E+001	
-5.88526039E+000	-9.97269372E+001	
-5.86454708E+000	-9.97675402E+001	
-5.84383378E+000	-9.90229717E+001	
-5.82312047E+000	-9.85347299E+001	
-5.80240717E+000	-1.01790163E+002	
-5.78169386E+000	-9.79193049E+001	
-5.76098056E+000	-9.91621308E+001	
-5.74026725E+000	-1.00614236E+002	
-5.71955395E+000	-9.94937265E+001	
-5.69884064E+000	-9.94235648E+001	
-5.67812734E+000	-9.92577214E+001	
-5.65741403E+000	-9.99834700E+001	
-5.63670073E+000	-9.99431394E+001	
-5.61598742E+000	-9.91538795E+001	
-5.59527412E+000	-9.98190589E+001	
-5.57456081E+000	-9.92130718E+001	
