Acquired on 5/10/2022 at 15:42:23
Calibrated on 5/10/2022 at 15:36:33
Device Descriptor:  [none]
Scan Range (nm):  1539.624  --  1560.517
Measurement Type:  Reflection
Group Index:  1.500
Gain:  24 dB
Domain:  Time
Spatial Resolution (mm):  0.100000
Frequency domain window was applied to measurement data.
Number of Data Points (in this file):  16384
NOTE: Data stored in this file is decimated by a factor of 64.

Time (ns)	Amplitude (dB/mm)	
-1.00072081E+001	-9.39505583E+001	
-9.98649484E+000	-9.44580539E+001	
-9.96578154E+000	-9.48410085E+001	
-9.94506823E+000	-9.47926861E+001	
-9.92435493E+000	-9.51283850E+001	
-9.90364162E+000	-9.40726920E+001	
-9.88292832E+000	-9.53137692E+001	
-9.86221501E+000	-9.35469450E+001	
-9.84150171E+000	-9.55004082E+001	
-9.82078840E+000	-9.45128652E+001	
-9.80007509E+000	-9.51611067E+001	
-9.77936179E+000	-9.41123539E+001	
-9.75864848E+000	-9.44426030E+001	
-9.73793518E+000	-9.30572284E+001	
-9.71722187E+000	-9.54570362E+001	
-9.69650857E+000	-9.49023866E+001	
-9.67579526E+000	-9.44070224E+001	
-9.65508196E+000	-9.52747576E+001	
-9.63436865E+000	-9.52348939E+001	
-9.61365535E+000	-9.61603672E+001	
-9.59294204E+000	-9.62575624E+001	
-9.57222874E+000	-9.53943639E+001	
-9.55151543E+000	-9.43356636E+001	
-9.53080213E+000	-9.46998778E+001	
-9.51008882E+000	-9.32885551E+001	
-9.48937552E+000	-9.43445146E+001	
-9.46866221E+000	-9.39304168E+001	
-9.44794890E+000	-9.53795357E+001	
-9.42723560E+000	-9.52823703E+001	
-9.40652229E+000	-9.42998207E+001	
-9.38580899E+000	-9.47418797E+001	
-9.36509568E+000	-9.41032815E+001	
-9.34438238E+000	-9.45536179E+001	
-9.32366907E+000	-9.49371525E+001	
-9.30295577E+000	-9.46300213E+001	
-9.28224246E+000	-9.55115202E+001	
-9.26152916E+000	-9.49322048E+001	
-9.24081585E+000	-9.45235041E+001	
-9.22010255E+000	-9.38520959E+001	
-9.19938924E+000	-9.33694254E+001	
-9.17867594E+000	-9.47120275E+001	
-9.15796263E+000	-9.48460382E+001	
-9.13724932E+000	-9.39543469E+001	
-9.11653602E+000	-9.40862338E+001	
-9.09582271E+000	-9.46294091E+001	
-9.07510941E+000	-9.40855042E+001	
-9.05439610E+000	-9.46316641E+001	
-9.03368280E+000	-9.42119623E+001	
-9.01296949E+000	-9.35121521E+001	
-8.99225619E+000	-9.41096499E+001	
-8.97154288E+000	-9.52026087E+001	
-8.95082958E+000	-9.48762613E+001	
-8.93011627E+000	-9.44041171E+001	
-8.90940297E+000	-9.50538452E+001	
-8.88868966E+000	-9.54734226E+001	
-8.86797636E+000	-9.45507413E+001	
-8.84726305E+000	-9.50785238E+001	
-8.82654974E+000	-9.49362666E+001	
-8.80583644E+000	-9.49024125E+001	
-8.78512313E+000	-9.45243336E+001	
-8.76440983E+000	-9.50352895E+001	
-8.74369652E+000	-9.39777517E+001	
-8.72298322E+000	-9.43799699E+001	
-8.70226991E+000	-9.42829342E+001	
-8.68155661E+000	-9.41613594E+001	
-8.66084330E+000	-9.48191219E+001	
-8.64013000E+000	-9.51111918E+001	
-8.61941669E+000	-9.42087107E+001	
-8.59870339E+000	-9.39076704E+001	
-8.57799008E+000	-9.46603846E+001	
-8.55727678E+000	-9.55526681E+001	
-8.53656347E+000	-9.42775023E+001	
-8.51585017E+000	-9.51247223E+001	
-8.49513686E+000	-9.43622249E+001	
-8.47442355E+000	-9.48861445E+001	
-8.45371025E+000	-9.40728562E+001	
-8.43299694E+000	-9.45260409E+001	
-8.41228364E+000	-9.57739248E+001	
-8.39157033E+000	-9.40085357E+001	
-8.37085703E+000	-9.45850453E+001	
-8.35014372E+000	-9.48529928E+001	
-8.32943042E+000	-9.41609687E+001	
-8.30871711E+000	-9.39592800E+001	
-8.28800381E+000	-9.50826860E+001	
-8.26729050E+000	-9.48552222E+001	
-8.24657720E+000	-9.43174000E+001	
-8.22586389E+000	-9.44870967E+001	
-8.20515059E+000	-9.48275238E+001	
-8.18443728E+000	-9.51413116E+001	
-8.16372397E+000	-9.40715471E+001	
-8.14301067E+000	-9.45455567E+001	
-8.12229736E+000	-9.47871950E+001	
-8.10158406E+000	-9.55887971E+001	
-8.08087075E+000	-9.43308276E+001	
-8.06015745E+000	-9.50559247E+001	
-8.03944414E+000	-9.38550673E+001	
-8.01873084E+000	-9.42703657E+001	
-7.99801753E+000	-9.39985283E+001	
-7.97730423E+000	-9.60830369E+001	
-7.95659092E+000	-9.44020763E+001	
-7.93587762E+000	-9.46121276E+001	
-7.91516431E+000	-9.53003118E+001	
-7.89445101E+000	-9.42893674E+001	
-7.87373770E+000	-9.49896727E+001	
-7.85302439E+000	-9.37831425E+001	
-7.83231109E+000	-9.44953012E+001	
-7.81159778E+000	-9.41115176E+001	
-7.79088448E+000	-9.48254595E+001	
-7.77017117E+000	-9.52507768E+001	
-7.74945787E+000	-9.40156942E+001	
-7.72874456E+000	-9.48755473E+001	
-7.70803126E+000	-9.52540185E+001	
-7.68731795E+000	-9.47262397E+001	
-7.66660465E+000	-9.35976959E+001	
-7.64589134E+000	-9.42295822E+001	
-7.62517804E+000	-9.49052775E+001	
-7.60446473E+000	-9.51532876E+001	
-7.58375143E+000	-9.35203419E+001	
-7.56303812E+000	-9.51573915E+001	
-7.54232482E+000	-9.48124103E+001	
-7.52161151E+000	-9.41899271E+001	
-7.50089820E+000	-9.40757280E+001	
-7.48018490E+000	-9.49923721E+001	
-7.45947159E+000	-9.40272481E+001	
-7.43875829E+000	-9.35653893E+001	
-7.41804498E+000	-9.48839325E+001	
-7.39733168E+000	-9.51889498E+001	
-7.37661837E+000	-9.24974543E+001	
-7.35590507E+000	-9.50043736E+001	
-7.33519176E+000	-9.51459682E+001	
-7.31447846E+000	-9.43232470E+001	
-7.29376515E+000	-9.56028270E+001	
-7.27305185E+000	-9.41368527E+001	
-7.25233854E+000	-9.51777224E+001	
-7.23162524E+000	-9.44718233E+001	
-7.21091193E+000	-9.45527675E+001	
-7.19019862E+000	-9.41888455E+001	
-7.16948532E+000	-9.40702006E+001	
-7.14877201E+000	-9.50149608E+001	
-7.12805871E+000	-9.45952230E+001	
-7.10734540E+000	-9.30963065E+001	
-7.08663210E+000	-9.41175899E+001	
-7.06591879E+000	-9.61181875E+001	
-7.04520549E+000	-9.47181663E+001	
-7.02449218E+000	-9.49912567E+001	
-7.00377888E+000	-9.42702948E+001	
-6.98306557E+000	-9.48260492E+001	
-6.96235227E+000	-9.41470143E+001	
-6.94163896E+000	-9.46659946E+001	
-6.92092566E+000	-9.57841282E+001	
-6.90021235E+000	-9.48621667E+001	
-6.87949904E+000	-9.53416678E+001	
-6.85878574E+000	-9.44675952E+001	
-6.83807243E+000	-9.51220786E+001	
-6.81735913E+000	-9.55012049E+001	
-6.79664582E+000	-9.53488335E+001	
-6.77593252E+000	-9.42250330E+001	
-6.75521921E+000	-9.48648683E+001	
-6.73450591E+000	-9.42118322E+001	
-6.71379260E+000	-9.36026288E+001	
-6.69307930E+000	-9.56830485E+001	
-6.67236599E+000	-9.47421803E+001	
-6.65165269E+000	-9.48322047E+001	
-6.63093938E+000	-9.34778902E+001	
-6.61022608E+000	-9.44445142E+001	
-6.58951277E+000	-9.45222183E+001	
-6.56879947E+000	-9.39381166E+001	
-6.54808616E+000	-9.44371356E+001	
-6.52737285E+000	-9.52453113E+001	
-6.50665955E+000	-9.49067390E+001	
-6.48594624E+000	-9.39212628E+001	
-6.46523294E+000	-9.36901290E+001	
-6.44451963E+000	-9.45206429E+001	
-6.42380633E+000	-9.45581379E+001	
-6.40309302E+000	-9.50454618E+001	
-6.38237972E+000	-9.44368306E+001	
-6.36166641E+000	-9.60656315E+001	
-6.34095311E+000	-9.54795255E+001	
-6.32023980E+000	-9.55520310E+001	
-6.29952650E+000	-9.42283357E+001	
-6.27881319E+000	-9.45677809E+001	
-6.25809989E+000	-9.50481181E+001	
-6.23738658E+000	-9.43608640E+001	
-6.21667327E+000	-9.48996396E+001	
-6.19595997E+000	-9.46540687E+001	
-6.17524666E+000	-9.52903754E+001	
-6.15453336E+000	-9.47341823E+001	
-6.13382005E+000	-9.41734767E+001	
-6.11310675E+000	-9.50147835E+001	
-6.09239344E+000	-9.55079538E+001	
-6.07168014E+000	-9.62023525E+001	
-6.05096683E+000	-9.62676314E+001	
-6.03025353E+000	-9.58979994E+001	
-6.00954022E+000	-9.51170969E+001	
-5.98882692E+000	-9.48251374E+001	
-5.96811361E+000	-9.43682055E+001	
-5.94740031E+000	-9.42977975E+001	
-5.92668700E+000	-9.42049183E+001	
-5.90597369E+000	-9.40629586E+001	
-5.88526039E+000	-9.46573780E+001	
-5.86454708E+000	-9.48080599E+001	
-5.84383378E+000	-9.54907691E+001	
-5.82312047E+000	-9.43502781E+001	
-5.80240717E+000	-9.53450749E+001	
-5.78169386E+000	-9.53726142E+001	
-5.76098056E+000	-9.51184576E+001	
-5.74026725E+000	-9.51375053E+001	
-5.71955395E+000	-9.45858574E+001	
-5.69884064E+000	-9.37874776E+001	
-5.67812734E+000	-9.26442559E+001	
-5.65741403E+000	-9.36099954E+001	
-5.63670073E+000	-9.48354222E+001	
-5.61598742E+000	-9.36076535E+001	
-5.59527412E+000	-9.55188019E+001	
-5.57456081E+000	-9.36212589E+001	
-5.55384750E+000	-9.50737024E+001	
-5.53313420E+000	-9.44593733E+001	
-5.51242089E+000	-9.43147002E+001	
-5.49170759E+000	-9.33804457E+001	
-5.47099428E+000	-9.53095384E+001	
-5.45028098E+000	-9.34127364E+001	
-5.42956767E+000	-9.29565606E+001	
-5.40885437E+000	-9.53407869E+001	
-5.38814106E+000	-9.42860164E+001	
-5.36742776E+000	-9.49953090E+001	
-5.34671445E+000	-9.59026695E+001	
-5.32600115E+000	-9.47304094E+001	
-5.30528784E+000	-9.43280701E+001	
-5.28457454E+000	-9.51737681E+001	
-5.26386123E+000	-9.45671348E+001	
-5.24314792E+000	-9.40463846E+001	
-5.22243462E+000	-9.57138226E+001	
-5.20172131E+000	-9.50747246E+001	
-5.18100801E+000	-9.44363055E+001	
-5.16029470E+000	-9.42306935E+001	
-5.13958140E+000	-9.38290305E+001	
-5.11886809E+000	-9.46526842E+001	
-5.09815479E+000	-9.46841261E+001	
-5.07744148E+000	-9.44867123E+001	
-5.05672818E+000	-9.43670182E+001	
-5.03601487E+000	-9.44812020E+001	
-5.01530157E+000	-9.54621048E+001	
-4.99458826E+000	-9.31194320E+001	
-4.97387496E+000	-9.44601933E+001	
-4.95316165E+000	-9.42552693E+001	
-4.93244834E+000	-9.46812205E+001	
-4.91173504E+000	-9.37396540E+001	
-4.89102173E+000	-9.41369944E+001	
-4.87030843E+000	-9.49767014E+001	
-4.84959512E+000	-9.40572081E+001	
-4.82888182E+000	-9.48643853E+001	
-4.80816851E+000	-9.46563230E+001	
-4.78745521E+000	-9.46067605E+001	
-4.76674190E+000	-9.53268738E+001	
-4.74602860E+000	-9.42034611E+001	
-4.72531529E+000	-9.41530433E+001	
-4.70460199E+000	-9.56465349E+001	
-4.68388868E+000	-9.48872986E+001	
-4.66317538E+000	-9.44549683E+001	
-4.64246207E+000	-9.55533599E+001	
-4.62174877E+000	-9.51033659E+001	
-4.60103546E+000	-9.51633656E+001	
-4.58032215E+000	-9.31262680E+001	
-4.55960885E+000	-9.37807539E+001	
-4.53889554E+000	-9.43632666E+001	
-4.51818224E+000	-9.40184561E+001	
-4.49746893E+000	-9.53392616E+001	
-4.47675563E+000	-9.48924572E+001	
-4.45604232E+000	-9.52179170E+001	
-4.43532902E+000	-9.41134646E+001	
-4.41461571E+000	-9.47704728E+001	
-4.39390241E+000	-9.51139903E+001	
-4.37318910E+000	-9.41714757E+001	
-4.35247580E+000	-9.57497164E+001	
-4.33176249E+000	-9.40385189E+001	
-4.31104919E+000	-9.49588099E+001	
-4.29033588E+000	-9.46699014E+001	
-4.26962257E+000	-9.49118207E+001	
-4.24890927E+000	-9.39695420E+001	
-4.22819596E+000	-9.47767604E+001	
-4.20748266E+000	-9.50498118E+001	
-4.18676935E+000	-9.47555725E+001	
-4.16605605E+000	-9.55521113E+001	
-4.14534274E+000	-9.37993264E+001	
-4.12462944E+000	-9.45723723E+001	
-4.10391613E+000	-9.50425978E+001	
-4.08320283E+000	-9.43990413E+001	
-4.06248952E+000	-9.45493680E+001	
-4.04177622E+000	-9.47355269E+001	
-4.02106291E+000	-9.46256448E+001	
-4.00034961E+000	-9.47356680E+001	
-3.97963630E+000	-9.47519935E+001	
-3.95892299E+000	-9.50439605E+001	
-3.93820969E+000	-9.47666252E+001	
-3.91749638E+000	-9.57483071E+001	
-3.89678308E+000	-9.51940576E+001	
-3.87606977E+000	-9.38900335E+001	
-3.85535647E+000	-9.45878590E+001	
-3.83464316E+000	-9.47895038E+001	
-3.81392986E+000	-9.50481218E+001	
-3.79321655E+000	-9.44722845E+001	
-3.77250325E+000	-9.47574251E+001	
-3.75178994E+000	-9.44760598E+001	
-3.73107664E+000	-9.44114662E+001	
-3.71036333E+000	-9.47363154E+001	
-3.68965003E+000	-9.58092734E+001	
-3.66893672E+000	-9.46663030E+001	
-3.64822342E+000	-9.38831160E+001	
-3.62751011E+000	-9.34531444E+001	
-3.60679680E+000	-9.40627953E+001	
-3.58608350E+000	-9.43537754E+001	
-3.56537019E+000	-9.47326785E+001	
-3.54465689E+000	-9.44303715E+001	
-3.52394358E+000	-9.44981072E+001	
-3.50323028E+000	-9.51069111E+001	
-3.48251697E+000	-9.36318364E+001	
-3.46180367E+000	-9.46044736E+001	
-3.44109036E+000	-9.53990987E+001	
-3.42037706E+000	-9.51276941E+001	
-3.39966375E+000	-9.51487077E+001	
-3.37895045E+000	-9.43425433E+001	
-3.35823714E+000	-9.55476271E+001	
-3.33752384E+000	-9.48868932E+001	
-3.31681053E+000	-9.49742571E+001	
-3.29609722E+000	-9.39175913E+001	
-3.27538392E+000	-9.47831413E+001	
-3.25467061E+000	-9.42731872E+001	
-3.23395731E+000	-9.54094780E+001	
-3.21324400E+000	-9.66358519E+001	
-3.19253070E+000	-9.43353604E+001	
-3.17181739E+000	-9.57301631E+001	
-3.15110409E+000	-9.47676029E+001	
-3.13039078E+000	-9.36749413E+001	
-3.10967748E+000	-9.49488738E+001	
-3.08896417E+000	-9.43274223E+001	
-3.06825087E+000	-9.46256805E+001	
-3.04753756E+000	-9.38954760E+001	
-3.02682426E+000	-9.40061696E+001	
-3.00611095E+000	-9.60543549E+001	
-2.98539764E+000	-9.52540637E+001	
-2.96468434E+000	-9.47069662E+001	
-2.94397103E+000	-9.54179166E+001	
-2.92325773E+000	-9.48226077E+001	
-2.90254442E+000	-9.43440640E+001	
-2.88183112E+000	-9.45567505E+001	
-2.86111781E+000	-9.56439890E+001	
-2.84040451E+000	-9.42525717E+001	
-2.81969120E+000	-9.41924400E+001	
-2.79897790E+000	-9.43852493E+001	
-2.77826459E+000	-9.52177442E+001	
-2.75755129E+000	-9.51478580E+001	
-2.73683798E+000	-9.46962490E+001	
-2.71612468E+000	-9.43835589E+001	
-2.69541137E+000	-9.51031886E+001	
-2.67469807E+000	-9.48729660E+001	
-2.65398476E+000	-9.46728020E+001	
-2.63327145E+000	-9.45169201E+001	
-2.61255815E+000	-9.44973935E+001	
-2.59184484E+000	-9.43484373E+001	
-2.57113154E+000	-9.54564927E+001	
-2.55041823E+000	-9.39412692E+001	
-2.52970493E+000	-9.33434865E+001	
-2.50899162E+000	-9.50982747E+001	
-2.48827832E+000	-9.42850795E+001	
-2.46756501E+000	-9.39064674E+001	
-2.44685171E+000	-9.38562332E+001	
-2.42613840E+000	-9.41932426E+001	
-2.40542510E+000	-9.31217423E+001	
-2.38471179E+000	-9.51643005E+001	
-2.36399849E+000	-9.51253181E+001	
-2.34328518E+000	-9.55020093E+001	
-2.32257187E+000	-9.43977329E+001	
-2.30185857E+000	-9.36227735E+001	
-2.28114526E+000	-9.56816170E+001	
-2.26043196E+000	-9.55394899E+001	
-2.23971865E+000	-9.51911625E+001	
-2.21900535E+000	-9.50377005E+001	
-2.19829204E+000	-9.49282589E+001	
-2.17757874E+000	-9.57837524E+001	
-2.15686543E+000	-9.59395349E+001	
-2.13615213E+000	-9.50309096E+001	
-2.11543882E+000	-9.38732928E+001	
-2.09472552E+000	-9.36054914E+001	
-2.07401221E+000	-9.61365386E+001	
-2.05329891E+000	-9.39697067E+001	
-2.03258560E+000	-9.42326655E+001	
-2.01187229E+000	-9.39337328E+001	
-1.99115899E+000	-9.54045804E+001	
-1.97044568E+000	-9.47566464E+001	
-1.94973238E+000	-9.43259021E+001	
-1.92901907E+000	-9.62924470E+001	
-1.90830577E+000	-9.48751258E+001	
-1.88759246E+000	-9.48929934E+001	
-1.86687916E+000	-9.43011766E+001	
-1.84616585E+000	-9.55451812E+001	
-1.82545255E+000	-9.34881607E+001	
-1.80473924E+000	-9.39517068E+001	
-1.78402594E+000	-9.57125513E+001	
-1.76331263E+000	-9.44349021E+001	
-1.74259933E+000	-9.32414476E+001	
-1.72188602E+000	-9.46672768E+001	
-1.70117272E+000	-9.47807964E+001	
-1.68045941E+000	-9.48883261E+001	
-1.65974610E+000	-9.49106492E+001	
-1.63903280E+000	-9.39597023E+001	
-1.61831949E+000	-9.48088927E+001	
-1.59760619E+000	-9.37053238E+001	
-1.57689288E+000	-9.41421343E+001	
-1.55617958E+000	-9.42667319E+001	
-1.53546627E+000	-9.55646085E+001	
-1.51475297E+000	-9.37479365E+001	
-1.49403966E+000	-9.51089925E+001	
-1.47332636E+000	-9.54679836E+001	
-1.45261305E+000	-9.40433744E+001	
-1.43189975E+000	-9.39698690E+001	
-1.41118644E+000	-9.39271924E+001	
-1.39047314E+000	-9.45109466E+001	
-1.36975983E+000	-9.51935632E+001	
-1.34904652E+000	-9.46314001E+001	
-1.32833322E+000	-9.30667178E+001	
-1.30761991E+000	-9.40622968E+001	
-1.28690661E+000	-9.58162346E+001	
-1.26619330E+000	-9.49918660E+001	
-1.24548000E+000	-9.48500675E+001	
-1.22476669E+000	-9.33356777E+001	
-1.20405339E+000	-9.49119806E+001	
-1.18334008E+000	-9.49655551E+001	
-1.16262678E+000	-9.46572896E+001	
-1.14191347E+000	-9.56227470E+001	
-1.12120017E+000	-9.45281697E+001	
-1.10048686E+000	-9.34585439E+001	
-1.07977356E+000	-9.49152337E+001	
-1.05906025E+000	-9.56966377E+001	
-1.03834694E+000	-9.42007797E+001	
-1.01763364E+000	-9.57163660E+001	
-9.96920334E-001	-9.32441198E+001	
-9.76207029E-001	-9.43645164E+001	
-9.55493724E-001	-9.52306526E+001	
-9.34780418E-001	-9.49747166E+001	
-9.14067113E-001	-9.45269041E+001	
-8.93353808E-001	-9.40168861E+001	
-8.72640502E-001	-9.56007147E+001	
-8.51927197E-001	-9.47392175E+001	
-8.31213892E-001	-9.50068501E+001	
-8.10500586E-001	-9.46858073E+001	
-7.89787281E-001	-9.43085344E+001	
-7.69073976E-001	-9.46845478E+001	
-7.48360671E-001	-9.32963300E+001	
-7.27647365E-001	-9.43107900E+001	
-7.06934060E-001	-9.40599869E+001	
-6.86220755E-001	-9.43904956E+001	
-6.65507449E-001	-9.38255447E+001	
-6.44794144E-001	-9.57051839E+001	
-6.24080839E-001	-9.48019046E+001	
-6.03367533E-001	-9.58941465E+001	
-5.82654228E-001	-9.35818539E+001	
-5.61940923E-001	-9.52856102E+001	
-5.41227617E-001	-9.48055572E+001	
-5.20514312E-001	-9.48890847E+001	
-4.99801007E-001	-9.54789839E+001	
-4.79087701E-001	-9.46342923E+001	
-4.58374396E-001	-9.40532341E+001	
-4.37661091E-001	-9.45077731E+001	
-4.16947785E-001	-9.62403731E+001	
-3.96234480E-001	-9.43203459E+001	
-3.75521175E-001	-9.45700525E+001	
-3.54807869E-001	-9.37491940E+001	
-3.34094564E-001	-9.49816799E+001	
-3.13381259E-001	-9.42048147E+001	
-2.92667954E-001	-9.38336831E+001	
-2.71954648E-001	-9.34244146E+001	
-2.51241343E-001	-9.57740119E+001	
-2.30528038E-001	-9.52855745E+001	
-2.09814732E-001	-9.38477988E+001	
-1.89101427E-001	-9.46996111E+001	
-1.68388122E-001	-9.42777716E+001	
-1.47674816E-001	-9.40092335E+001	
-1.26961511E-001	-9.49194081E+001	
-1.06248206E-001	-9.43766979E+001	
-8.55349003E-002	-9.38273052E+001	
-6.48215950E-002	-9.48320683E+001	
-4.41082897E-002	-9.46258513E+001	
-2.33949844E-002	-9.29363098E+001	
-2.68167905E-003	-6.18452220E+001	
1.80316263E-002	-9.33851306E+001	
3.87449316E-002	-9.43229475E+001	
5.94582369E-002	-9.44009875E+001	
8.01715422E-002	-9.48266342E+001	
1.00884848E-001	-9.34370768E+001	
1.21598153E-001	-9.53677644E+001	
1.42311458E-001	-9.42872371E+001	
1.63024763E-001	-9.41422128E+001	
1.83738069E-001	-9.43967089E+001	
2.04451374E-001	-9.41750770E+001	
2.25164679E-001	-9.64134297E+001	
2.45877985E-001	-9.55140262E+001	
2.66591290E-001	-9.66982406E+001	
2.87304595E-001	-9.52165230E+001	
3.08017901E-001	-9.70615099E+001	
3.28731206E-001	-9.50297372E+001	
3.49444511E-001	-9.43667243E+001	
3.70157817E-001	-9.47918878E+001	
3.90871122E-001	-9.53401172E+001	
4.11584427E-001	-9.40092960E+001	
