Acquired on 5/10/2022 at 15:46:57
Calibrated on 5/10/2022 at 15:36:33
Device Descriptor:  [none]
Scan Range (nm):  1539.624  --  1560.517
Measurement Type:  Reflection
Group Index:  1.500
Gain:  24 dB
Domain:  Time
Spatial Resolution (mm):  0.001000
Frequency domain window was applied to measurement data.
Number of Data Points (in this file):  130
NOTE: Data stored in this file is not decimated.

Time (ns)	Amplitude (dB/mm)	
4.93448503E+001	-8.52216844E+001	
4.93452339E+001	-8.93955952E+001	
4.93456175E+001	-9.44737806E+001	
4.93460011E+001	-1.00315580E+002	
4.93463847E+001	-9.72663861E+001	
4.93467682E+001	-9.79003367E+001	
4.93471518E+001	-1.01911996E+002	
4.93475354E+001	-9.86093933E+001	
4.93479190E+001	-9.22085975E+001	
4.93483026E+001	-8.92945309E+001	
4.93486861E+001	-9.13836487E+001	
4.93490697E+001	-9.61119939E+001	
4.93494533E+001	-9.71529189E+001	
4.93498369E+001	-9.87022082E+001	
4.93502205E+001	-1.00521498E+002	
4.93506040E+001	-9.88701917E+001	
4.93509876E+001	-1.00283650E+002	
4.93513712E+001	-1.00036015E+002	
4.93517548E+001	-9.39452341E+001	
4.93521384E+001	-9.49350503E+001	
4.93525219E+001	-9.71657229E+001	
4.93529055E+001	-9.71962282E+001	
4.93532891E+001	-1.01988984E+002	
4.93536727E+001	-9.58966537E+001	
4.93540563E+001	-9.15823821E+001	
4.93544398E+001	-9.37016312E+001	
4.93548234E+001	-9.39778803E+001	
4.93552070E+001	-9.34329607E+001	
4.93555906E+001	-9.56443739E+001	
4.93559742E+001	-9.74262023E+001	
4.93563577E+001	-1.01593351E+002	
4.93567413E+001	-9.87001892E+001	
4.93571249E+001	-9.98422322E+001	
4.93575085E+001	-9.59584195E+001	
4.93578921E+001	-9.08343362E+001	
4.93582756E+001	-9.26929281E+001	
4.93586592E+001	-9.00718631E+001	
4.93590428E+001	-8.65065319E+001	
4.93594264E+001	-8.79726085E+001	
4.93598100E+001	-9.07795917E+001	
4.93601935E+001	-9.79208591E+001	
4.93605771E+001	-9.74256627E+001	
4.93609607E+001	-9.33579702E+001	
4.93613443E+001	-9.32480751E+001	
4.93617279E+001	-8.43972112E+001	
4.93621114E+001	-8.21989463E+001	
4.93624950E+001	-8.25346229E+001	
4.93628786E+001	-8.67965387E+001	
4.93632622E+001	-9.11847568E+001	
4.93636458E+001	-1.00339440E+002	
4.93640293E+001	-9.25067051E+001	
4.93644129E+001	-9.37572316E+001	
4.93647965E+001	-9.43009014E+001	
4.93651801E+001	-9.07377316E+001	
4.93655636E+001	-9.09052398E+001	
4.93659472E+001	-9.45200890E+001	
4.93663308E+001	-9.45997507E+001	
4.93667144E+001	-9.25838604E+001	
4.93670980E+001	-9.71020025E+001	
4.93674815E+001	-9.77095436E+001	
4.93678651E+001	-9.57538124E+001	
4.93682487E+001	-8.72492534E+001	
4.93686323E+001	-7.92432391E+001	
4.93690159E+001	-5.94100368E+001	
4.93693994E+001	-4.84486560E+001	
4.93697830E+001	-5.01890282E+001	
4.93701666E+001	-6.68082434E+001	
4.93705502E+001	-8.33248516E+001	
4.93709338E+001	-9.07136943E+001	
4.93713173E+001	-9.07238340E+001	
4.93717009E+001	-9.27959686E+001	
4.93720845E+001	-9.40234578E+001	
4.93724681E+001	-9.66958074E+001	
4.93728517E+001	-9.16316895E+001	
4.93732352E+001	-9.39344960E+001	
4.93736188E+001	-9.59440676E+001	
4.93740024E+001	-9.13476264E+001	
4.93743860E+001	-9.29346961E+001	
4.93747696E+001	-9.26035694E+001	
4.93751531E+001	-9.31913490E+001	
4.93755367E+001	-9.66944339E+001	
4.93759203E+001	-9.63480173E+001	
4.93763039E+001	-8.98532398E+001	
4.93766875E+001	-8.33536570E+001	
4.93770710E+001	-8.43435495E+001	
4.93774546E+001	-9.16225134E+001	
4.93778382E+001	-9.74037485E+001	
4.93782218E+001	-9.44088421E+001	
4.93786054E+001	-9.58485318E+001	
4.93789889E+001	-9.88459875E+001	
4.93793725E+001	-9.78837311E+001	
4.93797561E+001	-1.00839358E+002	
4.93801397E+001	-9.18625765E+001	
4.93805233E+001	-9.58711501E+001	
4.93809068E+001	-9.34433047E+001	
4.93812904E+001	-1.07075599E+002	
4.93816740E+001	-9.34758045E+001	
4.93820576E+001	-1.10751617E+002	
4.93824412E+001	-9.09626158E+001	
4.93828247E+001	-9.13698167E+001	
4.93832083E+001	-9.66983811E+001	
4.93835919E+001	-1.05069972E+002	
4.93839755E+001	-9.77528005E+001	
4.93843591E+001	-1.01062929E+002	
4.93847426E+001	-1.01046214E+002	
4.93851262E+001	-9.89578181E+001	
4.93855098E+001	-1.01412039E+002	
4.93858934E+001	-1.00643722E+002	
4.93862770E+001	-9.71923794E+001	
4.93866605E+001	-9.78382431E+001	
4.93870441E+001	-1.03484731E+002	
4.93874277E+001	-9.55868897E+001	
4.93878113E+001	-1.02937395E+002	
4.93881949E+001	-9.72201892E+001	
4.93885784E+001	-9.52195280E+001	
4.93889620E+001	-9.86875906E+001	
4.93893456E+001	-1.03231186E+002	
4.93897292E+001	-1.00212371E+002	
4.93901128E+001	-1.04102329E+002	
4.93904963E+001	-9.52979664E+001	
4.93908799E+001	-9.36010742E+001	
4.93912635E+001	-9.95564494E+001	
4.93916471E+001	-1.09368089E+002	
4.93920307E+001	-9.78961754E+001	
4.93924142E+001	-9.86765960E+001	
4.93927978E+001	-9.51088531E+001	
4.93931814E+001	-9.58338764E+001	
4.93935650E+001	-9.92906402E+001	
4.93939485E+001	-1.06167220E+002	
4.93943321E+001	-9.02511723E+001	
