Time (ns)	Amplitude (dB/mm)	
-1.00072081E+001	-9.82780422E+001	
-9.98649484E+000	-9.94241075E+001	
-9.96578154E+000	-9.97024508E+001	
-9.94506823E+000	-9.79439798E+001	
-9.92435493E+000	-9.87855659E+001	
-9.90364162E+000	-9.92884717E+001	
-9.88292832E+000	-1.00117547E+002	
-9.86221501E+000	-9.85950802E+001	
-9.84150171E+000	-9.86906095E+001	
-9.82078840E+000	-9.90021876E+001	
-9.80007509E+000	-1.00480515E+002	
-9.77936179E+000	-1.00125539E+002	
-9.75864848E+000	-9.81833640E+001	
-9.73793518E+000	-9.90046164E+001	
-9.71722187E+000	-9.87412772E+001	
-9.69650857E+000	-9.94316540E+001	
-9.67579526E+000	-9.91360623E+001	
-9.65508196E+000	-9.99379038E+001	
-9.63436865E+000	-9.98546092E+001	
-9.61365535E+000	-9.88656991E+001	
-9.59294204E+000	-9.93334375E+001	
-9.57222874E+000	-1.00287322E+002	
-9.55151543E+000	-9.81849938E+001	
-9.53080213E+000	-9.99937368E+001	
-9.51008882E+000	-9.90350817E+001	
-9.48937552E+000	-9.94579579E+001	
-9.46866221E+000	-9.94319045E+001	
-9.44794890E+000	-9.95760505E+001	
-9.42723560E+000	-9.87449329E+001	
-9.40652229E+000	-9.84124942E+001	
-9.38580899E+000	-9.87852615E+001	
-9.36509568E+000	-9.89231847E+001	
-9.34438238E+000	-9.94024864E+001	
-9.32366907E+000	-1.00012873E+002	
-9.30295577E+000	-9.92091659E+001	
-9.28224246E+000	-1.00687179E+002	
-9.26152916E+000	-9.88421285E+001	
-9.24081585E+000	-9.99006526E+001	
-9.22010255E+000	-9.75345776E+001	
-9.19938924E+000	-9.93864076E+001	
-9.17867594E+000	-9.86863229E+001	
-9.15796263E+000	-9.87256696E+001	
-9.13724932E+000	-9.96423053E+001	
-9.11653602E+000	-9.91317703E+001	
-9.09582271E+000	-9.83561234E+001	
-9.07510941E+000	-9.89697319E+001	
-9.05439610E+000	-9.96552453E+001	
-9.03368280E+000	-9.86039872E+001	
-9.01296949E+000	-9.80870039E+001	
-8.99225619E+000	-9.81987425E+001	
-8.97154288E+000	-1.00293190E+002	
-8.95082958E+000	-1.00357019E+002	
-8.93011627E+000	-9.81113830E+001	
-8.90940297E+000	-9.92975215E+001	
-8.88868966E+000	-1.00468722E+002	
-8.86797636E+000	-9.84797116E+001	
-8.84726305E+000	-9.84147725E+001	
-8.82654974E+000	-1.00271838E+002	
-8.80583644E+000	-9.86265581E+001	
-8.78512313E+000	-9.75405482E+001	
-8.76440983E+000	-9.93090772E+001	
-8.74369652E+000	-9.97671693E+001	
-8.72298322E+000	-9.98130844E+001	
-8.70226991E+000	-9.85154624E+001	
-8.68155661E+000	-9.99835438E+001	
-8.66084330E+000	-9.92643971E+001	
-8.64013000E+000	-9.92827928E+001	
-8.61941669E+000	-9.97022086E+001	
-8.59870339E+000	-9.86163596E+001	
