Time (ns)	Amplitude (dB/mm)	
-1.00072081E+001	-9.46342559E+001	
-9.98649484E+000	-9.46089491E+001	
-9.96578154E+000	-9.62055991E+001	
-9.94506823E+000	-9.45062207E+001	
-9.92435493E+000	-9.45405198E+001	
-9.90364162E+000	-9.52100867E+001	
-9.88292832E+000	-9.46812192E+001	
-9.86221501E+000	-9.47360644E+001	
-9.84150171E+000	-9.42072790E+001	
-9.82078840E+000	-9.53870391E+001	
-9.80007509E+000	-9.50277764E+001	
-9.77936179E+000	-9.32485094E+001	
-9.75864848E+000	-9.42406790E+001	
-9.73793518E+000	-9.49496948E+001	
-9.71722187E+000	-9.55384267E+001	
-9.69650857E+000	-9.46659564E+001	
-9.67579526E+000	-9.52551061E+001	
-9.65508196E+000	-9.59368672E+001	
-9.63436865E+000	-9.67149471E+001	
-9.61365535E+000	-9.55421022E+001	
-9.59294204E+000	-9.52833928E+001	
-9.57222874E+000	-9.48696563E+001	
-9.55151543E+000	-9.43530834E+001	
-9.53080213E+000	-9.42243319E+001	
-9.51008882E+000	-9.56835851E+001	
-9.48937552E+000	-9.46035048E+001	
-9.46866221E+000	-9.49830632E+001	
-9.44794890E+000	-9.50156030E+001	
-9.42723560E+000	-9.35707994E+001	
-9.40652229E+000	-9.52184000E+001	
-9.38580899E+000	-9.44326960E+001	
-9.36509568E+000	-9.50570555E+001	
-9.34438238E+000	-9.53152824E+001	
-9.32366907E+000	-9.60046105E+001	
-9.30295577E+000	-9.52283841E+001	
-9.28224246E+000	-9.52784692E+001	
-9.26152916E+000	-9.51431648E+001	
-9.24081585E+000	-9.55440884E+001	
-9.22010255E+000	-9.32190950E+001	
-9.19938924E+000	-9.50355604E+001	
-9.17867594E+000	-9.47241357E+001	
-9.15796263E+000	-9.52138973E+001	
-9.13724932E+000	-9.47339260E+001	
-9.11653602E+000	-9.43456360E+001	
-9.09582271E+000	-9.44169536E+001	
-9.07510941E+000	-9.54064965E+001	
-9.05439610E+000	-9.49039203E+001	
-9.03368280E+000	-9.46348594E+001	
-9.01296949E+000	-9.49948322E+001	
-8.99225619E+000	-9.55981531E+001	
-8.97154288E+000	-9.51712440E+001	
-8.95082958E+000	-9.52222960E+001	
-8.93011627E+000	-9.39585710E+001	
-8.90940297E+000	-9.49341244E+001	
-8.88868966E+000	-9.58631805E+001	
-8.86797636E+000	-9.59160605E+001	
-8.84726305E+000	-9.45605362E+001	
-8.82654974E+000	-9.55992605E+001	
-8.80583644E+000	-9.48219636E+001	
-8.78512313E+000	-9.51936806E+001	
-8.76440983E+000	-9.46970081E+001	
-8.74369652E+000	-9.48934157E+001	
-8.72298322E+000	-9.48404083E+001	
-8.70226991E+000	-9.50756319E+001	
-8.68155661E+000	-9.57439942E+001	
-8.66084330E+000	-9.59043224E+001	
-8.64013000E+000	-9.47627638E+001	
-8.61941669E+000	-9.50912269E+001	
-8.59870339E+000	-9.55787425E+001	
-8.57799008E+000	-9.54241044E+001	
-8.55727678E+000	-9.53140794E+001	
-8.53656347E+000	-9.50301800E+001	
-8.51585017E+000	-9.50263846E+001	
-8.49513686E+000	-9.47198838E+001	
-8.47442355E+000	-9.52492265E+001	
-8.45371025E+000	-9.44246675E+001	
-8.43299694E+000	-9.43910277E+001	
-8.41228364E+000	-9.54065645E+001	
-8.39157033E+000	-9.43049418E+001	
-8.37085703E+000	-9.56173822E+001	
-8.35014372E+000	-9.41969332E+001	
-8.32943042E+000	-9.46826995E+001	
-8.30871711E+000	-9.47668894E+001	
-8.28800381E+000	-9.52927288E+001	
-8.26729050E+000	-9.49956994E+001	
-8.24657720E+000	-9.50809638E+001	
-8.22586389E+000	-9.45581848E+001	
-8.20515059E+000	-9.58532497E+001	
-8.18443728E+000	-9.49848960E+001	
-8.16372397E+000	-9.42879414E+001	
-8.14301067E+000	-9.56547221E+001	
-8.12229736E+000	-9.59086932E+001	
-8.10158406E+000	-9.56078832E+001	
-8.08087075E+000	-9.47170252E+001	
-8.06015745E+000	-9.46863748E+001	
-8.03944414E+000	-9.53993334E+001	
-8.01873084E+000	-9.47573929E+001	
-7.99801753E+000	-9.43167294E+001	
-7.97730423E+000	-9.47137731E+001	
-7.95659092E+000	-9.39443295E+001	
-7.93587762E+000	-9.48460528E+001	
-7.91516431E+000	-9.55625577E+001	
-7.89445101E+000	-9.40214828E+001	
-7.87373770E+000	-9.40580467E+001	
-7.85302439E+000	-9.53650227E+001	
-7.83231109E+000	-9.55731078E+001	
-7.81159778E+000	-9.45438890E+001	
-7.79088448E+000	-9.55573274E+001	
-7.77017117E+000	-9.53517415E+001	
-7.74945787E+000	-9.41699951E+001	
-7.72874456E+000	-9.53292935E+001	
-7.70803126E+000	-9.45620961E+001	
-7.68731795E+000	-9.62687144E+001	
-7.66660465E+000	-9.52684862E+001	
-7.64589134E+000	-9.53730366E+001	
-7.62517804E+000	-9.48939450E+001	
-7.60446473E+000	-9.51796156E+001	
-7.58375143E+000	-9.54375254E+001	
-7.56303812E+000	-9.64841293E+001	
-7.54232482E+000	-9.52352802E+001	
-7.52161151E+000	-9.59673399E+001	
-7.50089820E+000	-9.50197194E+001	
-7.48018490E+000	-9.45738015E+001	
-7.45947159E+000	-9.50299143E+001	
-7.43875829E+000	-9.55433976E+001	
-7.41804498E+000	-9.35605822E+001	
-7.39733168E+000	-9.43502642E+001	
-7.37661837E+000	-9.48861785E+001	
-7.35590507E+000	-9.38468913E+001	
-7.33519176E+000	-9.54162010E+001	
-7.31447846E+000	-9.50502413E+001	
-7.29376515E+000	-9.64185824E+001	
-7.27305185E+000	-9.48083505E+001	
-7.25233854E+000	-9.52785913E+001	
-7.23162524E+000	-9.49298856E+001	
-7.21091193E+000	-9.40936485E+001	
-7.19019862E+000	-9.50861642E+001	
-7.16948532E+000	-9.34761984E+001	
-7.14877201E+000	-9.43131506E+001	
-7.12805871E+000	-9.46753661E+001	
-7.10734540E+000	-9.36349835E+001	
-7.08663210E+000	-9.41827244E+001	
-7.06591879E+000	-9.53355730E+001	
-7.04520549E+000	-9.50732846E+001	
-7.02449218E+000	-9.56028039E+001	
-7.00377888E+000	-9.58494163E+001	
-6.98306557E+000	-9.52537603E+001	
-6.96235227E+000	-9.52289275E+001	
-6.94163896E+000	-9.52332301E+001	
-6.92092566E+000	-9.61856302E+001	
-6.90021235E+000	-9.51915403E+001	
-6.87949904E+000	-9.53880847E+001	
-6.85878574E+000	-9.49081639E+001	
-6.83807243E+000	-9.52824815E+001	
-6.81735913E+000	-9.55087579E+001	
-6.79664582E+000	-9.50833357E+001	
-6.77593252E+000	-9.42635744E+001	
-6.75521921E+000	-9.59295275E+001	
-6.73450591E+000	-9.51581843E+001	
-6.71379260E+000	-9.45891250E+001	
-6.69307930E+000	-9.62892592E+001	
-6.67236599E+000	-9.64053551E+001	
-6.65165269E+000	-9.58151940E+001	
-6.63093938E+000	-9.49997110E+001	
-6.61022608E+000	-9.50301811E+001	
-6.58951277E+000	-9.53172329E+001	
-6.56879947E+000	-9.60852112E+001	
-6.54808616E+000	-9.57164101E+001	
-6.52737285E+000	-9.44502487E+001	
-6.50665955E+000	-9.46749297E+001	
-6.48594624E+000	-9.49605708E+001	
-6.46523294E+000	-9.63962311E+001	
-6.44451963E+000	-9.50864499E+001	
-6.42380633E+000	-9.42409580E+001	
-6.40309302E+000	-9.43929927E+001	
-6.38237972E+000	-9.49707141E+001	
-6.36166641E+000	-9.46452591E+001	
-6.34095311E+000	-9.57973791E+001	
-6.32023980E+000	-9.47032290E+001	
-6.29952650E+000	-9.43846892E+001	
-6.27881319E+000	-9.52319404E+001	
-6.25809989E+000	-9.37535503E+001	
-6.23738658E+000	-9.55317815E+001	
-6.21667327E+000	-9.56859485E+001	
-6.19595997E+000	-9.33244506E+001	
-6.17524666E+000	-9.50674800E+001	
-6.15453336E+000	-9.46915102E+001	
-6.13382005E+000	-9.46897099E+001	
-6.11310675E+000	-9.56135002E+001	
-6.09239344E+000	-9.54839388E+001	
-6.07168014E+000	-9.65059515E+001	
-6.05096683E+000	-9.59562194E+001	
-6.03025353E+000	-9.49310999E+001	
-6.00954022E+000	-9.56153067E+001	
-5.98882692E+000	-9.48241125E+001	
-5.96811361E+000	-9.40763488E+001	
-5.94740031E+000	-9.42639212E+001	
-5.92668700E+000	-9.51500781E+001	
-5.90597369E+000	-9.48801398E+001	
-5.88526039E+000	-9.46820471E+001	
-5.86454708E+000	-9.56145550E+001	
-5.84383378E+000	-9.57546403E+001	
-5.82312047E+000	-9.53884161E+001	
-5.80240717E+000	-9.60220248E+001	
-5.78169386E+000	-9.50020238E+001	
-5.76098056E+000	-9.48038642E+001	
-5.74026725E+000	-9.68733527E+001	
-5.71955395E+000	-9.62997938E+001	
-5.69884064E+000	-9.39287527E+001	
-5.67812734E+000	-9.47798336E+001	
-5.65741403E+000	-9.59271303E+001	
-5.63670073E+000	-9.59458462E+001	
-5.61598742E+000	-9.43968826E+001	
-5.59527412E+000	-9.53092705E+001	
-5.57456081E+000	-9.50840309E+001	
-5.55384750E+000	-9.63845684E+001	
-5.53313420E+000	-9.46448843E+001	
-5.51242089E+000	-9.51157763E+001	
-5.49170759E+000	-9.51625108E+001	
-5.47099428E+000	-9.42846963E+001	
-5.45028098E+000	-9.53717905E+001	
-5.42956767E+000	-9.43979738E+001	
-5.40885437E+000	-9.50015443E+001	
-5.38814106E+000	-9.50897177E+001	
-5.36742776E+000	-9.47423309E+001	
-5.34671445E+000	-9.55849851E+001	
-5.32600115E+000	-9.50077643E+001	
-5.30528784E+000	-9.59450880E+001	
-5.28457454E+000	-9.44541805E+001	
-5.26386123E+000	-9.55727563E+001	
-5.24314792E+000	-9.48659805E+001	
-5.22243462E+000	-9.58095878E+001	
-5.20172131E+000	-9.62053755E+001	
-5.18100801E+000	-9.57606339E+001	
-5.16029470E+000	-9.58562576E+001	
-5.13958140E+000	-9.43080729E+001	
-5.11886809E+000	-9.50089032E+001	
-5.09815479E+000	-9.40395009E+001	
-5.07744148E+000	-9.44397759E+001	
-5.05672818E+000	-9.48827131E+001	
-5.03601487E+000	-9.41960239E+001	
-5.01530157E+000	-9.51200966E+001	
-4.99458826E+000	-9.49903205E+001	
-4.97387496E+000	-9.49947484E+001	
-4.95316165E+000	-9.49755537E+001	
-4.93244834E+000	-9.48639592E+001	
-4.91173504E+000	-9.38637982E+001	
-4.89102173E+000	-9.48986329E+001	
-4.87030843E+000	-9.49303946E+001	
