Time (ns)	Amplitude (dB/mm)	
-1.00072081E+001	-9.34891322E+001	
-9.98649484E+000	-9.41490271E+001	
-9.96578154E+000	-9.48277604E+001	
-9.94506823E+000	-9.42460508E+001	
-9.92435493E+000	-9.44361397E+001	
-9.90364162E+000	-9.44435846E+001	
-9.88292832E+000	-9.51911071E+001	
-9.86221501E+000	-9.40700982E+001	
-9.84150171E+000	-9.41904889E+001	
-9.82078840E+000	-9.51824927E+001	
-9.80007509E+000	-9.49196872E+001	
-9.77936179E+000	-9.44863512E+001	
-9.75864848E+000	-9.32594564E+001	
-9.73793518E+000	-9.45935332E+001	
-9.71722187E+000	-9.31172290E+001	
-9.69650857E+000	-9.43272496E+001	
-9.67579526E+000	-9.45093044E+001	
-9.65508196E+000	-9.42434895E+001	
-9.63436865E+000	-9.46137196E+001	
-9.61365535E+000	-9.40935101E+001	
-9.59294204E+000	-9.47277296E+001	
-9.57222874E+000	-9.49739322E+001	
-9.55151543E+000	-9.45240884E+001	
-9.53080213E+000	-9.44289880E+001	
-9.51008882E+000	-9.47481844E+001	
-9.48937552E+000	-9.36536089E+001	
-9.46866221E+000	-9.38898206E+001	
-9.44794890E+000	-9.38750554E+001	
-9.42723560E+000	-9.40089018E+001	
-9.40652229E+000	-9.41608431E+001	
-9.38580899E+000	-9.42270891E+001	
-9.36509568E+000	-9.49462575E+001	
-9.34438238E+000	-9.57234994E+001	
-9.32366907E+000	-9.50874391E+001	
-9.30295577E+000	-9.47761397E+001	
-9.28224246E+000	-9.53235117E+001	
-9.26152916E+000	-9.45146353E+001	
-9.24081585E+000	-9.52923076E+001	
-9.22010255E+000	-9.38778141E+001	
-9.19938924E+000	-9.34976671E+001	
-9.17867594E+000	-9.44825773E+001	
-9.15796263E+000	-9.52207763E+001	
-9.13724932E+000	-9.50734326E+001	
-9.11653602E+000	-9.34976910E+001	
-9.09582271E+000	-9.35634658E+001	
-9.07510941E+000	-9.51483959E+001	
-9.05439610E+000	-9.51199625E+001	
-9.03368280E+000	-9.36888067E+001	
-9.01296949E+000	-9.41068995E+001	
-8.99225619E+000	-9.35532678E+001	
-8.97154288E+000	-9.38124395E+001	
-8.95082958E+000	-9.42848892E+001	
-8.93011627E+000	-9.33298133E+001	
-8.90940297E+000	-9.46809628E+001	
-8.88868966E+000	-9.49960431E+001	
-8.86797636E+000	-9.51973398E+001	
-8.84726305E+000	-9.45764536E+001	
-8.82654974E+000	-9.58363260E+001	
-8.80583644E+000	-9.50888014E+001	
-8.78512313E+000	-9.46336756E+001	
-8.76440983E+000	-9.51576016E+001	
-8.74369652E+000	-9.47196834E+001	
-8.72298322E+000	-9.53289015E+001	
-8.70226991E+000	-9.46417804E+001	
-8.68155661E+000	-9.51700034E+001	
-8.66084330E+000	-9.41323036E+001	
-8.64013000E+000	-9.42553348E+001	
-8.61941669E+000	-9.52534366E+001	
-8.59870339E+000	-9.50886418E+001	
-8.57799008E+000	-9.53567332E+001	
-8.55727678E+000	-9.47196378E+001	
-8.53656347E+000	-9.48780126E+001	
-8.51585017E+000	-9.39107374E+001	
-8.49513686E+000	-9.43979874E+001	
-8.47442355E+000	-9.44940108E+001	
-8.45371025E+000	-9.49031701E+001	
-8.43299694E+000	-9.57058690E+001	
-8.41228364E+000	-9.47723575E+001	
-8.39157033E+000	-9.43085014E+001	
-8.37085703E+000	-9.37067925E+001	
-8.35014372E+000	-9.50944172E+001	
-8.32943042E+000	-9.45494842E+001	
-8.30871711E+000	-9.52199942E+001	
-8.28800381E+000	-9.51426272E+001	
-8.26729050E+000	-9.47157177E+001	
-8.24657720E+000	-9.50024521E+001	
-8.22586389E+000	-9.44439664E+001	
-8.20515059E+000	-9.50197267E+001	
-8.18443728E+000	-9.61031759E+001	
-8.16372397E+000	-9.42712950E+001	
-8.14301067E+000	-9.43603344E+001	
-8.12229736E+000	-9.46688778E+001	
-8.10158406E+000	-9.50693880E+001	
-8.08087075E+000	-9.34986846E+001	
-8.06015745E+000	-9.40277363E+001	
-8.03944414E+000	-9.49313268E+001	
-8.01873084E+000	-9.47156566E+001	
-7.99801753E+000	-9.52521253E+001	
-7.97730423E+000	-9.40166606E+001	
-7.95659092E+000	-9.45614635E+001	
-7.93587762E+000	-9.39399707E+001	
-7.91516431E+000	-9.47942185E+001	
-7.89445101E+000	-9.42437416E+001	
-7.87373770E+000	-9.38194370E+001	
-7.85302439E+000	-9.51286007E+001	
-7.83231109E+000	-9.52462588E+001	
-7.81159778E+000	-9.40958456E+001	
-7.79088448E+000	-9.51545962E+001	
-7.77017117E+000	-9.38940702E+001	
-7.74945787E+000	-9.48943799E+001	
-7.72874456E+000	-9.37575515E+001	
-7.70803126E+000	-9.42367647E+001	
-7.68731795E+000	-9.50330430E+001	
-7.66660465E+000	-9.44603313E+001	
-7.64589134E+000	-9.50088790E+001	
-7.62517804E+000	-9.52287977E+001	
-7.60446473E+000	-9.48156338E+001	
-7.58375143E+000	-9.49278845E+001	
-7.56303812E+000	-9.48285918E+001	
-7.54232482E+000	-9.43243489E+001	
-7.52161151E+000	-9.41296486E+001	
-7.50089820E+000	-9.57531943E+001	
-7.48018490E+000	-9.43618343E+001	
-7.45947159E+000	-9.39620905E+001	
-7.43875829E+000	-9.55756495E+001	
-7.41804498E+000	-9.39718446E+001	
-7.39733168E+000	-9.41037654E+001	
-7.37661837E+000	-9.49612097E+001	
-7.35590507E+000	-9.46591151E+001	
-7.33519176E+000	-9.43025797E+001	
-7.31447846E+000	-9.38994022E+001	
-7.29376515E+000	-9.47683234E+001	
-7.27305185E+000	-9.44260351E+001	
-7.25233854E+000	-9.52024073E+001	
-7.23162524E+000	-9.48364011E+001	
-7.21091193E+000	-9.46552613E+001	
-7.19019862E+000	-9.44685568E+001	
-7.16948532E+000	-9.35047699E+001	
-7.14877201E+000	-9.44880298E+001	
-7.12805871E+000	-9.40131412E+001	
-7.10734540E+000	-9.45625026E+001	
-7.08663210E+000	-9.42382123E+001	
-7.06591879E+000	-9.50409430E+001	
-7.04520549E+000	-9.45609884E+001	
-7.02449218E+000	-9.41902403E+001	
-7.00377888E+000	-9.56798711E+001	
-6.98306557E+000	-9.35211508E+001	
-6.96235227E+000	-9.48847772E+001	
-6.94163896E+000	-9.42168082E+001	
-6.92092566E+000	-9.45447944E+001	
-6.90021235E+000	-9.45845054E+001	
-6.87949904E+000	-9.52334819E+001	
-6.85878574E+000	-9.40404072E+001	
-6.83807243E+000	-9.53301984E+001	
-6.81735913E+000	-9.53433323E+001	
-6.79664582E+000	-9.53176485E+001	
-6.77593252E+000	-9.46747192E+001	
-6.75521921E+000	-9.38822116E+001	
-6.73450591E+000	-9.31597663E+001	
-6.71379260E+000	-9.33863558E+001	
-6.69307930E+000	-9.56939022E+001	
-6.67236599E+000	-9.48171761E+001	
-6.65165269E+000	-9.43725054E+001	
