	Time(ms)	S0(mW)	S1	S2	S3	DOP(%)	Average DOP(%)	
0.30000	0.11330	0.85003	-0.44438	-0.28336	99.23706	99.23706
0.70000	0.11296	0.85080	-0.44255	-0.28379	99.15466	99.15466
1.10000	0.11353	0.85049	-0.44343	-0.28315	99.13635	99.13635
1.50000	0.11338	0.85116	-0.44237	-0.28294	99.24927	99.24927
1.90000	0.11296	0.85043	-0.44322	-0.28358	99.20044	99.20044
2.30000	0.11317	0.85052	-0.44331	-0.28346	99.14246	99.14246
2.70000	0.11355	0.85098	-0.44166	-0.28449	99.14551	99.14551
3.10000	0.11295	0.85046	-0.44313	-0.28379	99.18823	99.18823
3.50000	0.11302	0.85055	-0.44234	-0.28437	99.18823	99.18823
3.90000	0.11347	0.85052	-0.44298	-0.28410	99.19434	99.19434
0.10000	0.11330	0.85092	-0.44285	-0.28312	99.12109	99.12109
0.50000	0.11301	0.85061	-0.44331	-0.28312	99.22485	99.22485
0.90000	0.11345	0.85089	-0.44179	-0.28492	99.20349	99.20349
1.30000	0.11330	0.85095	-0.44157	-0.28483	99.26147	99.26147
1.70000	0.11292	0.85061	-0.44246	-0.28446	99.27063	99.27063
2.10000	0.11318	0.85186	-0.44023	-0.28428	99.17908	99.17908
2.50000	0.11353	0.85183	-0.44029	-0.28422	99.16992	99.16992
2.90000	0.11304	0.85141	-0.44099	-0.28437	99.19128	99.19128
3.30000	0.11316	0.85186	-0.43934	-0.28559	99.19128	99.19128
3.70000	0.11344	0.85226	-0.43904	-0.28459	99.24011	99.24011
4.10000	0.11317	0.85217	-0.43992	-0.28364	99.23706	99.23706
0.30000	0.11313	0.85229	-0.43971	-0.28376	99.12109	99.12109
0.70000	0.11346	0.85171	-0.44041	-0.28422	99.22791	99.22791
1.10000	0.11330	0.85263	-0.43828	-0.28495	99.26147	99.26147
1.50000	0.11296	0.85284	-0.43870	-0.28370	99.21265	99.21265
1.90000	0.11325	0.85257	-0.43904	-0.28388	99.16687	99.16687
