	Time(ms)	S0(mW)	S1	S2	S3	DOP(%)	Average DOP(%)	
0.70000	0.02990	0.76199	-0.57936	-0.28928	99.21570	99.21570
1.50000	0.03000	0.76290	-0.57753	-0.29109	99.21875	99.21875
2.30000	0.03005	0.76266	-0.57854	-0.28968	99.23096	99.23096
3.10000	0.03011	0.76260	-0.57839	-0.29008	99.18823	99.18823
3.90000	0.03009	0.76183	-0.57982	-0.28916	99.17603	99.17603
0.50000	0.03023	0.76217	-0.57900	-0.28977	99.20349	99.20349
1.30000	0.03025	0.76217	-0.57851	-0.29063	99.21265	99.21265
2.10000	0.03025	0.76263	-0.57808	-0.29044	99.16992	99.16992
2.90000	0.03039	0.76189	-0.57891	-0.29063	99.19434	99.19434
3.70000	0.03039	0.76238	-0.57900	-0.28935	99.20654	99.20654
0.30000	0.03046	0.76189	-0.57945	-0.28968	99.21875	99.21875
1.10000	0.03050	0.76275	-0.57787	-0.29054	99.23096	99.23096
1.90000	0.03056	0.76275	-0.57817	-0.28990	99.23096	99.23096
2.70000	0.03050	0.76077	-0.58162	-0.28800	99.20959	99.20959
3.50000	0.03061	0.76073	-0.58113	-0.28935	99.25537	99.25537
0.10000	0.03061	0.76086	-0.58129	-0.28883	99.24316	99.24316
0.90000	0.03060	0.76150	-0.58043	-0.28871	99.24316	99.24316
1.70000	0.03070	0.76055	-0.58208	-0.28794	99.22485	99.22485
2.50000	0.03070	0.76031	-0.58257	-0.28755	99.25842	99.25842
3.30000	0.03071	0.76077	-0.58211	-0.28742	99.20349	99.20349
4.10000	0.03076	0.76125	-0.58116	-0.28800	99.22791	99.22791
0.70000	0.03085	0.76138	-0.58043	-0.28910	99.24011	99.24011
1.50000	0.03075	0.76156	-0.58061	-0.28834	99.20349	99.20349
2.30000	0.03084	0.76061	-0.58162	-0.28855	99.24011	99.24011
3.10000	0.03088	0.76058	-0.58214	-0.28785	99.23096	99.23096
3.90000	0.03085	0.75967	-0.58364	-0.28721	99.24927	99.24927
0.50000	0.03091	0.75973	-0.58333	-0.28721	99.23096	99.23096
1.30000	0.03086	0.75970	-0.58391	-0.28660	99.29199	99.29199
2.10000	0.03090	0.76009	-0.58266	-0.28794	99.23096	99.23096
2.90000	0.03092	0.76019	-0.58290	-0.28736	99.23096	99.23096
3.70000	0.03097	0.76019	-0.58257	-0.28770	99.25232	99.25232
0.30000	0.03094	0.76025	-0.58290	-0.28684	99.24316	99.24316
1.10000	0.03108	0.75985	-0.58364	-0.28657	99.24622	99.24622
1.90000	0.03104	0.76064	-0.58278	-0.28654	99.23401	99.23401
2.70000	0.03106	0.76086	-0.58214	-0.28694	99.21265	99.21265
3.50000	0.03114	0.76202	-0.58046	-0.28733	99.19434	99.19434
0.10000	0.03112	0.75997	-0.58345	-0.28663	99.23706	99.23706
0.90000	0.03118	0.76055	-0.58199	-0.28797	99.20654	99.20654
1.70000	0.03119	0.76141	-0.58138	-0.28727	99.19434	99.19434
2.50000	0.03126	0.76119	-0.58132	-0.28767	99.22791	99.22791
3.30000	0.03122	0.76226	-0.57988	-0.28742	99.21570	99.21570
4.10000	0.03132	0.76125	-0.58132	-0.28751	99.18823	99.18823
0.70000	0.03131	0.76104	-0.58174	-0.28730	99.19739	99.19739
1.50000	0.03134	0.76046	-0.58263	-0.28709	99.18823	99.18823
2.30000	0.03131	0.76077	-0.58245	-0.28672	99.20959	99.20959
3.10000	0.03136	0.76110	-0.58147	-0.28791	99.18823	99.18823
3.90000	0.03135	0.76110	-0.58196	-0.28700	99.21875	99.21875
0.50000	0.03139	0.76031	-0.58281	-0.28706	99.22180	99.22180
1.30000	0.03148	0.76031	-0.58260	-0.28761	99.20349	99.20349
2.10000	0.03139	0.75964	-0.58394	-0.28657	99.20959	99.20959
2.90000	0.03148	0.75982	-0.58348	-0.28700	99.22485	99.22485
3.70000	0.03149	0.76052	-0.58165	-0.28855	99.22485	99.22485
0.30000	0.03147	0.75991	-0.58333	-0.28684	99.20349	99.20349
1.10000	0.03148	0.76006	-0.58367	-0.28611	99.20349	99.20349
1.90000	0.03157	0.75988	-0.58370	-0.28654	99.19434	99.19434
2.70000	0.03152	0.75958	-0.58379	-0.28706	99.17297	99.17297
3.50000	0.03157	0.75982	-0.58364	-0.28651	99.19434	99.19434
0.10000	0.03159	0.75970	-0.58345	-0.28748	99.18518	99.18518
0.90000	0.03155	0.76064	-0.58208	-0.28758	99.22485	99.22485
1.70000	0.03160	0.75915	-0.58461	-0.28675	99.20654	99.20654
2.50000	0.03161	0.75881	-0.58486	-0.28669	99.21570	99.21570
3.30000	0.03163	0.76064	-0.58242	-0.28724	99.19434	99.19434
4.10000	0.03165	0.76168	-0.58086	-0.28751	99.19739	99.19739
0.70000	0.03170	0.76009	-0.58354	-0.28626	99.19739	99.19739
1.50000	0.03167	0.76070	-0.58257	-0.28675	99.20654	99.20654
2.30000	0.03173	0.76125	-0.58180	-0.28672	99.15771	99.15771
3.10000	0.03182	0.76034	-0.58318	-0.28642	99.16992	99.16992
3.90000	0.03180	0.76058	-0.58284	-0.28642	99.23096	99.23096
0.50000	0.03184	0.76052	-0.58263	-0.28675	99.20044	99.20044
1.30000	0.03186	0.76089	-0.58235	-0.28666	99.18213	99.18213
2.10000	0.03186	0.76135	-0.58147	-0.28712	99.14856	99.14856
2.90000	0.03186	0.76128	-0.58165	-0.28681	99.19128	99.19128
3.70000	0.03191	0.76098	-0.58260	-0.28562	99.17297	99.17297
0.30000	0.03188	0.76110	-0.58223	-0.28626	99.20044	99.20044
1.10000	0.03191	0.76067	-0.58260	-0.28657	99.20349	99.20349
1.90000	0.03193	0.75994	-0.58354	-0.28645	99.21265	99.21265
2.70000	0.03193	0.76086	-0.58245	-0.28593	99.19434	99.19434
3.50000	0.03195	0.76025	-0.58373	-0.28556	99.17297	99.17297
0.10000	0.03196	0.76101	-0.58229	-0.28623	99.22485	99.22485
0.90000	0.03202	0.76193	-0.58141	-0.28574	99.18518	99.18518
1.70000	0.03193	0.76217	-0.58037	-0.28709	99.20349	99.20349
2.50000	0.03206	0.76272	-0.57945	-0.28739	99.15466	99.15466
3.30000	0.03199	0.76345	-0.57900	-0.28660	99.13330	99.13330
4.10000	0.03200	0.76098	-0.58223	-0.28654	99.17297	99.17297
0.70000	0.03202	0.76150	-0.58116	-0.28730	99.17297	99.17297
1.50000	0.03204	0.76250	-0.58000	-0.28681	99.20654	99.20654
2.30000	0.03200	0.76260	-0.58028	-0.28632	99.17297	99.17297
3.10000	0.03207	0.76196	-0.58132	-0.28590	99.19739	99.19739
3.90000	0.03210	0.76272	-0.57973	-0.28715	99.17603	99.17603
0.50000	0.03202	0.76308	-0.57924	-0.28687	99.15466	99.15466
1.30000	0.03211	0.76348	-0.57903	-0.28623	99.15771	99.15771
2.10000	0.03209	0.76208	-0.58107	-0.28568	99.18518	99.18518
2.90000	0.03212	0.76150	-0.58187	-0.28599	99.16687	99.16687
3.70000	0.03216	0.76263	-0.57976	-0.28694	99.15771	99.15771
0.30000	0.03218	0.76186	-0.58095	-0.28669	99.16687	99.16687
1.10000	0.03218	0.76232	-0.58037	-0.28669	99.15771	99.15771
1.90000	0.03222	0.76244	-0.58034	-0.28639	99.13940	99.13940
2.70000	0.03228	0.76193	-0.58055	-0.28742	99.16077	99.16077
3.50000	0.03220	0.76296	-0.57945	-0.28697	99.16992	99.16992
0.10000	0.03234	0.76443	-0.57732	-0.28718	99.15161	99.15161
