	Time(ms)	S0(mW)	S1	S2	S3	DOP(%)	Average DOP(%)	
0.70000	0.20594	0.75985	0.60820	-0.23045	100.34180	100.34180
1.50000	0.20696	0.75912	0.60869	-0.23164	100.35095	100.35095
2.30000	0.20599	0.75921	0.60866	-0.23115	100.39063	100.39063
3.10000	0.20683	0.75942	0.60857	-0.23032	100.40283	100.40283
3.90000	0.20631	0.75912	0.60860	-0.23124	100.32654	100.32654
0.50000	0.20665	0.75900	0.60897	-0.23081	100.35095	100.35095
1.30000	0.20693	0.75921	0.60909	-0.23020	100.33875	100.33875
2.10000	0.20607	0.75942	0.60817	-0.23145	100.34180	100.34180
2.90000	0.20706	0.75948	0.60878	-0.22980	100.33875	100.33875
3.70000	0.20610	0.75909	0.60897	-0.23115	100.31433	100.31433
0.30000	0.20678	0.75985	0.60863	-0.22904	100.31433	100.31433
1.10000	0.20670	0.75948	0.60872	-0.23014	100.31433	100.31433
1.90000	0.20625	0.75887	0.61016	-0.22864	100.31433	100.31433
2.70000	0.20717	0.75887	0.60961	-0.22950	100.32654	100.32654
3.50000	0.20602	0.75805	0.61077	-0.22977	100.36621	100.36621
0.10000	0.20704	0.75838	0.61080	-0.22797	100.33875	100.33875
0.90000	0.20623	0.75857	0.61068	-0.22770	100.32654	100.32654
1.70000	0.20638	0.75814	0.61086	-0.22889	100.28992	100.28992
2.50000	0.20709	0.75845	0.61055	-0.22871	100.37537	100.37537
3.30000	0.20599	0.75765	0.61156	-0.22858	100.34180	100.34180
4.10000	0.20699	0.75781	0.61138	-0.22855	100.32654	100.32654
0.70000	0.20623	0.75762	0.61126	-0.22993	100.32654	100.32654
1.50000	0.20680	0.75799	0.61098	-0.22904	100.37842	100.37842
2.30000	0.20683	0.75686	0.61217	-0.22929	100.33875	100.33875
3.10000	0.20607	0.75759	0.61184	-0.22791	100.30212	100.30212
3.90000	0.20696	0.75671	0.61275	-0.22828	100.33875	100.33875
0.50000	0.20599	0.75713	0.61287	-0.22675	100.40283	100.40283
1.30000	0.20691	0.75726	0.61238	-0.22755	100.28992	100.28992
2.10000	0.20638	0.75741	0.61238	-0.22709	100.35400	100.35400
2.90000	0.20604	0.75668	0.61312	-0.22745	100.35400	100.35400
3.70000	0.20704	0.75692	0.61321	-0.22660	100.32654	100.32654
0.30000	0.20604	0.75652	0.61357	-0.22672	100.30212	100.30212
1.10000	0.20693	0.75719	0.61278	-0.22642	100.36316	100.36316
1.90000	0.20641	0.75607	0.61431	-0.22651	100.31433	100.31433
2.70000	0.20623	0.75567	0.61480	-0.22639	100.35400	100.35400
3.50000	0.20675	0.75625	0.61403	-0.22648	100.37842	100.37842
0.10000	0.20599	0.75579	0.61486	-0.22584	100.40283	100.40283
0.90000	0.20685	0.75555	0.61525	-0.22584	100.35095	100.35095
1.70000	0.20625	0.75573	0.61470	-0.22648	100.35400	100.35400
2.50000	0.20662	0.75576	0.61483	-0.22645	100.35095	100.35095
3.30000	0.20667	0.75604	0.61449	-0.22599	100.33875	100.33875
4.10000	0.20597	0.75573	0.61486	-0.22611	100.39063	100.39063
0.70000	0.20693	0.75549	0.61522	-0.22584	100.36316	100.36316
1.50000	0.20589	0.75546	0.61519	-0.22608	100.37842	100.37842
2.30000	0.20693	0.75539	0.61556	-0.22526	100.35095	100.35095
3.10000	0.20651	0.75628	0.61483	-0.22480	100.36621	100.36621
3.90000	0.20589	0.75512	0.61583	-0.22575	100.36621	100.36621
0.50000	0.20691	0.75579	0.61480	-0.22581	100.36316	100.36316
1.30000	0.20604	0.75579	0.61562	-0.22391	100.36621	100.36621
2.10000	0.20696	0.75552	0.61516	-0.22556	100.33875	100.33875
2.90000	0.20646	0.75542	0.61574	-0.22489	100.35400	100.35400
3.70000	0.20589	0.75536	0.61565	-0.22495	100.36621	100.36621
0.30000	0.20701	0.75515	0.61559	-0.22599	100.30212	100.30212
1.10000	0.20583	0.75549	0.61556	-0.22517	100.39063	100.39063
1.90000	0.20670	0.75475	0.61699	-0.22391	100.37842	100.37842
2.70000	0.20628	0.75454	0.61666	-0.22517	100.35400	100.35400
3.50000	0.20636	0.75561	0.61583	-0.22333	100.41504	100.41504
0.10000	0.20706	0.75494	0.61617	-0.22468	100.33875	100.33875
0.90000	0.20599	0.75478	0.61660	-0.22486	100.36621	100.36621
1.70000	0.20691	0.75408	0.61742	-0.22449	100.36316	100.36316
2.50000	0.20604	0.75396	0.61742	-0.22501	100.35400	100.35400
3.30000	0.20662	0.75503	0.61629	-0.22474	100.36621	100.36621
4.10000	0.20657	0.75497	0.61657	-0.22343	100.35095	100.35095
0.70000	0.20591	0.75491	0.61669	-0.22376	100.40283	100.40283
1.50000	0.20683	0.75488	0.61675	-0.22361	100.36316	100.36316
2.30000	0.20612	0.75494	0.61705	-0.22248	100.32654	100.32654
3.10000	0.20665	0.75436	0.61760	-0.22336	100.33875	100.33875
3.90000	0.20659	0.75518	0.61638	-0.22364	100.32654	100.32654
0.50000	0.20581	0.75353	0.61812	-0.22449	100.37842	100.37842
1.30000	0.20685	0.75408	0.61809	-0.22285	100.35095	100.35095
2.10000	0.20602	0.75433	0.61745	-0.22382	100.34180	100.34180
2.90000	0.20675	0.75527	0.61699	-0.22178	100.36316	100.36316
3.70000	0.20641	0.75503	0.61705	-0.22260	100.31433	100.31433
0.30000	0.20583	0.75497	0.61693	-0.22300	100.39063	100.39063
1.10000	0.20688	0.75491	0.61721	-0.22202	100.39063	100.39063
1.90000	0.20578	0.75356	0.61861	-0.22312	100.35400	100.35400
2.70000	0.20675	0.75442	0.61763	-0.22297	100.39063	100.39063
3.50000	0.20604	0.75396	0.61831	-0.22269	100.41809	100.41809
0.10000	0.20602	0.75329	0.61925	-0.22266	100.36621	100.36621
0.90000	0.20691	0.75359	0.61901	-0.22202	100.37842	100.37842
1.70000	0.20597	0.75488	0.61708	-0.22266	100.35400	100.35400
2.50000	0.20657	0.75362	0.61827	-0.22364	100.33875	100.33875
3.30000	0.20597	0.75402	0.61785	-0.22343	100.36621	100.36621
4.10000	0.20620	0.75423	0.61837	-0.22169	100.34180	100.34180
0.70000	0.20683	0.75372	0.61864	-0.22224	100.39063	100.39063
1.50000	0.20594	0.75457	0.61742	-0.22306	100.37842	100.37842
2.30000	0.20659	0.75387	0.61864	-0.22196	100.40283	100.40283
3.10000	0.20610	0.75387	0.61824	-0.22309	100.41504	100.41504
3.90000	0.20641	0.75466	0.61766	-0.22166	100.40283	100.40283
0.50000	0.20683	0.75420	0.61837	-0.22169	100.41504	100.41504
1.30000	0.20602	0.75475	0.61794	-0.22117	100.35400	100.35400
2.10000	0.20680	0.75463	0.61751	-0.22254	100.35095	100.35095
2.90000	0.20615	0.75500	0.61711	-0.22208	100.41504	100.41504
3.70000	0.20657	0.75506	0.61739	-0.22108	100.39063	100.39063
0.30000	0.20662	0.75488	0.61763	-0.22159	100.35095	100.35095
1.10000	0.20576	0.75503	0.61782	-0.22065	100.36621	100.36621
1.90000	0.20665	0.75448	0.61824	-0.22074	100.45471	100.45471
2.70000	0.20597	0.75466	0.61779	-0.22193	100.39063	100.39063
3.50000	0.20662	0.75460	0.61769	-0.22217	100.33875	100.33875
0.10000	0.20651	0.75515	0.61721	-0.22141	100.39063	100.39063
0.90000	0.20571	0.75457	0.61794	-0.22135	100.36621	100.36621
1.70000	0.20667	0.75481	0.61745	-0.22163	100.39063	100.39063
2.50000	0.20576	0.75491	0.61773	-0.22071	100.40588	100.40588
3.30000	0.20646	0.75527	0.61727	-0.22092	100.36621	100.36621
4.10000	0.20636	0.75500	0.61751	-0.22120	100.39063	100.39063
0.70000	0.20578	0.75509	0.61721	-0.22159	100.36621	100.36621
1.50000	0.20667	0.75475	0.61769	-0.22153	100.36621	100.36621
2.30000	0.20591	0.75555	0.61736	-0.21989	100.36621	100.36621
3.10000	0.20659	0.75439	0.61824	-0.22138	100.37842	100.37842
3.90000	0.20602	0.75442	0.61827	-0.22083	100.43030	100.43030
0.50000	0.20578	0.75530	0.61705	-0.22132	100.40588	100.40588
1.30000	0.20683	0.75457	0.61797	-0.22153	100.31433	100.31433
2.10000	0.20586	0.75527	0.61687	-0.22199	100.34180	100.34180
2.90000	0.20644	0.75585	0.61635	-0.22169	100.36621	100.36621
3.70000	0.20594	0.75597	0.61702	-0.21943	100.37842	100.37842
0.30000	0.20576	0.75665	0.61565	-0.22086	100.43030	100.43030
1.10000	0.20657	0.75610	0.61641	-0.22059	100.31433	100.31433
1.90000	0.20586	0.75521	0.61702	-0.22166	100.36621	100.36621
2.70000	0.20641	0.75500	0.61748	-0.22141	100.39063	100.39063
3.50000	0.20591	0.75649	0.61605	-0.21998	100.41809	100.41809
0.10000	0.20581	0.75640	0.61644	-0.21967	100.34180	100.34180
0.90000	0.20665	0.75539	0.61736	-0.22004	100.37842	100.37842
1.70000	0.20583	0.75680	0.61586	-0.21961	100.44250	100.44250
2.50000	0.20644	0.75567	0.61760	-0.21867	100.36621	100.36621
3.30000	0.20583	0.75613	0.61711	-0.21833	100.39063	100.39063
4.10000	0.20583	0.75729	0.61577	-0.21815	100.39063	100.39063
0.70000	0.20649	0.75668	0.61620	-0.21903	100.41504	100.41504
1.50000	0.20571	0.75600	0.61666	-0.22019	100.37842	100.37842
2.30000	0.20646	0.75625	0.61675	-0.21915	100.45471	100.45471
3.10000	0.20571	0.75668	0.61577	-0.21989	100.39063	100.39063
3.90000	0.20571	0.75582	0.61705	-0.21967	100.40588	100.40588
0.50000	0.20699	0.75610	0.61650	-0.22010	100.39063	100.39063
1.30000	0.20555	0.75558	0.61751	-0.21903	100.40588	100.40588
2.10000	0.20649	0.75716	0.61565	-0.21940	100.37842	100.37842
2.90000	0.20586	0.75564	0.61748	-0.21928	100.41809	100.41809
3.70000	0.20602	0.75655	0.61669	-0.21830	100.37842	100.37842
0.30000	0.20657	0.75759	0.61522	-0.21876	100.39063	100.39063
1.10000	0.20537	0.75600	0.61684	-0.21976	100.43030	100.43030
1.90000	0.20631	0.75665	0.61626	-0.21900	100.39063	100.39063
2.70000	0.20573	0.75781	0.61510	-0.21860	100.39063	100.39063
3.50000	0.20581	0.75674	0.61693	-0.21677	100.41809	100.41809
0.10000	0.20644	0.75771	0.61541	-0.21787	100.40283	100.40283
0.90000	0.20555	0.75726	0.61620	-0.21659	100.39368	100.39368
1.70000	0.20662	0.75817	0.61513	-0.21674	100.40283	100.40283
2.50000	0.20578	0.75835	0.61495	-0.21665	100.35400	100.35400
3.30000	0.20617	0.75732	0.61562	-0.21876	100.44250	100.44250
4.10000	0.20683	0.75799	0.61538	-0.21751	100.39063	100.39063
0.70000	0.20563	0.75823	0.61528	-0.21647	100.39063	100.39063
1.50000	0.20654	0.75777	0.61507	-0.21897	100.40283	100.40283
2.30000	0.20573	0.75817	0.61458	-0.21857	100.36621	100.36621
3.10000	0.20607	0.75713	0.61611	-0.21778	100.41504	100.41504
3.90000	0.20646	0.75741	0.61580	-0.21802	100.44250	100.44250
0.50000	0.20531	0.75811	0.61489	-0.21787	100.41809	100.41809
1.30000	0.20651	0.75823	0.61495	-0.21760	100.39063	100.39063
2.10000	0.20568	0.75802	0.61531	-0.21741	100.44250	100.44250
2.90000	0.20641	0.75814	0.61480	-0.21787	100.42725	100.42725
3.70000	0.20633	0.75802	0.61504	-0.21732	100.36621	100.36621
0.30000	0.20542	0.75768	0.61501	-0.21882	100.40588	100.40588
1.10000	0.20641	0.75765	0.61556	-0.21751	100.42725	100.42725
1.90000	0.20558	0.75814	0.61452	-0.21857	100.41809	100.41809
2.70000	0.20591	0.75936	0.61367	-0.21699	100.39063	100.39063
3.50000	0.20654	0.75838	0.61455	-0.21805	100.37842	100.37842
0.10000	0.20563	0.75802	0.61522	-0.21769	100.36621	100.36621
0.90000	0.20620	0.75777	0.61525	-0.21784	100.39063	100.39063
1.70000	0.20578	0.75872	0.61391	-0.21815	100.40588	100.40588
2.50000	0.20638	0.75854	0.61443	-0.21787	100.41504	100.41504
3.30000	0.20631	0.75906	0.61385	-0.21729	100.36621	100.36621
4.10000	0.20534	0.75961	0.61327	-0.21729	100.43030	100.43030
0.70000	0.20638	0.75997	0.61272	-0.21784	100.39063	100.39063
1.50000	0.20568	0.75997	0.61245	-0.21815	100.39063	100.39063
2.30000	0.20599	0.75878	0.61431	-0.21708	100.43030	100.43030
3.10000	0.20636	0.75927	0.61376	-0.21732	100.35400	100.35400
3.90000	0.20542	0.75912	0.61391	-0.21744	100.39368	100.39368
0.50000	0.20631	0.75942	0.61373	-0.21690	100.37842	100.37842
1.30000	0.20552	0.75942	0.61379	-0.21635	100.43030	100.43030
2.10000	0.20597	0.76046	0.61257	-0.21622	100.39063	100.39063
2.90000	0.20633	0.76019	0.61290	-0.21653	100.37842	100.37842
3.70000	0.20558	0.76055	0.61245	-0.21653	100.36621	100.36621
0.30000	0.20646	0.76110	0.61165	-0.21659	100.42725	100.42725
1.10000	0.20558	0.76058	0.61232	-0.21610	100.39063	100.39063
1.90000	0.20589	0.76080	0.61177	-0.21717	100.40283	100.40283
2.70000	0.20625	0.76040	0.61199	-0.21763	100.45471	100.45471
3.50000	0.20505	0.76043	0.61177	-0.21830	100.38147	100.38147
0.10000	0.20633	0.76168	0.61043	-0.21769	100.40283	100.40283
0.90000	0.20550	0.76006	0.61260	-0.21769	100.40588	100.40588
1.70000	0.20607	0.76131	0.61132	-0.21693	100.35400	100.35400
2.50000	0.20659	0.76083	0.61196	-0.21686	100.43945	100.43945
3.30000	0.20505	0.76034	0.61263	-0.21638	100.46997	100.46997
4.10000	0.20617	0.76092	0.61196	-0.21659	100.40283	100.40283
0.70000	0.20563	0.76101	0.61220	-0.21537	100.43030	100.43030
1.50000	0.20594	0.76199	0.61061	-0.21647	100.41809	100.41809
2.30000	0.20620	0.76159	0.61119	-0.21592	100.40283	100.40283
3.10000	0.20550	0.76073	0.61235	-0.21580	100.39368	100.39368
3.90000	0.20638	0.76229	0.61083	-0.21503	100.42725	100.42725
0.50000	0.20581	0.76284	0.61006	-0.21519	100.39063	100.39063
1.30000	0.20597	0.76235	0.61025	-0.21638	100.39063	100.39063
2.10000	0.20638	0.76214	0.61037	-0.21619	100.39063	100.39063
2.90000	0.20531	0.76269	0.61049	-0.21467	100.35400	100.35400
3.70000	0.20628	0.76000	0.61312	-0.21625	100.46692	100.46692
0.30000	0.20542	0.76083	0.61245	-0.21519	100.39368	100.39368
1.10000	0.20578	0.76113	0.61211	-0.21522	100.39063	100.39063
1.90000	0.20610	0.76147	0.61162	-0.21540	100.43030	100.43030
2.70000	0.20537	0.76138	0.61141	-0.21610	100.37842	100.37842
3.50000	0.20620	0.76113	0.61177	-0.21632	100.35400	100.35400
0.10000	0.20565	0.76186	0.61119	-0.21503	100.37842	100.37842
0.90000	0.20558	0.76180	0.61122	-0.21564	100.37842	100.37842
1.70000	0.20612	0.76162	0.61098	-0.21613	100.39063	100.39063
2.50000	0.20529	0.76241	0.61046	-0.21479	100.38147	100.38147
3.30000	0.20597	0.76302	0.60967	-0.21531	100.36621	100.36621
4.10000	0.20565	0.76189	0.61068	-0.21668	100.40588	100.40588
0.70000	0.20550	0.76168	0.61107	-0.21586	100.43030	100.43030
1.50000	0.20649	0.76257	0.61034	-0.21506	100.39063	100.39063
2.30000	0.20555	0.76211	0.61031	-0.21638	100.34180	100.34180
3.10000	0.20607	0.76308	0.60942	-0.21604	100.36621	100.36621
3.90000	0.20539	0.76281	0.60976	-0.21583	100.37842	100.37842
0.50000	0.20565	0.76342	0.60930	-0.21552	100.32959	100.32959
1.30000	0.20615	0.76293	0.60976	-0.21543	100.35400	100.35400
2.10000	0.20500	0.76305	0.60988	-0.21467	100.39368	100.39368
2.90000	0.20607	0.76315	0.60952	-0.21549	100.41504	100.41504
3.70000	0.20597	0.76467	0.60796	-0.21433	100.32654	100.32654
0.30000	0.20544	0.76373	0.60927	-0.21412	100.36621	100.36621
1.10000	0.20604	0.76485	0.60756	-0.21491	100.35400	100.35400
1.90000	0.20544	0.76400	0.60903	-0.21390	100.32959	100.32959
2.70000	0.20617	0.76455	0.60802	-0.21442	100.34180	100.34180
3.50000	0.20568	0.76379	0.60906	-0.21393	100.40588	100.40588
0.10000	0.20552	0.76415	0.60866	-0.21430	100.35400	100.35400
0.90000	0.20610	0.76409	0.60881	-0.21421	100.37842	100.37842
1.70000	0.20513	0.76489	0.60787	-0.21381	100.38147	100.38147
2.50000	0.20625	0.76412	0.60887	-0.21372	100.37842	100.37842
3.30000	0.20581	0.76458	0.60848	-0.21357	100.37842	100.37842
4.10000	0.20539	0.76415	0.60820	-0.21552	100.40588	100.40588
0.70000	0.20644	0.76446	0.60839	-0.21369	100.37842	100.37842
1.50000	0.20544	0.76443	0.60839	-0.21397	100.36621	100.36621
2.30000	0.20604	0.76498	0.60750	-0.21458	100.39063	100.39063
3.10000	0.20591	0.76525	0.60729	-0.21393	100.37842	100.37842
3.90000	0.20526	0.76464	0.60796	-0.21451	100.36621	100.36621
0.50000	0.20633	0.76516	0.60759	-0.21363	100.39063	100.39063
1.30000	0.20552	0.76510	0.60753	-0.21412	100.35400	100.35400
2.10000	0.20594	0.76516	0.60775	-0.21366	100.40283	100.40283
2.90000	0.20555	0.76446	0.60802	-0.21451	100.36621	100.36621
3.70000	0.20526	0.76543	0.60692	-0.21461	100.31738	100.31738
0.30000	0.20615	0.76656	0.60555	-0.21455	100.36621	100.36621
1.10000	0.20537	0.76580	0.60677	-0.21390	100.37842	100.37842
1.90000	0.20591	0.76547	0.60747	-0.21342	100.37842	100.37842
2.70000	0.20604	0.76629	0.60628	-0.21329	100.35400	100.35400
3.50000	0.20542	0.76565	0.60704	-0.21406	100.37842	100.37842
0.10000	0.20623	0.76635	0.60610	-0.21329	100.32654	100.32654
0.90000	0.20542	0.76696	0.60552	-0.21326	100.34180	100.34180
1.70000	0.20594	0.76751	0.60503	-0.21278	100.37842	100.37842
2.50000	0.20620	0.76714	0.60533	-0.21293	100.37842	100.37842
3.30000	0.20537	0.76699	0.60540	-0.21342	100.44250	100.44250
4.10000	0.20617	0.76757	0.60491	-0.21278	100.40283	100.40283
0.70000	0.20555	0.76666	0.60607	-0.21259	100.37842	100.37842
1.50000	0.20604	0.76659	0.60607	-0.21299	100.36621	100.36621
2.30000	0.20617	0.76763	0.60460	-0.21311	100.37842	100.37842
