	Time(ms)	S0(mW)	S1	S2	S3	DOP(%)	Average DOP(%)	
0.30000	0.08361	0.68719	-0.72323	0.06967	99.40796	99.40796
0.70000	0.08367	0.68853	-0.72188	0.06992	99.46594	99.46594
1.10000	0.08370	0.68926	-0.72112	0.07150	99.44153	99.44153
1.50000	0.08354	0.68920	-0.72121	0.07123	99.46289	99.46289
1.90000	0.08353	0.68932	-0.72088	0.07239	99.41711	99.41711
2.30000	0.08382	0.68899	-0.72121	0.07294	99.41711	99.41711
2.70000	0.08361	0.68917	-0.72106	0.07263	99.39270	99.39270
3.10000	0.08355	0.68960	-0.72076	0.07172	99.48120	99.48120
3.50000	0.08391	0.68911	-0.72124	0.07218	99.40186	99.40186
3.90000	0.08365	0.69002	-0.72024	0.07263	99.41711	99.41711
0.10000	0.08346	0.68944	-0.72085	0.07208	99.38354	99.38354
0.50000	0.08362	0.68957	-0.72069	0.07224	99.44763	99.44763
0.90000	0.08360	0.68996	-0.72030	0.07300	99.37439	99.37439
1.30000	0.08348	0.68908	-0.72115	0.07184	99.39880	99.39880
1.70000	0.08370	0.68941	-0.72088	0.07230	99.44153	99.44153
2.10000	0.08369	0.68923	-0.72112	0.07172	99.33472	99.33472
2.50000	0.08340	0.68880	-0.72149	0.07202	99.39880	99.39880
2.90000	0.08361	0.68880	-0.72152	0.07141	99.46594	99.46594
3.30000	0.08350	0.68892	-0.72137	0.07166	99.48120	99.48120
3.70000	0.08323	0.69012	-0.72024	0.07218	99.38049	99.38049
4.10000	0.08351	0.69033	-0.71996	0.07288	99.44763	99.44763
0.30000	0.08342	0.68996	-0.72033	0.07141	99.46289	99.46289
0.70000	0.08344	0.68960	-0.72069	0.07276	99.33472	99.33472
1.10000	0.08341	0.68987	-0.72054	0.07157	99.48120	99.48120
1.50000	0.08351	0.68987	-0.72060	0.07126	99.41406	99.41406
1.90000	0.08310	0.69057	-0.71978	0.07279	99.37134	99.37134
2.30000	0.08344	0.69082	-0.71941	0.07327	99.38354	99.38354
2.70000	0.08331	0.69027	-0.72002	0.07215	99.42932	99.42932
3.10000	0.08316	0.69109	-0.71920	0.07349	99.42017	99.42017
3.50000	0.08316	0.69063	-0.71947	0.07331	99.56665	99.56665
3.90000	0.08353	0.69060	-0.71969	0.07309	99.38354	99.38354
0.10000	0.08302	0.69060	-0.71966	0.07324	99.45374	99.45374
0.50000	0.08319	0.69045	-0.71987	0.07212	99.49341	99.49341
0.90000	0.08339	0.69021	-0.71999	0.07245	99.36523	99.36523
1.30000	0.08316	0.69082	-0.71947	0.07221	99.49341	99.49341
1.70000	0.08307	0.69027	-0.72002	0.07279	99.50256	99.50256
2.10000	0.08336	0.69161	-0.71874	0.07239	99.42322	99.42322
2.50000	0.08310	0.69027	-0.72005	0.07181	99.43848	99.43848
2.90000	0.08318	0.69100	-0.71935	0.07242	99.51782	99.51782
3.30000	0.08324	0.69195	-0.71834	0.07230	99.53613	99.53613
3.70000	0.08308	0.69170	-0.71862	0.07276	99.43848	99.43848
4.10000	0.08310	0.69182	-0.71847	0.07276	99.55139	99.55139
0.30000	0.08331	0.69195	-0.71831	0.07282	99.45374	99.45374
0.70000	0.08316	0.69097	-0.71926	0.07224	99.37134	99.37134
1.10000	0.08310	0.69237	-0.71783	0.07370	99.43848	99.43848
1.50000	0.08330	0.69176	-0.71859	0.07239	99.34082	99.34082
1.90000	0.08298	0.69192	-0.71841	0.07257	99.50867	99.50867
2.30000	0.08304	0.69329	-0.71703	0.07340	99.38660	99.38660
2.70000	0.08327	0.69356	-0.71667	0.07340	99.41406	99.41406
