	Time(ms)	S0(mW)	S1	S2	S3	DOP(%)	Average DOP(%)	
0.30000	1.44378	1.00000	0.00009	0.00034	99.52698	99.52698
0.70000	1.43802	1.00000	0.00061	-0.00024	99.53918	99.53918
1.10000	1.42588	1.00000	-0.00082	0.00003	99.52087	99.52087
1.50000	1.43473	1.00000	-0.00018	0.00082	99.52393	99.52393
1.90000	1.44049	1.00000	-0.00037	-0.00046	99.52698	99.52698
2.30000	1.44543	1.00000	0.00116	0.00131	99.53003	99.53003
2.70000	1.43658	1.00000	0.00000	-0.00085	99.53918	99.53918
3.10000	1.42670	1.00000	-0.00110	-0.00018	99.53613	99.53613
3.50000	1.44625	1.00000	0.00012	-0.00104	99.53003	99.53003
3.90000	1.42814	1.00000	-0.00046	-0.00040	99.53613	99.53613
0.10000	1.42732	1.00000	0.00085	-0.00134	99.50867	99.50867
0.50000	1.43040	1.00000	0.00101	0.00006	99.53918	99.53918
0.90000	1.43267	1.00000	-0.00058	-0.00037	99.53918	99.53918
1.30000	1.43596	1.00000	-0.00113	-0.00003	99.53918	99.53918
1.70000	1.43905	1.00000	-0.00012	0.00116	99.54224	99.54224
2.10000	1.44275	1.00000	-0.00067	0.00018	99.52698	99.52698
2.50000	1.44461	1.00000	-0.00082	0.00058	99.54224	99.54224
2.90000	1.44296	1.00000	0.00162	0.00049	99.54224	99.54224
3.30000	1.44296	1.00000	0.00049	-0.00098	99.52698	99.52698
3.70000	1.42999	1.00000	-0.00027	-0.00107	99.53918	99.53918
4.10000	1.42649	1.00000	0.00009	-0.00024	99.53613	99.53613
0.30000	1.42917	1.00000	-0.00012	0.00073	99.53613	99.53613
0.70000	1.44296	1.00000	-0.00040	0.00061	99.52698	99.52698
1.10000	1.43452	1.00000	-0.00067	0.00009	99.55444	99.55444
1.50000	1.44152	1.00000	0.00095	-0.00079	99.55444	99.55444
1.90000	1.43576	1.00000	0.00122	0.00055	99.53918	99.53918
2.30000	1.43761	1.00000	0.00052	0.00079	99.53918	99.53918
2.70000	1.43308	1.00000	0.00021	0.00018	99.52393	99.52393
3.10000	1.44234	1.00000	-0.00137	0.00107	99.54224	99.54224
3.50000	1.44563	1.00000	-0.00113	0.00150	99.54224	99.54224
3.90000	1.43843	1.00000	-0.00058	-0.00049	99.53918	99.53918
0.10000	1.42608	1.00000	-0.00046	-0.00058	99.53613	99.53613
0.50000	1.43432	1.00000	0.00034	0.00085	99.53918	99.53918
0.90000	1.42711	1.00000	-0.00101	-0.00003	99.53613	99.53613
1.30000	1.42773	1.00000	-0.00070	-0.00049	99.53613	99.53613
1.70000	1.42629	1.00000	-0.00031	0.00027	99.55139	99.55139
2.10000	1.42814	1.00000	-0.00027	-0.00140	99.53613	99.53613
2.50000	1.44070	1.00000	0.00131	0.00034	99.54224	99.54224
