	Time(ms)	S0(mW)	S1	S2	S3	DOP(%)	Average DOP(%)	
2.70000	0.80708	0.95178	0.30607	0.02713	99.89014	99.89014
0.50000	0.80701	0.95187	0.30573	0.02719	99.86267	99.86267
2.50000	0.80940	0.95169	0.30595	0.02786	99.87183	99.87183
0.30000	0.81092	0.95184	0.30570	0.02747	99.86572	99.86572
2.30000	0.81085	0.95175	0.30616	0.02756	99.85657	99.85657
0.10000	0.81172	0.95181	0.30564	0.02686	99.87488	99.87488
2.10000	0.81273	0.95181	0.30558	0.02716	99.91760	99.91760
4.10000	0.81549	0.95193	0.30549	0.02713	99.89929	99.89929
1.90000	0.81455	0.95196	0.30531	0.02689	99.83826	99.83826
3.90000	0.81382	0.95190	0.30558	0.02750	99.87488	99.87488
1.70000	0.81650	0.95184	0.30573	0.02725	99.86572	99.86572
3.70000	0.81701	0.95154	0.30653	0.02829	99.90234	99.90234
1.50000	0.81810	0.95193	0.30543	0.02725	99.85657	99.85657
3.50000	0.81737	0.95202	0.30531	0.02707	99.87488	99.87488
1.30000	0.81962	0.95202	0.30537	0.02692	99.88403	99.88403
3.30000	0.81991	0.95178	0.30567	0.02741	99.88403	99.88403
1.10000	0.82180	0.95178	0.30604	0.02814	99.85657	99.85657
3.10000	0.82237	0.95163	0.30634	0.02802	99.89319	99.89319
0.90000	0.82259	0.95160	0.30616	0.02832	99.87488	99.87488
2.90000	0.82448	0.95172	0.30592	0.02792	99.88403	99.88403
0.70000	0.82716	0.95178	0.30580	0.02838	99.85962	99.85962
2.70000	0.82796	0.95166	0.30610	0.02844	99.89319	99.89319
0.50000	0.83020	0.95184	0.30540	0.02808	99.86877	99.86877
2.50000	0.83230	0.95157	0.30641	0.02832	99.91150	99.91150
0.30000	0.83383	0.95178	0.30601	0.02814	99.88403	99.88403
2.30000	0.83557	0.95172	0.30589	0.02847	99.85962	99.85962
0.10000	0.83658	0.95175	0.30589	0.02844	99.86877	99.86877
2.10000	0.83847	0.95169	0.30613	0.02875	99.86877	99.86877
4.10000	0.83854	0.95160	0.30644	0.02936	99.83521	99.83521
