Acquired on 4/26/2021 at 16:36:12
Calibrated on 4/26/2021 at 14:40:00
Device Descriptor:  [none]
Scan Range (nm):  1539.624  --  1560.517
Measurement Type:  Reflection
Group Index:  1.500
Gain:  24 dB
Domain:  Time
Spatial Resolution (mm):  50.000000
Frequency domain window was applied to measurement data.
Number of Data Points (in this file):  16384
NOTE: Data stored in this file is decimated by a factor of 64.

Time (ns)	Amplitude (dB)	
-1.00072081E+001	-1.20272724E+002	
-9.98649484E+000	-1.19945069E+002	
-9.96578154E+000	-1.19620121E+002	
-9.94506823E+000	-1.19363651E+002	
-9.92435493E+000	-1.19134722E+002	
-9.90364162E+000	-1.18902238E+002	
-9.88292832E+000	-1.18686314E+002	
-9.86221501E+000	-1.18464037E+002	
-9.84150171E+000	-1.18273382E+002	
-9.82078840E+000	-1.18093947E+002	
-9.80007509E+000	-1.17888370E+002	
-9.77936179E+000	-1.17703090E+002	
-9.75864848E+000	-1.17651921E+002	
-9.73793518E+000	-1.17684330E+002	
-9.71722187E+000	-1.17681162E+002	
-9.69650857E+000	-1.17687473E+002	
-9.67579526E+000	-1.17754898E+002	
-9.65508196E+000	-1.17740703E+002	
-9.63436865E+000	-1.17684547E+002	
-9.61365535E+000	-1.17682435E+002	
-9.59294204E+000	-1.17690626E+002	
-9.57222874E+000	-1.17725669E+002	
-9.55151543E+000	-1.17748414E+002	
-9.53080213E+000	-1.17726918E+002	
-9.51008882E+000	-1.17756624E+002	
-9.48937552E+000	-1.17777547E+002	
-9.46866221E+000	-1.17765586E+002	
-9.44794890E+000	-1.17738291E+002	
-9.42723560E+000	-1.17691138E+002	
-9.40652229E+000	-1.17679361E+002	
-9.38580899E+000	-1.17651153E+002	
-9.36509568E+000	-1.17647241E+002	
-9.34438238E+000	-1.17598715E+002	
-9.32366907E+000	-1.17570236E+002	
-9.30295577E+000	-1.17576900E+002	
-9.28224246E+000	-1.17580352E+002	
-9.26152916E+000	-1.17531655E+002	
-9.24081585E+000	-1.17469093E+002	
-9.22010255E+000	-1.17450897E+002	
-9.19938924E+000	-1.17488019E+002	
-9.17867594E+000	-1.17468948E+002	
-9.15796263E+000	-1.17456724E+002	
-9.13724932E+000	-1.17518929E+002	
-9.11653602E+000	-1.17531839E+002	
-9.09582271E+000	-1.17518157E+002	
-9.07510941E+000	-1.17511742E+002	
-9.05439610E+000	-1.17503446E+002	
-9.03368280E+000	-1.17387221E+002	
-9.01296949E+000	-1.17375350E+002	
-8.99225619E+000	-1.17377841E+002	
-8.97154288E+000	-1.17422749E+002	
-8.95082958E+000	-1.17436241E+002	
-8.93011627E+000	-1.17458845E+002	
-8.90940297E+000	-1.17480419E+002	
-8.88868966E+000	-1.17500779E+002	
-8.86797636E+000	-1.17490781E+002	
-8.84726305E+000	-1.17501918E+002	
-8.82654974E+000	-1.17483520E+002	
-8.80583644E+000	-1.17502423E+002	
-8.78512313E+000	-1.17500103E+002	
-8.76440983E+000	-1.17500962E+002	
-8.74369652E+000	-1.17561744E+002	
-8.72298322E+000	-1.17584117E+002	
-8.70226991E+000	-1.17514857E+002	
-8.68155661E+000	-1.17485306E+002	
-8.66084330E+000	-1.17517822E+002	
-8.64013000E+000	-1.17474906E+002	
-8.61941669E+000	-1.17426258E+002	
-8.59870339E+000	-1.17443449E+002	
-8.57799008E+000	-1.17442972E+002	
-8.55727678E+000	-1.17415780E+002	
-8.53656347E+000	-1.17532598E+002	
-8.51585017E+000	-1.17541564E+002	
-8.49513686E+000	-1.17534880E+002	
-8.47442355E+000	-1.17520217E+002	
-8.45371025E+000	-1.17538538E+002	
-8.43299694E+000	-1.17569099E+002	
-8.41228364E+000	-1.17540988E+002	
-8.39157033E+000	-1.17531013E+002	
-8.37085703E+000	-1.17575439E+002	
-8.35014372E+000	-1.17589308E+002	
-8.32943042E+000	-1.17621516E+002	
-8.30871711E+000	-1.17570874E+002	
-8.28800381E+000	-1.17598568E+002	
-8.26729050E+000	-1.17602803E+002	
-8.24657720E+000	-1.17598835E+002	
-8.22586389E+000	-1.17571696E+002	
-8.20515059E+000	-1.17626533E+002	
-8.18443728E+000	-1.17633867E+002	
-8.16372397E+000	-1.17612976E+002	
-8.14301067E+000	-1.17579089E+002	
-8.12229736E+000	-1.17592017E+002	
-8.10158406E+000	-1.17592469E+002	
-8.08087075E+000	-1.17591188E+002	
-8.06015745E+000	-1.17568983E+002	
-8.03944414E+000	-1.17516958E+002	
-8.01873084E+000	-1.17537850E+002	
-7.99801753E+000	-1.17537905E+002	
-7.97730423E+000	-1.17530363E+002	
-7.95659092E+000	-1.17500442E+002	
-7.93587762E+000	-1.17517863E+002	
-7.91516431E+000	-1.17548479E+002	
-7.89445101E+000	-1.17535877E+002	
-7.87373770E+000	-1.17511236E+002	
-7.85302439E+000	-1.17512503E+002	
-7.83231109E+000	-1.17488488E+002	
-7.81159778E+000	-1.17527618E+002	
-7.79088448E+000	-1.17551437E+002	
-7.77017117E+000	-1.17566288E+002	
-7.74945787E+000	-1.17573281E+002	
-7.72874456E+000	-1.17594210E+002	
-7.70803126E+000	-1.17555505E+002	
-7.68731795E+000	-1.17580651E+002	
-7.66660465E+000	-1.17580511E+002	
-7.64589134E+000	-1.17587080E+002	
-7.62517804E+000	-1.17593692E+002	
-7.60446473E+000	-1.17523009E+002	
-7.58375143E+000	-1.17540240E+002	
-7.56303812E+000	-1.17580013E+002	
-7.54232482E+000	-1.17647185E+002	
-7.52161151E+000	-1.17632129E+002	
-7.50089820E+000	-1.17646796E+002	
-7.48018490E+000	-1.17633274E+002	
-7.45947159E+000	-1.17680515E+002	
-7.43875829E+000	-1.17612943E+002	
-7.41804498E+000	-1.17539596E+002	
-7.39733168E+000	-1.17575366E+002	
-7.37661837E+000	-1.17571713E+002	
-7.35590507E+000	-1.17578113E+002	
-7.33519176E+000	-1.17607102E+002	
-7.31447846E+000	-1.17637898E+002	
-7.29376515E+000	-1.17622133E+002	
-7.27305185E+000	-1.17596861E+002	
-7.25233854E+000	-1.17627451E+002	
-7.23162524E+000	-1.17628650E+002	
-7.21091193E+000	-1.17616701E+002	
