Acquired on 4/26/2021 at 16:44:34
Calibrated on 4/26/2021 at 14:40:00
Device Descriptor:  [none]
Scan Range (nm):  1539.624  --  1560.517
Measurement Type:  Reflection
Group Index:  1.500
Gain:  24 dB
Domain:  Time
Spatial Resolution (mm):  50.000000
Frequency domain window was applied to measurement data.
Number of Data Points (in this file):  16384
NOTE: Data stored in this file is decimated by a factor of 64.

Time (ns)	Amplitude (dB)	
-1.00072081E+001	-1.20266131E+002	
-9.98649484E+000	-1.19928804E+002	
-9.96578154E+000	-1.19602772E+002	
-9.94506823E+000	-1.19350375E+002	
-9.92435493E+000	-1.19118958E+002	
-9.90364162E+000	-1.18883444E+002	
-9.88292832E+000	-1.18669699E+002	
-9.86221501E+000	-1.18455807E+002	
-9.84150171E+000	-1.18266889E+002	
-9.82078840E+000	-1.18088489E+002	
-9.80007509E+000	-1.17879992E+002	
-9.77936179E+000	-1.17695580E+002	
-9.75864848E+000	-1.17639041E+002	
-9.73793518E+000	-1.17658757E+002	
-9.71722187E+000	-1.17654940E+002	
-9.69650857E+000	-1.17658421E+002	
-9.67579526E+000	-1.17724428E+002	
-9.65508196E+000	-1.17701804E+002	
-9.63436865E+000	-1.17654893E+002	
-9.61365535E+000	-1.17655827E+002	
-9.59294204E+000	-1.17668791E+002	
-9.57222874E+000	-1.17705525E+002	
-9.55151543E+000	-1.17736229E+002	
-9.53080213E+000	-1.17720694E+002	
-9.51008882E+000	-1.17754493E+002	
-9.48937552E+000	-1.17779762E+002	
-9.46866221E+000	-1.17767636E+002	
-9.44794890E+000	-1.17739927E+002	
-9.42723560E+000	-1.17692635E+002	
-9.40652229E+000	-1.17677568E+002	
-9.38580899E+000	-1.17649277E+002	
-9.36509568E+000	-1.17640073E+002	
-9.34438238E+000	-1.17588180E+002	
-9.32366907E+000	-1.17557995E+002	
-9.30295577E+000	-1.17568785E+002	
-9.28224246E+000	-1.17572556E+002	
-9.26152916E+000	-1.17520700E+002	
-9.24081585E+000	-1.17464923E+002	
-9.22010255E+000	-1.17449006E+002	
-9.19938924E+000	-1.17482377E+002	
-9.17867594E+000	-1.17456995E+002	
-9.15796263E+000	-1.17448344E+002	
-9.13724932E+000	-1.17506783E+002	
-9.11653602E+000	-1.17515114E+002	
-9.09582271E+000	-1.17498434E+002	
-9.07510941E+000	-1.17496681E+002	
-9.05439610E+000	-1.17484233E+002	
-9.03368280E+000	-1.17373009E+002	
-9.01296949E+000	-1.17361461E+002	
-8.99225619E+000	-1.17365120E+002	
-8.97154288E+000	-1.17411858E+002	
-8.95082958E+000	-1.17426119E+002	
-8.93011627E+000	-1.17445874E+002	
-8.90940297E+000	-1.17475222E+002	
-8.88868966E+000	-1.17494241E+002	
-8.86797636E+000	-1.17474809E+002	
-8.84726305E+000	-1.17485328E+002	
-8.82654974E+000	-1.17467975E+002	
-8.80583644E+000	-1.17487159E+002	
-8.78512313E+000	-1.17479230E+002	
-8.76440983E+000	-1.17486902E+002	
-8.74369652E+000	-1.17548911E+002	
-8.72298322E+000	-1.17570150E+002	
-8.70226991E+000	-1.17506360E+002	
-8.68155661E+000	-1.17487444E+002	
-8.66084330E+000	-1.17514454E+002	
-8.64013000E+000	-1.17466968E+002	
-8.61941669E+000	-1.17417019E+002	
-8.59870339E+000	-1.17433245E+002	
-8.57799008E+000	-1.17425074E+002	
-8.55727678E+000	-1.17399510E+002	
-8.53656347E+000	-1.17513310E+002	
-8.51585017E+000	-1.17521829E+002	
-8.49513686E+000	-1.17518945E+002	
-8.47442355E+000	-1.17503280E+002	
-8.45371025E+000	-1.17519009E+002	
-8.43299694E+000	-1.17548900E+002	
-8.41228364E+000	-1.17516483E+002	
-8.39157033E+000	-1.17502729E+002	
-8.37085703E+000	-1.17555966E+002	
-8.35014372E+000	-1.17577035E+002	
-8.32943042E+000	-1.17607148E+002	
-8.30871711E+000	-1.17557023E+002	
-8.28800381E+000	-1.17591951E+002	
-8.26729050E+000	-1.17592625E+002	
-8.24657720E+000	-1.17583875E+002	
-8.22586389E+000	-1.17558361E+002	
-8.20515059E+000	-1.17607708E+002	
-8.18443728E+000	-1.17604321E+002	
-8.16372397E+000	-1.17589862E+002	
-8.14301067E+000	-1.17562693E+002	
-8.12229736E+000	-1.17584253E+002	
-8.10158406E+000	-1.17594620E+002	
-8.08087075E+000	-1.17606312E+002	
-8.06015745E+000	-1.17586552E+002	
-8.03944414E+000	-1.17530900E+002	
-8.01873084E+000	-1.17549433E+002	
-7.99801753E+000	-1.17544748E+002	
-7.97730423E+000	-1.17539231E+002	
-7.95659092E+000	-1.17511129E+002	
-7.93587762E+000	-1.17535533E+002	
