Acquired on 4/26/2021 at 16:09:07
Calibrated on 4/26/2021 at 14:40:00
Device Descriptor:  [none]
Scan Range (nm):  1539.624  --  1560.517
Measurement Type:  Reflection
Group Index:  1.500
Gain:  24 dB
Domain:  Time
Spatial Resolution (mm):  50.000000
Frequency domain window was applied to measurement data.
Number of Data Points (in this file):  16384
NOTE: Data stored in this file is decimated by a factor of 64.

Time (ns)	Amplitude (dB)	
-1.00072081E+001	-1.20249239E+002	
-9.98649484E+000	-1.19923008E+002	
-9.96578154E+000	-1.19599779E+002	
-9.94506823E+000	-1.19344376E+002	
-9.92435493E+000	-1.19119041E+002	
-9.90364162E+000	-1.18887700E+002	
-9.88292832E+000	-1.18674929E+002	
-9.86221501E+000	-1.18457292E+002	
-9.84150171E+000	-1.18265520E+002	
-9.82078840E+000	-1.18088872E+002	
-9.80007509E+000	-1.17885818E+002	
-9.77936179E+000	-1.17701883E+002	
-9.75864848E+000	-1.17647834E+002	
-9.73793518E+000	-1.17681938E+002	
-9.71722187E+000	-1.17684267E+002	
-9.69650857E+000	-1.17696207E+002	
-9.67579526E+000	-1.17769333E+002	
-9.65508196E+000	-1.17754427E+002	
-9.63436865E+000	-1.17699908E+002	
-9.61365535E+000	-1.17700560E+002	
-9.59294204E+000	-1.17714637E+002	
-9.57222874E+000	-1.17754518E+002	
-9.55151543E+000	-1.17781124E+002	
-9.53080213E+000	-1.17764072E+002	
-9.51008882E+000	-1.17797351E+002	
-9.48937552E+000	-1.17815893E+002	
-9.46866221E+000	-1.17797454E+002	
-9.44794890E+000	-1.17769822E+002	
-9.42723560E+000	-1.17716941E+002	
-9.40652229E+000	-1.17700934E+002	
-9.38580899E+000	-1.17666326E+002	
-9.36509568E+000	-1.17659483E+002	
-9.34438238E+000	-1.17616167E+002	
-9.32366907E+000	-1.17586381E+002	
-9.30295577E+000	-1.17590578E+002	
-9.28224246E+000	-1.17594293E+002	
-9.26152916E+000	-1.17544964E+002	
-9.24081585E+000	-1.17481086E+002	
-9.22010255E+000	-1.17461095E+002	
-9.19938924E+000	-1.17488597E+002	
-9.17867594E+000	-1.17456852E+002	
-9.15796263E+000	-1.17440964E+002	
