Acquired on 4/26/2021 at 15:54:02
Calibrated on 4/26/2021 at 14:40:00
Device Descriptor:  [none]
Scan Range (nm):  1539.624  --  1560.517
Measurement Type:  Reflection
Group Index:  1.500
Gain:  24 dB
Domain:  Time
Spatial Resolution (mm):  50.000000
Frequency domain window was applied to measurement data.
Number of Data Points (in this file):  16384
NOTE: Data stored in this file is decimated by a factor of 64.

Time (ns)	Amplitude (dB)	
-1.00072081E+001	-1.20280554E+002	
-9.98649484E+000	-1.19955287E+002	
-9.96578154E+000	-1.19625654E+002	
-9.94506823E+000	-1.19367224E+002	
-9.92435493E+000	-1.19143649E+002	
-9.90364162E+000	-1.18915715E+002	
-9.88292832E+000	-1.18699253E+002	
-9.86221501E+000	-1.18479012E+002	
-9.84150171E+000	-1.18284774E+002	
-9.82078840E+000	-1.18106131E+002	
-9.80007509E+000	-1.17898405E+002	
-9.77936179E+000	-1.17707612E+002	
-9.75864848E+000	-1.17656349E+002	
-9.73793518E+000	-1.17686553E+002	
-9.71722187E+000	-1.17679987E+002	
-9.69650857E+000	-1.17684453E+002	
-9.67579526E+000	-1.17749777E+002	
-9.65508196E+000	-1.17732397E+002	
-9.63436865E+000	-1.17677127E+002	
-9.61365535E+000	-1.17673930E+002	
-9.59294204E+000	-1.17686516E+002	
-9.57222874E+000	-1.17729236E+002	
-9.55151543E+000	-1.17755525E+002	
-9.53080213E+000	-1.17733387E+002	
-9.51008882E+000	-1.17758472E+002	
-9.48937552E+000	-1.17776792E+002	
-9.46866221E+000	-1.17759194E+002	
-9.44794890E+000	-1.17732627E+002	
-9.42723560E+000	-1.17676827E+002	
-9.40652229E+000	-1.17655279E+002	
-9.38580899E+000	-1.17619343E+002	
-9.36509568E+000	-1.17610810E+002	
-9.34438238E+000	-1.17569065E+002	
-9.32366907E+000	-1.17544191E+002	
-9.30295577E+000	-1.17555757E+002	
-9.28224246E+000	-1.17563470E+002	
-9.26152916E+000	-1.17509229E+002	
-9.24081585E+000	-1.17448176E+002	
-9.22010255E+000	-1.17434420E+002	
-9.19938924E+000	-1.17471957E+002	
-9.17867594E+000	-1.17446620E+002	
-9.15796263E+000	-1.17440151E+002	
-9.13724932E+000	-1.17500747E+002	
-9.11653602E+000	-1.17508313E+002	
-9.09582271E+000	-1.17489898E+002	
-9.07510941E+000	-1.17485496E+002	
-9.05439610E+000	-1.17475928E+002	
-9.03368280E+000	-1.17362219E+002	
-9.01296949E+000	-1.17353863E+002	
-8.99225619E+000	-1.17354182E+002	
-8.97154288E+000	-1.17402088E+002	
-8.95082958E+000	-1.17417136E+002	
-8.93011627E+000	-1.17440799E+002	
-8.90940297E+000	-1.17470532E+002	
-8.88868966E+000	-1.17494778E+002	
-8.86797636E+000	-1.17487506E+002	
-8.84726305E+000	-1.17493742E+002	
-8.82654974E+000	-1.17473483E+002	
-8.80583644E+000	-1.17481158E+002	
-8.78512313E+000	-1.17473469E+002	
-8.76440983E+000	-1.17479351E+002	
-8.74369652E+000	-1.17538981E+002	
-8.72298322E+000	-1.17556973E+002	
-8.70226991E+000	-1.17486765E+002	
-8.68155661E+000	-1.17464765E+002	
-8.66084330E+000	-1.17490371E+002	
-8.64013000E+000	-1.17445764E+002	
-8.61941669E+000	-1.17403201E+002	
-8.59870339E+000	-1.17427798E+002	
-8.57799008E+000	-1.17429135E+002	
-8.55727678E+000	-1.17397680E+002	
-8.53656347E+000	-1.17512369E+002	
-8.51585017E+000	-1.17516725E+002	
-8.49513686E+000	-1.17516559E+002	
-8.47442355E+000	-1.17508222E+002	
-8.45371025E+000	-1.17530502E+002	
-8.43299694E+000	-1.17565079E+002	
-8.41228364E+000	-1.17532999E+002	
-8.39157033E+000	-1.17517594E+002	
-8.37085703E+000	-1.17559263E+002	
-8.35014372E+000	-1.17574170E+002	
-8.32943042E+000	-1.17598843E+002	
-8.30871711E+000	-1.17553266E+002	
-8.28800381E+000	-1.17587847E+002	
-8.26729050E+000	-1.17586964E+002	
-8.24657720E+000	-1.17580811E+002	
-8.22586389E+000	-1.17557052E+002	
-8.20515059E+000	-1.17614240E+002	
-8.18443728E+000	-1.17617848E+002	
-8.16372397E+000	-1.17604557E+002	
-8.14301067E+000	-1.17569667E+002	
-8.12229736E+000	-1.17584004E+002	
-8.10158406E+000	-1.17585863E+002	
-8.08087075E+000	-1.17578656E+002	
-8.06015745E+000	-1.17557297E+002	
-8.03944414E+000	-1.17503240E+002	
-8.01873084E+000	-1.17525519E+002	
-7.99801753E+000	-1.17519008E+002	
-7.97730423E+000	-1.17515700E+002	
-7.95659092E+000	-1.17486789E+002	
-7.93587762E+000	-1.17504934E+002	
-7.91516431E+000	-1.17544265E+002	
-7.89445101E+000	-1.17541319E+002	
-7.87373770E+000	-1.17525766E+002	
-7.85302439E+000	-1.17525194E+002	
-7.83231109E+000	-1.17508598E+002	
-7.81159778E+000	-1.17554761E+002	
-7.79088448E+000	-1.17576421E+002	
-7.77017117E+000	-1.17594125E+002	
-7.74945787E+000	-1.17604091E+002	
-7.72874456E+000	-1.17621433E+002	
-7.70803126E+000	-1.17584368E+002	
-7.68731795E+000	-1.17613004E+002	
-7.66660465E+000	-1.17607755E+002	
-7.64589134E+000	-1.17614167E+002	
-7.62517804E+000	-1.17620812E+002	
-7.60446473E+000	-1.17543229E+002	
-7.58375143E+000	-1.17559010E+002	
-7.56303812E+000	-1.17598761E+002	
-7.54232482E+000	-1.17662740E+002	
-7.52161151E+000	-1.17645569E+002	
-7.50089820E+000	-1.17657390E+002	
-7.48018490E+000	-1.17632671E+002	
-7.45947159E+000	-1.17673965E+002	
-7.43875829E+000	-1.17601353E+002	
-7.41804498E+000	-1.17522357E+002	
-7.39733168E+000	-1.17554243E+002	
-7.37661837E+000	-1.17550744E+002	
-7.35590507E+000	-1.17556381E+002	
-7.33519176E+000	-1.17581611E+002	
-7.31447846E+000	-1.17606780E+002	
-7.29376515E+000	-1.17593911E+002	
-7.27305185E+000	-1.17569937E+002	
-7.25233854E+000	-1.17596540E+002	
-7.23162524E+000	-1.17599968E+002	
-7.21091193E+000	-1.17587366E+002	
-7.19019862E+000	-1.17574117E+002	
-7.16948532E+000	-1.17616421E+002	
-7.14877201E+000	-1.17686624E+002	
-7.12805871E+000	-1.17729825E+002	
-7.10734540E+000	-1.17806143E+002	
-7.08663210E+000	-1.17848508E+002	
-7.06591879E+000	-1.17825594E+002	
-7.04520549E+000	-1.17814027E+002	
-7.02449218E+000	-1.17798227E+002	
-7.00377888E+000	-1.17768241E+002	
-6.98306557E+000	-1.17801776E+002	
-6.96235227E+000	-1.17768352E+002	
-6.94163896E+000	-1.17806597E+002	
-6.92092566E+000	-1.17867776E+002	
-6.90021235E+000	-1.17879912E+002	
-6.87949904E+000	-1.17860884E+002	
-6.85878574E+000	-1.17846185E+002	
-6.83807243E+000	-1.17865482E+002	
-6.81735913E+000	-1.17877937E+002	
-6.79664582E+000	-1.17831618E+002	
-6.77593252E+000	-1.17862131E+002	
-6.75521921E+000	-1.17815112E+002	
