Acquired on 4/26/2021 at 16:00:59
Calibrated on 4/26/2021 at 14:40:00
Device Descriptor:  [none]
Scan Range (nm):  1539.624  --  1560.517
Measurement Type:  Reflection
Group Index:  1.500
Gain:  24 dB
Domain:  Time
Spatial Resolution (mm):  50.000000
Frequency domain window was applied to measurement data.
Number of Data Points (in this file):  16384
NOTE: Data stored in this file is decimated by a factor of 64.

Time (ns)	Amplitude (dB)	
-1.00072081E+001	-1.20236098E+002	
-9.98649484E+000	-1.19915965E+002	
-9.96578154E+000	-1.19600693E+002	
-9.94506823E+000	-1.19343008E+002	
-9.92435493E+000	-1.19108033E+002	
-9.90364162E+000	-1.18875381E+002	
-9.88292832E+000	-1.18657276E+002	
-9.86221501E+000	-1.18437042E+002	
-9.84150171E+000	-1.18246961E+002	
-9.82078840E+000	-1.18068450E+002	
-9.80007509E+000	-1.17861256E+002	
-9.77936179E+000	-1.17675922E+002	
-9.75864848E+000	-1.17621981E+002	
-9.73793518E+000	-1.17648678E+002	
-9.71722187E+000	-1.17647887E+002	
-9.69650857E+000	-1.17653988E+002	
-9.67579526E+000	-1.17723442E+002	
-9.65508196E+000	-1.17708415E+002	
-9.63436865E+000	-1.17655998E+002	
-9.61365535E+000	-1.17661862E+002	
-9.59294204E+000	-1.17677464E+002	
-9.57222874E+000	-1.17716211E+002	
-9.55151543E+000	-1.17745044E+002	
-9.53080213E+000	-1.17728488E+002	
-9.51008882E+000	-1.17757394E+002	
-9.48937552E+000	-1.17770254E+002	
-9.46866221E+000	-1.17755942E+002	
-9.44794890E+000	-1.17731331E+002	
-9.42723560E+000	-1.17687478E+002	
-9.40652229E+000	-1.17674245E+002	
-9.38580899E+000	-1.17645810E+002	
-9.36509568E+000	-1.17639995E+002	
-9.34438238E+000	-1.17595247E+002	
-9.32366907E+000	-1.17567270E+002	
-9.30295577E+000	-1.17575268E+002	
-9.28224246E+000	-1.17580194E+002	
-9.26152916E+000	-1.17530682E+002	
-9.24081585E+000	-1.17468635E+002	
-9.22010255E+000	-1.17447984E+002	
-9.19938924E+000	-1.17484450E+002	
-9.17867594E+000	-1.17453285E+002	
-9.15796263E+000	-1.17437638E+002	
-9.13724932E+000	-1.17493858E+002	
-9.11653602E+000	-1.17495249E+002	
-9.09582271E+000	-1.17473760E+002	
-9.07510941E+000	-1.17471306E+002	
-9.05439610E+000	-1.17462077E+002	
-9.03368280E+000	-1.17342054E+002	
-9.01296949E+000	-1.17334458E+002	
-8.99225619E+000	-1.17342016E+002	
-8.97154288E+000	-1.17385769E+002	
-8.95082958E+000	-1.17396449E+002	
-8.93011627E+000	-1.17422708E+002	
-8.90940297E+000	-1.17453581E+002	
-8.88868966E+000	-1.17475755E+002	
-8.86797636E+000	-1.17463426E+002	
-8.84726305E+000	-1.17472867E+002	
-8.82654974E+000	-1.17451925E+002	
-8.80583644E+000	-1.17471928E+002	
-8.78512313E+000	-1.17460581E+002	
-8.76440983E+000	-1.17466186E+002	
-8.74369652E+000	-1.17531988E+002	
-8.72298322E+000	-1.17558794E+002	
-8.70226991E+000	-1.17493489E+002	
-8.68155661E+000	-1.17477352E+002	
-8.66084330E+000	-1.17514713E+002	
-8.64013000E+000	-1.17472314E+002	
-8.61941669E+000	-1.17429868E+002	
-8.59870339E+000	-1.17451413E+002	
-8.57799008E+000	-1.17450173E+002	
-8.55727678E+000	-1.17419334E+002	
-8.53656347E+000	-1.17537725E+002	
-8.51585017E+000	-1.17540248E+002	
-8.49513686E+000	-1.17530103E+002	
-8.47442355E+000	-1.17513953E+002	
-8.45371025E+000	-1.17528420E+002	
-8.43299694E+000	-1.17556608E+002	
-8.41228364E+000	-1.17527605E+002	
-8.39157033E+000	-1.17508197E+002	
