Acquired on 4/26/2021 at 15:19:47
Calibrated on 4/26/2021 at 14:40:00
Device Descriptor:  [none]
Scan Range (nm):  1539.624  --  1560.517
Measurement Type:  Reflection
Group Index:  1.500
Gain:  24 dB
Domain:  Time
Spatial Resolution (mm):  50.000000
Frequency domain window was applied to measurement data.
Number of Data Points (in this file):  16384
NOTE: Data stored in this file is decimated by a factor of 64.

Time (ns)	Amplitude (dB)	
-1.00072081E+001	-1.20272745E+002	
-9.98649484E+000	-1.19938303E+002	
-9.96578154E+000	-1.19613414E+002	
-9.94506823E+000	-1.19355221E+002	
-9.92435493E+000	-1.19125340E+002	
-9.90364162E+000	-1.18897664E+002	
-9.88292832E+000	-1.18688933E+002	
-9.86221501E+000	-1.18475784E+002	
-9.84150171E+000	-1.18284641E+002	
-9.82078840E+000	-1.18109189E+002	
-9.80007509E+000	-1.17905225E+002	
-9.77936179E+000	-1.17718929E+002	
-9.75864848E+000	-1.17666494E+002	
-9.73793518E+000	-1.17693073E+002	
-9.71722187E+000	-1.17689096E+002	
-9.69650857E+000	-1.17688000E+002	
-9.67579526E+000	-1.17748270E+002	
-9.65508196E+000	-1.17736224E+002	
-9.63436865E+000	-1.17680781E+002	
-9.61365535E+000	-1.17678231E+002	
-9.59294204E+000	-1.17697670E+002	
-9.57222874E+000	-1.17747220E+002	
-9.55151543E+000	-1.17770030E+002	
-9.53080213E+000	-1.17754916E+002	
-9.51008882E+000	-1.17785608E+002	
-9.48937552E+000	-1.17804127E+002	
-9.46866221E+000	-1.17787346E+002	
-9.44794890E+000	-1.17759869E+002	
-9.42723560E+000	-1.17713450E+002	
-9.40652229E+000	-1.17696966E+002	
-9.38580899E+000	-1.17656589E+002	
-9.36509568E+000	-1.17644230E+002	
-9.34438238E+000	-1.17598519E+002	
-9.32366907E+000	-1.17567236E+002	
-9.30295577E+000	-1.17572134E+002	
-9.28224246E+000	-1.17578458E+002	
-9.26152916E+000	-1.17531574E+002	
-9.24081585E+000	-1.17470011E+002	
-9.22010255E+000	-1.17449809E+002	
-9.19938924E+000	-1.17489597E+002	
-9.17867594E+000	-1.17466259E+002	
-9.15796263E+000	-1.17457037E+002	
-9.13724932E+000	-1.17519482E+002	
-9.11653602E+000	-1.17530059E+002	
-9.09582271E+000	-1.17505668E+002	
-9.07510941E+000	-1.17492353E+002	
-9.05439610E+000	-1.17480436E+002	
-9.03368280E+000	-1.17370100E+002	
-9.01296949E+000	-1.17357106E+002	
-8.99225619E+000	-1.17366894E+002	
-8.97154288E+000	-1.17417379E+002	
-8.95082958E+000	-1.17434902E+002	
-8.93011627E+000	-1.17460775E+002	
-8.90940297E+000	-1.17487613E+002	
-8.88868966E+000	-1.17516762E+002	
-8.86797636E+000	-1.17509408E+002	
-8.84726305E+000	-1.17516113E+002	
-8.82654974E+000	-1.17495786E+002	
-8.80583644E+000	-1.17514558E+002	
-8.78512313E+000	-1.17505550E+002	
-8.76440983E+000	-1.17507552E+002	
-8.74369652E+000	-1.17567924E+002	
-8.72298322E+000	-1.17594120E+002	
-8.70226991E+000	-1.17533604E+002	
-8.68155661E+000	-1.17509217E+002	
-8.66084330E+000	-1.17537313E+002	
-8.64013000E+000	-1.17483066E+002	
-8.61941669E+000	-1.17428971E+002	
-8.59870339E+000	-1.17450802E+002	
-8.57799008E+000	-1.17450554E+002	
-8.55727678E+000	-1.17423016E+002	
-8.53656347E+000	-1.17533731E+002	
-8.51585017E+000	-1.17542132E+002	
-8.49513686E+000	-1.17539202E+002	
-8.47442355E+000	-1.17529202E+002	
-8.45371025E+000	-1.17548441E+002	
-8.43299694E+000	-1.17579100E+002	
-8.41228364E+000	-1.17544469E+002	
-8.39157033E+000	-1.17528531E+002	
-8.37085703E+000	-1.17568797E+002	
-8.35014372E+000	-1.17588466E+002	
-8.32943042E+000	-1.17621796E+002	
-8.30871711E+000	-1.17571511E+002	
-8.28800381E+000	-1.17603666E+002	
-8.26729050E+000	-1.17603491E+002	
-8.24657720E+000	-1.17593118E+002	
-8.22586389E+000	-1.17566628E+002	
-8.20515059E+000	-1.17616556E+002	
-8.18443728E+000	-1.17619904E+002	
-8.16372397E+000	-1.17601964E+002	
-8.14301067E+000	-1.17579298E+002	
-8.12229736E+000	-1.17602581E+002	
-8.10158406E+000	-1.17608764E+002	
-8.08087075E+000	-1.17606378E+002	
-8.06015745E+000	-1.17591007E+002	
-8.03944414E+000	-1.17542841E+002	
-8.01873084E+000	-1.17562038E+002	
-7.99801753E+000	-1.17557825E+002	
-7.97730423E+000	-1.17544570E+002	
-7.95659092E+000	-1.17512263E+002	
-7.93587762E+000	-1.17527711E+002	
-7.91516431E+000	-1.17563267E+002	
-7.89445101E+000	-1.17563153E+002	
-7.87373770E+000	-1.17545631E+002	
-7.85302439E+000	-1.17538426E+002	
-7.83231109E+000	-1.17515131E+002	
-7.81159778E+000	-1.17559095E+002	
-7.79088448E+000	-1.17583796E+002	
-7.77017117E+000	-1.17600043E+002	
-7.74945787E+000	-1.17612617E+002	
-7.72874456E+000	-1.17637688E+002	
-7.70803126E+000	-1.17602078E+002	
-7.68731795E+000	-1.17627815E+002	
-7.66660465E+000	-1.17621174E+002	
-7.64589134E+000	-1.17627964E+002	
-7.62517804E+000	-1.17625925E+002	
-7.60446473E+000	-1.17547247E+002	
-7.58375143E+000	-1.17563196E+002	
-7.56303812E+000	-1.17592993E+002	
-7.54232482E+000	-1.17651818E+002	
-7.52161151E+000	-1.17639997E+002	
-7.50089820E+000	-1.17652118E+002	
-7.48018490E+000	-1.17636099E+002	
-7.45947159E+000	-1.17684411E+002	
-7.43875829E+000	-1.17615533E+002	
-7.41804498E+000	-1.17534905E+002	
-7.39733168E+000	-1.17567259E+002	
-7.37661837E+000	-1.17562387E+002	
-7.35590507E+000	-1.17567495E+002	
-7.33519176E+000	-1.17586614E+002	
-7.31447846E+000	-1.17608007E+002	
