Acquired on 4/26/2021 at 17:09:23
Calibrated on 4/26/2021 at 14:40:00
Device Descriptor:  [none]
Scan Range (nm):  1539.624  --  1560.517
Measurement Type:  Reflection
Group Index:  1.500
Gain:  24 dB
Domain:  Time
Spatial Resolution (mm):  50.000000
Frequency domain window was applied to measurement data.
Number of Data Points (in this file):  16384
NOTE: Data stored in this file is decimated by a factor of 64.

Time (ns)	Amplitude (dB)	
-1.00072081E+001	-1.20265008E+002	
-9.98649484E+000	-1.19941048E+002	
-9.96578154E+000	-1.19613833E+002	
-9.94506823E+000	-1.19355335E+002	
-9.92435493E+000	-1.19120525E+002	
-9.90364162E+000	-1.18884674E+002	
-9.88292832E+000	-1.18664190E+002	
-9.86221501E+000	-1.18447626E+002	
-9.84150171E+000	-1.18258105E+002	
-9.82078840E+000	-1.18080445E+002	
-9.80007509E+000	-1.17876511E+002	
-9.77936179E+000	-1.17684090E+002	
-9.75864848E+000	-1.17631601E+002	
-9.73793518E+000	-1.17660906E+002	
-9.71722187E+000	-1.17657882E+002	
-9.69650857E+000	-1.17661126E+002	
-9.67579526E+000	-1.17725993E+002	
-9.65508196E+000	-1.17705134E+002	
-9.63436865E+000	-1.17650802E+002	
-9.61365535E+000	-1.17649034E+002	
-9.59294204E+000	-1.17658670E+002	
-9.57222874E+000	-1.17700133E+002	
-9.55151543E+000	-1.17737082E+002	
-9.53080213E+000	-1.17721824E+002	
-9.51008882E+000	-1.17751443E+002	
-9.48937552E+000	-1.17767776E+002	
-9.46866221E+000	-1.17753688E+002	
-9.44794890E+000	-1.17728673E+002	
-9.42723560E+000	-1.17684136E+002	
-9.40652229E+000	-1.17671882E+002	
-9.38580899E+000	-1.17645735E+002	
-9.36509568E+000	-1.17637560E+002	
-9.34438238E+000	-1.17590488E+002	
-9.32366907E+000	-1.17558269E+002	
-9.30295577E+000	-1.17562095E+002	
-9.28224246E+000	-1.17574172E+002	
-9.26152916E+000	-1.17524059E+002	
-9.24081585E+000	-1.17457482E+002	
-9.22010255E+000	-1.17438998E+002	
-9.19938924E+000	-1.17472656E+002	
-9.17867594E+000	-1.17450353E+002	
-9.15796263E+000	-1.17439826E+002	
-9.13724932E+000	-1.17502377E+002	
-9.11653602E+000	-1.17504815E+002	
-9.09582271E+000	-1.17487787E+002	
-9.07510941E+000	-1.17484314E+002	
-9.05439610E+000	-1.17470913E+002	
-9.03368280E+000	-1.17352332E+002	
-9.01296949E+000	-1.17342115E+002	
-8.99225619E+000	-1.17348701E+002	
-8.97154288E+000	-1.17394288E+002	
-8.95082958E+000	-1.17402035E+002	
-8.93011627E+000	-1.17426856E+002	
-8.90940297E+000	-1.17456562E+002	
-8.88868966E+000	-1.17481131E+002	
-8.86797636E+000	-1.17473974E+002	
-8.84726305E+000	-1.17480841E+002	
-8.82654974E+000	-1.17463138E+002	
-8.80583644E+000	-1.17481889E+002	
-8.78512313E+000	-1.17476619E+002	
-8.76440983E+000	-1.17480838E+002	
-8.74369652E+000	-1.17542135E+002	
-8.72298322E+000	-1.17562547E+002	
-8.70226991E+000	-1.17494203E+002	
-8.68155661E+000	-1.17472067E+002	
-8.66084330E+000	-1.17501571E+002	
-8.64013000E+000	-1.17453098E+002	
-8.61941669E+000	-1.17409342E+002	
-8.59870339E+000	-1.17428864E+002	
-8.57799008E+000	-1.17422753E+002	
-8.55727678E+000	-1.17391965E+002	
-8.53656347E+000	-1.17504662E+002	
-8.51585017E+000	-1.17509224E+002	
-8.49513686E+000	-1.17499116E+002	
-8.47442355E+000	-1.17488952E+002	
-8.45371025E+000	-1.17512795E+002	
-8.43299694E+000	-1.17541486E+002	
-8.41228364E+000	-1.17506476E+002	
-8.39157033E+000	-1.17490339E+002	
-8.37085703E+000	-1.17533633E+002	
-8.35014372E+000	-1.17550801E+002	
-8.32943042E+000	-1.17583439E+002	
-8.30871711E+000	-1.17536044E+002	
-8.28800381E+000	-1.17569649E+002	
-8.26729050E+000	-1.17571001E+002	
-8.24657720E+000	-1.17569414E+002	
-8.22586389E+000	-1.17546395E+002	
-8.20515059E+000	-1.17599769E+002	
-8.18443728E+000	-1.17595783E+002	
-8.16372397E+000	-1.17580337E+002	
-8.14301067E+000	-1.17546717E+002	
-8.12229736E+000	-1.17561821E+002	
-8.10158406E+000	-1.17565972E+002	
-8.08087075E+000	-1.17569421E+002	
-8.06015745E+000	-1.17548346E+002	
-8.03944414E+000	-1.17500520E+002	
-8.01873084E+000	-1.17526615E+002	
-7.99801753E+000	-1.17531166E+002	
-7.97730423E+000	-1.17522988E+002	
-7.95659092E+000	-1.17495305E+002	
-7.93587762E+000	-1.17519730E+002	
-7.91516431E+000	-1.17557968E+002	
-7.89445101E+000	-1.17550386E+002	
-7.87373770E+000	-1.17526680E+002	
-7.85302439E+000	-1.17520990E+002	
-7.83231109E+000	-1.17499217E+002	
-7.81159778E+000	-1.17545721E+002	
-7.79088448E+000	-1.17563168E+002	
-7.77017117E+000	-1.17579283E+002	
-7.74945787E+000	-1.17587396E+002	
