Time (ns)	Amplitude (dB)	
-1.00072081E+001	-1.20819818E+002	
-9.98649484E+000	-1.20482012E+002	
-9.96578154E+000	-1.20137677E+002	
-9.94506823E+000	-1.19872032E+002	
-9.92435493E+000	-1.19633681E+002	
-9.90364162E+000	-1.19387827E+002	
-9.88292832E+000	-1.19168744E+002	
-9.86221501E+000	-1.18957258E+002	
-9.84150171E+000	-1.18754056E+002	
-9.82078840E+000	-1.18570967E+002	
-9.80007509E+000	-1.18369599E+002	
-9.77936179E+000	-1.18170006E+002	
-9.75864848E+000	-1.18112427E+002	
-9.73793518E+000	-1.18121762E+002	
-9.71722187E+000	-1.18121355E+002	
-9.69650857E+000	-1.18124437E+002	
-9.67579526E+000	-1.18183670E+002	
-9.65508196E+000	-1.18169635E+002	
-9.63436865E+000	-1.18116037E+002	
-9.61365535E+000	-1.18119813E+002	
-9.59294204E+000	-1.18154272E+002	
-9.57222874E+000	-1.18178985E+002	
-9.55151543E+000	-1.18193034E+002	
-9.53080213E+000	-1.18185476E+002	
-9.51008882E+000	-1.18212942E+002	
-9.48937552E+000	-1.18243456E+002	
-9.46866221E+000	-1.18234626E+002	
-9.44794890E+000	-1.18202100E+002	
-9.42723560E+000	-1.18158381E+002	
-9.40652229E+000	-1.18161882E+002	
-9.38580899E+000	-1.18139385E+002	
-9.36509568E+000	-1.18131032E+002	
-9.34438238E+000	-1.18096975E+002	
-9.32366907E+000	-1.18074563E+002	
-9.30295577E+000	-1.18074161E+002	
-9.28224246E+000	-1.18095534E+002	
-9.26152916E+000	-1.18051955E+002	
-9.24081585E+000	-1.17995775E+002	
-9.22010255E+000	-1.17985809E+002	
-9.19938924E+000	-1.18024719E+002	
-9.17867594E+000	-1.18011669E+002	
-9.15796263E+000	-1.18006225E+002	
-9.13724932E+000	-1.18063660E+002	
-9.11653602E+000	-1.18072110E+002	
-9.09582271E+000	-1.18021261E+002	
-9.07510941E+000	-1.18026557E+002	
-9.05439610E+000	-1.18024831E+002	
-9.03368280E+000	-1.17898709E+002	
-9.01296949E+000	-1.17880715E+002	
-8.99225619E+000	-1.17880355E+002	
-8.97154288E+000	-1.17936121E+002	
-8.95082958E+000	-1.17961169E+002	
-8.93011627E+000	-1.17993255E+002	
-8.90940297E+000	-1.18013243E+002	
-8.88868966E+000	-1.18041426E+002	
-8.86797636E+000	-1.18033381E+002	
-8.84726305E+000	-1.18050606E+002	
-8.82654974E+000	-1.18039966E+002	
-8.80583644E+000	-1.18053393E+002	
-8.78512313E+000	-1.18050021E+002	
-8.76440983E+000	-1.18056561E+002	
-8.74369652E+000	-1.18119771E+002	
-8.72298322E+000	-1.18135223E+002	
-8.70226991E+000	-1.18066720E+002	
-8.68155661E+000	-1.18026222E+002	
-8.66084330E+000	-1.18053435E+002	
-8.64013000E+000	-1.18027698E+002	
-8.61941669E+000	-1.17980710E+002	
-8.59870339E+000	-1.18018782E+002	
-8.57799008E+000	-1.18020470E+002	
-8.55727678E+000	-1.17977136E+002	
-8.53656347E+000	-1.18102718E+002	
-8.51585017E+000	-1.18135266E+002	
-8.49513686E+000	-1.18146156E+002	
-8.47442355E+000	-1.18131375E+002	
-8.45371025E+000	-1.18156954E+002	
-8.43299694E+000	-1.18189924E+002	
-8.41228364E+000	-1.18153388E+002	
-8.39157033E+000	-1.18131708E+002	
-8.37085703E+000	-1.18178378E+002	
-8.35014372E+000	-1.18190748E+002	
-8.32943042E+000	-1.18207800E+002	
-8.30871711E+000	-1.18165930E+002	
-8.28800381E+000	-1.18207378E+002	
-8.26729050E+000	-1.18196652E+002	
-8.24657720E+000	-1.18190346E+002	
-8.22586389E+000	-1.18168579E+002	
-8.20515059E+000	-1.18210048E+002	
-8.18443728E+000	-1.18215080E+002	
-8.16372397E+000	-1.18206329E+002	
-8.14301067E+000	-1.18159781E+002	
-8.12229736E+000	-1.18176181E+002	
-8.10158406E+000	-1.18181003E+002	
-8.08087075E+000	-1.18177692E+002	
-8.06015745E+000	-1.18165870E+002	
-8.03944414E+000	-1.18110970E+002	
-8.01873084E+000	-1.18122369E+002	
-7.99801753E+000	-1.18102051E+002	
-7.97730423E+000	-1.18098334E+002	
-7.95659092E+000	-1.18071266E+002	
-7.93587762E+000	-1.18084996E+002	
-7.91516431E+000	-1.18123970E+002	
-7.89445101E+000	-1.18119371E+002	
-7.87373770E+000	-1.18100243E+002	
-7.85302439E+000	-1.18096911E+002	
-7.83231109E+000	-1.18078467E+002	
-7.81159778E+000	-1.18132317E+002	
-7.79088448E+000	-1.18154180E+002	
-7.77017117E+000	-1.18176007E+002	
-7.74945787E+000	-1.18192932E+002	
-7.72874456E+000	-1.18205436E+002	
-7.70803126E+000	-1.18172632E+002	
-7.68731795E+000	-1.18203613E+002	
-7.66660465E+000	-1.18192891E+002	
-7.64589134E+000	-1.18195895E+002	
-7.62517804E+000	-1.18183768E+002	
-7.60446473E+000	-1.18118008E+002	
-7.58375143E+000	-1.18129988E+002	
-7.56303812E+000	-1.18162103E+002	
-7.54232482E+000	-1.18228843E+002	
-7.52161151E+000	-1.18217178E+002	
-7.50089820E+000	-1.18235845E+002	
-7.48018490E+000	-1.18207604E+002	
-7.45947159E+000	-1.18242318E+002	
-7.43875829E+000	-1.18176609E+002	
-7.41804498E+000	-1.18090716E+002	
-7.39733168E+000	-1.18138667E+002	
-7.37661837E+000	-1.18142246E+002	
-7.35590507E+000	-1.18150903E+002	
-7.33519176E+000	-1.18164855E+002	
-7.31447846E+000	-1.18177339E+002	
-7.29376515E+000	-1.18151334E+002	
-7.27305185E+000	-1.18124375E+002	
-7.25233854E+000	-1.18158076E+002	
-7.23162524E+000	-1.18174783E+002	
-7.21091193E+000	-1.18163066E+002	
-7.19019862E+000	-1.18154131E+002	
-7.16948532E+000	-1.18208087E+002	
-7.14877201E+000	-1.18278305E+002	
-7.12805871E+000	-1.18332168E+002	
-7.10734540E+000	-1.18403860E+002	
-7.08663210E+000	-1.18439012E+002	
-7.06591879E+000	-1.18412970E+002	
-7.04520549E+000	-1.18394216E+002	
-7.02449218E+000	-1.18366036E+002	
-7.00377888E+000	-1.18328315E+002	
-6.98306557E+000	-1.18365456E+002	
-6.96235227E+000	-1.18325203E+002	
-6.94163896E+000	-1.18343388E+002	
-6.92092566E+000	-1.18416976E+002	
-6.90021235E+000	-1.18401704E+002	
-6.87949904E+000	-1.18371699E+002	
-6.85878574E+000	-1.18357446E+002	
-6.83807243E+000	-1.18390156E+002	
-6.81735913E+000	-1.18410024E+002	
-6.79664582E+000	-1.18371028E+002	
-6.77593252E+000	-1.18400109E+002	
-6.75521921E+000	-1.18349196E+002	
-6.73450591E+000	-1.18333430E+002	
-6.71379260E+000	-1.18309847E+002	
-6.69307930E+000	-1.18309995E+002	
-6.67236599E+000	-1.18262856E+002	
-6.65165269E+000	-1.18245162E+002	
-6.63093938E+000	-1.18263978E+002	
-6.61022608E+000	-1.18289667E+002	
-6.58951277E+000	-1.18285267E+002	
-6.56879947E+000	-1.18278863E+002	
-6.54808616E+000	-1.18266555E+002	
-6.52737285E+000	-1.18251040E+002	
-6.50665955E+000	-1.18275150E+002	
-6.48594624E+000	-1.18312318E+002	
-6.46523294E+000	-1.18352705E+002	
-6.44451963E+000	-1.18290402E+002	
-6.42380633E+000	-1.18242030E+002	
-6.40309302E+000	-1.18248169E+002	
-6.38237972E+000	-1.18216949E+002	
-6.36166641E+000	-1.18218320E+002	
