Time (ns)	Amplitude (dB)	
-1.00072081E+001	-1.20745786E+002	
-9.98649484E+000	-1.20416059E+002	
-9.96578154E+000	-1.20062001E+002	
-9.94506823E+000	-1.19802315E+002	
-9.92435493E+000	-1.19571919E+002	
-9.90364162E+000	-1.19326982E+002	
-9.88292832E+000	-1.19111127E+002	
-9.86221501E+000	-1.18899237E+002	
-9.84150171E+000	-1.18699763E+002	
-9.82078840E+000	-1.18519139E+002	
-9.80007509E+000	-1.18319575E+002	
-9.77936179E+000	-1.18119577E+002	
-9.75864848E+000	-1.18062098E+002	
-9.73793518E+000	-1.18081735E+002	
-9.71722187E+000	-1.18081664E+002	
-9.69650857E+000	-1.18079875E+002	
-9.67579526E+000	-1.18134646E+002	
-9.65508196E+000	-1.18122824E+002	
-9.63436865E+000	-1.18074304E+002	
-9.61365535E+000	-1.18078349E+002	
-9.59294204E+000	-1.18099480E+002	
-9.57222874E+000	-1.18118704E+002	
-9.55151543E+000	-1.18136182E+002	
-9.53080213E+000	-1.18125111E+002	
-9.51008882E+000	-1.18155329E+002	
-9.48937552E+000	-1.18181651E+002	
-9.46866221E+000	-1.18176850E+002	
-9.44794890E+000	-1.18142110E+002	
-9.42723560E+000	-1.18094636E+002	
-9.40652229E+000	-1.18093901E+002	
-9.38580899E+000	-1.18069497E+002	
-9.36509568E+000	-1.18056641E+002	
-9.34438238E+000	-1.18018586E+002	
-9.32366907E+000	-1.17987749E+002	
-9.30295577E+000	-1.17982705E+002	
-9.28224246E+000	-1.18002033E+002	
-9.26152916E+000	-1.17956647E+002	
-9.24081585E+000	-1.17898117E+002	
-9.22010255E+000	-1.17884385E+002	
-9.19938924E+000	-1.17923632E+002	
-9.17867594E+000	-1.17913909E+002	
-9.15796263E+000	-1.17920530E+002	
-9.13724932E+000	-1.17975668E+002	
-9.11653602E+000	-1.17979106E+002	
-9.09582271E+000	-1.17932564E+002	
-9.07510941E+000	-1.17939357E+002	
-9.05439610E+000	-1.17947192E+002	
-9.03368280E+000	-1.17822080E+002	
-9.01296949E+000	-1.17805176E+002	
-8.99225619E+000	-1.17806850E+002	
-8.97154288E+000	-1.17858142E+002	
-8.95082958E+000	-1.17880940E+002	
-8.93011627E+000	-1.17908834E+002	
-8.90940297E+000	-1.17930478E+002	
-8.88868966E+000	-1.17953817E+002	
-8.86797636E+000	-1.17948815E+002	
-8.84726305E+000	-1.17972755E+002	
-8.82654974E+000	-1.17964882E+002	
-8.80583644E+000	-1.17979059E+002	
-8.78512313E+000	-1.17975366E+002	
-8.76440983E+000	-1.17987573E+002	
-8.74369652E+000	-1.18045059E+002	
-8.72298322E+000	-1.18064026E+002	
-8.70226991E+000	-1.17998384E+002	
-8.68155661E+000	-1.17959173E+002	
-8.66084330E+000	-1.17984247E+002	
-8.64013000E+000	-1.17952628E+002	
-8.61941669E+000	-1.17908978E+002	
-8.59870339E+000	-1.17953473E+002	
-8.57799008E+000	-1.17955737E+002	
-8.55727678E+000	-1.17916699E+002	
-8.53656347E+000	-1.18035547E+002	
-8.51585017E+000	-1.18063611E+002	
-8.49513686E+000	-1.18066744E+002	
-8.47442355E+000	-1.18053389E+002	
-8.45371025E+000	-1.18082578E+002	
-8.43299694E+000	-1.18123857E+002	
-8.41228364E+000	-1.18084591E+002	
-8.39157033E+000	-1.18061277E+002	
-8.37085703E+000	-1.18106739E+002	
-8.35014372E+000	-1.18119036E+002	
-8.32943042E+000	-1.18138333E+002	
-8.30871711E+000	-1.18094646E+002	
-8.28800381E+000	-1.18137995E+002	
-8.26729050E+000	-1.18119095E+002	
-8.24657720E+000	-1.18111665E+002	
-8.22586389E+000	-1.18089516E+002	
-8.20515059E+000	-1.18135362E+002	
-8.18443728E+000	-1.18134918E+002	
-8.16372397E+000	-1.18126622E+002	
-8.14301067E+000	-1.18077430E+002	
-8.12229736E+000	-1.18099199E+002	
-8.10158406E+000	-1.18095374E+002	
-8.08087075E+000	-1.18092786E+002	
-8.06015745E+000	-1.18074662E+002	
-8.03944414E+000	-1.18022745E+002	
-8.01873084E+000	-1.18028321E+002	
-7.99801753E+000	-1.18009431E+002	
-7.97730423E+000	-1.18004284E+002	
-7.95659092E+000	-1.17972729E+002	
-7.93587762E+000	-1.17978905E+002	
-7.91516431E+000	-1.18020629E+002	
-7.89445101E+000	-1.18011756E+002	
-7.87373770E+000	-1.17993690E+002	
-7.85302439E+000	-1.17989140E+002	
-7.83231109E+000	-1.17968499E+002	
-7.81159778E+000	-1.18023187E+002	
-7.79088448E+000	-1.18046243E+002	
-7.77017117E+000	-1.18069696E+002	
-7.74945787E+000	-1.18090266E+002	
-7.72874456E+000	-1.18104953E+002	
-7.70803126E+000	-1.18062700E+002	
-7.68731795E+000	-1.18092539E+002	
-7.66660465E+000	-1.18077292E+002	
-7.64589134E+000	-1.18071907E+002	
-7.62517804E+000	-1.18052321E+002	
-7.60446473E+000	-1.17984899E+002	
-7.58375143E+000	-1.17997932E+002	
-7.56303812E+000	-1.18023910E+002	
-7.54232482E+000	-1.18081411E+002	
-7.52161151E+000	-1.18077248E+002	
-7.50089820E+000	-1.18095686E+002	
-7.48018490E+000	-1.18067349E+002	
-7.45947159E+000	-1.18111367E+002	
-7.43875829E+000	-1.18046170E+002	
-7.41804498E+000	-1.17957703E+002	
-7.39733168E+000	-1.18013738E+002	
-7.37661837E+000	-1.18023765E+002	
-7.35590507E+000	-1.18026065E+002	
-7.33519176E+000	-1.18041831E+002	
-7.31447846E+000	-1.18056370E+002	
-7.29376515E+000	-1.18031149E+002	
-7.27305185E+000	-1.17999865E+002	
-7.25233854E+000	-1.18028839E+002	
-7.23162524E+000	-1.18040009E+002	
-7.21091193E+000	-1.18036522E+002	
-7.19019862E+000	-1.18036458E+002	
-7.16948532E+000	-1.18091114E+002	
-7.14877201E+000	-1.18171268E+002	
-7.12805871E+000	-1.18229214E+002	
-7.10734540E+000	-1.18298841E+002	
-7.08663210E+000	-1.18333538E+002	
-7.06591879E+000	-1.18313665E+002	
-7.04520549E+000	-1.18303255E+002	
-7.02449218E+000	-1.18277917E+002	
-7.00377888E+000	-1.18240401E+002	
-6.98306557E+000	-1.18278205E+002	
-6.96235227E+000	-1.18236900E+002	
-6.94163896E+000	-1.18261714E+002	
-6.92092566E+000	-1.18330833E+002	
-6.90021235E+000	-1.18315964E+002	
-6.87949904E+000	-1.18285165E+002	
-6.85878574E+000	-1.18270732E+002	
-6.83807243E+000	-1.18296046E+002	
-6.81735913E+000	-1.18311615E+002	
-6.79664582E+000	-1.18267019E+002	
-6.77593252E+000	-1.18305207E+002	
