Acquired on 5/10/2021 at 12:09:25
Calibrated on 5/10/2021 at 10:35:08
Device Descriptor:  [none]
Scan Range (nm):  1539.624  --  1560.517
Measurement Type:  Reflection
Group Index:  1.500
Gain:  24 dB
Domain:  Time
Spatial Resolution (mm):  50.000000
Frequency domain window was applied to measurement data.
Number of Data Points (in this file):  16384
NOTE: Data stored in this file is decimated by a factor of 64.

Time (ns)	Amplitude (dB)	
-1.00072081E+001	-1.20307552E+002	
-9.98649484E+000	-1.19974069E+002	
-9.96578154E+000	-1.19646354E+002	
-9.94506823E+000	-1.19389704E+002	
-9.92435493E+000	-1.19160088E+002	
-9.90364162E+000	-1.18926658E+002	
-9.88292832E+000	-1.18713550E+002	
-9.86221501E+000	-1.18492857E+002	
-9.84150171E+000	-1.18301345E+002	
-9.82078840E+000	-1.18125254E+002	
-9.80007509E+000	-1.17920280E+002	
-9.77936179E+000	-1.17731366E+002	
-9.75864848E+000	-1.17677132E+002	
-9.73793518E+000	-1.17705170E+002	
-9.71722187E+000	-1.17702755E+002	
-9.69650857E+000	-1.17714416E+002	
-9.67579526E+000	-1.17782745E+002	
-9.65508196E+000	-1.17764371E+002	
-9.63436865E+000	-1.17715773E+002	
-9.61365535E+000	-1.17717438E+002	
-9.59294204E+000	-1.17726652E+002	
-9.57222874E+000	-1.17762104E+002	
-9.55151543E+000	-1.17790608E+002	
-9.53080213E+000	-1.17771899E+002	
-9.51008882E+000	-1.17803356E+002	
-9.48937552E+000	-1.17826728E+002	
-9.46866221E+000	-1.17815148E+002	
-9.44794890E+000	-1.17785695E+002	
-9.42723560E+000	-1.17736823E+002	
-9.40652229E+000	-1.17721425E+002	
-9.38580899E+000	-1.17690589E+002	
-9.36509568E+000	-1.17686181E+002	
-9.34438238E+000	-1.17639514E+002	
-9.32366907E+000	-1.17607674E+002	
-9.30295577E+000	-1.17616794E+002	
-9.28224246E+000	-1.17625664E+002	
-9.26152916E+000	-1.17578398E+002	
-9.24081585E+000	-1.17516050E+002	
-9.22010255E+000	-1.17492036E+002	
-9.19938924E+000	-1.17523369E+002	
-9.17867594E+000	-1.17495070E+002	
-9.15796263E+000	-1.17485380E+002	
-9.13724932E+000	-1.17544497E+002	
-9.11653602E+000	-1.17550423E+002	
-9.09582271E+000	-1.17528472E+002	
-9.07510941E+000	-1.17521367E+002	
-9.05439610E+000	-1.17513751E+002	
-9.03368280E+000	-1.17397162E+002	
-9.01296949E+000	-1.17383643E+002	
-8.99225619E+000	-1.17389159E+002	
-8.97154288E+000	-1.17432473E+002	
-8.95082958E+000	-1.17444750E+002	
-8.93011627E+000	-1.17466936E+002	
-8.90940297E+000	-1.17491274E+002	
-8.88868966E+000	-1.17515700E+002	
-8.86797636E+000	-1.17503334E+002	
-8.84726305E+000	-1.17512018E+002	
-8.82654974E+000	-1.17493809E+002	
-8.80583644E+000	-1.17510280E+002	
-8.78512313E+000	-1.17506535E+002	
-8.76440983E+000	-1.17508513E+002	
-8.74369652E+000	-1.17566775E+002	
-8.72298322E+000	-1.17592162E+002	
-8.70226991E+000	-1.17529589E+002	
-8.68155661E+000	-1.17509663E+002	
-8.66084330E+000	-1.17538597E+002	
-8.64013000E+000	-1.17492386E+002	
-8.61941669E+000	-1.17445908E+002	
-8.59870339E+000	-1.17468305E+002	
-8.57799008E+000	-1.17467304E+002	
-8.55727678E+000	-1.17439862E+002	
-8.53656347E+000	-1.17559943E+002	
-8.51585017E+000	-1.17570385E+002	
-8.49513686E+000	-1.17562761E+002	
