Acquired on 5/10/2021 at 12:04:15
Calibrated on 5/10/2021 at 10:35:08
Device Descriptor:  [none]
Scan Range (nm):  1539.624  --  1560.517
Measurement Type:  Reflection
Group Index:  1.500
Gain:  24 dB
Domain:  Time
Spatial Resolution (mm):  50.000000
Frequency domain window was applied to measurement data.
Number of Data Points (in this file):  16384
NOTE: Data stored in this file is decimated by a factor of 64.

Time (ns)	Amplitude (dB)	
-1.00072081E+001	-1.20320474E+002	
-9.98649484E+000	-1.19990870E+002	
-9.96578154E+000	-1.19664609E+002	
-9.94506823E+000	-1.19407556E+002	
-9.92435493E+000	-1.19181348E+002	
-9.90364162E+000	-1.18949711E+002	
-9.88292832E+000	-1.18737457E+002	
-9.86221501E+000	-1.18518484E+002	
-9.84150171E+000	-1.18329411E+002	
-9.82078840E+000	-1.18150828E+002	
-9.80007509E+000	-1.17943043E+002	
-9.77936179E+000	-1.17755551E+002	
-9.75864848E+000	-1.17701949E+002	
-9.73793518E+000	-1.17729894E+002	
-9.71722187E+000	-1.17727810E+002	
-9.69650857E+000	-1.17737514E+002	
-9.67579526E+000	-1.17810163E+002	
-9.65508196E+000	-1.17797371E+002	
-9.63436865E+000	-1.17736083E+002	
-9.61365535E+000	-1.17734034E+002	
-9.59294204E+000	-1.17752041E+002	
-9.57222874E+000	-1.17788097E+002	
-9.55151543E+000	-1.17813867E+002	
-9.53080213E+000	-1.17794324E+002	
-9.51008882E+000	-1.17821703E+002	
-9.48937552E+000	-1.17840953E+002	
-9.46866221E+000	-1.17827075E+002	
-9.44794890E+000	-1.17800554E+002	
-9.42723560E+000	-1.17744792E+002	
-9.40652229E+000	-1.17727221E+002	
-9.38580899E+000	-1.17692053E+002	
-9.36509568E+000	-1.17687184E+002	
-9.34438238E+000	-1.17638943E+002	
-9.32366907E+000	-1.17608532E+002	
-9.30295577E+000	-1.17615832E+002	
-9.28224246E+000	-1.17620533E+002	
-9.26152916E+000	-1.17570720E+002	
-9.24081585E+000	-1.17508409E+002	
-9.22010255E+000	-1.17484375E+002	
-9.19938924E+000	-1.17515793E+002	
-9.17867594E+000	-1.17483382E+002	
-9.15796263E+000	-1.17464595E+002	
-9.13724932E+000	-1.17528169E+002	
-9.11653602E+000	-1.17541135E+002	
-9.09582271E+000	-1.17512400E+002	
-9.07510941E+000	-1.17505604E+002	
-9.05439610E+000	-1.17496523E+002	
-9.03368280E+000	-1.17383205E+002	
-9.01296949E+000	-1.17372056E+002	
-8.99225619E+000	-1.17375876E+002	
-8.97154288E+000	-1.17422043E+002	
-8.95082958E+000	-1.17435579E+002	
-8.93011627E+000	-1.17466118E+002	
-8.90940297E+000	-1.17493240E+002	
-8.88868966E+000	-1.17516811E+002	
-8.86797636E+000	-1.17504721E+002	
-8.84726305E+000	-1.17512985E+002	
-8.82654974E+000	-1.17496016E+002	
-8.80583644E+000	-1.17515111E+002	
-8.78512313E+000	-1.17510310E+002	
-8.76440983E+000	-1.17514096E+002	
-8.74369652E+000	-1.17577436E+002	
-8.72298322E+000	-1.17602023E+002	
-8.70226991E+000	-1.17536091E+002	
-8.68155661E+000	-1.17515260E+002	
-8.66084330E+000	-1.17547828E+002	
-8.64013000E+000	-1.17500877E+002	
-8.61941669E+000	-1.17450357E+002	
-8.59870339E+000	-1.17476074E+002	
-8.57799008E+000	-1.17477296E+002	
-8.55727678E+000	-1.17448957E+002	
-8.53656347E+000	-1.17566648E+002	
-8.51585017E+000	-1.17574825E+002	
-8.49513686E+000	-1.17571346E+002	
-8.47442355E+000	-1.17560180E+002	
-8.45371025E+000	-1.17576806E+002	
-8.43299694E+000	-1.17606785E+002	
-8.41228364E+000	-1.17575979E+002	
-8.39157033E+000	-1.17565725E+002	
-8.37085703E+000	-1.17607858E+002	
-8.35014372E+000	-1.17626278E+002	
-8.32943042E+000	-1.17652110E+002	
-8.30871711E+000	-1.17600432E+002	
-8.28800381E+000	-1.17634413E+002	
-8.26729050E+000	-1.17635015E+002	
-8.24657720E+000	-1.17628171E+002	
-8.22586389E+000	-1.17604182E+002	
-8.20515059E+000	-1.17656812E+002	
-8.18443728E+000	-1.17652860E+002	
-8.16372397E+000	-1.17638009E+002	
-8.14301067E+000	-1.17611649E+002	
-8.12229736E+000	-1.17628312E+002	
-8.10158406E+000	-1.17635086E+002	
-8.08087075E+000	-1.17633043E+002	
-8.06015745E+000	-1.17612030E+002	
-8.03944414E+000	-1.17561054E+002	
-8.01873084E+000	-1.17581303E+002	
-7.99801753E+000	-1.17575834E+002	
-7.97730423E+000	-1.17569868E+002	
-7.95659092E+000	-1.17541279E+002	
-7.93587762E+000	-1.17558627E+002	
-7.91516431E+000	-1.17594134E+002	
-7.89445101E+000	-1.17585082E+002	
-7.87373770E+000	-1.17563467E+002	
-7.85302439E+000	-1.17557031E+002	
-7.83231109E+000	-1.17537445E+002	
-7.81159778E+000	-1.17582502E+002	
-7.79088448E+000	-1.17603221E+002	
-7.77017117E+000	-1.17620657E+002	
-7.74945787E+000	-1.17634050E+002	
-7.72874456E+000	-1.17652410E+002	
-7.70803126E+000	-1.17615111E+002	
-7.68731795E+000	-1.17656382E+002	
-7.66660465E+000	-1.17655913E+002	
-7.64589134E+000	-1.17660287E+002	
-7.62517804E+000	-1.17661914E+002	
-7.60446473E+000	-1.17578705E+002	
-7.58375143E+000	-1.17595256E+002	
-7.56303812E+000	-1.17630586E+002	
-7.54232482E+000	-1.17692748E+002	
-7.52161151E+000	-1.17676701E+002	
-7.50089820E+000	-1.17689551E+002	
-7.48018490E+000	-1.17675127E+002	
-7.45947159E+000	-1.17725658E+002	
-7.43875829E+000	-1.17658208E+002	
-7.41804498E+000	-1.17579856E+002	
-7.39733168E+000	-1.17615122E+002	
-7.37661837E+000	-1.17618695E+002	
-7.35590507E+000	-1.17631737E+002	
-7.33519176E+000	-1.17655966E+002	
-7.31447846E+000	-1.17682562E+002	
-7.29376515E+000	-1.17668418E+002	
-7.27305185E+000	-1.17643424E+002	
-7.25233854E+000	-1.17669512E+002	
-7.23162524E+000	-1.17673041E+002	
-7.21091193E+000	-1.17664481E+002	
-7.19019862E+000	-1.17647857E+002	
-7.16948532E+000	-1.17690910E+002	
-7.14877201E+000	-1.17751407E+002	
-7.12805871E+000	-1.17794785E+002	
-7.10734540E+000	-1.17879922E+002	
-7.08663210E+000	-1.17923252E+002	
-7.06591879E+000	-1.17898013E+002	
-7.04520549E+000	-1.17889624E+002	
-7.02449218E+000	-1.17873157E+002	
-7.00377888E+000	-1.17845155E+002	
-6.98306557E+000	-1.17873883E+002	
-6.96235227E+000	-1.17835729E+002	
-6.94163896E+000	-1.17871341E+002	
-6.92092566E+000	-1.17932651E+002	
-6.90021235E+000	-1.17941324E+002	
-6.87949904E+000	-1.17916829E+002	
-6.85878574E+000	-1.17894146E+002	
-6.83807243E+000	-1.17913743E+002	
-6.81735913E+000	-1.17920793E+002	
-6.79664582E+000	-1.17871726E+002	
-6.77593252E+000	-1.17901485E+002	
-6.75521921E+000	-1.17851190E+002	
-6.73450591E+000	-1.17845917E+002	
-6.71379260E+000	-1.17823327E+002	
-6.69307930E+000	-1.17819172E+002	
-6.67236599E+000	-1.17776663E+002	
-6.65165269E+000	-1.17761380E+002	
-6.63093938E+000	-1.17767007E+002	
-6.61022608E+000	-1.17774515E+002	
-6.58951277E+000	-1.17766650E+002	
-6.56879947E+000	-1.17752020E+002	
-6.54808616E+000	-1.17717419E+002	
-6.52737285E+000	-1.17699446E+002	
-6.50665955E+000	-1.17734245E+002	
-6.48594624E+000	-1.17771257E+002	
-6.46523294E+000	-1.17802739E+002	
-6.44451963E+000	-1.17729802E+002	
-6.42380633E+000	-1.17678357E+002	
-6.40309302E+000	-1.17667375E+002	
-6.38237972E+000	-1.17644877E+002	
-6.36166641E+000	-1.17650600E+002	
-6.34095311E+000	-1.17653145E+002	
-6.32023980E+000	-1.17650063E+002	
-6.29952650E+000	-1.17670013E+002	
-6.27881319E+000	-1.17640168E+002	
-6.25809989E+000	-1.17657928E+002	
-6.23738658E+000	-1.17650438E+002	
-6.21667327E+000	-1.17636945E+002	
-6.19595997E+000	-1.17648727E+002	
-6.17524666E+000	-1.17635706E+002	
-6.15453336E+000	-1.17636337E+002	
-6.13382005E+000	-1.17622545E+002	
-6.11310675E+000	-1.17631929E+002	
-6.09239344E+000	-1.17628296E+002	
-6.07168014E+000	-1.17584766E+002	
-6.05096683E+000	-1.17656375E+002	
-6.03025353E+000	-1.17662973E+002	
-6.00954022E+000	-1.17632731E+002	
-5.98882692E+000	-1.17583501E+002	
-5.96811361E+000	-1.17591417E+002	
-5.94740031E+000	-1.17639754E+002	
-5.92668700E+000	-1.17694567E+002	
-5.90597369E+000	-1.17705868E+002	
-5.88526039E+000	-1.17755598E+002	
-5.86454708E+000	-1.17773610E+002	
-5.84383378E+000	-1.17735680E+002	
-5.82312047E+000	-1.17743517E+002	
-5.80240717E+000	-1.17715016E+002	
-5.78169386E+000	-1.17726785E+002	
-5.76098056E+000	-1.17730674E+002	
-5.74026725E+000	-1.17725562E+002	
-5.71955395E+000	-1.17754775E+002	
-5.69884064E+000	-1.17753350E+002	
-5.67812734E+000	-1.17778747E+002	
-5.65741403E+000	-1.17777032E+002	
-5.63670073E+000	-1.17784984E+002	
-5.61598742E+000	-1.17761680E+002	
-5.59527412E+000	-1.17722761E+002	
-5.57456081E+000	-1.17786771E+002	
-5.55384750E+000	-1.17715825E+002	
-5.53313420E+000	-1.17648221E+002	
-5.51242089E+000	-1.17662926E+002	
-5.49170759E+000	-1.17667698E+002	
-5.47099428E+000	-1.17646376E+002	
-5.45028098E+000	-1.17692541E+002	
-5.42956767E+000	-1.17729689E+002	
-5.40885437E+000	-1.17711964E+002	
-5.38814106E+000	-1.17704881E+002	
-5.36742776E+000	-1.17678632E+002	
-5.34671445E+000	-1.17713509E+002	
-5.32600115E+000	-1.17723303E+002	
-5.30528784E+000	-1.17739139E+002	
-5.28457454E+000	-1.17718836E+002	
-5.26386123E+000	-1.17692763E+002	
-5.24314792E+000	-1.17638982E+002	
-5.22243462E+000	-1.17626653E+002	
-5.20172131E+000	-1.17630173E+002	
-5.18100801E+000	-1.17598754E+002	
-5.16029470E+000	-1.17600406E+002	
-5.13958140E+000	-1.17559838E+002	
-5.11886809E+000	-1.17537787E+002	
-5.09815479E+000	-1.17544423E+002	
-5.07744148E+000	-1.17508901E+002	
-5.05672818E+000	-1.17580092E+002	
-5.03601487E+000	-1.17608280E+002	
-5.01530157E+000	-1.17648943E+002	
-4.99458826E+000	-1.17651211E+002	
-4.97387496E+000	-1.17591609E+002	
-4.95316165E+000	-1.17591428E+002	
-4.93244834E+000	-1.17547401E+002	
-4.91173504E+000	-1.17534217E+002	
-4.89102173E+000	-1.17523391E+002	
-4.87030843E+000	-1.17550651E+002	
-4.84959512E+000	-1.17536583E+002	
-4.82888182E+000	-1.17494420E+002	
-4.80816851E+000	-1.17480681E+002	
-4.78745521E+000	-1.17489688E+002	
-4.76674190E+000	-1.17520526E+002	
-4.74602860E+000	-1.17541087E+002	
-4.72531529E+000	-1.17588841E+002	
-4.70460199E+000	-1.17575998E+002	
-4.68388868E+000	-1.17614758E+002	
-4.66317538E+000	-1.17590726E+002	
-4.64246207E+000	-1.17634574E+002	
-4.62174877E+000	-1.17678971E+002	
-4.60103546E+000	-1.17706854E+002	
-4.58032215E+000	-1.17728140E+002	
-4.55960885E+000	-1.17693242E+002	
-4.53889554E+000	-1.17730398E+002	
-4.51818224E+000	-1.17658675E+002	
-4.49746893E+000	-1.17616951E+002	
