Acquired on 5/10/2021 at 11:36:26
Calibrated on 5/10/2021 at 10:35:08
Device Descriptor:  [none]
Scan Range (nm):  1539.624  --  1560.517
Measurement Type:  Reflection
Group Index:  1.500
Gain:  24 dB
Domain:  Time
Spatial Resolution (mm):  50.000000
Frequency domain window was applied to measurement data.
Number of Data Points (in this file):  16384
NOTE: Data stored in this file is decimated by a factor of 64.

Time (ns)	Amplitude (dB)	
-1.00072081E+001	-1.20291805E+002	
-9.98649484E+000	-1.19968721E+002	
-9.96578154E+000	-1.19648007E+002	
-9.94506823E+000	-1.19399498E+002	
-9.92435493E+000	-1.19174690E+002	
-9.90364162E+000	-1.18938972E+002	
-9.88292832E+000	-1.18723422E+002	
-9.86221501E+000	-1.18506530E+002	
-9.84150171E+000	-1.18316319E+002	
-9.82078840E+000	-1.18137403E+002	
-9.80007509E+000	-1.17935908E+002	
-9.77936179E+000	-1.17747911E+002	
-9.75864848E+000	-1.17696049E+002	
-9.73793518E+000	-1.17732505E+002	
-9.71722187E+000	-1.17726819E+002	
-9.69650857E+000	-1.17733917E+002	
-9.67579526E+000	-1.17809475E+002	
-9.65508196E+000	-1.17795567E+002	
-9.63436865E+000	-1.17735815E+002	
-9.61365535E+000	-1.17730563E+002	
-9.59294204E+000	-1.17746308E+002	
-9.57222874E+000	-1.17788786E+002	
-9.55151543E+000	-1.17818813E+002	
-9.53080213E+000	-1.17798967E+002	
-9.51008882E+000	-1.17825368E+002	
-9.48937552E+000	-1.17842967E+002	
-9.46866221E+000	-1.17825612E+002	
-9.44794890E+000	-1.17793578E+002	
-9.42723560E+000	-1.17741163E+002	
-9.40652229E+000	-1.17726752E+002	
-9.38580899E+000	-1.17695122E+002	
-9.36509568E+000	-1.17686018E+002	
-9.34438238E+000	-1.17641259E+002	
-9.32366907E+000	-1.17614580E+002	
-9.30295577E+000	-1.17616506E+002	
-9.28224246E+000	-1.17619149E+002	
-9.26152916E+000	-1.17568218E+002	
-9.24081585E+000	-1.17499962E+002	
-9.22010255E+000	-1.17479744E+002	
-9.19938924E+000	-1.17518701E+002	
-9.17867594E+000	-1.17487191E+002	
-9.15796263E+000	-1.17472095E+002	
-9.13724932E+000	-1.17536858E+002	
-9.11653602E+000	-1.17548394E+002	
-9.09582271E+000	-1.17527283E+002	
-9.07510941E+000	-1.17515673E+002	
-9.05439610E+000	-1.17505185E+002	
-9.03368280E+000	-1.17384258E+002	
-9.01296949E+000	-1.17370842E+002	
-8.99225619E+000	-1.17378244E+002	
-8.97154288E+000	-1.17424475E+002	
-8.95082958E+000	-1.17438795E+002	
-8.93011627E+000	-1.17460730E+002	
-8.90940297E+000	-1.17487512E+002	
-8.88868966E+000	-1.17510685E+002	
-8.86797636E+000	-1.17497752E+002	
-8.84726305E+000	-1.17501430E+002	
-8.82654974E+000	-1.17479433E+002	
-8.80583644E+000	-1.17496427E+002	
-8.78512313E+000	-1.17491937E+002	
-8.76440983E+000	-1.17495930E+002	
-8.74369652E+000	-1.17561627E+002	
-8.72298322E+000	-1.17583567E+002	
-8.70226991E+000	-1.17516884E+002	
-8.68155661E+000	-1.17498242E+002	
-8.66084330E+000	-1.17530970E+002	
-8.64013000E+000	-1.17483628E+002	
-8.61941669E+000	-1.17434088E+002	
-8.59870339E+000	-1.17455246E+002	
-8.57799008E+000	-1.17454736E+002	
-8.55727678E+000	-1.17428080E+002	
-8.53656347E+000	-1.17552020E+002	
-8.51585017E+000	-1.17564653E+002	
-8.49513686E+000	-1.17555264E+002	
-8.47442355E+000	-1.17541878E+002	
-8.45371025E+000	-1.17559686E+002	
-8.43299694E+000	-1.17593679E+002	
-8.41228364E+000	-1.17564230E+002	
-8.39157033E+000	-1.17552115E+002	
-8.37085703E+000	-1.17599387E+002	
-8.35014372E+000	-1.17618393E+002	
-8.32943042E+000	-1.17648917E+002	
-8.30871711E+000	-1.17595513E+002	
-8.28800381E+000	-1.17630076E+002	
-8.26729050E+000	-1.17629322E+002	
-8.24657720E+000	-1.17623402E+002	
-8.22586389E+000	-1.17596009E+002	
-8.20515059E+000	-1.17647786E+002	
-8.18443728E+000	-1.17643181E+002	
-8.16372397E+000	-1.17625253E+002	
-8.14301067E+000	-1.17592382E+002	
-8.12229736E+000	-1.17607940E+002	
-8.10158406E+000	-1.17613794E+002	
-8.08087075E+000	-1.17616793E+002	
-8.06015745E+000	-1.17599879E+002	
-8.03944414E+000	-1.17549710E+002	
-8.01873084E+000	-1.17567227E+002	
-7.99801753E+000	-1.17564570E+002	
-7.97730423E+000	-1.17564611E+002	
-7.95659092E+000	-1.17536061E+002	
-7.93587762E+000	-1.17549660E+002	
-7.91516431E+000	-1.17582512E+002	
-7.89445101E+000	-1.17575123E+002	
-7.87373770E+000	-1.17553446E+002	
-7.85302439E+000	-1.17550481E+002	
-7.83231109E+000	-1.17530276E+002	
-7.81159778E+000	-1.17578483E+002	
-7.79088448E+000	-1.17601410E+002	
-7.77017117E+000	-1.17618793E+002	
-7.74945787E+000	-1.17630594E+002	
-7.72874456E+000	-1.17657675E+002	
-7.70803126E+000	-1.17623492E+002	
-7.68731795E+000	-1.17658911E+002	
-7.66660465E+000	-1.17656465E+002	
-7.64589134E+000	-1.17663424E+002	
-7.62517804E+000	-1.17668525E+002	
-7.60446473E+000	-1.17591886E+002	
-7.58375143E+000	-1.17602681E+002	
-7.56303812E+000	-1.17631752E+002	
-7.54232482E+000	-1.17692091E+002	
-7.52161151E+000	-1.17684465E+002	
-7.50089820E+000	-1.17700426E+002	
-7.48018490E+000	-1.17680482E+002	
-7.45947159E+000	-1.17728697E+002	
-7.43875829E+000	-1.17665532E+002	
-7.41804498E+000	-1.17588993E+002	
-7.39733168E+000	-1.17627085E+002	
-7.37661837E+000	-1.17627435E+002	
-7.35590507E+000	-1.17633890E+002	
-7.33519176E+000	-1.17659968E+002	
-7.31447846E+000	-1.17686257E+002	
-7.29376515E+000	-1.17671761E+002	
-7.27305185E+000	-1.17647773E+002	
-7.25233854E+000	-1.17676696E+002	
-7.23162524E+000	-1.17670608E+002	
-7.21091193E+000	-1.17664463E+002	
-7.19019862E+000	-1.17654791E+002	
-7.16948532E+000	-1.17697859E+002	
-7.14877201E+000	-1.17768037E+002	
-7.12805871E+000	-1.17813588E+002	
-7.10734540E+000	-1.17891519E+002	
-7.08663210E+000	-1.17938033E+002	
-7.06591879E+000	-1.17914433E+002	
-7.04520549E+000	-1.17904349E+002	
-7.02449218E+000	-1.17883730E+002	
-7.00377888E+000	-1.17852541E+002	
-6.98306557E+000	-1.17880185E+002	
-6.96235227E+000	-1.17843444E+002	
-6.94163896E+000	-1.17878438E+002	
-6.92092566E+000	-1.17935823E+002	
-6.90021235E+000	-1.17941071E+002	
-6.87949904E+000	-1.17916794E+002	
-6.85878574E+000	-1.17898496E+002	
