Acquired on 5/10/2021 at 11:45:42
Calibrated on 5/10/2021 at 10:35:08
Device Descriptor:  [none]
Scan Range (nm):  1539.624  --  1560.517
Measurement Type:  Reflection
Group Index:  1.500
Gain:  24 dB
Domain:  Time
Spatial Resolution (mm):  50.000000
Frequency domain window was applied to measurement data.
Number of Data Points (in this file):  16384
NOTE: Data stored in this file is decimated by a factor of 64.

Time (ns)	Amplitude (dB)	
-1.00072081E+001	-1.20292315E+002	
-9.98649484E+000	-1.19963289E+002	
-9.96578154E+000	-1.19641602E+002	
-9.94506823E+000	-1.19387010E+002	
-9.92435493E+000	-1.19163826E+002	
-9.90364162E+000	-1.18934885E+002	
-9.88292832E+000	-1.18724812E+002	
-9.86221501E+000	-1.18510066E+002	
-9.84150171E+000	-1.18319873E+002	
-9.82078840E+000	-1.18143991E+002	
-9.80007509E+000	-1.17938274E+002	
-9.77936179E+000	-1.17746953E+002	
-9.75864848E+000	-1.17690915E+002	
-9.73793518E+000	-1.17719611E+002	
-9.71722187E+000	-1.17718940E+002	
-9.69650857E+000	-1.17731885E+002	
-9.67579526E+000	-1.17801484E+002	
-9.65508196E+000	-1.17783208E+002	
-9.63436865E+000	-1.17723848E+002	
-9.61365535E+000	-1.17719857E+002	
-9.59294204E+000	-1.17731459E+002	
-9.57222874E+000	-1.17771575E+002	
-9.55151543E+000	-1.17804158E+002	
-9.53080213E+000	-1.17783975E+002	
-9.51008882E+000	-1.17815190E+002	
-9.48937552E+000	-1.17840977E+002	
-9.46866221E+000	-1.17825120E+002	
-9.44794890E+000	-1.17794284E+002	
-9.42723560E+000	-1.17739152E+002	
-9.40652229E+000	-1.17719304E+002	
-9.38580899E+000	-1.17680630E+002	
-9.36509568E+000	-1.17671263E+002	
-9.34438238E+000	-1.17623295E+002	
-9.32366907E+000	-1.17592262E+002	
-9.30295577E+000	-1.17600367E+002	
-9.28224246E+000	-1.17610945E+002	
-9.26152916E+000	-1.17560366E+002	
-9.24081585E+000	-1.17498564E+002	
-9.22010255E+000	-1.17478584E+002	
-9.19938924E+000	-1.17507797E+002	
-9.17867594E+000	-1.17482075E+002	
-9.15796263E+000	-1.17478511E+002	
-9.13724932E+000	-1.17540980E+002	
-9.11653602E+000	-1.17554727E+002	
-9.09582271E+000	-1.17537333E+002	
-9.07510941E+000	-1.17531289E+002	
-9.05439610E+000	-1.17519865E+002	
-9.03368280E+000	-1.17404437E+002	
-9.01296949E+000	-1.17392666E+002	
-8.99225619E+000	-1.17392329E+002	
-8.97154288E+000	-1.17435878E+002	
-8.95082958E+000	-1.17452918E+002	
-8.93011627E+000	-1.17483402E+002	
-8.90940297E+000	-1.17513592E+002	
-8.88868966E+000	-1.17544205E+002	
-8.86797636E+000	-1.17529788E+002	
-8.84726305E+000	-1.17537887E+002	
-8.82654974E+000	-1.17520240E+002	
-8.80583644E+000	-1.17536495E+002	
-8.78512313E+000	-1.17524948E+002	
-8.76440983E+000	-1.17526974E+002	
-8.74369652E+000	-1.17587756E+002	
-8.72298322E+000	-1.17606387E+002	
-8.70226991E+000	-1.17542035E+002	
-8.68155661E+000	-1.17517375E+002	
-8.66084330E+000	-1.17539742E+002	
-8.64013000E+000	-1.17491984E+002	
-8.61941669E+000	-1.17441934E+002	
-8.59870339E+000	-1.17461674E+002	
-8.57799008E+000	-1.17459021E+002	
-8.55727678E+000	-1.17428468E+002	
-8.53656347E+000	-1.17544970E+002	
-8.51585017E+000	-1.17555257E+002	
-8.49513686E+000	-1.17551352E+002	
-8.47442355E+000	-1.17539355E+002	
-8.45371025E+000	-1.17552227E+002	
-8.43299694E+000	-1.17577436E+002	
-8.41228364E+000	-1.17544855E+002	
-8.39157033E+000	-1.17529160E+002	
-8.37085703E+000	-1.17568951E+002	
-8.35014372E+000	-1.17583950E+002	
-8.32943042E+000	-1.17610397E+002	
-8.30871711E+000	-1.17558552E+002	
-8.28800381E+000	-1.17595273E+002	
-8.26729050E+000	-1.17598466E+002	
-8.24657720E+000	-1.17597073E+002	
-8.22586389E+000	-1.17575324E+002	
