Acquired on 5/10/2021 at 11:38:49
Calibrated on 5/10/2021 at 10:35:08
Device Descriptor:  [none]
Scan Range (nm):  1539.624  --  1560.517
Measurement Type:  Reflection
Group Index:  1.500
Gain:  24 dB
Domain:  Time
Spatial Resolution (mm):  50.000000
Frequency domain window was applied to measurement data.
Number of Data Points (in this file):  16384
NOTE: Data stored in this file is decimated by a factor of 64.

Time (ns)	Amplitude (dB)	
-1.00072081E+001	-1.20340591E+002	
-9.98649484E+000	-1.20014273E+002	
-9.96578154E+000	-1.19686469E+002	
-9.94506823E+000	-1.19427861E+002	
-9.92435493E+000	-1.19201199E+002	
-9.90364162E+000	-1.18968835E+002	
-9.88292832E+000	-1.18756046E+002	
-9.86221501E+000	-1.18536418E+002	
-9.84150171E+000	-1.18342603E+002	
-9.82078840E+000	-1.18163574E+002	
-9.80007509E+000	-1.17956444E+002	
-9.77936179E+000	-1.17766682E+002	
-9.75864848E+000	-1.17711519E+002	
-9.73793518E+000	-1.17739225E+002	
-9.71722187E+000	-1.17738803E+002	
-9.69650857E+000	-1.17749016E+002	
-9.67579526E+000	-1.17825960E+002	
-9.65508196E+000	-1.17809359E+002	
-9.63436865E+000	-1.17751468E+002	
-9.61365535E+000	-1.17746056E+002	
-9.59294204E+000	-1.17764461E+002	
-9.57222874E+000	-1.17803152E+002	
-9.55151543E+000	-1.17833750E+002	
-9.53080213E+000	-1.17816864E+002	
-9.51008882E+000	-1.17846470E+002	
-9.48937552E+000	-1.17864291E+002	
-9.46866221E+000	-1.17850114E+002	
-9.44794890E+000	-1.17825574E+002	
-9.42723560E+000	-1.17774222E+002	
-9.40652229E+000	-1.17757499E+002	
-9.38580899E+000	-1.17720425E+002	
-9.36509568E+000	-1.17714951E+002	
-9.34438238E+000	-1.17670291E+002	
-9.32366907E+000	-1.17642240E+002	
-9.30295577E+000	-1.17650126E+002	
-9.28224246E+000	-1.17655173E+002	
-9.26152916E+000	-1.17605950E+002	
-9.24081585E+000	-1.17536012E+002	
-9.22010255E+000	-1.17511452E+002	
-9.19938924E+000	-1.17546533E+002	
-9.17867594E+000	-1.17515168E+002	
-9.15796263E+000	-1.17502016E+002	
-9.13724932E+000	-1.17563948E+002	
-9.11653602E+000	-1.17575183E+002	
-9.09582271E+000	-1.17550481E+002	
-9.07510941E+000	-1.17539699E+002	
-9.05439610E+000	-1.17529324E+002	
-9.03368280E+000	-1.17408755E+002	
-9.01296949E+000	-1.17396132E+002	
-8.99225619E+000	-1.17398139E+002	
-8.97154288E+000	-1.17439650E+002	
-8.95082958E+000	-1.17452235E+002	
-8.93011627E+000	-1.17474798E+002	
-8.90940297E+000	-1.17499340E+002	
-8.88868966E+000	-1.17524361E+002	
-8.86797636E+000	-1.17516314E+002	
-8.84726305E+000	-1.17522753E+002	
-8.82654974E+000	-1.17503533E+002	
-8.80583644E+000	-1.17517542E+002	
-8.78512313E+000	-1.17509319E+002	
-8.76440983E+000	-1.17513878E+002	
-8.74369652E+000	-1.17579087E+002	
-8.72298322E+000	-1.17600489E+002	
-8.70226991E+000	-1.17535379E+002	
-8.68155661E+000	-1.17510291E+002	
-8.66084330E+000	-1.17541472E+002	
-8.64013000E+000	-1.17493481E+002	
-8.61941669E+000	-1.17442288E+002	
-8.59870339E+000	-1.17463532E+002	
-8.57799008E+000	-1.17467168E+002	
-8.55727678E+000	-1.17441357E+002	
-8.53656347E+000	-1.17559729E+002	
-8.51585017E+000	-1.17564242E+002	
-8.49513686E+000	-1.17560185E+002	
-8.47442355E+000	-1.17553291E+002	
-8.45371025E+000	-1.17569811E+002	
-8.43299694E+000	-1.17600794E+002	
-8.41228364E+000	-1.17571089E+002	
-8.39157033E+000	-1.17559331E+002	
-8.37085703E+000	-1.17599178E+002	
-8.35014372E+000	-1.17614667E+002	
-8.32943042E+000	-1.17640515E+002	
-8.30871711E+000	-1.17587330E+002	
-8.28800381E+000	-1.17624336E+002	
-8.26729050E+000	-1.17627050E+002	
-8.24657720E+000	-1.17622996E+002	
-8.22586389E+000	-1.17601927E+002	
-8.20515059E+000	-1.17650702E+002	
-8.18443728E+000	-1.17650392E+002	
-8.16372397E+000	-1.17632836E+002	
-8.14301067E+000	-1.17601318E+002	
-8.12229736E+000	-1.17616235E+002	
-8.10158406E+000	-1.17622782E+002	
-8.08087075E+000	-1.17616228E+002	
-8.06015745E+000	-1.17593567E+002	
-8.03944414E+000	-1.17542917E+002	
-8.01873084E+000	-1.17563890E+002	
-7.99801753E+000	-1.17565327E+002	
-7.97730423E+000	-1.17559002E+002	
-7.95659092E+000	-1.17536061E+002	
-7.93587762E+000	-1.17555624E+002	
-7.91516431E+000	-1.17590984E+002	
-7.89445101E+000	-1.17582509E+002	
-7.87373770E+000	-1.17560467E+002	
-7.85302439E+000	-1.17558541E+002	
-7.83231109E+000	-1.17544229E+002	
-7.81159778E+000	-1.17590133E+002	
-7.79088448E+000	-1.17614606E+002	
-7.77017117E+000	-1.17634247E+002	
-7.74945787E+000	-1.17644279E+002	
-7.72874456E+000	-1.17663214E+002	
-7.70803126E+000	-1.17625199E+002	
-7.68731795E+000	-1.17657499E+002	
-7.66660465E+000	-1.17654649E+002	
-7.64589134E+000	-1.17666251E+002	
-7.62517804E+000	-1.17671088E+002	
-7.60446473E+000	-1.17587421E+002	
-7.58375143E+000	-1.17604455E+002	
-7.56303812E+000	-1.17636264E+002	
-7.54232482E+000	-1.17698977E+002	
-7.52161151E+000	-1.17687405E+002	
-7.50089820E+000	-1.17702155E+002	
-7.48018490E+000	-1.17688247E+002	
-7.45947159E+000	-1.17736009E+002	
-7.43875829E+000	-1.17663570E+002	
-7.41804498E+000	-1.17583315E+002	
-7.39733168E+000	-1.17621804E+002	
-7.37661837E+000	-1.17622885E+002	
-7.35590507E+000	-1.17629540E+002	
-7.33519176E+000	-1.17651817E+002	
-7.31447846E+000	-1.17681172E+002	
-7.29376515E+000	-1.17666574E+002	
-7.27305185E+000	-1.17634543E+002	
-7.25233854E+000	-1.17659767E+002	
-7.23162524E+000	-1.17659671E+002	
-7.21091193E+000	-1.17650601E+002	
-7.19019862E+000	-1.17639191E+002	
-7.16948532E+000	-1.17684138E+002	
-7.14877201E+000	-1.17741772E+002	
-7.12805871E+000	-1.17786898E+002	
-7.10734540E+000	-1.17871581E+002	
-7.08663210E+000	-1.17915367E+002	
-7.06591879E+000	-1.17890266E+002	
-7.04520549E+000	-1.17884175E+002	
-7.02449218E+000	-1.17868653E+002	
-7.00377888E+000	-1.17837596E+002	
-6.98306557E+000	-1.17859941E+002	
-6.96235227E+000	-1.17817719E+002	
-6.94163896E+000	-1.17854386E+002	
-6.92092566E+000	-1.17917924E+002	
-6.90021235E+000	-1.17924069E+002	
-6.87949904E+000	-1.17902859E+002	
-6.85878574E+000	-1.17881168E+002	
-6.83807243E+000	-1.17900145E+002	
-6.81735913E+000	-1.17911826E+002	
-6.79664582E+000	-1.17863799E+002	
-6.77593252E+000	-1.17898377E+002	
-6.75521921E+000	-1.17849950E+002	
-6.73450591E+000	-1.17846213E+002	
-6.71379260E+000	-1.17822837E+002	
-6.69307930E+000	-1.17819631E+002	
-6.67236599E+000	-1.17780741E+002	
-6.65165269E+000	-1.17762050E+002	
-6.63093938E+000	-1.17764574E+002	
-6.61022608E+000	-1.17774087E+002	
-6.58951277E+000	-1.17763837E+002	
-6.56879947E+000	-1.17750281E+002	
-6.54808616E+000	-1.17715063E+002	
-6.52737285E+000	-1.17696389E+002	
-6.50665955E+000	-1.17726378E+002	
-6.48594624E+000	-1.17763601E+002	
-6.46523294E+000	-1.17797230E+002	
-6.44451963E+000	-1.17728780E+002	
-6.42380633E+000	-1.17680247E+002	
-6.40309302E+000	-1.17670253E+002	
-6.38237972E+000	-1.17645771E+002	
-6.36166641E+000	-1.17651659E+002	
-6.34095311E+000	-1.17659458E+002	
-6.32023980E+000	-1.17650879E+002	
-6.29952650E+000	-1.17666037E+002	
-6.27881319E+000	-1.17630739E+002	
-6.25809989E+000	-1.17645681E+002	
-6.23738658E+000	-1.17637369E+002	
-6.21667327E+000	-1.17627855E+002	
-6.19595997E+000	-1.17635611E+002	
-6.17524666E+000	-1.17619660E+002	
-6.15453336E+000	-1.17624574E+002	
-6.13382005E+000	-1.17611719E+002	
-6.11310675E+000	-1.17623065E+002	
-6.09239344E+000	-1.17623431E+002	
-6.07168014E+000	-1.17583676E+002	
-6.05096683E+000	-1.17659570E+002	
-6.03025353E+000	-1.17668681E+002	
-6.00954022E+000	-1.17639263E+002	
-5.98882692E+000	-1.17591298E+002	
-5.96811361E+000	-1.17599497E+002	
-5.94740031E+000	-1.17646013E+002	
-5.92668700E+000	-1.17696498E+002	
-5.90597369E+000	-1.17707721E+002	
-5.88526039E+000	-1.17756605E+002	
-5.86454708E+000	-1.17773879E+002	
-5.84383378E+000	-1.17733427E+002	
-5.82312047E+000	-1.17742753E+002	
-5.80240717E+000	-1.17714573E+002	
-5.78169386E+000	-1.17734895E+002	
-5.76098056E+000	-1.17741049E+002	
-5.74026725E+000	-1.17739783E+002	
-5.71955395E+000	-1.17772795E+002	
-5.69884064E+000	-1.17781809E+002	
-5.67812734E+000	-1.17810174E+002	
-5.65741403E+000	-1.17808625E+002	
-5.63670073E+000	-1.17818296E+002	
-5.61598742E+000	-1.17792241E+002	
-5.59527412E+000	-1.17746596E+002	
-5.57456081E+000	-1.17808383E+002	
-5.55384750E+000	-1.17735528E+002	
-5.53313420E+000	-1.17665854E+002	
-5.51242089E+000	-1.17684312E+002	
-5.49170759E+000	-1.17693195E+002	
-5.47099428E+000	-1.17672843E+002	
-5.45028098E+000	-1.17719462E+002	
-5.42956767E+000	-1.17762484E+002	
-5.40885437E+000	-1.17745997E+002	
-5.38814106E+000	-1.17737887E+002	
-5.36742776E+000	-1.17718031E+002	
-5.34671445E+000	-1.17751847E+002	
-5.32600115E+000	-1.17761026E+002	
-5.30528784E+000	-1.17778003E+002	
-5.28457454E+000	-1.17754882E+002	
-5.26386123E+000	-1.17731984E+002	
-5.24314792E+000	-1.17676134E+002	
-5.22243462E+000	-1.17653464E+002	
-5.20172131E+000	-1.17650316E+002	
-5.18100801E+000	-1.17617078E+002	
-5.16029470E+000	-1.17614681E+002	
-5.13958140E+000	-1.17569929E+002	
-5.11886809E+000	-1.17548016E+002	
-5.09815479E+000	-1.17560778E+002	
-5.07744148E+000	-1.17527480E+002	
-5.05672818E+000	-1.17595645E+002	
-5.03601487E+000	-1.17623762E+002	
-5.01530157E+000	-1.17668182E+002	
-4.99458826E+000	-1.17668001E+002	
-4.97387496E+000	-1.17613619E+002	
-4.95316165E+000	-1.17609002E+002	
-4.93244834E+000	-1.17562968E+002	
-4.91173504E+000	-1.17547955E+002	
-4.89102173E+000	-1.17536900E+002	
-4.87030843E+000	-1.17563173E+002	
-4.84959512E+000	-1.17551584E+002	
-4.82888182E+000	-1.17511068E+002	
-4.80816851E+000	-1.17499248E+002	
-4.78745521E+000	-1.17510475E+002	
-4.76674190E+000	-1.17539142E+002	
-4.74602860E+000	-1.17553355E+002	
-4.72531529E+000	-1.17600193E+002	
-4.70460199E+000	-1.17593465E+002	
-4.68388868E+000	-1.17628885E+002	
-4.66317538E+000	-1.17605685E+002	
-4.64246207E+000	-1.17649387E+002	
-4.62174877E+000	-1.17691448E+002	
-4.60103546E+000	-1.17716696E+002	
-4.58032215E+000	-1.17737039E+002	
-4.55960885E+000	-1.17701289E+002	
-4.53889554E+000	-1.17733993E+002	
-4.51818224E+000	-1.17654348E+002	
-4.49746893E+000	-1.17613306E+002	
-4.47675563E+000	-1.17658617E+002	
-4.45604232E+000	-1.17646231E+002	
-4.43532902E+000	-1.17649263E+002	
-4.41461571E+000	-1.17645910E+002	
-4.39390241E+000	-1.17657224E+002	
-4.37318910E+000	-1.17663177E+002	
-4.35247580E+000	-1.17646382E+002	
-4.33176249E+000	-1.17640810E+002	
-4.31104919E+000	-1.17641210E+002	
-4.29033588E+000	-1.17632510E+002	
-4.26962257E+000	-1.17622964E+002	
-4.24890927E+000	-1.17668187E+002	
-4.22819596E+000	-1.17676549E+002	
-4.20748266E+000	-1.17709702E+002	
-4.18676935E+000	-1.17679320E+002	
-4.16605605E+000	-1.17690257E+002	
-4.14534274E+000	-1.17702952E+002	
-4.12462944E+000	-1.17659712E+002	
-4.10391613E+000	-1.17654692E+002	
-4.08320283E+000	-1.17643202E+002	
-4.06248952E+000	-1.17632412E+002	
-4.04177622E+000	-1.17587949E+002	
-4.02106291E+000	-1.17623253E+002	
-4.00034961E+000	-1.17619477E+002	
-3.97963630E+000	-1.17578978E+002	
-3.95892299E+000	-1.17582779E+002	
-3.93820969E+000	-1.17551457E+002	
-3.91749638E+000	-1.17564922E+002	
-3.89678308E+000	-1.17535394E+002	
-3.87606977E+000	-1.17478811E+002	
-3.85535647E+000	-1.17483047E+002	
-3.83464316E+000	-1.17473511E+002	
-3.81392986E+000	-1.17466600E+002	
-3.79321655E+000	-1.17496597E+002	
-3.77250325E+000	-1.17451474E+002	
-3.75178994E+000	-1.17466829E+002	
-3.73107664E+000	-1.17472738E+002	
-3.71036333E+000	-1.17415985E+002	
-3.68965003E+000	-1.17427935E+002	
-3.66893672E+000	-1.17477925E+002	
-3.64822342E+000	-1.17439568E+002	
-3.62751011E+000	-1.17454752E+002	
-3.60679680E+000	-1.17460435E+002	
-3.58608350E+000	-1.17465656E+002	
-3.56537019E+000	-1.17491988E+002	
-3.54465689E+000	-1.17496875E+002	
-3.52394358E+000	-1.17519579E+002	
-3.50323028E+000	-1.17567303E+002	
-3.48251697E+000	-1.17603645E+002	
-3.46180367E+000	-1.17640727E+002	
-3.44109036E+000	-1.17658156E+002	
-3.42037706E+000	-1.17691267E+002	
-3.39966375E+000	-1.17736900E+002	
-3.37895045E+000	-1.17780192E+002	
-3.35823714E+000	-1.17770899E+002	
-3.33752384E+000	-1.17778250E+002	
-3.31681053E+000	-1.17783291E+002	
-3.29609722E+000	-1.17754488E+002	
-3.27538392E+000	-1.17768258E+002	
-3.25467061E+000	-1.17782218E+002	
-3.23395731E+000	-1.17770675E+002	
-3.21324400E+000	-1.17799406E+002	
-3.19253070E+000	-1.17804726E+002	
-3.17181739E+000	-1.17770977E+002	
-3.15110409E+000	-1.17754110E+002	
